"lady_lucas::determined";"william::determined"
"wickham::respectable";"wickham::young"
"wickham::well";"wickham::young"
"de_bourgh::young";"lady_catherine::young"
"darcy::hard";"elizabeth::hard"
"collins::determined";"collins::excellent"
"collins::determined";"collins::proper"
"collins::determined";"collins::understanding"
"collins::determined";"elizabeth::determined"
"collins::determined";"elizabeth::excellent"
"collins::determined";"elizabeth::proper"
"collins::determined";"elizabeth::understanding"
"collins::excellent";"collins::proper"
"collins::excellent";"collins::understanding"
"collins::excellent";"elizabeth::determined"
"collins::excellent";"elizabeth::excellent"
"collins::excellent";"elizabeth::proper"
"collins::excellent";"elizabeth::understanding"
"collins::proper";"collins::understanding"
"collins::proper";"elizabeth::determined"
"collins::proper";"elizabeth::excellent"
"collins::proper";"elizabeth::proper"
"collins::proper";"elizabeth::understanding"
"collins::understanding";"elizabeth::determined"
"collins::understanding";"elizabeth::excellent"
"collins::understanding";"elizabeth::proper"
"collins::understanding";"elizabeth::understanding"
"elizabeth::determined";"elizabeth::excellent"
"elizabeth::determined";"elizabeth::proper"
"elizabeth::determined";"elizabeth::understanding"
"elizabeth::excellent";"elizabeth::proper"
"elizabeth::excellent";"elizabeth::understanding"
"elizabeth::proper";"elizabeth::understanding"
"lady_catherine::certain";"lady_catherine::well"
"bingley::capable";"elizabeth::capable"
"bingley::capable";"jane::capable"
"elizabeth::capable";"jane::capable"
"bingley::unlucky";"jane::unlucky"
"bingley::unlucky";"lady_lucas::unlucky"
"jane::unlucky";"lady_lucas::unlucky"
"bennet::cold";"lady_lucas::cold"
"--_elizabeth::weak";"mary::weak"
"collins::compatible";"collins::fortunate"
"collins::compatible";"collins::great"
"collins::compatible";"collins::innocent"
"collins::fortunate";"collins::great"
"collins::fortunate";"collins::innocent"
"collins::great";"collins::innocent"
"bennet::clever";"bennet::good"
"bennet::clever";"bennet::kind"
"bennet::clever";"bennet::young"
"bennet::clever";"collins::clever"
"bennet::clever";"collins::good"
"bennet::clever";"collins::kind"
"bennet::clever";"collins::young"
"bennet::clever";"lady_lucas::clever"
"bennet::clever";"lady_lucas::good"
"bennet::clever";"lady_lucas::kind"
"bennet::clever";"lady_lucas::young"
"bennet::good";"bennet::kind"
"bennet::good";"bennet::young"
"bennet::good";"collins::clever"
"bennet::good";"collins::good"
"bennet::good";"collins::kind"
"bennet::good";"collins::young"
"bennet::good";"lady_lucas::clever"
"bennet::good";"lady_lucas::good"
"bennet::good";"lady_lucas::kind"
"bennet::good";"lady_lucas::young"
"bennet::kind";"bennet::young"
"bennet::kind";"collins::clever"
"bennet::kind";"collins::good"
"bennet::kind";"collins::kind"
"bennet::kind";"collins::young"
"bennet::kind";"lady_lucas::clever"
"bennet::kind";"lady_lucas::good"
"bennet::kind";"lady_lucas::kind"
"bennet::kind";"lady_lucas::young"
"bennet::young";"collins::clever"
"bennet::young";"collins::good"
"bennet::young";"collins::kind"
"bennet::young";"lady_lucas::clever"
"bennet::young";"lady_lucas::good"
"bennet::young";"lady_lucas::kind"
"bennet::young";"lady_lucas::young"
"collins::clever";"collins::good"
"collins::clever";"collins::kind"
"collins::clever";"collins::young"
"collins::clever";"lady_lucas::clever"
"collins::clever";"lady_lucas::good"
"collins::clever";"lady_lucas::kind"
"collins::clever";"lady_lucas::young"
"collins::good";"collins::kind"
"collins::good";"collins::young"
"collins::good";"lady_lucas::clever"
"collins::good";"lady_lucas::good"
"collins::good";"lady_lucas::kind"
"collins::good";"lady_lucas::young"
"collins::kind";"lady_lucas::clever"
"collins::kind";"lady_lucas::good"
"collins::kind";"lady_lucas::kind"
"collins::kind";"lady_lucas::young"
"collins::young";"lady_lucas::clever"
"collins::young";"lady_lucas::good"
"collins::young";"lady_lucas::kind"
"collins::young";"lady_lucas::young"
"lady_lucas::clever";"lady_lucas::good"
"lady_lucas::clever";"lady_lucas::kind"
"lady_lucas::clever";"lady_lucas::young"
"lady_lucas::good";"lady_lucas::kind"
"lady_lucas::good";"lady_lucas::young"
"lady_lucas::kind";"lady_lucas::young"
"bingley::happy";"elizabeth::happy"
"bennet::little";"bingley::little"
"bingley::little";"collins::little"
"elizabeth::tired";"elizabeth::violent"
"elizabeth::tired";"hurst::tired"
"elizabeth::tired";"hurst::violent"
"elizabeth::tired";"lydia::tired"
"elizabeth::tired";"lydia::violent"
"elizabeth::violent";"hurst::tired"
"elizabeth::violent";"hurst::violent"
"elizabeth::violent";"lydia::tired"
"elizabeth::violent";"lydia::violent"
"hurst::tired";"hurst::violent"
"hurst::tired";"lydia::tired"
"hurst::tired";"lydia::violent"
"hurst::violent";"lydia::tired"
"hurst::violent";"lydia::violent"
"lydia::tired";"lydia::violent"
"bennet::happy";"bingley::happy"
"bingley::good";"elizabeth::good"
"collins::embarrassed";"elizabeth::embarrassed"
"collins::embarrassed";"lizzy::embarrassed"
"elizabeth::embarrassed";"lizzy::embarrassed"
"collins::mean";"collins::young"
"--_nay::happy";"lady_catherine::happy"
"catherine::certain";"collins::certain"
"elizabeth::determined";"elizabeth::negative"
"bennet::happy";"bennet::open"
"bennet::happy";"bennet::successful"
"bennet::happy";"bennet::warm"
"bennet::happy";"collins::happy"
"bennet::happy";"collins::open"
"bennet::happy";"collins::successful"
"bennet::happy";"collins::warm"
"bennet::happy";"elizabeth::happy"
"bennet::happy";"elizabeth::open"
"bennet::happy";"elizabeth::successful"
"bennet::happy";"elizabeth::warm"
"bennet::open";"bennet::successful"
"bennet::open";"bennet::warm"
"bennet::open";"collins::happy"
"bennet::open";"collins::open"
"bennet::open";"collins::successful"
"bennet::open";"collins::warm"
"bennet::open";"elizabeth::happy"
"bennet::open";"elizabeth::open"
"bennet::open";"elizabeth::successful"
"bennet::open";"elizabeth::warm"
"bennet::successful";"bennet::warm"
"bennet::successful";"collins::happy"
"bennet::successful";"collins::open"
"bennet::successful";"collins::successful"
"bennet::successful";"collins::warm"
"bennet::successful";"elizabeth::happy"
"bennet::successful";"elizabeth::open"
"bennet::successful";"elizabeth::successful"
"bennet::successful";"elizabeth::warm"
"bennet::warm";"collins::happy"
"bennet::warm";"collins::open"
"bennet::warm";"collins::successful"
"bennet::warm";"collins::warm"
"bennet::warm";"elizabeth::happy"
"bennet::warm";"elizabeth::open"
"bennet::warm";"elizabeth::successful"
"bennet::warm";"elizabeth::warm"
"collins::happy";"collins::open"
"collins::happy";"collins::successful"
"collins::happy";"collins::warm"
"collins::happy";"elizabeth::happy"
"collins::happy";"elizabeth::open"
"collins::happy";"elizabeth::successful"
"collins::happy";"elizabeth::warm"
"collins::open";"collins::successful"
"collins::open";"collins::warm"
"collins::open";"elizabeth::happy"
"collins::open";"elizabeth::open"
"collins::open";"elizabeth::successful"
"collins::open";"elizabeth::warm"
"collins::successful";"collins::warm"
"collins::successful";"elizabeth::happy"
"collins::successful";"elizabeth::open"
"collins::successful";"elizabeth::successful"
"collins::successful";"elizabeth::warm"
"collins::warm";"elizabeth::happy"
"collins::warm";"elizabeth::open"
"collins::warm";"elizabeth::successful"
"collins::warm";"elizabeth::warm"
"elizabeth::happy";"elizabeth::open"
"elizabeth::happy";"elizabeth::successful"
"elizabeth::happy";"elizabeth::warm"
"elizabeth::open";"elizabeth::successful"
"elizabeth::open";"elizabeth::warm"
"elizabeth::successful";"elizabeth::warm"
"bennet::glad";"bennet::satisfied"
"collins::foolish";"lizzy::foolish"
"bennet::disappointed";"elizabeth::disappointed"
"collins::determined";"collins::little"
"collins::determined";"collins::satisfied"
"collins::determined";"elizabeth::little"
"collins::determined";"elizabeth::satisfied"
"collins::determined";"jane::determined"
"collins::determined";"jane::little"
"collins::determined";"jane::satisfied"
"collins::determined";"kitty::determined"
"collins::determined";"kitty::little"
"collins::determined";"kitty::satisfied"
"collins::determined";"lydia::determined"
"collins::determined";"lydia::little"
"collins::determined";"lydia::satisfied"
"collins::little";"collins::satisfied"
"collins::little";"elizabeth::determined"
"collins::little";"elizabeth::little"
"collins::little";"elizabeth::satisfied"
"collins::little";"jane::determined"
"collins::little";"jane::little"
"collins::little";"jane::satisfied"
"collins::little";"kitty::determined"
"collins::little";"kitty::little"
"collins::little";"kitty::satisfied"
"collins::little";"lydia::determined"
"collins::little";"lydia::little"
"collins::little";"lydia::satisfied"
"collins::satisfied";"elizabeth::determined"
"collins::satisfied";"elizabeth::little"
"collins::satisfied";"elizabeth::satisfied"
"collins::satisfied";"jane::determined"
"collins::satisfied";"jane::little"
"collins::satisfied";"jane::satisfied"
"collins::satisfied";"kitty::determined"
"collins::satisfied";"kitty::little"
"collins::satisfied";"kitty::satisfied"
"collins::satisfied";"lydia::determined"
"collins::satisfied";"lydia::little"
"collins::satisfied";"lydia::satisfied"
"elizabeth::determined";"elizabeth::little"
"elizabeth::determined";"elizabeth::satisfied"
"elizabeth::determined";"jane::determined"
"elizabeth::determined";"jane::little"
"elizabeth::determined";"jane::satisfied"
"elizabeth::determined";"kitty::determined"
"elizabeth::determined";"kitty::little"
"elizabeth::determined";"kitty::satisfied"
"elizabeth::determined";"lydia::determined"
"elizabeth::determined";"lydia::little"
"elizabeth::determined";"lydia::satisfied"
"elizabeth::little";"elizabeth::satisfied"
"elizabeth::little";"jane::determined"
"elizabeth::little";"jane::little"
"elizabeth::little";"jane::satisfied"
"elizabeth::little";"kitty::determined"
"elizabeth::little";"kitty::little"
"elizabeth::little";"kitty::satisfied"
"elizabeth::little";"lydia::determined"
"elizabeth::little";"lydia::little"
"elizabeth::little";"lydia::satisfied"
"elizabeth::satisfied";"jane::determined"
"elizabeth::satisfied";"jane::little"
"elizabeth::satisfied";"jane::satisfied"
"elizabeth::satisfied";"kitty::determined"
"elizabeth::satisfied";"kitty::little"
"elizabeth::satisfied";"kitty::satisfied"
"elizabeth::satisfied";"lydia::determined"
"elizabeth::satisfied";"lydia::little"
"elizabeth::satisfied";"lydia::satisfied"
"jane::determined";"jane::little"
"jane::determined";"jane::satisfied"
"jane::determined";"kitty::determined"
"jane::determined";"kitty::little"
"jane::determined";"kitty::satisfied"
"jane::determined";"lydia::determined"
"jane::determined";"lydia::little"
"jane::determined";"lydia::satisfied"
"jane::little";"jane::satisfied"
"jane::little";"kitty::determined"
"jane::little";"kitty::little"
"jane::little";"kitty::satisfied"
"jane::little";"lydia::determined"
"jane::little";"lydia::little"
"jane::little";"lydia::satisfied"
"jane::satisfied";"kitty::determined"
"jane::satisfied";"kitty::little"
"jane::satisfied";"kitty::satisfied"
"jane::satisfied";"lydia::determined"
"jane::satisfied";"lydia::little"
"jane::satisfied";"lydia::satisfied"
"kitty::determined";"kitty::little"
