"maria_ward::short";"thomas_bertram::short"
"maria::difficult";"rushworth::young"
"maria::short";"maria::young"
"maria::short";"norris::difficult"
"maria::short";"norris::short"
"maria::short";"norris::young"
"maria::short";"rushworth::difficult"
"maria::short";"rushworth::short"
"maria::short";"rushworth::young"
"maria::young";"norris::difficult"
"maria::young";"norris::short"
"maria::young";"norris::young"
"maria::young";"rushworth::difficult"
"maria::young";"rushworth::short"
"maria::young";"rushworth::young"
"norris::difficult";"norris::short"
"norris::difficult";"norris::young"
"norris::difficult";"rushworth::difficult"
"norris::difficult";"rushworth::short"
"norris::difficult";"rushworth::young"
"norris::short";"norris::young"
"norris::short";"rushworth::difficult"
"norris::short";"rushworth::short"
"norris::short";"rushworth::young"
"norris::young";"rushworth::difficult"
"norris::young";"rushworth::short"
"norris::young";"rushworth::young"
"rushworth::difficult";"rushworth::short"
"rushworth::difficult";"rushworth::young"
"rushworth::short";"rushworth::young"
"bertram::proper";"bertram::young"
"bertram::proper";"rushworth::proper"
"bertram::proper";"rushworth::young"
"bertram::proper";"thomas::young"
"bertram::young";"rushworth::proper"
"bertram::young";"rushworth::young"
"bertram::young";"thomas::proper"
"bertram::young";"thomas::young"
"rushworth::proper";"rushworth::young"
"rushworth::proper";"thomas::proper"
"rushworth::proper";"thomas::young"
"rushworth::young";"thomas::proper"
"rushworth::young";"thomas::young"
"thomas::proper";"thomas::young"
"edmund::desirable";"rushworth::desirable"
"mansfield::agreeable";"mansfield::young"
"grant::#-good";"grant::warm-hearted"
"grant::#-good";"mary::#-good"
"grant::#-good";"mary::warm-hearted"
"grant::#-good";"tom_bertram::#-good"
"grant::#-good";"tom_bertram::warm-hearted"
"grant::warm-hearted";"mary::#-good"
"grant::warm-hearted";"mary::warm-hearted"
"grant::warm-hearted";"tom_bertram::#-good"
"grant::warm-hearted";"tom_bertram::warm-hearted"
"mary::#-good";"mary::warm-hearted"
"mary::#-good";"tom_bertram::#-good"
"mary::#-good";"tom_bertram::warm-hearted"
"mary::warm-hearted";"tom_bertram::#-good"
"mary::warm-hearted";"tom_bertram::warm-hearted"
"tom_bertram::#-good";"tom_bertram::warm-hearted"
"crawford::good";"crawford::plain"
"crawford::good";"crawford::well"
"crawford::good";"julia::good"
"crawford::good";"julia::plain"
"crawford::good";"julia::well"
"crawford::good";"maria::good"
"crawford::good";"maria::plain"
"crawford::good";"maria::well"
"crawford::plain";"crawford::well"
"crawford::plain";"julia::good"
"crawford::plain";"julia::plain"
"crawford::plain";"julia::well"
"crawford::plain";"maria::good"
"crawford::plain";"maria::plain"
"crawford::plain";"maria::well"
"crawford::well";"julia::good"
"crawford::well";"julia::plain"
"crawford::well";"julia::well"
"crawford::well";"maria::good"
"crawford::well";"maria::plain"
"crawford::well";"maria::well"
"julia::good";"julia::plain"
"julia::good";"julia::well"
"julia::good";"maria::good"
"julia::good";"maria::plain"
"julia::good";"maria::well"
"julia::plain";"julia::well"
"julia::plain";"maria::good"
"julia::plain";"maria::plain"
"julia::plain";"maria::well"
"julia::well";"maria::good"
"julia::well";"maria::plain"
"julia::well";"maria::well"
"maria::good";"maria::plain"
"maria::good";"maria::well"
"maria::plain";"maria::well"
"julia::pleased";"julia::pleasing"
"julia::pleased";"maria::pleased"
"julia::pleased";"maria::pleasing"
"julia::pleasing";"maria::pleased"
"julia::pleasing";"maria::pleasing"
"maria::pleased";"maria::pleasing"
"julia::great";"maria::great"
"julia::agreeable";"maria::agreeable"
"bertram::agreeable";"julia::agreeable"
"henry::satisfied";"mary::satisfied"
"sneyd::agreeable";"sneyd::young"
"crawford::great";"tom_bertram::great"
"norris::great";"norris::sad"
"norris::great";"norris::young"
"norris::great";"thomas::great"
"norris::great";"thomas::poor"
"norris::great";"thomas::sad"
"norris::great";"thomas::young"
"norris::poor";"norris::sad"
"norris::poor";"norris::young"
"norris::poor";"thomas::great"
"norris::poor";"thomas::poor"
"norris::poor";"thomas::sad"
"norris::poor";"thomas::young"
"norris::sad";"norris::young"
"norris::sad";"thomas::great"
"norris::sad";"thomas::poor"
"norris::sad";"thomas::sad"
"norris::sad";"thomas::young"
"norris::young";"thomas::great"
"norris::young";"thomas::poor"
"norris::young";"thomas::sad"
"norris::young";"thomas::young"
"thomas::great";"thomas::poor"
"thomas::great";"thomas::sad"
"thomas::great";"thomas::young"
"thomas::poor";"thomas::sad"
"thomas::sad";"thomas::young"
"grant::good";"norris::good"
"lady_bertram::pretty";"rushworth::pretty"
"bertram::fine";"bertram::old"
"bertram::fine";"repton::fine"
"bertram::fine";"repton::old"
"bertram::old";"repton::fine"
"bertram::old";"repton::old"
"repton::fine";"repton::old"
"crawford::old";"sotherton::old"
"elizabeth::good";"elizabeth::respectable"
"edmund::determined";"fanny::determined"
"everingham::little";"everingham::natural"
"everingham::little";"everingham::young"
"everingham::natural";"everingham::young"
"bertram::professional";"bertram::useful"
"bertram::professional";"crawford::professional"
"bertram::professional";"crawford::useful"
"bertram::professional";"grant::professional"
"bertram::professional";"grant::useful"
"bertram::professional";"rushworth::professional"
"bertram::professional";"rushworth::useful"
"bertram::useful";"crawford::professional"
"bertram::useful";"crawford::useful"
"bertram::useful";"grant::professional"
"bertram::useful";"grant::useful"
"bertram::useful";"rushworth::professional"
"bertram::useful";"rushworth::useful"
"crawford::professional";"crawford::useful"
"crawford::professional";"grant::professional"
"crawford::professional";"grant::useful"
"crawford::professional";"rushworth::professional"
"crawford::professional";"rushworth::useful"
"crawford::useful";"grant::professional"
"crawford::useful";"grant::useful"
"crawford::useful";"rushworth::professional"
"crawford::useful";"rushworth::useful"
"grant::professional";"grant::useful"
"grant::professional";"rushworth::professional"
"grant::professional";"rushworth::useful"
"grant::useful";"rushworth::professional"
"grant::useful";"rushworth::useful"
"rushworth::professional";"rushworth::useful"
"crawford::little";"norris::little"
"crawford::little";"rushworth::little"
"norris::little";"rushworth::little"
"crawford::thinking";"edmund::thinking"
"crawford::little";"fanny::little"
"crawford::feminine";"fanny::feminine"
"edmund::agreeable";"edmund::good"
"edmund::natural";"edmund::useful"
"crawford::active";"crawford::proper"
"crawford::active";"crawford::well"
"crawford::active";"edmund::active"
"crawford::active";"edmund::proper"
"crawford::active";"edmund::well"
"crawford::proper";"crawford::well"
"crawford::proper";"edmund::active"
"crawford::proper";"edmund::proper"
"crawford::proper";"edmund::well"
"crawford::well";"edmund::active"
"crawford::well";"edmund::proper"
"crawford::well";"edmund::well"
"edmund::active";"edmund::proper"
"edmund::active";"edmund::well"
"edmund::proper";"edmund::well"
"crawford::hard";"crawford::poor"
"crawford::hard";"edmund::hard"
"crawford::hard";"edmund::poor"
"crawford::poor";"edmund::hard"
"crawford::poor";"edmund::poor"
"edmund::hard";"edmund::poor"
"crawford::little";"edmund::little"
"crawford::good";"fanny::good"
"henry::fine";"mary::fine"
"grant::good";"rushworth::good"
"edmund::cheerful";"julia::cheerful"
"edmund::cheerful";"lady_bertram::cheerful"
"edmund::cheerful";"maria::cheerful"
"julia::cheerful";"lady_bertram::cheerful"
"julia::cheerful";"maria::cheerful"
"lady_bertram::cheerful";"maria::cheerful"
"fanny::little";"julia::little"
"edmund::employed";"fanny::employed"
"green::poor";"jefferies::poor"
"green::poor";"john_groom::poor"
"green::poor";"norris::poor"
"jefferies::poor";"john_groom::poor"
"jefferies::poor";"norris::poor"
"john_groom::poor";"norris::poor"
"edmund::happy";"edmund::well"
"edmund::successful";"rushworth::successful"
"crawford::desirable";"norris::desirable"
"fanny::strange";"norris::strange"
"fanny::strange";"rushworth::strange"
"norris::strange";"rushworth::strange"
"edmund::well";"norris::well"
"edmund::good";"norris::good"
"edmund::good";"norris::well"
"edmund::good";"rushworth::good"
"edmund::good";"rushworth::well"
"edmund::well";"norris::good"
"edmund::well";"rushworth::good"
"edmund::well";"rushworth::well"
"norris::good";"norris::well"
"norris::good";"rushworth::good"
"norris::good";"rushworth::well"
"norris::well";"rushworth::good"
"norris::well";"rushworth::well"
"rushworth::good";"rushworth::well"
"bertram::pleased";"bertram::well"
"bertram::pleased";"bertram::young"
"bertram::well";"bertram::young"
"crawford::fine";"grant::fine"
"bertram::expressive";"bertram::little"
"bertram::expressive";"crawford::expressive"
"bertram::expressive";"crawford::little"
"bertram::expressive";"julia::expressive"
"bertram::expressive";"julia::little"
"bertram::little";"crawford::expressive"
"bertram::little";"crawford::little"
"bertram::little";"julia::expressive"
"bertram::little";"julia::little"
"crawford::expressive";"crawford::little"
"crawford::expressive";"julia::expressive"
"crawford::expressive";"julia::little"
"crawford::little";"julia::expressive"
"crawford::little";"julia::little"
"julia::expressive";"julia::little"
"crawford::charming";"crawford::fine"
"crawford::charming";"julia::charming"
"crawford::charming";"julia::fine"
"crawford::fine";"julia::charming"
"crawford::fine";"julia::fine"
"julia::charming";"julia::fine"
"bridgets::poor";"bridgets::young"
"bridgets::poor";"eleanors::poor"
"bridgets::poor";"eleanors::young"
"bridgets::young";"eleanors::poor"
"bridgets::young";"eleanors::young"
"eleanors::poor";"eleanors::young"
"bertram::forward";"crawford::forward"
"bertram::forward";"maria::forward"
"crawford::forward";"maria::forward"
"bertram::afraid";"crawford::afraid"
"bertram::afraid";"maria::afraid"
"crawford::afraid";"maria::afraid"
"maria::unlucky";"rushworth::unlucky"
"bertram::short";"crawford::short"
"fanny::great";"fanny::tired"
"crawford::satisfied";"miss_bertram::satisfied"
"crawford::satisfied";"rushworth::satisfied"
"miss_bertram::satisfied";"rushworth::satisfied"
"henry_crawford::original";"rushworth::original"
"henry_crawford::original";"smith::original"
"rushworth::original";"smith::original"
"rushworth::determined";"rushworth::evil"
"rushworth::determined";"rushworth::thinking"
"rushworth::evil";"rushworth::thinking"
"bertram::unreasonable";"crawford::unreasonable"
"bertram::unreasonable";"fanny::unreasonable"
"crawford::unreasonable";"fanny::unreasonable"
"bertram::little";"fanny::little"
"norris::busy";"rushworth::busy"
"crawford::afraid";"julia::afraid"
"fanny::excellent";"fanny::great"
"norris::beautiful";"norris::pleasant"
"thomas::excited";"thomas::young"
"crawford::busy";"crawford::happy"
"crawford::busy";"crawford::open"
"crawford::busy";"edmund::busy"
"crawford::busy";"edmund::happy"
"crawford::busy";"edmund::open"
"crawford::busy";"fanny::busy"
"crawford::busy";"fanny::happy"
"crawford::busy";"fanny::open"
"crawford::busy";"henry_crawford::busy"
"crawford::busy";"henry_crawford::happy"
"crawford::busy";"henry_crawford::open"
"crawford::busy";"julia::busy"
"crawford::busy";"julia::happy"
"crawford::busy";"julia::open"
"crawford::busy";"maria::busy"
"crawford::busy";"maria::happy"
"crawford::busy";"maria::open"
"crawford::busy";"norris::busy"
"crawford::busy";"norris::happy"
"crawford::busy";"norris::open"
"crawford::busy";"rushworth::busy"
"crawford::busy";"rushworth::happy"
"crawford::busy";"rushworth::open"
"crawford::happy";"crawford::open"
"crawford::happy";"edmund::busy"
"crawford::happy";"edmund::happy"
"crawford::happy";"edmund::open"
"crawford::happy";"fanny::busy"
"crawford::happy";"fanny::happy"
"crawford::happy";"fanny::open"
"crawford::happy";"henry_crawford::busy"
"crawford::happy";"henry_crawford::happy"
"crawford::happy";"henry_crawford::open"
"crawford::happy";"julia::busy"
"crawford::happy";"julia::happy"
"crawford::happy";"julia::open"
"crawford::happy";"maria::busy"
"crawford::happy";"maria::happy"
"crawford::happy";"maria::open"
"crawford::happy";"norris::busy"
"crawford::happy";"norris::happy"
"crawford::happy";"norris::open"
"crawford::happy";"rushworth::busy"
"crawford::happy";"rushworth::happy"
"crawford::happy";"rushworth::open"
"crawford::open";"edmund::busy"
"crawford::open";"edmund::happy"
"crawford::open";"edmund::open"
"crawford::open";"fanny::busy"
"crawford::open";"fanny::happy"
"crawford::open";"fanny::open"
"crawford::open";"henry_crawford::busy"
"crawford::open";"henry_crawford::happy"
"crawford::open";"henry_crawford::open"
"crawford::open";"julia::busy"
"crawford::open";"julia::happy"
"crawford::open";"julia::open"
"crawford::open";"maria::busy"
"crawford::open";"maria::happy"
"crawford::open";"maria::open"
"crawford::open";"norris::busy"
"crawford::open";"norris::happy"
"crawford::open";"norris::open"
"crawford::open";"rushworth::busy"
"crawford::open";"rushworth::happy"
"crawford::open";"rushworth::open"
"edmund::busy";"edmund::happy"
"edmund::busy";"edmund::open"
"edmund::busy";"fanny::busy"
"edmund::busy";"fanny::happy"
"edmund::busy";"fanny::open"
"edmund::busy";"henry_crawford::busy"
"edmund::busy";"henry_crawford::happy"
"edmund::busy";"henry_crawford::open"
"edmund::busy";"julia::busy"
"edmund::busy";"julia::happy"
"edmund::busy";"julia::open"
"edmund::busy";"maria::busy"
"edmund::busy";"maria::happy"
"edmund::busy";"maria::open"
"edmund::busy";"norris::busy"
"edmund::busy";"norris::happy"
"edmund::busy";"norris::open"
"edmund::busy";"rushworth::busy"
"edmund::busy";"rushworth::happy"
"edmund::busy";"rushworth::open"
"edmund::happy";"edmund::open"
"edmund::happy";"fanny::busy"
"edmund::happy";"fanny::happy"
"edmund::happy";"fanny::open"
"edmund::happy";"henry_crawford::busy"
"edmund::happy";"henry_crawford::happy"
"edmund::happy";"henry_crawford::open"
"edmund::happy";"julia::busy"
"edmund::happy";"julia::happy"
"edmund::happy";"julia::open"
"edmund::happy";"maria::busy"
"edmund::happy";"maria::happy"
"edmund::happy";"maria::open"
"edmund::happy";"norris::busy"
"edmund::happy";"norris::happy"
"edmund::happy";"norris::open"
"edmund::happy";"rushworth::busy"
"edmund::happy";"rushworth::happy"
"edmund::happy";"rushworth::open"
"edmund::open";"fanny::busy"
"edmund::open";"fanny::happy"
"edmund::open";"fanny::open"
"edmund::open";"henry_crawford::busy"
"edmund::open";"henry_crawford::happy"
"edmund::open";"henry_crawford::open"
"edmund::open";"julia::busy"
"edmund::open";"julia::happy"
"edmund::open";"julia::open"
"edmund::open";"maria::busy"
"edmund::open";"maria::happy"
"edmund::open";"maria::open"
"edmund::open";"norris::busy"
"edmund::open";"norris::happy"
"edmund::open";"norris::open"
"edmund::open";"rushworth::busy"
"edmund::open";"rushworth::happy"
"edmund::open";"rushworth::open"
"fanny::busy";"fanny::happy"
"fanny::busy";"fanny::open"
"fanny::busy";"henry_crawford::busy"
"fanny::busy";"henry_crawford::happy"
"fanny::busy";"henry_crawford::open"
"fanny::busy";"julia::busy"
"fanny::busy";"julia::happy"
"fanny::busy";"julia::open"
"fanny::busy";"maria::busy"
"fanny::busy";"maria::happy"
"fanny::busy";"maria::open"
"fanny::busy";"norris::busy"
"fanny::busy";"norris::happy"
"fanny::busy";"norris::open"
"fanny::busy";"rushworth::busy"
"fanny::busy";"rushworth::happy"
"fanny::busy";"rushworth::open"
"fanny::happy";"fanny::open"
"fanny::happy";"henry_crawford::busy"
"fanny::happy";"henry_crawford::happy"
"fanny::happy";"henry_crawford::open"
"fanny::happy";"julia::busy"
"fanny::happy";"julia::happy"
"fanny::happy";"julia::open"
"fanny::happy";"maria::busy"
"fanny::happy";"maria::happy"
"fanny::happy";"maria::open"
"fanny::happy";"norris::busy"
"fanny::happy";"norris::happy"
"fanny::happy";"norris::open"
"fanny::happy";"rushworth::busy"
"fanny::happy";"rushworth::happy"
"fanny::happy";"rushworth::open"
"fanny::open";"henry_crawford::busy"
"fanny::open";"henry_crawford::happy"
"fanny::open";"henry_crawford::open"
"fanny::open";"julia::busy"
"fanny::open";"julia::happy"
"fanny::open";"julia::open"
"fanny::open";"maria::busy"
"fanny::open";"maria::happy"
"fanny::open";"maria::open"
"fanny::open";"norris::busy"
"fanny::open";"norris::happy"
"fanny::open";"norris::open"
"fanny::open";"rushworth::busy"
"fanny::open";"rushworth::happy"
"fanny::open";"rushworth::open"
"henry_crawford::busy";"henry_crawford::happy"
"henry_crawford::busy";"henry_crawford::open"
"henry_crawford::busy";"julia::busy"
"henry_crawford::busy";"julia::happy"
"henry_crawford::busy";"julia::open"
"henry_crawford::busy";"maria::busy"
"henry_crawford::busy";"maria::happy"
"henry_crawford::busy";"maria::open"
"henry_crawford::busy";"norris::busy"
"henry_crawford::busy";"norris::happy"
"henry_crawford::busy";"norris::open"
"henry_crawford::busy";"rushworth::busy"
"henry_crawford::busy";"rushworth::happy"
"henry_crawford::busy";"rushworth::open"
"henry_crawford::happy";"henry_crawford::open"
"henry_crawford::happy";"julia::busy"
"henry_crawford::happy";"julia::happy"
"henry_crawford::happy";"julia::open"
"henry_crawford::happy";"maria::busy"
"henry_crawford::happy";"maria::happy"
"henry_crawford::happy";"maria::open"
"henry_crawford::happy";"norris::busy"
"henry_crawford::happy";"norris::happy"
"henry_crawford::happy";"norris::open"
"henry_crawford::happy";"rushworth::busy"
"henry_crawford::happy";"rushworth::happy"
"henry_crawford::happy";"rushworth::open"
"henry_crawford::open";"julia::busy"
"henry_crawford::open";"julia::happy"
"henry_crawford::open";"julia::open"
"henry_crawford::open";"maria::busy"
"henry_crawford::open";"maria::happy"
"henry_crawford::open";"maria::open"
"henry_crawford::open";"norris::busy"
"henry_crawford::open";"norris::happy"
"henry_crawford::open";"norris::open"
"henry_crawford::open";"rushworth::busy"
"henry_crawford::open";"rushworth::happy"
"henry_crawford::open";"rushworth::open"
"julia::busy";"julia::happy"
"julia::busy";"julia::open"
"julia::busy";"maria::busy"
"julia::busy";"maria::happy"
"julia::busy";"maria::open"
"julia::busy";"norris::busy"
"julia::busy";"norris::happy"
"julia::busy";"norris::open"
"julia::busy";"rushworth::busy"
"julia::busy";"rushworth::happy"
"julia::busy";"rushworth::open"
"julia::happy";"julia::open"
"julia::happy";"maria::busy"
"julia::happy";"maria::happy"
"julia::happy";"maria::open"
"julia::happy";"norris::busy"
"julia::happy";"norris::happy"
"julia::happy";"norris::open"
"julia::happy";"rushworth::busy"
"julia::happy";"rushworth::happy"
"julia::happy";"rushworth::open"
"julia::open";"maria::busy"
"julia::open";"maria::happy"
"julia::open";"maria::open"
"julia::open";"norris::busy"
"julia::open";"norris::happy"
"julia::open";"norris::open"
"julia::open";"rushworth::busy"
"julia::open";"rushworth::happy"
"julia::open";"rushworth::open"
"maria::busy";"maria::happy"
"maria::busy";"maria::open"
"maria::busy";"norris::busy"
"maria::busy";"norris::happy"
"maria::busy";"norris::open"
"maria::busy";"rushworth::busy"
"maria::busy";"rushworth::happy"
"maria::busy";"rushworth::open"
"maria::happy";"maria::open"
"maria::happy";"norris::busy"
"maria::happy";"norris::happy"
"maria::happy";"norris::open"
"maria::happy";"rushworth::busy"
"maria::happy";"rushworth::happy"
"maria::happy";"rushworth::open"
"maria::open";"norris::busy"
"maria::open";"norris::happy"
"maria::open";"norris::open"
"maria::open";"rushworth::busy"
"maria::open";"rushworth::happy"
"maria::open";"rushworth::open"
"norris::busy";"norris::happy"
"norris::busy";"norris::open"
"norris::busy";"rushworth::happy"
"norris::busy";"rushworth::open"
"norris::happy";"norris::open"
"norris::happy";"rushworth::busy"
"norris::happy";"rushworth::happy"
"norris::happy";"rushworth::open"
"norris::open";"rushworth::busy"
"norris::open";"rushworth::happy"
"norris::open";"rushworth::open"
"rushworth::busy";"rushworth::happy"
"rushworth::busy";"rushworth::open"
"rushworth::happy";"rushworth::open"
"grant::hard";"grant::little"
"grant::hard";"miss_crawford::hard"
"grant::hard";"miss_crawford::little"
"grant::little";"miss_crawford::hard"
"grant::little";"miss_crawford::little"
"miss_crawford::hard";"miss_crawford::little"
"grant::good";"grant::sensible"
"fanny::alone";"fanny::cold"
"fanny::alone";"norris::alone"
"fanny::alone";"norris::cold"
"fanny::cold";"norris::alone"
"fanny::cold";"norris::cold"
"norris::alone";"norris::cold"
"crawford::agreeable";"edmund::agreeable"
"crawford::agreeable";"tom_bertram::agreeable"
"edmund::agreeable";"tom_bertram::agreeable"
"crawford::important";"fanny::important"
"grant::serious";"julia::serious"
"crawford::#-afraid";"maria::#-afraid"
"fanny::young";"grant::young"
"fanny::young";"tom_bertram::young"
"grant::young";"tom_bertram::young"
"maria::strict";"rushworth::strict"
"norris::delightful";"norris::happy"
"norris::delightful";"norris::well"
"norris::delightful";"norris::young"
"norris::happy";"norris::well"
"norris::happy";"norris::young"
"norris::well";"norris::young"
"fanny::glad";"fanny::tired"
"grant::poor";"yates::poor"
"fanny::modest";"fanny::pretty"
"john_yates::desirable";"thomas::desirable"
"yates::strong";"yates::young"
"ravenshaw::little";"ravenshaw::weak"
"edmund::little";"lady_bertram::little"
"lady_bertram::little";"tom::little"
"edmund::#-serious";"tom::#-serious"
"fanny::gentle";"lady_bertram::gentle"
"christopher_jackson::employed";"christopher_jackson::little"
"christopher_jackson::employed";"jackson::employed"
"christopher_jackson::employed";"jackson::little"
"christopher_jackson::employed";"thomas::employed"
"christopher_jackson::employed";"thomas::little"
"christopher_jackson::little";"jackson::employed"
"christopher_jackson::little";"jackson::little"
"christopher_jackson::little";"thomas::employed"
"christopher_jackson::little";"thomas::little"
"jackson::employed";"jackson::little"
"jackson::employed";"thomas::employed"
"jackson::employed";"thomas::little"
"jackson::little";"thomas::employed"
"jackson::little";"thomas::little"
"thomas::employed";"thomas::little"
"edmund::thoughtful";"tom::thoughtful"
"bertram::little";"edmund::little"
"bertram::little";"henry_crawford::little"
"edmund::little";"henry_crawford::little"
"henry_crawford::alone";"henry_crawford::great"
"henry_crawford::alone";"henry_crawford::independent"
"henry_crawford::alone";"julia::alone"
"henry_crawford::alone";"julia::great"
"henry_crawford::alone";"julia::independent"
"henry_crawford::alone";"maria::alone"
"henry_crawford::alone";"maria::great"
"henry_crawford::alone";"maria::independent"
"henry_crawford::alone";"mary_crawford::alone"
"henry_crawford::alone";"mary_crawford::great"
"henry_crawford::alone";"mary_crawford::independent"
"henry_crawford::alone";"tom_bertram::alone"
"henry_crawford::alone";"tom_bertram::great"
"henry_crawford::alone";"tom_bertram::independent"
"henry_crawford::alone";"yates::alone"
"henry_crawford::alone";"yates::great"
