"shakespeare::devoted";"twemlow::devoted"
"abigail::short";"potterson::short"
"miss_potterson::cruel";"miss_potterson::hard"
"lizzie::little";"potterson::little"
"miss_potterson::opening";"miss_potterson::poor"
"lizzie::well";"potterson::well"
"charley::angry";"charley::selfish"
"boffin::pretty";"silas::pretty"
"wegg::old";"wegg::strong"
"robin::little";"venus::little"
"robin::cruel";"venus::cruel"
"silas::valuable";"silas::weak"
"silas::valuable";"venus::valuable"
"silas::valuable";"venus::weak"
"silas::weak";"venus::valuable"
"silas::weak";"venus::weak"
"venus::valuable";"venus::weak"
"silas::good";"silas::wonderful"
"silas::good";"venus::good"
"silas::good";"venus::wonderful"
"silas::wonderful";"venus::good"
"silas::wonderful";"venus::wonderful"
"venus::good";"venus::wonderful"
"boffin::great";"bower::great"
"baggs::great";"baggs::thin"
"baggs::great";"boffin::great"
"baggs::great";"boffin::thin"
"baggs::great";"daggs::great"
"baggs::great";"daggs::thin"
"baggs::great";"faggs::great"
"baggs::great";"faggs::thin"
"baggs::great";"lightwood::great"
"baggs::great";"lightwood::thin"
"baggs::great";"mr_caggs::great"
"baggs::great";"mr_caggs::thin"
"baggs::great";"mr_gaggs::great"
"baggs::great";"mr_gaggs::thin"
"baggs::thin";"boffin::great"
"baggs::thin";"boffin::thin"
"baggs::thin";"daggs::great"
"baggs::thin";"daggs::thin"
"baggs::thin";"faggs::great"
"baggs::thin";"faggs::thin"
"baggs::thin";"lightwood::great"
"baggs::thin";"lightwood::thin"
"baggs::thin";"mr_caggs::great"
"baggs::thin";"mr_caggs::thin"
"baggs::thin";"mr_gaggs::great"
"baggs::thin";"mr_gaggs::thin"
"boffin::great";"boffin::thin"
"boffin::great";"daggs::great"
"boffin::great";"daggs::thin"
"boffin::great";"faggs::great"
"boffin::great";"faggs::thin"
"boffin::great";"lightwood::great"
"boffin::great";"lightwood::thin"
"boffin::great";"mr_caggs::great"
"boffin::great";"mr_caggs::thin"
"boffin::great";"mr_gaggs::great"
"boffin::great";"mr_gaggs::thin"
"boffin::thin";"daggs::great"
"boffin::thin";"daggs::thin"
"boffin::thin";"faggs::great"
"boffin::thin";"faggs::thin"
"boffin::thin";"lightwood::great"
"boffin::thin";"lightwood::thin"
"boffin::thin";"mr_caggs::great"
"boffin::thin";"mr_caggs::thin"
"boffin::thin";"mr_gaggs::great"
"boffin::thin";"mr_gaggs::thin"
"daggs::great";"daggs::thin"
"daggs::great";"faggs::great"
"daggs::great";"faggs::thin"
"daggs::great";"lightwood::great"
"daggs::great";"lightwood::thin"
"daggs::great";"mr_caggs::great"
"daggs::great";"mr_caggs::thin"
"daggs::great";"mr_gaggs::great"
"daggs::great";"mr_gaggs::thin"
"daggs::thin";"faggs::great"
"daggs::thin";"faggs::thin"
"daggs::thin";"lightwood::great"
"daggs::thin";"lightwood::thin"
"daggs::thin";"mr_caggs::great"
"daggs::thin";"mr_caggs::thin"
"daggs::thin";"mr_gaggs::great"
"daggs::thin";"mr_gaggs::thin"
"faggs::great";"faggs::thin"
"faggs::great";"lightwood::great"
"faggs::great";"lightwood::thin"
"faggs::great";"mr_caggs::great"
"faggs::great";"mr_caggs::thin"
"faggs::great";"mr_gaggs::great"
"faggs::great";"mr_gaggs::thin"
"faggs::thin";"lightwood::great"
"faggs::thin";"lightwood::thin"
"faggs::thin";"mr_caggs::great"
"faggs::thin";"mr_caggs::thin"
"faggs::thin";"mr_gaggs::great"
"faggs::thin";"mr_gaggs::thin"
"lightwood::great";"lightwood::thin"
"lightwood::great";"mr_caggs::great"
"lightwood::great";"mr_caggs::thin"
"lightwood::great";"mr_gaggs::great"
"lightwood::great";"mr_gaggs::thin"
"lightwood::thin";"mr_caggs::great"
"lightwood::thin";"mr_caggs::thin"
"lightwood::thin";"mr_gaggs::great"
"lightwood::thin";"mr_gaggs::thin"
"mr_caggs::great";"mr_caggs::thin"
"mr_caggs::great";"mr_gaggs::great"
"mr_caggs::great";"mr_gaggs::thin"
"mr_caggs::thin";"mr_gaggs::great"
"mr_caggs::thin";"mr_gaggs::thin"
"mr_gaggs::great";"mr_gaggs::thin"
"mrs_boffin::old";"mrs_boffin::poor"
"bower::alone";"bower::warm"
"bower::little";"bower::old"
"mrs_boffin::open";"mrs_boffin::young"
"mrs_boffin::cold";"mrs_boffin::poor"
"boffin::poor";"mortimer::poor"
"boffin::handsome";"eugene_wrayburn::handsome"
"boffin::handsome";"mr_lightwood::handsome"
"boffin::handsome";"mrs_boffin::handsome"
"eugene_wrayburn::handsome";"mr_lightwood::handsome"
"eugene_wrayburn::handsome";"mrs_boffin::handsome"
"mr_lightwood::handsome";"mrs_boffin::handsome"
"boffin::worthy";"harmon::worthy"
"boffin::embarrassed";"boffin::little"
"boffin::embarrassed";"boffin::well"
"boffin::embarrassed";"boffin::worthy"
"boffin::embarrassed";"clifford::embarrassed"
"boffin::embarrassed";"clifford::little"
"boffin::embarrassed";"clifford::well"
"boffin::embarrassed";"clifford::worthy"
"boffin::little";"boffin::well"
"boffin::little";"boffin::worthy"
"boffin::little";"clifford::embarrassed"
"boffin::little";"clifford::little"
"boffin::little";"clifford::well"
"boffin::little";"clifford::worthy"
"boffin::well";"boffin::worthy"
"boffin::well";"clifford::embarrassed"
"boffin::well";"clifford::little"
"boffin::well";"clifford::well"
"boffin::well";"clifford::worthy"
"boffin::worthy";"clifford::embarrassed"
"boffin::worthy";"clifford::little"
"boffin::worthy";"clifford::well"
"boffin::worthy";"clifford::worthy"
"clifford::embarrassed";"clifford::little"
"clifford::embarrassed";"clifford::well"
"clifford::embarrassed";"clifford::worthy"
"clifford::little";"clifford::well"
"clifford::little";"clifford::worthy"
"clifford::well";"clifford::worthy"
"mrs_boffin::laughing";"noddy::laughing"
"boffin::#-good";"mrs_boffin::#-good"
"boffin::old";"bower::old"
"boffin::rough";"mrs_boffin::rough"
"frank_milvey::daring";"frank_milvey::kind"
"milvey::hard";"milvey::old"
"milvey::hard";"milvey::poor"
"milvey::old";"milvey::poor"
"boffin::good";"mrs_boffin::good"
"mrs_milvey::open";"mrs_milvey::perceptive"
"mrs_milvey::open";"mrs_milvey::well"
"mrs_milvey::perceptive";"mrs_milvey::well"
"mrs_boffin::little";"mrs_milvey::little"
"frank::clean";"mrs_milvey::clean"
"frank::little";"harrison::little"
"frank::little";"milvey::little"
"frank::little";"mrs_boffin::little"
"milvey::little";"mrs_boffin::little"
"frank::little";"mrs_milvey::little"
"milvey::afraid";"milvey::employed"
"milvey::afraid";"milvey::great"
"milvey::employed";"milvey::great"
"boffin::young";"lavinia::young"
"boffin::young";"mrs_boffin::young"
"lavinia::young";"mrs_boffin::young"
"boffin::little";"lavinia::little"
"boffin::little";"mrs_boffin::little"
"lavinia::little";"mrs_boffin::little"
"boffin::alone";"mrs_boffin::alone"
"boffin::alone";"mrs_wilfer::alone"
"mrs_boffin::alone";"mrs_wilfer::alone"
"boffin::honest";"boffin::plain"
"boffin::honest";"mrs_boffin::honest"
"boffin::honest";"mrs_boffin::plain"
"boffin::plain";"mrs_boffin::honest"
"boffin::plain";"mrs_boffin::plain"
"mrs_boffin::honest";"mrs_boffin::plain"
"boffin::short";"mrs_boffin::short"
"boffin::kind";"mrs_boffin::kind"
"boffin::pleasant";"wilfer::pleasant"
"bella::glad";"bella::pretty"
"bella::glad";"ma::glad"
"bella::glad";"ma::pretty"
"bella::glad";"mrs_boffin::glad"
"bella::glad";"mrs_boffin::pretty"
"bella::glad";"mrs_wilfer::glad"
"bella::glad";"mrs_wilfer::pretty"
"bella::pretty";"ma::glad"
"bella::pretty";"ma::pretty"
"bella::pretty";"mrs_boffin::glad"
"bella::pretty";"mrs_boffin::pretty"
"bella::pretty";"mrs_wilfer::glad"
"bella::pretty";"mrs_wilfer::pretty"
"ma::glad";"ma::pretty"
"ma::glad";"mrs_boffin::glad"
"ma::glad";"mrs_boffin::pretty"
"ma::glad";"mrs_wilfer::glad"
"ma::glad";"mrs_wilfer::pretty"
"ma::pretty";"mrs_boffin::glad"
"ma::pretty";"mrs_boffin::pretty"
"ma::pretty";"mrs_wilfer::glad"
"ma::pretty";"mrs_wilfer::pretty"
"mrs_boffin::glad";"mrs_boffin::pretty"
"mrs_boffin::glad";"mrs_wilfer::glad"
"mrs_boffin::glad";"mrs_wilfer::pretty"
"mrs_boffin::pretty";"mrs_wilfer::glad"
"mrs_boffin::pretty";"mrs_wilfer::pretty"
"mrs_wilfer::glad";"mrs_wilfer::pretty"
"bella::natural";"bella::sweet"
"bella::natural";"mrs_boffin::natural"
"bella::natural";"mrs_boffin::sweet"
"bella::sweet";"mrs_boffin::natural"
"bella::sweet";"mrs_boffin::sweet"
"mrs_boffin::natural";"mrs_boffin::sweet"
"bella::good";"mrs_boffin::good"
"boffin::ridiculous";"mrs_boffin::ridiculous"
"boffin::little";"mrs_wilfer::little"
"mrs_boffin::little";"mrs_wilfer::little"
"george_sampson::well";"lavinia::well"
"mrs_wilfer::young";"sampson::young"
"boffin::poor";"mrs_wilfer::poor"
"boffin::poor";"wilfer::poor"
"mrs_wilfer::poor";"wilfer::poor"
"boffin::good";"rokesmith::good"
"john_harmon::little";"mrs_boffin::little"
"john_harmon::little";"rokesmith::little"
"mrs_boffin::little";"rokesmith::little"
"bella::eager";"bella::little"
"bella::eager";"rokesmith::eager"
"bella::eager";"rokesmith::little"
"bella::little";"rokesmith::eager"
"bella::little";"rokesmith::little"
"rokesmith::eager";"rokesmith::little"
"bella::great";"rokesmith::great"
"bella::well";"rokesmith::well"
"bella::worthy";"miss_wilfer::worthy"
"alfred_lammle_esquire::little";"horatio_akershem::little"
"alfred_lammle_esquire::little";"sophronia::little"
"horatio_akershem::little";"sophronia::little"
"melvin_twemlow::fair";"st_james::fair"
"duke_street::adorable";"st_james::adorable"
"duke_street::adorable";"twemlow::adorable"
"st_james::adorable";"twemlow::adorable"
"lady_tippins::fine";"mortimer::fine"
"mr_podsnap::happy";"mrs_podsnap::happy"
"mr_podsnap::happy";"podsnaps::happy"
"mrs_podsnap::happy";"podsnaps::happy"
"eugene::adorable";"eugene::exhausted"
"eugene::adorable";"eugene::little"
"eugene::adorable";"eugene::lovely"
"eugene::exhausted";"eugene::little"
"eugene::exhausted";"eugene::lovely"
"eugene::little";"eugene::lovely"
"lammle::little";"lammle::moody"
"lammle::little";"mrs_lammle::little"
"lammle::little";"mrs_lammle::moody"
"lammle::little";"shanklin::little"
"lammle::little";"shanklin::moody"
"lammle::moody";"mrs_lammle::little"
"lammle::moody";"mrs_lammle::moody"
"lammle::moody";"shanklin::little"
"lammle::moody";"shanklin::moody"
"mrs_lammle::little";"mrs_lammle::moody"
"mrs_lammle::little";"shanklin::little"
"mrs_lammle::little";"shanklin::moody"
"mrs_lammle::moody";"shanklin::little"
"mrs_lammle::moody";"shanklin::moody"
"shanklin::little";"shanklin::moody"
"podsnap::#-satisfied";"podsnap::brilliant"
"podsnap::#-satisfied";"podsnap::social"
"podsnap::#-satisfied";"podsnap::well"
"podsnap::brilliant";"podsnap::social"
"podsnap::brilliant";"podsnap::well"
"podsnap::social";"podsnap::well"
"podsnap::respectable";"podsnap::sensible"
"podsnap::certain";"podsnap::young"
"podsnap::hard";"podsnap::young"
"madame_podsnap::bold";"mademoiselle_podsnap::bold"
"madame_podsnap::bold";"mr_podsnap::bold"
"mademoiselle_podsnap::bold";"mr_podsnap::bold"
"pavvy::patient";"podsnap::patient"
"podsnap::little";"podsnap::prejudiced"
"podsnap::curious";"podsnap::interested"
"podsnap::curious";"podsnap::young"
"podsnap::interested";"podsnap::young"
"ship-broker::presentable";"ship-broker::pretty"
"lammle::excellent";"lammle::open"
"lammle::excellent";"mrs_lammle::excellent"
"lammle::excellent";"mrs_lammle::open"
"lammle::open";"mrs_lammle::excellent"
"lammle::open";"mrs_lammle::open"
"mrs_lammle::excellent";"mrs_lammle::open"
"mrs_lammle::little";"mrs_lammle::quiet"
"mrs_lammle::great";"mrs_lammle::short"
"alfred_lammle::loving";"mrs_lammle::loving"
"mrs_lammle::young";"podsnap::young"
"podsnap::#-responsible";"podsnap::good"
"dickson::#-gentle";"jackson::#-gentle"
"dickson::#-gentle";"johnson::#-gentle"
"dickson::#-gentle";"jones::#-gentle"
"dickson::#-gentle";"smith::#-gentle"
"jackson::#-gentle";"johnson::#-gentle"
"jackson::#-gentle";"jones::#-gentle"
"jackson::#-gentle";"smith::#-gentle"
"johnson::#-gentle";"jones::#-gentle"
"johnson::#-gentle";"smith::#-gentle"
"jones::#-gentle";"smith::#-gentle"
"eugene::amusing";"m._r._f.::amusing"
"eugene::amusing";"mortimer::amusing"
"m._r._f.::amusing";"mortimer::amusing"
"eugene::entertaining";"m._r._f.::entertaining"
"eugene::entertaining";"mortimer::entertaining"
"m._r._f.::entertaining";"mortimer::entertaining"
"lightwood::mean";"mortimer::mean"
"eugene::poor";"lightwood::poor"
"jesse_hexam::open";"lawyer_lightwood::open"
"jesse_hexam::open";"roger_riderhood::open"
"lawyer_lightwood::open";"roger_riderhood::open"
"jesse_hexam::fine";"lawyer_lightwood::fine"
"jesse_hexam::fine";"roger_riderhood::fine"
"lawyer_lightwood::fine";"roger_riderhood::fine"
"mortimer_mortimer::alert";"mortimer_mortimer::troubled"
"mortimer::#-troubled";"mortimer::innocent"
"eugene::#-mean";"hexam::#-mean"
"eugene::determined";"eugene::honest"
"eugene::determined";"hexam::determined"
"eugene::determined";"hexam::honest"
"eugene::honest";"hexam::determined"
"eugene::honest";"hexam::honest"
"hexam::determined";"hexam::honest"
"gaffer::clean";"gaffer::cool"
"eugene::bad";"eugene::interested"
"eugene::bad";"lightwood::bad"
"eugene::bad";"lightwood::interested"
"eugene::bad";"northfleet::bad"
"eugene::bad";"northfleet::interested"
"eugene::interested";"lightwood::bad"
"eugene::interested";"lightwood::interested"
"eugene::interested";"northfleet::bad"
"eugene::interested";"northfleet::interested"
"lightwood::bad";"lightwood::interested"
"lightwood::bad";"northfleet::bad"
"lightwood::bad";"northfleet::interested"
"lightwood::interested";"northfleet::bad"
"lightwood::interested";"northfleet::interested"
"northfleet::bad";"northfleet::interested"
"bob::careless";"eugene::careless"
"bob::careless";"mortimer::careless"
"eugene::careless";"mortimer::careless"
"bob::good";"eugene::good"
"eugene::alone";"eugene::laughing"
"eugene::alone";"eugene::ridiculous"
"eugene::alone";"mortimer::alone"
"eugene::alone";"mortimer::laughing"
"eugene::alone";"mortimer::ridiculous"
"eugene::laughing";"eugene::ridiculous"
"eugene::laughing";"mortimer::alone"
"eugene::laughing";"mortimer::laughing"
"eugene::laughing";"mortimer::ridiculous"
"eugene::ridiculous";"mortimer::alone"
"eugene::ridiculous";"mortimer::laughing"
"eugene::ridiculous";"mortimer::ridiculous"
"mortimer::alone";"mortimer::laughing"
"mortimer::alone";"mortimer::ridiculous"
"mortimer::laughing";"mortimer::ridiculous"
"eugene::expressive";"eugene::good"
"eugene::little";"mortimer::little"
"mr_inspector::awful";"mr_inspector::peaceful"
"eugene::little";"lightwood::little"
"m._h._f._eugene_gaffer_harmon::curious";"mortimer_lightwood::curious"
"m._h._f._eugene_gaffer_harmon::natural";"mortimer_lightwood::natural"
"boffin::extraordinary";"boffin::hard"
"boffin::extraordinary";"eugene::extraordinary"
"boffin::extraordinary";"eugene::hard"
"boffin::hard";"eugene::extraordinary"
"boffin::hard";"eugene::hard"
"eugene::extraordinary";"eugene::hard"
"boffin::cheap";"boffin::curious"
"boffin::great";"boffin::prominent"
"boffin::great";"mrs_boffin::great"
"boffin::great";"mrs_boffin::prominent"
"boffin::prominent";"mrs_boffin::great"
"boffin::prominent";"mrs_boffin::prominent"
"mrs_boffin::great";"mrs_boffin::prominent"
"boffin::young";"rokesmith::young"
"boffin::busy";"mrs_boffin::busy"
"boffin::giving";"john_rokesmith::giving"
"boffin::giving";"rokesmith::giving"
"john_rokesmith::giving";"rokesmith::giving"
"boffin::faithful";"john_rokesmith::faithful"
"boffin::delighted";"boffin::good"
"boffin::delighted";"boffin::remarkable"
"boffin::delighted";"mrs_boffin::delighted"
"boffin::delighted";"mrs_boffin::good"
"boffin::delighted";"mrs_boffin::remarkable"
"boffin::good";"boffin::remarkable"
"boffin::good";"mrs_boffin::delighted"
"boffin::good";"mrs_boffin::remarkable"
"boffin::remarkable";"mrs_boffin::delighted"
"boffin::remarkable";"mrs_boffin::good"
"boffin::remarkable";"mrs_boffin::remarkable"
"mrs_boffin::delighted";"mrs_boffin::good"
"mrs_boffin::delighted";"mrs_boffin::remarkable"
"mrs_boffin::good";"mrs_boffin::remarkable"
"boffin::little";"rokesmith::little"
"boffin::short";"rokesmith::short"
"boffin::little";"boffin::old"
"boffin::little";"boffin::poor"
"boffin::old";"boffin::poor"
"rokesmith::fair";"rokesmith::pretty"
"boffin::great";"boffin::interested"
"edmund::little";"edmund::poor"
"boffin::friendly";"wegg::friendly"
"boffin::disappointed";"wegg::disappointed"
"boffin::surprised";"mrs_boffin::surprised"
"boffin::unusual";"mrs_boffin::unusual"
"boffin::certain";"boffin::uncomfortable"
"wegg::pleased";"wegg::well"
"mrs_boffin::giving";"mrs_boffin::satisfied"
"hexam::honest";"hexam::little"
"milvey::difficult";"mrs_milvey::difficult"
"mrs_betty_higden::agreeable";"mrs_betty_higden::poor"
"john_rokesmith::awkward";"mrs_higden::awkward"
"john_rokesmith::terrific";"mrs_boffin::terrific"
"johnny::pretty";"mrs_boffin::pretty"
"mrs_betty_higden::difficult";"mrs_betty_higden::little"
"betty::old";"granny_betty::old"
"betty::old";"johnny::old"
"granny_betty::old";"johnny::old"
"johnny::decent";"johnny::old"
"johnny::decent";"johnny::strong"
"johnny::old";"johnny::strong"
"betty::fat";"betty::old"
"betty::fat";"johnny::fat"
"betty::fat";"johnny::old"
"betty::old";"johnny::fat"
"johnny::fat";"johnny::old"
"betty_higden::short";"sloppy::short"
"betty::certain";"betty::comfortable"
"betty::certain";"mrs_higden::certain"
"betty::certain";"mrs_higden::comfortable"
"betty::comfortable";"mrs_higden::certain"
"betty::comfortable";"mrs_higden::comfortable"
"mrs_higden::certain";"mrs_higden::comfortable"
"lor::happy";"mrs_boffin::happy"
"johnny::sympathetic";"poddles::sympathetic"
"johnny::great";"mrs_higden::great"
"boffin::strong";"mrs_betty_higden::strong"
"mrs_boffin::pleased";"mrs_boffin::satisfied"
"mrs_boffin::pleased";"mrs_boffin::successful"
"mrs_boffin::satisfied";"mrs_boffin::successful"
"boffin::curious";"john_rokesmith::curious"
"boffin::curious";"wilfer::curious"
"john_rokesmith::curious";"wilfer::curious"
"boffin::poor";"rokesmith::poor"
"mrs_wilfer::poor";"rokesmith::poor"
"boffin::distinguished";"boffin::worthy"
"boffin::distinguished";"mrs_wilfer::distinguished"
"boffin::distinguished";"mrs_wilfer::worthy"
"boffin::worthy";"mrs_wilfer::distinguished"
"boffin::worthy";"mrs_wilfer::worthy"
"mrs_wilfer::distinguished";"mrs_wilfer::worthy"
"mrs_wilfer::glad";"wilfer::glad"
"esquire::respected";"nicodemus_boffin::respected"
"esquire::cold";"esquire::gifted"
"esquire::cold";"nicodemus_boffin::cold"
"esquire::cold";"nicodemus_boffin::gifted"
"esquire::gifted";"nicodemus_boffin::cold"
"esquire::gifted";"nicodemus_boffin::gifted"
"nicodemus_boffin::cold";"nicodemus_boffin::gifted"
"boffin::great";"nicodemus_boffin::great"
"charley_hexam::great";"charley_hexam::young"
"margery::good";"margery::old"
"bradley_headstone::young";"charley_hexam::young"
"mr_headstone::fine";"peecher::fine"
"mary_anne::little";"peecher::little"
"mary_anne::active";"mary_anne::tense"
"charley::plain";"headstone::plain"
"bradley_headstone::hard";"mr_headstone::hard"
"charley::little";"charley::poor"
"charley::mean";"charley::well"
"liz::good";"liz::mean"
"lizzie::ignorant";"mr_headstone::ignorant"
"headstone::kind";"hexam::kind"
"jenny_wren::hard";"wren::hard"
"jenny::attentive";"jenny::little"
"eugene::giving";"lizzie::giving"
"eugene::good";"miss_wren::good"
"james::devoted";"ophelia::devoted"
"twemlow::kind";"twemlow::poor"
"twemlow::little";"twemlow::polite"
"podsnap::old";"twemlow::old"
"brewer::independent";"podsnap::independent"
"podsnap::unlucky";"twemlow::unlucky"
"podsnap::good";"twemlow::good"
"pocket-breaches::great";"podsnap::great"
"pocket-breaches::great";"pocket-breaches::respected"
"pocket-breaches::great";"podsnap::respected"
"pocket-breaches::respected";"podsnap::great"
"pocket-breaches::respected";"podsnap::respected"
"podsnap::great";"podsnap::respected"
"brewer::gorgeous";"lady_tippins::gorgeous"
"brewer::gorgeous";"podsnap::gorgeous"
"lady_tippins::gorgeous";"podsnap::gorgeous"
"james::little";"twemlow::little"
"mrs_alfred_lammle::#-strong";"mrs_alfred_lammle::cold"
"mrs_alfred_lammle::#-strong";"podsnap::#-strong"
"mrs_alfred_lammle::#-strong";"podsnap::cold"
"mrs_alfred_lammle::cold";"podsnap::#-strong"
"mrs_alfred_lammle::cold";"podsnap::cold"
"podsnap::#-strong";"podsnap::cold"
"georgiana::sweet";"georgiana::warm"
"georgiana::sweet";"mrs_lammle::sweet"
"georgiana::sweet";"mrs_lammle::warm"
"georgiana::warm";"mrs_lammle::sweet"
"georgiana::warm";"mrs_lammle::warm"
"mrs_lammle::sweet";"mrs_lammle::warm"
"georgiana::appreciated";"podsnap::appreciated"
"alfred::cool";"sophronia::cool"
"alfred::determined";"alfred::happy"
"alfred::determined";"georgiana::determined"
"alfred::determined";"georgiana::happy"
"alfred::determined";"lammle::determined"
"alfred::determined";"lammle::happy"
"alfred::determined";"sophronia::determined"
"alfred::determined";"sophronia::happy"
"alfred::happy";"georgiana::determined"
"alfred::happy";"georgiana::happy"
"alfred::happy";"lammle::determined"
"alfred::happy";"lammle::happy"
"alfred::happy";"sophronia::determined"
"alfred::happy";"sophronia::happy"
"georgiana::determined";"georgiana::happy"
"georgiana::determined";"lammle::determined"
"georgiana::determined";"lammle::happy"
"georgiana::determined";"sophronia::determined"
"georgiana::determined";"sophronia::happy"
"georgiana::happy";"lammle::determined"
"georgiana::happy";"lammle::happy"
