"anne_page::careful";"hugh_evans::careful"
"barnaby::great";"grip::great"
"barnaby::bright";"barnaby::comfortable"
"edward::fair";"warren::fair"
"gabriel::kind";"martha::kind"
"gabriel::alone";"martha::alone"
"dolly::great";"edward::great"
"dolly::great";"mrs_varden::great"
"edward::great";"gabriel::great"
"edward::great";"mrs_varden::great"
"gabriel::great";"mrs_varden::great"
"damme::kind";"miggs::kind"
"damme::kind";"mrs_varden::kind"
"miggs::kind";"mrs_varden::kind"
"mrs_varden::foolish";"mrs_varden::great"
"mrs_varden::foolish";"mrs_varden::strong"
"mrs_varden::great";"mrs_varden::strong"
"miggs::good";"mrs_varden::good"
"dolly::friendly";"dolly::little"
"dolly::friendly";"mrs_varden::friendly"
"dolly::friendly";"mrs_varden::little"
"dolly::little";"mrs_varden::friendly"
"dolly::little";"mrs_varden::little"
"mrs_varden::friendly";"mrs_varden::little"
"joe::difficult";"mrs_varden::difficult"
"dolly::bright";"dolly::pleasant"
"dolly::bright";"dolly::well"
"dolly::bright";"joe::bright"
"dolly::bright";"joe::pleasant"
"dolly::bright";"joe::well"
"dolly::bright";"warren::bright"
"dolly::bright";"warren::pleasant"
"dolly::bright";"warren::well"
"dolly::pleasant";"dolly::well"
"dolly::pleasant";"joe::bright"
"dolly::pleasant";"joe::pleasant"
"dolly::pleasant";"joe::well"
"dolly::pleasant";"warren::bright"
"dolly::pleasant";"warren::pleasant"
"dolly::pleasant";"warren::well"
"dolly::well";"joe::bright"
"dolly::well";"joe::pleasant"
"dolly::well";"joe::well"
"dolly::well";"warren::bright"
"dolly::well";"warren::pleasant"
"dolly::well";"warren::well"
"joe::bright";"joe::pleasant"
"joe::bright";"joe::well"
"joe::bright";"warren::bright"
"joe::bright";"warren::pleasant"
"joe::bright";"warren::well"
"joe::pleasant";"joe::well"
"joe::pleasant";"warren::bright"
"joe::pleasant";"warren::pleasant"
"joe::pleasant";"warren::well"
"joe::well";"warren::bright"
"joe::well";"warren::pleasant"
"joe::well";"warren::well"
"warren::bright";"warren::pleasant"
"warren::bright";"warren::well"
"warren::pleasant";"warren::well"
"dolly::strange";"emma::strange"
"dolly::poor";"emma::poor"
"haredale::innocent";"haredale::young"
"dolly::fair";"dolly::handsome"
"dolly::fair";"dolly::short"
"dolly::fair";"emma::fair"
"dolly::fair";"emma::handsome"
"dolly::fair";"emma::short"
"dolly::handsome";"dolly::short"
"dolly::handsome";"emma::fair"
"dolly::handsome";"emma::handsome"
"dolly::handsome";"emma::short"
"dolly::short";"emma::fair"
"dolly::short";"emma::handsome"
"dolly::short";"emma::short"
"emma::fair";"emma::handsome"
"emma::fair";"emma::short"
"emma::handsome";"emma::short"
"dolly::certain";"haredale::certain"
"dolly_varden::great";"dolly::great"
"dolly_varden::great";"edward::great"
"dolly_varden::great";"joe::great"
"dolly::great";"joe::great"
"edward::great";"joe::great"
"dolly::good";"haredale::good"
"dolly::delighted";"hugh_of_the_maypole::delighted"
"dolly::good";"dolly::little"
"hugh::good";"sweetlips::good"
"hugh::rough";"hugh::well"
"dolly::open";"joe_willet::open"
"joe::powerful";"joe::strong"
"dolly::mean";"joe::mean"
"dolly::poor";"dolly::unhappy"
"dolly::distinguished";"willet::distinguished"
"dolly::honest";"joe::honest"
"dolly::honest";"mrs_varden::honest"
"joe::honest";"mrs_varden::honest"
"john::adventurous";"john::old"
"hugh::stable";"joe::stable"
"dolly::young";"hugh::young"
"dolly::young";"willet::young"
"hugh::young";"willet::young"
"hugh::ashamed";"mrs_varden::ashamed"
"mr_willet::kind";"mr_willet::open"
"mr_willet::kind";"mrs_varden::kind"
"mr_willet::kind";"mrs_varden::open"
"mr_willet::kind";"willet::kind"
"mr_willet::kind";"willet::open"
"mr_willet::open";"mrs_varden::kind"
"mr_willet::open";"mrs_varden::open"
"mr_willet::open";"willet::kind"
"mr_willet::open";"willet::open"
"mrs_varden::kind";"mrs_varden::open"
"mrs_varden::kind";"willet::kind"
"mrs_varden::kind";"willet::open"
"mrs_varden::open";"willet::kind"
"mrs_varden::open";"willet::open"
"willet::kind";"willet::open"
"dolly::giving";"joe::giving"
"joe::clean";"paul::clean"
"dolly::curious";"dolly::little"
"hugh::poor";"joe::poor"
"gabriel::good";"joe::good"
"hugh::gentle";"hugh::tall"
"hugh::gentle";"joe::gentle"
"hugh::gentle";"joe::tall"
"hugh::tall";"joe::gentle"
"hugh::tall";"joe::tall"
"joe::gentle";"joe::tall"
"dolly::little";"dolly::proud"
"dolly::cheerful";"dolly::well"
"dolly::cheerful";"mrs_varden::cheerful"
"dolly::cheerful";"mrs_varden::well"
"dolly::well";"mrs_varden::cheerful"
"dolly::well";"mrs_varden::well"
"mrs_varden::cheerful";"mrs_varden::well"
"miggs::great";"tappertit::great"
"dolly::fair";"miggs::fair"
"miggs::gracious";"simmun::gracious"
"miggs::gracious";"tappertit::gracious"
"simmun::gracious";"tappertit::gracious"
"dolly::fair";"tappertit::fair"
"miggs::fair";"tappertit::fair"
"dolly_varden::alone";"dolly_varden::tall"
"dolly_varden::alone";"dolly_varden::young"
"dolly_varden::alone";"joseph_willet::alone"
"dolly_varden::alone";"joseph_willet::tall"
"dolly_varden::alone";"joseph_willet::young"
"dolly_varden::alone";"miggs::alone"
"dolly_varden::alone";"miggs::tall"
"dolly_varden::alone";"miggs::young"
"dolly_varden::tall";"dolly_varden::young"
"dolly_varden::tall";"joseph_willet::alone"
"dolly_varden::tall";"joseph_willet::tall"
"dolly_varden::tall";"joseph_willet::young"
"dolly_varden::tall";"miggs::alone"
"dolly_varden::tall";"miggs::tall"
"dolly_varden::tall";"miggs::young"
"dolly_varden::young";"joseph_willet::alone"
"dolly_varden::young";"joseph_willet::tall"
"dolly_varden::young";"joseph_willet::young"
"dolly_varden::young";"miggs::alone"
"dolly_varden::young";"miggs::tall"
"dolly_varden::young";"miggs::young"
"joseph_willet::alone";"joseph_willet::tall"
"joseph_willet::alone";"joseph_willet::young"
"joseph_willet::alone";"miggs::alone"
"joseph_willet::alone";"miggs::tall"
"joseph_willet::alone";"miggs::young"
"joseph_willet::tall";"joseph_willet::young"
"joseph_willet::tall";"miggs::alone"
"joseph_willet::tall";"miggs::tall"
"joseph_willet::tall";"miggs::young"
"joseph_willet::young";"miggs::alone"
"joseph_willet::young";"miggs::tall"
"joseph_willet::young";"miggs::young"
"miggs::alone";"miggs::tall"
"miggs::alone";"miggs::young"
"miggs::tall";"miggs::young"
"toby::cheerful";"toby::talkative"
"mrs_varden::practical";"mrs_varden::short"
"chesterfield::rich";"chesterfield::wise"
"bacon::fine";"bacon::good"
"bacon::fine";"chesterfield::fine"
"bacon::fine";"chesterfield::good"
"bacon::fine";"milton::fine"
"bacon::fine";"milton::good"
"bacon::fine";"shakespeare::fine"
"bacon::fine";"shakespeare::good"
"bacon::good";"chesterfield::fine"
"bacon::good";"chesterfield::good"
"bacon::good";"milton::fine"
"bacon::good";"milton::good"
"bacon::good";"shakespeare::fine"
"bacon::good";"shakespeare::good"
"chesterfield::fine";"chesterfield::good"
"chesterfield::fine";"milton::fine"
"chesterfield::fine";"milton::good"
"chesterfield::fine";"shakespeare::fine"
"chesterfield::fine";"shakespeare::good"
"chesterfield::good";"milton::fine"
"chesterfield::good";"milton::good"
"chesterfield::good";"shakespeare::fine"
"chesterfield::good";"shakespeare::good"
"milton::fine";"milton::good"
"milton::fine";"shakespeare::fine"
"milton::fine";"shakespeare::good"
"milton::good";"shakespeare::fine"
"milton::good";"shakespeare::good"
"shakespeare::fine";"shakespeare::good"
"bacon::thoughtful";"chesterfield::thoughtful"
"bacon::thoughtful";"milton::thoughtful"
"bacon::thoughtful";"shakespeare::thoughtful"
"chesterfield::thoughtful";"milton::thoughtful"
"chesterfield::thoughtful";"shakespeare::thoughtful"
"milton::thoughtful";"shakespeare::thoughtful"
"chester::good";"hugh::good"
"chester::persuasive";"chester::rough"
"chester::persuasive";"chester::rude"
"chester::persuasive";"hugh::persuasive"
"chester::persuasive";"hugh::rough"
"chester::persuasive";"hugh::rude"
"chester::rough";"chester::rude"
"chester::rough";"hugh::persuasive"
"chester::rough";"hugh::rough"
"chester::rough";"hugh::rude"
"chester::rude";"hugh::persuasive"
"chester::rude";"hugh::rough"
"chester::rude";"hugh::rude"
"hugh::persuasive";"hugh::rough"
"hugh::persuasive";"hugh::rude"
"hugh::rough";"hugh::rude"
"chester::cheerful";"chester::great"
"chester::cheerful";"chester::proper"
"chester::cheerful";"chester::young"
"chester::great";"chester::proper"
"chester::great";"chester::young"
"chester::proper";"chester::young"
"chester::hard";"tappertit::hard"
"chester::complicated";"mr_tappertit::complicated"
"chester::afraid";"chester::proud"
"tappertit::proper";"tappertit::young"
"tappertit::old";"tappertit::young"
"mrs_varden::honest";"mrs_varden::old"
"dolly::forward";"tappertit::forward"
"emma::young";"haredale::young"
"barnaby::hard";"barnaby::remarkable"
"barnaby::thoughtful";"reuben_haredale::thoughtful"
"gabriel::#-good";"gabriel::great"
"haredale::anxious";"haredale::lonely"
"haredale::bad";"varden::bad"
"haredale::good";"varden::good"
"rudge::old";"rudge::thinking"
"chester::courteous";"haredale::courteous"
"barnaby::great";"barnaby::old"
"barnaby::great";"mrs_rudge::great"
"barnaby::great";"mrs_rudge::old"
"barnaby::old";"mrs_rudge::great"
"barnaby::old";"mrs_rudge::old"
"mrs_rudge::great";"mrs_rudge::old"
"barnaby::good";"mrs_rudge::good"
"chester::afraid";"gabriel_varden::afraid"
"chester::afraid";"haredale::afraid"
"gabriel_varden::afraid";"haredale::afraid"
"haredale::little";"varden::little"
"chester::hard";"joseph_willet::hard"
"joseph_willet::hard";"tappertit::hard"
"gabriel::happy";"mrs_varden::happy"
"mrs_varden::fine";"mrs_varden::young"
"mrs_varden::fine";"ned::fine"
"mrs_varden::fine";"ned::young"
"mrs_varden::young";"ned::fine"
"mrs_varden::young";"ned::young"
"ned::fine";"ned::young"
"chester::#-hard";"chester::sweet"
"chester::#-hard";"mrs_varden::#-hard"
"chester::#-hard";"mrs_varden::sweet"
"chester::sweet";"mrs_varden::#-hard"
"chester::sweet";"mrs_varden::sweet"
"mrs_varden::#-hard";"mrs_varden::sweet"
"chester::little";"ned::little"
"chester::young";"miggs::young"
"chester::affectionate";"mrs_varden::affectionate"
"chester::old";"chester::young"
"chester::old";"mrs_varden::old"
"chester::old";"mrs_varden::young"
"chester::young";"mrs_varden::old"
"chester::young";"mrs_varden::young"
"mrs_varden::old";"mrs_varden::young"
"mrs_varden::little";"ned::little"
"chester::poor";"emma::poor"
"joseph_willet::young";"mrs_varden::young"
"joseph_willet::young";"ned::young"
"joseph_willet::young";"varden::young"
"mrs_varden::young";"varden::young"
"ned::young";"varden::young"
"joseph_willet::charming";"mrs_varden::charming"
"mrs_rudge::great";"mrs_varden::great"
"edward::good";"edward::little"
"edward::good";"mrs_varden::good"
"edward::good";"mrs_varden::little"
"edward::little";"mrs_varden::good"
"edward::little";"mrs_varden::little"
"mrs_varden::good";"mrs_varden::little"
"mrs_varden::defensive";"mrs_varden::offensive"
"chester::young";"dolly::young"
"dolly::young";"miggs::young"
"chester::thoughtful";"dolly::thoughtful"
"chester::thoughtful";"miggs::thoughtful"
"dolly::thoughtful";"miggs::thoughtful"
"mrs_varden::pleasant";"mrs_varden::pretty"
"chester::great";"chester::ordinary"
"chester::great";"mrs_varden::great"
"chester::great";"mrs_varden::ordinary"
"chester::ordinary";"mrs_varden::great"
"chester::ordinary";"mrs_varden::ordinary"
"mrs_varden::great";"mrs_varden::ordinary"
"chester::anxious";"mrs_varden::anxious"
"chester::young";"varden::young"
"chester::fine";"chester::ordinary"
"hugh::great";"hugh::little"
"hugh::great";"hugh::pretty"
"hugh::great";"willet::great"
"hugh::great";"willet::little"
"hugh::great";"willet::pretty"
"hugh::little";"hugh::pretty"
"hugh::little";"willet::great"
"hugh::little";"willet::little"
"hugh::little";"willet::pretty"
"hugh::pretty";"willet::great"
"hugh::pretty";"willet::little"
"hugh::pretty";"willet::pretty"
"willet::great";"willet::little"
"willet::great";"willet::pretty"
"willet::little";"willet::pretty"
"chester::strange";"john::strange"
"chester::strange";"maypole_hugh::strange"
"chester::strange";"willet::strange"
"john::strange";"maypole_hugh::strange"
"john::strange";"willet::strange"
"maypole_hugh::strange";"willet::strange"
"hugh::#-little";"hugh::lively"
"hugh::#-little";"willet::#-little"
"hugh::#-little";"willet::lively"
"hugh::lively";"willet::#-little"
"hugh::lively";"willet::lively"
"willet::#-little";"willet::lively"
"willet::fat";"willet::great"
"edward::gentle";"edward::persuasive"
"miss_haredale::gentle";"miss_haredale::good"
"miss_haredale::gentle";"miss_haredale::great"
"miss_haredale::good";"miss_haredale::great"
"chester::worthy";"edward::worthy"
"chester::plain";"edward::plain"
"chester::young";"edward::young"
"john::good";"john::great"
"john::good";"john::old"
"john::good";"john::original"
"john::good";"john::well"
"john::good";"willet::good"
"john::good";"willet::great"
"john::good";"willet::old"
"john::good";"willet::original"
"john::good";"willet::well"
"john::great";"john::original"
"john::great";"john::well"
"john::great";"willet::good"
"john::great";"willet::great"
"john::great";"willet::old"
"john::great";"willet::original"
"john::great";"willet::well"
"john::old";"john::original"
"john::old";"john::well"
"john::old";"willet::good"
"john::old";"willet::great"
"john::old";"willet::old"
"john::old";"willet::original"
"john::old";"willet::well"
"john::original";"john::well"
"john::original";"willet::good"
"john::original";"willet::great"
"john::original";"willet::old"
"john::original";"willet::original"
"john::original";"willet::well"
"john::well";"willet::good"
"john::well";"willet::great"
"john::well";"willet::old"
"john::well";"willet::original"
