"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"396","fidgety",0,0,0,0,0,0,0
"397","fierce",0,0,0,0,0,0,0
"398","fiery",0,0,0,0,0,0,0
"399","finicky",0,0,0,0,0,0,0
"400","firm",4,1,0,1,0,1,1
"401","flamboya",0,0,0,0,0,0,0
"402","flammabl",0,0,0,0,0,0,0
"403","flattera",0,0,0,0,0,0,0
"404","flaunty",0,0,0,0,0,0,0
"405","flexible",0,0,0,0,0,0,0
"406","flighty",0,0,0,0,0,0,0
"407","flippant",0,0,0,0,0,0,0
"408","flirtati",0,0,0,0,0,0,0
"409","fluttery",0,0,0,0,0,0,0
"410","folksy",0,0,0,0,0,0,0
"411","foolhard",0,0,0,0,0,0,0
"412","foolish",6,1,1,1,1,1,1
"413","footloos",0,0,0,0,0,0,0
"414","forbeari",0,0,0,0,0,0,0
"415","forceful",0,0,0,0,0,0,0
"416","forceles",0,0,0,0,0,0,0
"417","forcible",0,0,0,0,0,0,0
"418","foresigh",0,0,0,0,0,0,0
"419","forethou",0,0,0,0,0,0,0
"420","forgetfu",0,0,0,0,0,0,0
"421","forgivin",0,0,0,0,0,0,0
"422","formal",5,1,1,0,1,1,1
"423","forsigtl",0,0,0,0,0,0,0
"424","forthrig",0,0,0,0,0,0,0
"425","forward",0,0,0,0,0,0,0
"426","forwardl",0,0,0,0,0,0,0
"427","foulmout",0,0,0,0,0,0,0
"428","foxy",0,0,0,0,0,0,0
"429","frank",3,0,1,0,1,0,1
"430","fraterna",0,0,0,0,0,0,0
"431","fraudule",0,0,0,0,0,0,0
"432","freelivi",0,0,0,0,0,0,0
"433","freemind",0,0,0,0,0,0,0
"434","freethin",0,0,0,0,0,0,0
"435","fretful",1,0,0,0,0,0,1
"436","fretless",0,0,0,0,0,0,0
"437","friendly",6,1,1,1,1,1,1
"438","frighten",0,0,0,0,0,0,0
"439","frisky",0,0,0,0,0,0,0
"440","frivolou",0,0,0,0,0,0,0
"441","frolicso",0,0,0,0,0,0,0
"442","frugal",0,0,0,0,0,0,0
"443","fussy",0,0,0,0,0,0,0
"444","gabby",0,0,0,0,0,0,0
"445","gallant",4,1,0,1,1,1,0
"446","generous",6,1,1,1,1,1,1
"447","genial",1,0,0,0,0,0,1
"448","genteel",5,1,1,1,0,1,1
"449","gentle",6,1,1,1,1,1,1
"450","gentlehe",0,0,0,0,0,0,0
"451","gentlema",0,0,0,0,0,0,0
"452","girlish",1,0,1,0,0,0,0
"453","giving",0,0,0,0,0,0,0
"454","glib",0,0,0,0,0,0,0
"455","gloomy",6,1,1,1,1,1,1
"456","gluttono",0,0,0,0,0,0,0
"457","godfeari",0,0,0,0,0,0,0
"458","godless",0,0,0,0,0,0,0
"459","goodhear",0,0,0,0,0,0,0
"460","goodhumo",0,0,0,0,0,0,0
"461","goodnatu",0,0,0,0,0,0,0
"462","goodtemp",0,0,0,0,0,0,0
"463","gossipy",0,0,0,0,0,0,0
"464","graceful",5,1,1,1,1,0,1
"465","graceles",0,0,0,0,0,0,0
"466","gracious",5,1,1,1,0,1,1
"467","greathea",0,0,0,0,0,0,0
"468","greedy",1,0,0,1,0,0,0
"469","gregario",0,0,0,0,0,0,0
"470","gruff",0,0,0,0,0,0,0
"471","grumbly",0,0,0,0,0,0,0
"472","grumpy",0,0,0,0,0,0,0
"473","guileles",0,0,0,0,0,0,0
"474","gullible",0,0,0,0,0,0,0
"475","gushy",0,0,0,0,0,0,0
"476","gutless",0,0,0,0,0,0,0
"477","gutsy",0,0,0,0,0,0,0
"478","haphazar",0,0,0,0,0,0,0
"479","happygol",0,0,0,0,0,0,0
"480","hardened",1,0,1,0,0,0,0
"481","hardhead",0,0,0,0,0,0,0
"482","hardhear",0,0,0,0,0,0,0
"483","hardnose",0,0,0,0,0,0,0
"484","hardshel",0,0,0,0,0,0,0
"485","hardwork",0,0,0,0,0,0,0
"486","harsh",1,1,0,0,0,0,0
"487","hasty",5,1,1,0,1,1,1
"488","haughty",2,0,0,0,0,1,1
"489","headlong",0,0,0,0,0,0,0
"490","headstro",0,0,0,0,0,0,0
"491","heartles",0,0,0,0,0,0,0
"492","hearty",6,1,1,1,1,1,1
"493","hectic",1,0,1,0,0,0,0
"494","heedful",0,0,0,0,0,0,0
"495","heedless",3,0,1,1,1,0,0
"496","helpful",0,0,0,0,0,0,0
"497","heretica",0,0,0,0,0,0,0
"498","hermitis",0,0,0,0,0,0,0
"499","heroic",1,0,0,1,0,0,0
"500","highfalu",0,0,0,0,0,0,0
"501","highhand",0,0,0,0,0,0,0
"502","highmind",0,0,0,0,0,0,0
"503","highprin",0,0,0,0,0,0,0
"504","highspir",0,0,0,0,0,0,0
"505","highstru",0,0,0,0,0,0,0
"506","hitormis",0,0,0,0,0,0,0
"507","hoggish",0,0,0,0,0,0,0
"508","homespun",0,0,0,0,0,0,0
"509","homicida",0,0,0,0,0,0,0
"510","honest",6,1,1,1,1,1,1
"511","hospitab",0,0,0,0,0,0,0
"512","hostile",1,0,0,0,0,0,1
"513","hotblood",0,0,0,0,0,0,0
"514","hottempe",0,0,0,0,0,0,0
"515","humane",0,0,0,0,0,0,0
"516","humanita",0,0,0,0,0,0,0
"517","humble",6,1,1,1,1,1,1
"518","humorles",0,0,0,0,0,0,0
"519","humorous",0,0,0,0,0,0,0
"520","hypercri",0,0,0,0,0,0,0
"521","hypocrit",0,0,0,0,0,0,0
"522","hypsensi",0,0,0,0,0,0,0
"523","hypsensu",0,0,0,0,0,0,0
"524","icy",0,0,0,0,0,0,0
"525","idealist",0,0,0,0,0,0,0
"526","ignorant",6,1,1,1,1,1,1
"527","illhumor",0,0,0,0,0,0,0
"528","illitera",0,0,0,0,0,0,0
"529","illmanne",0,0,0,0,0,0,0
"530","illnatur",0,0,0,0,0,0,0
"531","illogica",0,0,0,0,0,0,0
"532","illtempe",0,0,0,0,0,0,0
"533","illwille",0,0,0,0,0,0,0
"534","imaginat",0,0,0,0,0,0,0
"535","imitativ",0,0,0,0,0,0,0
"536","immature",0,0,0,0,0,0,0
"537","immodera",0,0,0,0,0,0,0
"538","immodest",0,0,0,0,0,0,0
"539","immovabl",0,0,0,0,0,0,0
"540","impartia",0,0,0,0,0,0,0
"541","impassiv",0,0,0,0,0,0,0
"542","impatien",0,0,0,0,0,0,0
"543","impercep",0,0,0,0,0,0,0
"544","imperson",0,0,0,0,0,0,0
"545","impertin",0,0,0,0,0,0,0
"546","impertur",0,0,0,0,0,0,0
"547","impetuou",0,0,0,0,0,0,0
"548","impious",0,0,0,0,0,0,0
"549","impish",0,0,0,0,0,0,0
"550","impolite",1,1,0,0,0,0,0
"551","impracti",0,0,0,0,0,0,0
"552","imprecis",0,0,0,0,0,0,0
"553","impresnb",0,0,0,0,0,0,0
"554","impressb",0,0,0,0,0,0,0
"555","impruden",0,0,0,0,0,0,0
"556","impudent",4,1,1,1,0,1,0
"557","impulsiv",0,0,0,0,0,0,0
"558","inaccura",0,0,0,0,0,0,0
"559","inaggres",0,0,0,0,0,0,0
"560","inarticu",0,0,0,0,0,0,0
"561","incautio",0,0,0,0,0,0,0
"562","incoerci",0,0,0,0,0,0,0
"563","incompli",0,0,0,0,0,0,0
"564","inconfid",0,0,0,0,0,0,0
"565","inconfin",0,0,0,0,0,0,0
"566","incongen",0,0,0,0,0,0,0
"567","inconsid",0,0,0,0,0,0,0
"568","inconsis",0,0,0,0,0,0,0
"569","inconsta",0,0,0,0,0,0,0
"570","incontro",0,0,0,0,0,0,0
"571","inconvin",0,0,0,0,0,0,0
"572","incorrtb",0,0,0,0,0,0,0
"573","incorrup",0,0,0,0,0,0,0
"574","incuriou",0,0,0,0,0,0,0
"575","indecisi",0,0,0,0,0,0,0
"576","indefati",0,0,0,0,0,0,0
"577","indefini",0,0,0,0,0,0,0
"578","indelibe",0,0,0,0,0,0,0
"579","indelica",0,0,0,0,0,0,0
"580","independ",0,0,0,0,0,0,0
"581","indestru",0,0,0,0,0,0,0
"582","indiffer",0,0,0,0,0,0,0
"583","indirect",1,0,0,0,0,1,0
"584","indiscre",0,0,0,0,0,0,0
"585","indivert",0,0,0,0,0,0,0
"586","individu",0,0,0,0,0,0,0
"587","indocile",0,0,0,0,0,0,0
"588","indomita",0,0,0,0,0,0,0
"589","indulgen",0,0,0,0,0,0,0
"590","industri",0,0,0,0,0,0,0
"591","ineffici",0,0,0,0,0,0,0
"592","inelegan",0,0,0,0,0,0,0
"593","ineloque",0,0,0,0,0,0,0
"594","inexact",0,0,0,0,0,0,0
"595","inexcita",0,0,0,0,0,0,0
"596","inexhaus",0,0,0,0,0,0,0
"597","inexperi",0,0,0,0,0,0,0
"598","inexplic",0,0,0,0,0,0,0
"599","inexpres",0,0,0,0,0,0,0
"600","inflexib",0,0,0,0,0,0,0
"601","informal",0,0,0,0,0,0,0
"602","informat",0,0,0,0,0,0,0
"603","informed",0,0,0,0,0,0,0
"604","ingeniou",0,0,0,0,0,0,0
"605","ingenuou",0,0,0,0,0,0,0
"606","ingratia",0,0,0,0,0,0,0
"607","ingratry",0,0,0,0,0,0,0
"608","inharmon",0,0,0,0,0,0,0
"609","inhibite",0,0,0,0,0,0,0
"610","inhospit",0,0,0,0,0,0,0
"611","inhuman",0,0,0,0,0,0,0
"612","inhumane",0,0,0,0,0,0,0
"613","inirrita",0,0,0,0,0,0,0
"614","injudici",0,0,0,0,0,0,0
"615","innovati",0,0,0,0,0,0,0
"616","inquirin",0,0,0,0,0,0,0
"617","inquisit",0,0,0,0,0,0,0
"618","inquisto",0,0,0,0,0,0,0
"619","insecure",0,0,0,0,0,0,0
"620","insensit",0,0,0,0,0,0,0
"621","insensuo",0,0,0,0,0,0,0
"622","insightf",0,0,0,0,0,0,0
"623","insincer",0,0,0,0,0,0,0
"624","insolent",3,1,0,0,0,1,1
"625","instruct",0,0,0,0,0,0,0
"626","insubord",0,0,0,0,0,0,0
"627","insuppre",0,0,0,0,0,0,0
"628","intellec",0,0,0,0,0,0,0
