"accessible" "accomplished" "accurate" "active" "affable" "affectionate" "agreeable" "amiable" "anxious" "audacious" "bashful" "benevolent" "bitter" "bold" "brave" "bright" "brisk" "calm" "capable" "careful" "careless" "cautious" "certain" "cheerful" "civil" "clever" "clumsy" "coarse" "cold" "complimentary" "confident" "confused" "considerate" "constant" "conventional" "conversational" "cool" "cordial" "cruel" "curious" "deep" "deliberate" "dependent" "despondent" "determined" "direct" "dissatisfied" "distant" "doleful" "dull" "eager" "earnest" "elegant" "emphatic" "exact" "expressive" "faithful" "fearful" "fierce" "firm" "foolish" "frank" "friendly" "gallant" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "hasty" "haughty" "hearty" "honest" "humble" "ignorant" "immovable" "impartial" "impatient" "independent" "indifferent" "ingenious" "insolent" "intimate" "irresolute" "jealous" "kind" "lively" "loud" "lucid" "magnanimous" "maternal" "methodical" "mild" "modest" "moral" "musical" "narrow" "natural" "negative" "obliging" "observant" "original" "particular" "passionate" "patient" "peaceful" "pious" "placid" "pleasant" "polished" "polite" "political" "practical" "precise" "prejudiced" "profound" "proper" "proud" "prudent" "quick" "quiet" "reasonable" "refined" "resentful" "reserved" "responsible" "rigid" "rough" "rugged" "selfish" "sensitive" "sentimental" "serene" "serious" "severe" "shallow" "shrewd" "shy" "silent" "simple" "slow" "social" "solemn" "solicitous" "spirited" "steady" "stern" "strict" "submissive" "sullen" "tender" "thorough" "thoughtful" "tight" "timid" "tough" "transparent" "treacherous" "unkind" "unreasonable" "vague" "vain" "vigorous" "violent" "warm" "wild" "wise" "worldly" "womanly" "suspicious" "wishful"
"bashful" 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 2 1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
"benevolent" 0 0 0 0 0 0 3 1 1 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 1 3 0 0 0 0 0 0 1 1 0 1 3 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 2 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0
"bitter" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bold" 0 0 0 1 0 0 1 3 1 0 1 0 0 0 0 1 0 0 0 0 1 1 2 1 0 2 0 0 3 0 0 0 0 0 0 2 0 0 1 1 1 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 1 0 0 0 1 1 0 1 1 0 0 0 1 0 0 3 0 0 0 0 0 2 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
"brave" 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0
"bright" 0 1 0 0 1 2 3 1 6 0 1 2 1 1 0 0 1 4 1 0 1 1 15 4 1 3 0 1 4 0 1 0 3 3 2 0 1 3 2 6 6 0 0 0 2 1 2 4 1 5 1 1 2 2 0 2 3 1 2 0 1 1 5 1 2 0 1 10 2 5 0 1 2 4 1 4 3 2 3 1 0 4 0 1 1 2 10 4 4 0 0 0 0 0 2 1 0 8 7 0 1 0 3 4 3 2 2 2 2 6 0 1 2 6 0 2 0 5 7 0 6 12 1 1 1 0 2 0 5 3 1 1 0 0 1 0 0 0 1 6 2 4 0 0 0 2 3 1 0 2 0 2 0 1 3 2 0 1 0 0 0 1 3 0 3 3 3 1 1 1 0 0
"brisk" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"calm" 0 1 0 1 0 0 0 1 1 1 0 1 0 0 1 4 0 0 0 1 1 0 5 0 0 1 0 0 2 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 2 1 1 0 1 1 0 0 1 2 1 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0 1 0 1 2 0 1 0 0 1 0 0 0 0 2 0 1 1 1 0 0 0 0 1 0 1 1 1 0 0 0 0 1 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 1 4 2 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0
"capable" 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1
"careful" 0 1 0 0 0 3 1 1 3 0 0 0 0 0 0 0 0 1 0 0 0 0 4 0 0 3 1 1 5 1 0 1 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 3 0 0 0 3 2 0 0 3 0 0 1 0 0 0 2 0 1 2 0 1 1 1 1 3 0 0 2 0 2 1 0 0 0 2 4 0 0 0 2 0 1 1 2 4 1 1 5 0 0 1 1 3 0 2 0 0 1 4 0 0 0 0 2 0 1 3 1 0 1 5 2 1 0 0 1 0 1 0 1 0 0 0 1 1 0 1 0 3 1 2 1 0 0 0 1 1 2 1 1 1 1 0 0 0 0 0 0 0 0 1 0 1 0 1 2 2 0 0 1 0
"careless" 0 0 0 1 0 1 2 2 1 0 0 0 0 1 1 1 0 1 0 0 0 0 3 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 1 0 1 2 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0
"cautious" 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"certain" 3 1 0 3 3 4 8 7 4 1 1 1 3 2 1 15 1 5 2 4 3 2 0 3 0 8 1 3 11 0 1 1 2 5 1 0 3 1 4 13 3 1 3 1 2 2 2 8 1 6 1 2 1 0 2 8 5 0 1 2 3 2 7 3 5 3 6 2 0 6 0 1 1 3 1 4 3 2 3 1 1 4 0 2 2 4 12 3 1 1 1 0 1 2 1 5 2 9 14 1 4 1 8 8 2 6 2 1 1 9 2 2 4 6 3 4 3 7 11 2 10 14 1 1 0 2 2 2 4 2 2 3 0 3 0 2 2 0 3 3 5 6 6 3 2 5 5 2 1 2 3 3 0 5 3 3 0 0 1 2 1 1 2 1 5 2 4 3 2 0 1 2
"cheerful" 2 1 0 0 1 2 1 0 1 0 0 0 0 1 0 4 0 0 0 0 1 0 3 0 0 1 1 0 4 1 1 0 2 0 0 0 1 1 0 2 3 0 0 0 1 1 1 0 1 3 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 2 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 1 1 0 1 0 0 0 1 1 1 1 0 2 3 0 1 0 0 1 1 0 0 0 0 5 0 0 0 1 0 0 0 2 4 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 2 0 1 2 0 0 2 0 2 0 0 0 1 0 1 0 0 1 2 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1
"civil" 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 2 2 1 0 2 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"clever" 0 0 0 0 0 0 6 0 0 0 1 0 1 2 1 3 0 1 1 3 0 0 8 1 0 0 1 0 4 0 0 1 1 2 0 0 2 0 1 2 2 0 0 0 2 0 0 0 1 3 0 2 0 0 0 3 3 1 0 2 3 1 1 0 0 0 0 4 1 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 2 1 0 0 0 0 0 0 0 1 0 3 4 1 0 0 0 2 0 0 0 1 1 3 0 1 0 0 1 0 1 2 2 0 5 2 2 0 0 0 1 1 2 0 0 0 0 0 0 2 0 0 1 1 1 1 1 0 0 1 0 3 1 0 0 2 0 1 1 2 0 1 0 1 0 0 1 0 2 0 1 0 0 0 0 0
"clumsy" 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"coarse" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 3 0 0 0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0
"cold" 2 0 2 1 2 1 1 2 3 0 2 1 1 3 0 4 0 2 0 5 0 0 11 4 0 4 0 1 0 0 1 0 0 3 0 0 1 1 3 5 3 1 0 0 0 0 1 1 1 3 0 2 0 1 0 1 2 2 0 2 1 2 2 0 0 1 3 2 0 2 0 1 0 3 3 2 1 1 0 0 0 2 2 0 1 3 8 0 3 2 1 0 1 1 2 2 1 4 5 0 1 0 3 2 0 0 0 0 0 5 0 1 0 1 0 1 0 3 2 1 4 8 1 0 1 2 2 2 2 0 0 2 1 0 0 4 3 1 2 3 1 3 1 2 0 0 1 3 1 1 1 1 1 0 0 4 0 1 0 0 0 0 0 0 1 2 4 1 1 0 1 0
"complimentary" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1
"confident" 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 2 1 1 0 1 0 2 0 2 1 0 0 0 1 0 0 0
"confused" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0
"considerate" 0 0 0 0 0 1 3 1 2 0 0 0 0 0 0 3 0 0 1 0 1 1 2 2 1 1 0 0 0 1 0 0 0 1 0 0 1 0 1 3 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 1 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 1 0 0 0 0 1 1 2 0 0 1 3 0 1 2 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1
"constant" 1 0 0 1 0 2 3 2 4 1 0 0 1 0 0 3 0 1 0 0 0 1 5 0 0 2 0 1 3 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 2 1 0 0 0 0 0 1 0 1 0 0 1 1 0 1 2 1 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 2 0 0 2 4 1 1 1 0 0 1 0 0 2 1 1 0 0 0 1 1 0 4 1 0 1 0 0 0 2 0 1 1 0 0 1 1 0 0 0 3 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 1 0 1 1 3 0 0 0 0
"conventional" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 3 0 0 1 0 1 0 1 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 0 0 0
