"abrupt" "active" "affected" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bashful" "benevolent" "bitter" "bold" "boyish" "brave" "bright" "brisk" "calm" "capable" "capricious" "careful" "careless" "certain" "cheerful" "childish" "civil" "clever" "cold" "compassionate" "complacent" "conciliatory" "confident" "confused" "considerate" "constant" "contrary" "cool" "cordial" "cruel" "curious" "deep" "demonstrative" "determined" "distant" "dreamy" "dull" "eager" "earnest" "exact" "expressive" "faithful" "fearful" "fervent" "fierce" "fiery" "firm" "foolish" "formal" "friendly" "gallant" "generous" "genteel" "gentle" "girlish" "gloomy" "graceful" "gracious" "harsh" "hasty" "haughty" "hearty" "honest" "humble" "ignorant" "immovable" "impatient" "impetuous" "indifferent" "inexperienced" "ingenious" "intimate" "jealous" "kind" "lazy" "lively" "loud" "loving" "masculine" "meek" "mercenary" "merry" "mild" "modest" "moral" "narrow" "natural" "nervous" "observant" "orderly" "original" "particular" "passionate" "patient" "peaceful" "pious" "placid" "pleasant" "pliant" "polished" "polite" "practical" "profound" "proper" "prophetic" "proud" "prudent" "punctual" "quick" "quiet" "reasonable" "rebellious" "reliant" "religious" "reproachful" "respectful" "restless" "rigid" "rough" "rude" "rugged" "selfish" "sensitive" "serene" "serious" "severe" "shy" "silent" "simple" "sincere" "slow" "solemn" "spirited" "stable" "steady" "stern" "stormy" "strict" "submissive" "sullen" "sunny" "suspicious" "systematic" "tender" "thoughtful" "thoughtless" "tight" "timid" "unaffected" "undisciplined" "unreasonable" "vague" "vain" "violent" "warm" "wild" "vigorous" "wise" "worldly"
"bitter" 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 2 1 1 0 0 0 0 0 0 1 0 0 1 0 0 3 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"bold" 1 0 0 1 1 1 4 0 0 1 0 0 0 1 2 0 1 0 1 1 0 5 2 0 0 2 1 0 0 0 1 0 0 2 0 0 1 0 4 4 0 1 1 0 1 0 3 0 0 2 0 0 1 1 0 0 0 2 1 2 0 3 0 2 0 2 0 0 0 0 2 0 0 1 2 1 3 0 0 2 1 2 0 0 0 1 0 0 0 1 2 3 0 0 3 1 0 1 1 1 0 0 0 0 1 3 0 0 0 2 0 1 0 0 0 0 3 10 1 0 1 0 0 0 1 0 5 1 1 1 0 0 2 0 2 1 2 0 0 0 0 1 1 2 2 1 0 0 1 0 0 0 3 0 0 1 0 0 1 0 0 2 1 3 0 0 1
"boyish" 0 0 0 1 0 0 0 1 0 1 0 0 0 0 3 0 3 0 0 0 0 2 2 1 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 3 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 1 4 0 0 0 0 1 0 0 1 0 0 0 1 1 1 1 0 0 2 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0
"brave" 1 0 0 3 1 0 1 0 0 1 1 1 0 0 1 0 0 1 0 1 0 0 1 0 0 1 2 1 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 1 0 3 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0
"bright" 2 1 0 3 5 2 3 2 2 0 1 2 3 1 0 1 5 2 2 3 1 6 8 11 0 4 5 1 0 0 2 4 3 1 2 1 2 2 3 4 0 1 4 0 3 0 5 1 1 2 0 0 0 0 0 7 2 5 1 0 2 8 1 2 1 2 0 1 0 1 3 0 2 1 4 0 1 3 0 1 3 8 4 3 1 2 0 0 0 3 2 4 0 2 14 3 0 3 2 9 4 2 0 1 3 10 0 1 0 5 4 1 1 9 2 0 5 15 2 1 0 0 1 2 3 1 6 0 0 1 0 2 9 2 1 5 5 1 4 5 1 2 1 0 4 0 0 0 1 2 0 1 3 2 0 5 1 3 1 2 6 2 2 6 0 3 2
"brisk" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1
"calm" 1 0 1 2 2 1 4 1 0 2 0 1 3 0 5 0 0 1 0 0 0 4 2 1 0 0 2 1 0 2 2 0 1 0 0 2 1 2 1 2 1 0 1 1 1 1 1 0 2 0 0 1 0 0 0 3 0 3 1 1 2 6 0 1 0 1 1 0 1 1 1 0 1 2 0 0 0 2 1 0 0 2 1 0 0 2 0 1 1 1 2 3 0 1 4 0 1 2 1 2 2 3 2 2 2 2 1 0 1 0 0 1 1 5 0 0 1 8 1 0 2 1 1 0 1 1 2 0 0 1 0 1 1 1 0 4 0 0 2 0 0 0 0 1 1 1 1 0 0 1 0 0 0 2 1 1 1 0 0 0 0 1 2 2 0 2 0
"capable" 0 0 1 1 0 0 2 0 1 1 0 0 0 1 2 0 1 0 0 1 0 3 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 1 2 0 3 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 3 1 0 1 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 1 1 0 0 0
"capricious" 0 0 0 1 0 1 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"careful" 0 1 0 1 1 1 2 0 0 0 0 1 0 1 3 2 0 1 0 0 0 3 1 2 1 0 1 1 0 0 0 1 0 1 0 0 0 2 2 0 0 1 0 0 2 0 0 0 0 1 1 0 1 0 0 2 1 1 0 0 1 3 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 5 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 1 0
"careless" 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"certain" 1 2 1 6 8 0 9 1 0 2 1 5 2 0 6 0 4 3 0 3 2 0 5 3 2 1 5 1 2 1 1 1 1 4 1 0 2 2 6 9 1 1 7 2 1 2 6 1 1 5 1 0 3 1 2 2 4 9 1 1 6 7 2 2 0 1 1 1 0 0 5 2 3 1 3 0 4 2 2 1 1 11 0 5 2 2 0 0 1 0 6 2 0 4 11 4 1 2 2 8 0 5 1 1 1 5 0 2 0 2 4 2 0 7 0 1 5 14 0 0 2 1 1 4 1 1 3 0 0 3 1 2 5 4 1 6 6 1 5 3 1 1 3 1 1 0 1 1 2 1 3 3 6 1 1 2 2 0 3 4 4 1 6 9 1 5 1
"cheerful" 1 1 0 3 4 2 2 0 1 0 2 2 2 1 8 0 2 3 1 1 0 5 0 3 1 3 5 1 1 0 1 0 0 1 2 1 2 3 0 1 0 1 3 0 5 0 4 2 0 1 0 1 0 0 0 2 0 2 0 0 1 3 0 1 1 2 2 0 0 1 2 0 0 2 1 0 1 0 0 1 1 6 0 2 1 1 2 1 0 3 1 2 0 0 7 1 1 3 2 3 1 1 0 0 0 4 0 0 0 1 0 0 0 2 0 0 1 11 2 0 1 0 5 0 0 0 1 1 0 1 3 1 3 0 1 6 5 0 1 2 0 1 2 0 0 0 0 0 1 0 0 0 2 0 2 0 2 0 1 0 4 1 2 2 0 1 1
"childish" 0 1 0 2 4 1 4 1 1 0 1 0 1 0 11 0 1 0 1 2 0 3 3 0 0 1 1 0 0 0 0 1 1 1 1 0 2 3 1 2 1 1 2 1 2 1 2 1 1 1 0 1 1 0 0 2 1 1 0 1 0 1 1 1 1 1 1 2 0 0 1 0 0 0 1 0 1 1 1 0 1 4 1 1 1 0 0 0 0 1 0 1 0 1 1 1 0 0 1 3 1 0 0 0 1 2 0 1 0 2 0 0 1 4 0 0 1 5 1 1 0 2 0 0 2 1 3 0 0 0 1 0 3 1 0 3 1 0 2 2 0 0 2 0 2 0 0 1 1 0 0 2 0 0 0 3 0 0 1 1 1 2 2 4 0 0 0
"civil" 0 1 2 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"clever" 0 0 1 2 0 0 0 0 0 0 0 2 1 1 4 0 0 0 0 0 1 1 3 1 0 0 2 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 2 0 4 1 0 2 0 0 0 0 0 2 0 0 0 2 0 3 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 2 0 0 4 0 0 0 1 4 0 0 0 0 0 3 0 0 0 0 0 0 0 2 0 0 1 4 0 0 0 0 1 0 1 0 2 0 0 0 1 1 1 0 1 4 2 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 2 1 0 0 1 0 0 0 0 0
"cold" 2 1 1 1 5 1 6 0 1 0 0 1 1 2 5 2 2 0 0 1 1 5 5 1 2 2 0 0 0 0 1 3 0 0 2 1 1 3 1 3 0 1 5 0 2 0 2 0 1 0 0 1 1 0 0 2 0 3 1 0 0 6 0 0 0 0 2 0 0 3 2 3 3 1 0 0 1 0 0 0 0 5 2 2 2 3 1 0 1 0 1 1 0 2 5 0 0 0 1 3 0 1 0 0 0 7 1 0 1 1 1 0 0 3 0 0 0 7 0 0 0 0 2 0 1 0 4 1 2 1 4 1 1 1 2 5 0 0 1 2 0 1 0 2 1 1 0 0 0 1 0 2 1 1 0 4 1 0 1 2 1 1 3 3 1 1 1
"compassionate" 1 0 0 1 1 0 1 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 0 1 0 1 0 4 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 1 1 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0
"complacent" 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
"conciliatory" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0
"confident" 0 0 0 1 1 0 0 0 0 0 0 1 0 0 2 0 2 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 2 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 2 0 0 0 1 1 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 2 0 0 0 0 1 2 0 0 1 0 1 0 0 1 0 0 1 2 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
"confused" 1 1 0 1 1 0 1 0 0 0 1 0 0 1 4 1 0 0 0 1 0 1 0 1 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 2 0 1 1 1 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 2 0 0 1
"considerate" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 2 0 1 0 0 1 1 0 0 1 1 0 0 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 2 0 1 0 0 0 0 0 1 0 1 0
"constant" 0 0 1 0 0 0 1 1 0 0 0 2 0 0 1 0 0 0 0 1 0 4 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 3 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 1 1 1 0 2 0 1 2 0 1 0 2 0 2 0 0 0 0 0 0 0 0 1 1 0 0 1 3 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 2 0 2 0 0 0 0 1 0 3 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0
"contrary" 0 0 0 0 2 0 2 1 0 0 1 0 0 1 2 0 0 2 0 0 0 1 2 1 0 0 2 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"cool" 0 0 0 1 2 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1
