"abrupt" "abstract" "active" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bitter" "bland" "blunt" "boisterous" "bold" "bright" "calm" "capable" "careful" "careless" "cautious" "certain" "cheerful" "childish" "civil" "clever" "coarse" "cold" "communicative" "companionable" "compassionate" "complimentary" "confused" "congenial" "considerate" "consistent" "constant" "contented" "cool" "cruel" "cunning" "curious" "dainty" "deep" "despondent" "devilish" "distant" "distrustful" "dull" "eager" "earnest" "envious" "exact" "excessive" "expressive" "facetious" "faithful" "fearful" "fervent" "fierce" "fiery" "foolish" "formal" "friendly" "gallant" "generous" "genteel" "gentle" "glib" "gloomy" "graceful" "gracious" "gruff" "harsh" "hasty" "hearty" "honest" "humble" "humorous" "impatient" "imperturbable" "impetuous" "indefinite" "independent" "indifferent" "ingenious" "intimate" "intricate" "jealous" "jovial" "kind" "lazy" "loud" "malicious" "manly" "merciful" "merry" "mild" "moderate" "modest" "moody" "moral" "musical" "narrow" "natural" "negative" "noisy" "obliging" "original" "particular" "patient" "peaceful" "pensive" "placid" "pleasant" "polite" "practical" "profound" "proper" "proud" "prudent" "quick" "quiet" "responsible" "restless" "rough" "rude" "rugged" "selfish" "sensitive" "sentimental" "serene" "serious" "shrewd" "silent" "simple" "sincere" "slow" "sluggish" "smart" "social" "solemn" "spirited" "stable" "steady" "stern" "strict" "submissive" "sunny" "suspicious" "tender" "thoughtful" "thoughtless" "tight" "timid" "treacherous" "uncouth" "unmindful" "vague" "vain" "vigorous" "violent" "vocal" "warm" "wild" "wise"
"blunt" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0
"boisterous" 1 0 0 1 1 2 2 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 2 0 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 3 1 0 2 0 0 0 0 2 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 2 0 0 0 0 1 3 1 1
"bold" 0 0 0 1 0 1 0 0 1 0 0 0 0 1 1 0 2 0 1 2 1 0 0 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 2 2 0 1 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 1 0 2 2 0 2 1 0 0 0 0 0 2 0 1 1 4 0 0 0 1 0 0 0 0 0 0 1 2 1 1 3 0 0 0 2 1 0 1 0 0 1 0 1 2 1 0 0 1 0 0 0 1 0 1 1 0 1 0 0
"bright" 0 0 2 1 2 1 8 0 0 0 0 1 1 0 5 1 3 1 1 5 11 1 0 0 1 16 1 2 1 0 1 0 1 0 5 1 1 1 2 3 1 15 2 0 9 0 11 1 7 1 1 1 0 0 4 6 2 0 0 3 0 3 2 1 0 7 0 6 1 0 1 0 4 3 3 6 0 2 0 1 0 0 0 0 1 2 0 0 5 2 4 0 2 2 3 0 1 2 0 4 0 7 3 1 3 0 3 3 2 2 2 1 12 0 1 2 3 0 0 3 16 0 2 4 1 1 0 1 0 3 0 0 14 6 2 7 0 3 0 6 0 2 1 2 1 1 2 1 3 7 1 1 7 0 1 3 3 0 1 1 0 6 5 4
"calm" 0 0 0 0 1 0 3 0 0 0 0 0 1 5 0 0 2 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 5 0 2 0 0 1 0 4 0 0 2 0 2 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 4 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 1 0 1 0 1 0 3 1 1 1 0 0 0 2 1 2 1 1 1 4 0 1 1 1 0 0 0 7 0 3 0 1 1 1 0 0 1 0 0 3 2 1 3 0 0 0 3 0 0 0 1 1 1 0 2 0 2 0 0 1 0 0 0 4 0 1 1 0 0 2 1
"capable" 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1
"careful" 0 0 0 1 2 1 3 1 0 1 1 1 2 3 2 1 0 0 2 5 3 0 2 1 0 4 1 0 0 0 0 0 0 0 0 1 3 0 1 1 0 2 1 0 1 0 2 0 1 0 0 0 1 0 1 0 0 0 0 2 0 2 0 0 0 0 0 0 0 1 0 0 1 1 2 2 0 1 1 0 0 0 0 1 0 0 0 0 3 0 2 1 1 0 1 2 0 1 0 2 0 0 3 1 2 1 0 3 0 1 1 2 3 0 0 1 1 0 0 2 6 0 1 1 0 2 0 0 1 0 2 0 3 1 2 3 1 1 0 2 0 0 1 0 0 2 0 1 1 1 0 0 1 0 0 1 1 0 1 0 1 2 0 1
"careless" 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 2 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 2 0 1 0 1 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 2 2 0 0 0 0 1 0 0 0 0 0 1 0 0
"cautious" 0 0 0 0 0 0 0 0 1 0 3 0 1 1 0 0 2 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 2 0 2 0 0 0 1 0 1 0 0 2 1 0 2 1 0 2 0 1 1 1 0 1 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 1 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 1 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 2 1 3 0 0
"certain" 3 0 2 4 6 0 3 2 3 3 0 1 2 5 1 2 5 2 3 0 10 1 1 1 1 10 1 1 1 0 1 2 1 1 3 2 5 1 5 4 0 10 0 2 5 0 5 2 5 0 5 3 1 2 0 3 0 1 2 1 2 4 1 1 4 10 1 3 3 2 0 2 1 1 6 3 2 1 1 2 0 0 3 1 0 0 2 0 6 0 3 2 1 1 1 7 1 3 0 3 1 1 7 1 2 1 9 12 2 3 1 1 9 2 2 4 8 1 2 6 6 1 2 5 3 2 1 0 1 0 2 1 6 8 2 4 2 4 2 4 1 1 2 1 0 0 0 2 4 5 3 4 3 1 2 2 5 2 1 2 1 11 5 2
"cheerful" 0 0 1 2 4 1 2 0 1 2 0 1 1 11 0 1 3 1 0 10 0 1 0 2 0 11 0 1 0 0 1 2 0 0 3 2 1 0 1 0 0 7 3 1 4 0 7 2 5 1 1 1 2 1 2 3 0 0 0 3 2 4 2 0 2 5 1 5 1 3 0 1 0 2 3 2 0 1 0 0 0 0 1 1 0 1 1 1 2 0 6 1 1 0 0 4 1 1 0 3 1 4 5 2 2 0 3 7 0 1 1 1 13 1 0 3 1 0 0 2 9 0 1 4 0 0 1 0 2 0 2 0 8 4 0 4 0 1 1 3 1 1 1 0 0 1 2 1 0 6 1 3 3 0 2 0 2 0 1 0 1 5 3 2
"childish" 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 1 0 3 0 3 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 2 0 0 0 1 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0
"civil" 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"clever" 0 0 0 1 0 1 1 0 0 0 0 0 2 0 0 0 1 0 0 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1
"coarse" 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 3 1 0 0 0 0 0 0 0 2 3 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0
"cold" 1 0 2 1 4 3 9 0 1 2 0 1 2 16 2 0 4 1 0 10 11 1 1 1 3 0 1 2 2 1 1 1 0 1 4 0 0 4 2 0 0 11 1 2 13 0 15 3 6 0 2 0 1 1 4 2 2 1 0 1 2 8 1 1 2 10 0 8 2 2 0 3 2 1 5 8 1 4 0 1 1 0 2 1 1 0 1 1 5 1 4 2 0 0 3 2 0 3 1 3 1 5 6 1 4 1 13 7 4 2 1 2 8 4 1 3 2 2 1 6 13 0 6 5 2 2 1 1 2 2 1 1 12 4 0 8 1 6 1 8 0 3 0 0 0 2 1 2 2 6 1 3 2 0 1 2 3 0 2 3 1 6 8 1
"communicative" 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
"companionable" 0 0 0 0 1 0 2 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 1
"compassionate" 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 2 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 2 0 0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
"complimentary" 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 3 0 1 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0
"confused" 0 1 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 2 0
"congenial" 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0
"considerate" 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 1 0 0 0 0 0 0 1 0
"consistent" 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0
"constant" 0 0 1 0 0 1 1 0 0 0 0 0 0 5 5 0 0 0 1 3 3 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 1 0 1 2 0 4 1 0 3 0 4 0 1 1 0 1 0 1 1 2 0 1 1 2 1 1 0 1 1 4 0 3 0 1 1 1 0 1 1 2 1 0 0 0 0 1 1 2 1 0 0 0 1 0 1 0 0 1 1 1 0 0 0 3 1 0 2 0 1 0 3 1 1 1 0 0 3 0 0 1 3 1 1 3 3 1 4 3 0 0 0 0 0 1 0 1 6 1 0 4 1 0 1 2 0 1 0 1 1 1 0 1 3 6 2 0 2 0 0 0 3 1 0 0 0 2 2 0
"contented" 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 2 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
"cool" 2 0 0 1 1 0 3 0 0 0 0 2 0 1 2 0 3 0 0 5 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 3 1 3 0 0 1 0 1 2 0 0 0 1 0 0 1 1 0 2 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 0 3 0 0 1 0 0 0 3 0 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 1 0 0 3 1 2 1 1 2 0 0 0 1 1 0 1 0 1 1 0 0 4 1 2 1 0 1 1 0 0 0 1 0 4 0 1 4 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 2 4 0
