"active" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bitter" "calm" "candid" "capable" "careful" "cautious" "certain" "cheerful" "civil" "clever" "cold" "compassionate" "confident" "considerate" "constant" "critical" "cruel" "cunning" "deceitful" "deep" "dependent" "determined" "dignified" "direct" "distant" "dull" "eager" "earnest" "elegant" "enthusiastic" "excessive" "expressive" "extravagant" "fearful" "fervent" "firm" "foolish" "formal" "frank" "friendly" "generous" "genteel" "gentle" "gentlemanlike" "gloomy" "graceful" "gracious" "hardened" "hasty" "honest" "ignorant" "illiterate" "immovable" "impatient" "impertinent" "independent" "indifferent" "inexperienced" "intimate" "invariable" "irritable" "jealous" "kind" "languid" "lively" "loud" "manly" "maternal" "musical" "narrow" "natural" "nervous" "noisy" "observant" "particular" "pleasant" "polite" "productive" "proper" "proud" "prudent" "quick" "quiet" "rational" "reasonable" "restless" "rude" "selfish" "serious" "severe" "shy" "silent" "simple" "sincere" "slow" "smart" "solemn" "solicitous" "speedy" "spiritless" "steady" "stubborn" "thorough" "thoughtful" "undiscerning" "unfeeling" "ungracious" "unkind" "unobtrusive" "unprincipled" "vain" "violent" "warm" "tender" "zealous" "wild" "unreserved" "worldly" "spirited" "wise"
"cold" 1 4 4 4 4 0 1 3 0 4 1 0 1 3 2 0 0 1 0 1 3 0 0 1 0 1 1 1 1 0 3 1 5 3 1 0 1 1 1 0 0 0 1 1 0 2 1 0 2 1 1 1 0 0 0 1 1 0 0 0 0 3 2 0 1 1 0 0 2 1 2 0 0 0 0 2 4 2 1 0 8 2 1 0 0 0 1 3 2 0 2 1 2 2 3 2 1 4 2 1 0 1 0 0 1 0 1 1 0 0 2 2 0 2 1 1 1 4 2 0 0 0 1 0 0 1
"compassionate" 0 1 0 0 2 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0
"confident" 0 1 0 0 1 0 0 2 1 0 0 0 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"considerate" 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0
"constant" 4 1 3 3 4 0 0 1 0 5 1 1 5 2 2 2 3 0 0 0 0 0 0 1 0 1 0 3 0 0 1 0 0 4 1 1 2 1 0 0 0 2 1 0 1 1 1 0 2 0 0 0 1 1 1 2 1 1 0 3 3 2 4 1 3 2 0 1 2 0 2 1 1 1 0 2 3 0 0 0 8 1 0 1 2 2 3 3 1 0 2 0 1 1 4 1 1 5 4 3 0 1 0 0 0 0 1 0 2 0 0 1 0 1 0 0 0 2 2 0 0 1 0 0 0 0
"critical" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
"cruel" 0 0 1 1 1 0 1 0 0 4 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0 3 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 2 1 0 0 1 1 0 0 2 1 1 2 0 1 1 1 0 3 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0
"cunning" 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0
"deceitful" 0 2 0 0 0 0 0 1 1 2 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 2 0 0 1 1 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0
"deep" 0 0 0 0 0 0 1 1 0 1 1 0 0 2 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 2 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
"dependent" 0 2 0 0 1 0 0 1 1 0 1 1 3 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0 1 0 0 1 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0
"determined" 1 1 1 2 3 1 0 3 0 1 1 0 3 1 1 0 1 0 0 0 3 0 0 0 1 1 0 0 1 0 1 1 3 0 1 0 0 0 0 1 0 1 2 1 0 1 0 0 1 0 0 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 0 0 2 1 0 0 0 0 0 0 1 0 0 1 3 3 1 0 1 1 2 0 0 1 1 0 1 2 1 0 0 5 1 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0
"dignified" 1 2 0 0 0 0 0 2 0 1 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0
"direct" 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
"distant" 0 0 1 0 3 1 0 1 0 2 0 0 2 0 0 0 3 0 0 0 1 0 1 1 0 0 1 1 0 0 0 0 2 2 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 4 0 0 0 3 2 0 0 1 0 1 2 0 0 1 0 1 1 0 1 0 2 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 1 0 0 0 0 0 0
"dull" 0 1 4 0 3 0 0 0 0 1 0 0 2 1 2 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 3 1 0 0 1 0 0 1 0 0 0 0 1 1 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 2 1 0 0 1 1 3 0 2 1 3 1 0 0 2 0 0 1 1 0 1 0 0 1 1 0 1 6 1 2 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1
"eager" 0 4 3 4 1 0 1 0 1 1 1 0 3 1 1 1 5 0 0 1 0 0 0 0 1 0 1 3 0 1 2 3 0 1 2 0 1 0 0 2 0 0 1 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 2 1 0 0 0 0 2 2 0 1 4 2 0 1 3 1 1 0 1 1 1 1 1 5 3 1 1 5 2 0 1 0 0 1 0 0 1 0 0 0 0 0 3 1 1 0 0 2 1 0 1 0 1 0 1 0
"earnest" 2 0 2 3 4 1 1 2 0 4 1 0 1 2 1 0 3 0 0 0 4 0 3 1 0 1 0 0 0 0 2 1 1 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 1 0 0 1 0 1 1 0 1 1 0 1 2 2 2 1 2 1 0 0 1 1 3 1 1 0 0 2 8 1 1 0 5 1 0 0 3 2 0 1 1 0 2 3 0 2 6 3 1 6 3 3 0 0 0 0 1 0 1 1 0 1 1 0 0 1 0 1 0 2 1 2 0 0 0 0 1 1
"elegant" 1 2 3 1 1 0 0 1 0 1 1 0 2 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"enthusiastic" 1 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"excessive" 1 0 3 0 0 0 0 0 0 0 1 0 0 0 2 1 1 0 0 1 2 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 2 1 1 0 0 0 0 0 1 0 1 1 2 0 0 1 0 0 2 0 0 3 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 1
"expressive" 0 1 0 0 0 0 0 1 0 0 0 0 2 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0
"extravagant" 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
"fearful" 1 1 0 1 1 0 0 3 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 0 2 0 2 1 0 2 0 0 0 3 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0
"fervent" 0 0 0 0 3 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 2 0 1 0 0 0 1 0 2 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"firm" 0 0 1 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"foolish" 1 1 1 2 1 1 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 2 0 0 0 1 1 1 1 0 0 1 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0
"formal" 0 0 1 1 2 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
"frank" 0 1 1 0 0 0 0 0 0 1 0 1 2 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 1 1 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"friendly" 1 0 1 0 3 0 0 2 0 1 0 0 1 0 2 0 2 0 0 0 1 1 0 0 1 0 1 1 0 0 2 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 3 0 1 0 3 2 1 0 0 0 1 1 1 0 2 0 1 0 1 0 0 2 4 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 2 1 0 1 0 0 0 0 2
"generous" 0 2 0 1 2 0 0 0 1 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 1 0 0 2 0 1 1 1 1 1 0 1 0 2 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0
"genteel" 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1
"gentle" 1 1 2 1 0 0 0 1 0 3 0 0 1 0 2 0 2 2 0 0 2 1 1 0 2 0 0 1 1 0 0 1 0 1 1 1 2 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 1 1 0 2 0 0 0 1 1 0 2 0 1 0 0 1 0 0 1 0 0 1 0 0 3 0 1 0 2 0 1 0 0 0 0 1 2 0 0 0 0 1 1 1 0 3 1 0 0 2 0 0 0 0 0 1 0 0 2 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1
