"accomplished" "active" "adventurous" "affable" "affectionate" "agreeable" "ambitious" "amiable" "angelic" "anxious" "bitter" "blunt" "bold" "brave" "bright" "brisk" "calm" "capable" "capricious" "careful" "careless" "certain" "cheerful" "childish" "clever" "coarse" "cold" "complacent" "confident" "confused" "considerate" "constant" "constrained" "contented" "conversational" "cool" "cordial" "cruel" "curious" "dainty" "deep" "defiant" "determined" "devilish" "dignified" "direct" "disdainful" "distant" "dull" "dutiful" "eager" "earnest" "elegant" "emphatic" "exact" "excessive" "expressive" "faithful" "fearful" "fervent" "fierce" "fiery" "foolish" "forgetful" "formal" "frank" "friendly" "gallant" "generous" "genial" "genteel" "gentle" "gloomy" "graceful" "gracious" "gruff" "hasty" "haughty" "honest" "hospitable" "humble" "ignorant" "immovable" "impatient" "impetuous" "inconsistent" "independent" "indifferent" "inexperienced" "inflexible" "ingenious" "ingenuous" "intellectual" "intense" "intimate" "irrepressible" "jealous" "juvenile" "kind" "lively" "loud" "loving" "mercenary" "merry" "mild" "modest" "moral" "narrow" "natural" "negative" "nervous" "observant" "original" "particular" "passionate" "patient" "peaceful" "pensive" "pleasant" "polished" "polite" "practical" "presumptuous" "profound" "proper" "proud" "punctual" "quick" "quiet" "reasonable" "reckless" "reproachful" "respectful" "restless" "rigid" "rough" "sarcastic" "scornful" "selfish" "sensitive" "serene" "serious" "severe" "silent" "simple" "sincere" "slow" "smart" "social" "solemn" "steady" "stern" "stormy" "stubborn" "submissive" "sullen" "sunny" "suspicious" "tender" "thoughtful" "tight" "timid" "tough" "unkind" "unreasonable" "vague" "vain" "vigorous" "violent" "warm" "wild" "womanly" "worldly" "voluptuous" "wise"
"bold" 0 0 0 0 0 1 1 0 0 3 0 0 0 1 5 2 1 0 1 0 1 2 1 0 0 1 5 0 1 1 0 2 0 0 0 1 1 2 3 1 9 0 0 2 0 0 2 2 0 1 1 2 0 1 1 1 3 2 2 0 1 1 0 1 0 1 1 2 1 1 0 4 3 0 1 0 0 2 2 1 3 0 0 0 1 0 0 1 0 2 1 0 0 0 1 1 2 1 2 2 1 0 0 1 3 3 1 0 3 1 0 1 2 1 0 4 0 1 5 0 1 0 0 3 0 9 0 5 1 0 2 0 1 0 0 1 0 0 0 0 0 1 1 6 0 0 2 0 0 1 0 1 1 0 0 1 0 0 3 2 2 3 0 0 0 0 1 0 3 1 4 1 0 0 0
"brave" 0 1 0 0 0 0 0 1 0 1 1 0 1 0 3 0 1 1 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 1 0 2 0 0 1 0 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 2 1 1 0 0 1 2 0 0 3 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 1 1 1 0 2 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 2 1 0 1 0 0
"bright" 2 1 1 0 5 6 1 3 1 4 2 0 5 3 0 0 4 0 0 3 1 15 8 4 0 2 12 1 1 1 1 4 2 1 2 1 2 4 1 0 11 1 2 1 1 1 3 8 7 1 0 7 1 0 2 1 4 3 2 3 4 1 1 1 0 6 3 2 2 0 2 13 5 2 3 3 1 3 8 1 4 0 0 0 2 0 2 0 1 0 1 2 1 1 1 1 2 1 11 3 3 3 0 3 2 2 2 0 5 1 0 4 1 9 0 4 2 5 7 1 1 1 2 6 4 13 2 7 16 0 0 2 2 0 0 4 0 2 0 2 2 1 2 16 6 1 5 1 3 10 4 2 1 1 1 2 3 1 6 4 2 7 0 1 1 5 2 2 2 8 10 1 2 0 2
"brisk" 1 0 0 0 1 0 0 1 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 2 0 2 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"calm" 2 0 0 1 2 1 0 1 0 1 1 0 1 1 4 1 0 0 0 1 0 5 3 1 0 0 5 0 0 1 0 1 0 0 0 4 1 3 1 0 6 0 0 2 1 0 2 2 4 0 0 1 0 0 0 0 0 2 0 0 3 2 0 0 0 1 0 3 0 0 0 3 1 1 1 0 1 1 3 0 0 0 0 0 1 0 0 3 0 1 0 0 0 2 0 0 0 1 2 1 1 1 1 0 1 2 2 0 1 0 0 1 0 2 0 2 2 3 4 0 0 0 1 0 0 3 0 0 6 0 0 1 0 0 2 0 0 0 0 0 3 2 2 2 1 0 2 0 0 4 0 0 1 0 0 0 1 0 1 2 2 0 0 1 0 2 1 0 2 0 3 0 0 1 0
"capable" 0 1 0 0 0 2 0 0 0 3 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 3 0 0 1 1 1 0 0 0 2 0 1 2 1 1 1 0 0 0 0 0 3 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 2 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 1 1 2 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 4 0 1 2 1 1 0 0 1 0 1 0 0 0 1 1 0 1 0 2 0 1 1 0 2 2 2 1 0 1 0 0 0 0 1 0 2 0 0 0 2 0 0 1 0 1 1 0 0 0
"capricious" 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 2 0 0 0 0 0 1 1 0 1 0 0 2 1 0 0 2 0 0 0 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0
"careful" 0 1 0 0 0 2 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 2 1 0 0 0 2 0 1 0 0 0 1 0 0 0 1 1 3 0 0 0 0 1 1 1 0 1 3 1 1 2 1 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 1 0 2 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 1 1 0 0 2 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 2 1 0 1 1 0 0 1 1 1 0 0 1 0 0 0 2 1 0 1 0 1 0 2 0 0 0 1 0 0 0 0 0
"careless" 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 2 1 1 1 0 0 1 0 1 0 0 1 0 0 0 0 1 2 0 1 1 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 1 0 0 0 1 1 0 0 0 1 0 0 0 0 2 0 0 0 2 0 1 0 0 0 0 3 1 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"certain" 2 2 1 1 3 7 1 4 1 3 1 0 2 0 15 0 5 1 0 2 1 0 5 2 0 2 13 0 2 3 1 2 0 2 1 1 2 1 1 2 8 1 1 4 3 0 3 3 5 2 2 6 0 0 0 2 7 3 3 1 5 1 1 2 1 3 4 1 3 2 2 8 1 0 6 0 2 3 5 2 4 2 0 1 2 0 1 2 0 0 1 2 1 0 2 0 1 1 6 3 2 1 1 1 6 2 3 1 9 1 1 2 0 10 1 4 0 3 9 1 1 1 0 3 2 13 1 6 8 1 0 1 1 2 0 2 0 1 2 3 2 2 3 14 2 2 6 0 4 4 3 1 1 0 2 1 1 1 2 8 2 3 1 0 1 3 4 1 4 3 7 0 1 0 1
"cheerful" 1 2 1 0 0 2 0 2 0 2 0 0 1 2 8 0 3 1 0 1 1 5 0 2 1 0 7 0 0 2 0 0 1 0 0 0 0 2 0 0 5 0 0 1 0 1 0 0 4 0 0 2 1 0 0 0 1 3 0 1 1 1 1 0 1 2 0 0 1 1 0 4 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 4 2 1 2 0 3 3 2 1 0 4 3 0 1 1 0 1 0 1 1 2 0 0 1 1 1 1 4 1 3 4 0 1 1 1 1 1 3 0 0 0 1 1 3 1 1 2 0 1 0 1 6 0 2 1 0 0 0 1 0 1 2 2 1 0 1 0 1 1 2 1 4 2 1 0 0 0
"childish" 1 0 0 0 0 0 0 0 0 2 1 0 0 0 4 0 1 1 0 0 2 2 2 0 1 0 4 0 0 0 0 2 0 0 0 0 0 2 1 0 6 0 1 0 0 0 0 0 1 0 0 3 0 1 0 0 0 1 0 1 2 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 2 1 3 2 2 1 0 0 2 2 0 0 2 1 0 1 0 3 1 2 1 1 1 0 1 0 2 0 1 2 0 0 4 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 1 1 0 5 0 0 0 0 0 1 1 0 0 3 1 1 0 0 0 0 0 0 0 2 3 0 1 0 0
"clever" 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 1 2 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0
"coarse" 0 0 1 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 4 0 0 0 1 0 0 0 1 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 2 0 1 0 0
"cold" 2 2 0 2 3 4 1 3 0 5 3 2 5 2 12 0 5 3 1 2 1 13 7 4 2 1 0 0 0 2 1 3 1 0 1 2 0 6 4 1 13 2 3 1 1 2 4 8 6 0 0 3 5 3 4 1 4 2 2 1 5 0 3 0 1 0 4 1 2 1 2 12 5 4 3 1 0 9 2 1 2 0 2 4 1 0 0 2 0 4 0 2 0 4 2 4 0 3 6 3 3 2 2 0 5 3 3 1 10 1 0 2 4 7 2 3 0 3 3 2 5 0 1 0 2 16 1 9 13 0 1 1 1 1 2 6 1 2 0 3 4 2 5 11 6 0 4 1 6 10 4 3 2 1 0 3 2 1 3 6 5 5 5 2 0 4 2 2 2 11 7 2 3 1 3
"complacent" 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0
"confident" 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"confused" 0 0 0 0 2 0 1 0 0 2 0 0 1 0 1 0 1 1 0 0 1 3 2 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 1 0 5 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 1 2 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 2 1 1 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 3 0 0 0 1 1 0 1 0 0 0 1 1 0 0 1 0 1 1 0 0 3 2 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
"considerate" 0 0 0 0 0 3 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 2 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 3 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 3 0 1 1 1 0 0 1 1 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0
"constant" 0 0 0 0 2 1 0 0 0 1 0 3 2 0 4 0 1 1 2 0 1 2 0 2 0 0 3 1 1 1 0 0 0 0 0 1 0 2 0 1 3 1 1 3 1 0 1 3 5 0 0 1 0 1 1 0 0 3 1 0 1 0 1 0 0 0 1 1 1 1 1 7 4 1 2 0 0 4 3 0 1 1 1 1 0 1 1 2 0 0 1 0 0 1 0 0 5 2 2 0 1 0 0 0 0 0 2 1 6 0 0 1 1 1 0 1 0 1 2 0 1 0 1 0 0 6 1 1 4 0 0 0 0 1 0 5 1 0 0 1 0 0 1 1 2 0 1 0 1 2 1 0 0 2 0 1 0 0 0 2 0 2 4 0 1 1 0 0 0 2 2 0 0 1 0
"constrained" 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"contented" 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0
