"active" "affectionate" "agreeable" "amiable" "anxious" "aristocratic" "awkward" "bitter" "boastful" "bold" "brave" "bright" "brisk" "calm" "capable" "careful" "careless" "certain" "cheerful" "childish" "clever" "clumsy" "cold" "complimentary" "confident" "confused" "consistent" "contemplative" "conventional" "cool" "cruel" "curious" "deep" "determined" "dignified" "direct" "discreet" "distant" "dull" "eager" "earnest" "elegant" "emphatic" "exact" "expressive" "faithful" "fierce" "foolish" "formal" "friendly" "gallant" "generous" "gentle" "gloomy" "graceful" "gracious" "greedy" "heroic" "honest" "hospitable" "humble" "ignorant" "impatient" "impertinent" "inconsistent" "independent" "indifferent" "industrious" "inquisitive" "insolent" "intimate" "intrusive" "jealous" "kind" "literary" "lively" "magnanimous" "manly" "maternal" "mercenary" "methodical" "mild" "modest" "moral" "narrow" "natural" "nervous" "observant" "orderly" "original" "particular" "passionate" "patient" "peaceful" "playful" "pleasant" "polite" "practical" "proper" "proud" "punctual" "quick" "quiet" "reasonable" "reckless" "responsible" "restless" "rough" "scornful" "selfish" "sensitive" "serious" "severe" "shallow" "shy" "silent" "simple" "slow" "social" "solemn" "sprightly" "stable" "steady" "stern" "strict" "sullen" "suspicious" "sympathetic" "tender" "thoughtful" "tight" "timid" "trustworthy" "underhanded" "vague" "vain" "violent" "warm" "wild" "wise"
"orderly" 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 2 0 0 1 1 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 1 1 1 0 0 0 0 1 2 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0
"original" 0 1 5 0 2 0 0 1 0 1 0 5 2 3 0 2 0 7 0 0 1 0 3 1 1 2 0 0 1 2 0 3 3 3 0 1 1 1 3 0 2 0 2 2 3 1 1 1 0 0 0 0 1 1 0 2 2 0 5 0 0 1 0 0 0 1 0 1 0 0 0 0 1 3 2 1 0 1 2 0 2 0 3 0 1 4 0 2 1 0 1 1 0 1 0 3 1 0 2 3 1 0 2 3 1 1 0 2 1 2 0 1 1 0 0 4 0 2 1 1 0 0 1 0 1 0 0 2 1 1 1 1 1 0 0 1 0 0 1 0
"particular" 1 1 4 1 2 0 1 1 1 2 1 4 0 0 4 1 2 14 3 2 1 0 5 0 0 3 1 0 1 2 2 2 3 1 1 0 0 0 3 0 1 1 3 1 1 3 1 0 1 1 2 1 0 1 1 2 1 2 2 0 2 1 0 3 0 3 0 1 0 0 1 0 0 3 2 2 1 0 2 0 0 0 3 1 2 5 0 0 2 1 0 2 2 0 1 2 3 1 1 3 1 2 7 2 0 0 1 1 0 0 0 1 2 0 2 3 2 2 2 0 2 1 0 0 0 0 3 0 1 2 1 1 0 0 1 1 2 4 2 0
"passionate" 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 2 0 1 0 1 0 1 0 2 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 2 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0
"patient" 0 0 2 0 0 0 0 1 0 1 0 1 0 0 1 0 0 3 2 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 1 0 0 2 0 0 0 0 0 1 2 0 0 0 1 0 2 1 1 1 1 0 0 3 0 1 0 1 0 0 0 0 1 0 0 2 0 0 1 1 1 0 0 0 2 0 1 1 1 1 1 2 0 0 0 2 0 0 1 0 1 0 0 0 1 0 2 2 1 0 0 0 2 0 1 0 1 0 0 0 2 1 2 1 1 1 0 0 0 0 0 1 1 0 2 0 0 1 0 0 0 1 0 0 0
"peaceful" 1 0 2 0 0 0 0 0 0 1 0 3 1 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 3 1 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 1 1 3 1 0 0 1 1 0 0 1 0 0 1 0 0 1 1 0 2 3 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 2 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 0
"playful" 0 2 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 3 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 1 0 0 1 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 1 0 0 0 2 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 3
"pleasant" 0 1 2 0 1 0 1 2 2 2 0 3 2 0 0 1 0 7 4 1 0 0 3 0 1 0 0 1 1 1 3 0 3 0 1 0 1 1 2 0 1 0 1 0 3 2 0 1 1 2 0 1 1 0 0 1 1 1 2 0 1 1 0 0 0 1 0 0 0 1 1 0 0 3 2 3 1 0 1 1 1 1 2 0 2 3 0 0 0 3 2 1 1 1 2 0 1 0 1 3 0 2 8 0 0 1 1 1 1 0 0 1 0 0 0 1 1 1 1 1 0 0 1 0 1 0 1 1 0 1 3 1 0 0 0 0 0 2 1 1
"polite" 1 1 4 1 0 0 0 0 0 0 0 0 1 1 1 0 0 5 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 1 2 0 1 0 0 0 0 2 0 1 3 2 1 0 2 1 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 1 0 1 1 1 1 1 2 0 0 1 1 3 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0
"practical" 0 0 1 0 0 0 0 0 0 2 1 2 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"proper" 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 2 1 1 0 3 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 1 3 0 0 0 2 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0
"proud" 1 0 2 0 3 1 0 0 1 1 2 8 0 0 0 1 1 10 1 0 0 0 3 0 0 2 1 1 0 0 0 4 3 1 1 1 0 2 1 0 1 1 1 0 1 0 0 2 1 2 0 2 0 2 0 4 0 0 4 1 1 0 1 2 1 2 1 0 0 0 0 0 2 4 0 1 0 0 0 2 2 0 3 2 2 7 0 1 2 3 3 0 1 1 0 3 0 1 0 0 1 5 5 0 0 0 2 0 0 1 0 1 0 1 0 2 2 1 2 0 0 1 1 0 1 0 1 3 0 0 0 1 0 1 0 1 0 1 0 0
"punctual" 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 2 1 0 3 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 1 0 1
"quick" 1 0 1 0 2 2 1 0 1 1 3 5 0 1 0 1 0 6 4 0 0 0 2 1 0 0 0 0 1 2 0 2 2 0 1 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 1 1 1 3 1 1 0 0 3 1 1 0 1 1 0 1 1 0 0 0 0 1 1 3 1 1 0 0 0 0 0 0 2 1 1 3 0 2 0 0 2 0 2 2 1 2 0 1 1 5 0 0 6 0 0 1 1 4 0 0 0 1 1 0 0 6 1 1 1 2 1 0 1 1 0 1 0 3 2 0 1 0 1 0 0 1 0 0 2 2
"quiet" 2 1 2 0 3 1 0 1 1 1 1 7 2 1 2 1 1 14 2 0 1 0 5 0 1 0 0 0 0 1 1 1 7 1 2 0 1 0 2 0 0 2 1 1 2 3 0 1 0 2 1 1 4 2 2 4 0 0 4 0 3 2 3 4 1 0 0 1 0 1 0 0 1 5 0 2 0 1 1 2 1 0 2 1 6 9 1 1 0 2 7 0 2 3 1 8 1 0 0 5 4 6 0 1 1 0 1 2 0 2 0 3 1 1 0 5 0 4 1 3 0 0 4 1 0 0 3 4 2 0 2 1 0 0 0 1 2 1 1 0
"reasonable" 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 1 0 3 2 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 3 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"reckless" 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 4 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 2 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0
"responsible" 0 0 3 0 0 1 0 0 0 0 0 2 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0 0 1 1 0 1 1 1 1 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
"restless" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 2 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
"rough" 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 1 0 7 0 0 0 0 1 0 0 1 0 1 1 0 0 0 1 1 0 1 0 0 1 0 0 0 1 0 1 2 1 0 0 1 1 0 1 1 0 0 0 0 3 1 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 2 1 1 0 1 0 2 1 0 2 1 0 1 1 0 0 0 0 4 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 1 0 1 2 1
"scornful" 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0
"selfish" 0 0 1 1 0 0 0 1 1 0 0 3 0 0 0 1 0 4 0 0 1 0 2 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 2 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 3 0 0 0 0 0 0 0 1 1 0 0 3 0 0 0 2 0 0 1 0 1 0 0 0 1 1 0 0 2 0 0 0 1 1 0 0 0 3 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 2
"sensitive" 0 0 3 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 2 1 0 0 1 0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0
"serious" 0 1 2 1 2 0 0 1 0 0 1 2 0 0 0 0 2 6 1 0 1 1 3 0 0 0 0 0 0 3 1 2 1 1 2 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 2 0 1 0 1 1 0 0 1 1 0 1 0 0 0 2 0 0 0 0 1 2 0 0 1 1 1 2 0 1 0 1 1 0 1 0 1 1 0 0 0 1 0 1 3 1 2 0 0 0 1 3 0 0 2 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 2
"severe" 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 5 1 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 2 0 1 0 1 0 0 2 0 0 0 1 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 1 1 0 0 1 1 2 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 2 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 2
"shallow" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0
"shy" 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 3 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 2 0 0 0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 1
"silent" 1 1 3 2 1 1 3 1 0 2 0 3 0 1 1 2 4 9 1 1 1 1 4 0 1 1 0 1 0 3 1 3 5 1 1 0 0 0 2 1 0 0 2 0 1 0 2 0 0 2 1 2 1 3 0 2 1 0 6 0 1 1 0 1 1 0 0 0 1 1 1 1 0 3 1 0 0 0 0 2 1 0 2 0 1 3 1 0 0 4 3 1 2 2 1 1 1 0 1 2 0 6 5 3 2 0 0 1 1 1 1 0 1 0 0 0 0 1 0 1 1 0 2 2 0 0 2 2 1 1 1 0 1 1 3 3 2 0 4 2
"simple" 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 1 0 2 3 1 1 0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 0 1 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 3 1 1 0 0 2 0 1 0 0 1 0 1 1 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0
"slow" 0 1 1 1 0 0 1 1 0 0 0 1 1 1 0 0 1 5 1 1 0 1 2 0 1 0 0 0 0 2 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 2 2 1 1 2 1 1 1 1 1 3 1 1 1 1 1 0 0 0 1 1 2 0 0 1 2 0 1 0 0 0 0 0 0 0 1 1 3 0 0 0 2 2 1 2 1 0 1 0 0 0 1 0 1 4 0 2 0 1 0 0 2 0 1 1 0 0 1 0 0 2 1 1 0 0 0 0 2 4 1 0 2 1 1 0 0 1 0 1 1 3 0
"social" 0 1 1 0 1 1 0 1 0 1 0 0 1 0 0 0 0 4 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 2 0 0 0 0 1 0 1 1 1 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 3 0 1 3 0 0 0 1 2 0 1 0 0 1 1 0 1 2 0 1 1 0 0 1 0 0 0 0 0 1 1 0 2 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0
"solemn" 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 2 0 0 1 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 1 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 2 3 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0
"sprightly" 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 2 0 0 0 0 0 2 1 0 0 0 2 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"stable" 0 0 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 1 0 0 3 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1
"steady" 1 0 1 0 1 0 0 0 0 1 0 3 1 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 1 0 1 2 1 0 0 0 0 0 1 0 0 1 1 0 1 1 0 0 1 1 0 0 0 0 1 0 0 3 0 1 1 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 2 0 1 0 0 0 1 0 1 4 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 1
"stern" 1 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
"strict" 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 2 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 1 1 0 2 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0
"sullen" 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 2 0
"suspicious" 0 0 0 1 1 0 1 2 0 0 0 1 0 1 0 0 1 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 1 0 1 3 0 3 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 2 0 0 0 0 3 0 1 1 0 1 1 0 1 1 0 0 3 1 1 0 1 0 0 1 1 0 1 0 0 2 0 4 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 3 1 0
"sympathetic" 1 0 0 0 0 1 1 0 0 0 0 2 0 1 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 2 0 0 0 0 1 0 0 0 0 2 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 1 2 0 1 0 2 0 0 1 0 0 1 0 0 0 3 0 3 4 0 0 0 0 0 0 0 0 0 0 1 1 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0
"tender" 0 1 2 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 3 0 0 1 1 1 0 0 0 0 0 1 0 0 0 2 2 2 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0
"thoughtful" 0 0 1 0 3 1 0 1 0 0 0 2 0 0 0 2 1 5 1 1 0 0 1 0 0 1 0 0 0 0 0 1 1 1 0 1 1 0 1 0 0 0 0 0 1 2 0 0 0 4 1 1 0 1 1 1 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 1 1 0 2 0 0 0 1 2 0 2 0 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 2 0 1 0 0 0 1 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1
"tight" 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 1 3 0 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 3 0 0 1 0 1 1 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 3 0 0
"timid" 0 1 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 4 1 3 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 2 0 0 0 2 0 1 1 0 0 0 0 0 1 0 2 0 0 2 0 0 1 0 1 0 1 1 1 0 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 1 1 0 1 0 1 1 1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
"trustworthy" 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 3 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0
"underhanded" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 1 0 0 0 0 0 3 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1
