"abrupt" "accomplished" "active" "affected" "affectionate" "agreeable" "ambitious" "amiable" "anxious" "benevolent" "bitter" "boisterous" "bold" "bright" "calm" "capable" "careful" "careless" "certain" "cheerful" "childish" "civil" "clever" "coarse" "cold" "communicative" "confused" "consistent" "constant" "cool" "crafty" "critical" "cruel" "curious" "deep" "dependent" "determined" "dignified" "direct" "distant" "dull" "eager" "earnest" "enthusiastic" "exact" "excessive" "exclusive" "expressive" "facetious" "faithful" "fearful" "fierce" "firm" "foolish" "friendly" "gallant" "generous" "genteel" "gentle" "gloomy" "gracious" "harsh" "hasty" "haughty" "headlong" "hearty" "honest" "humane" "humble" "ignorant" "impatient" "impudent" "independent" "inflexible" "ingenious" "intense" "intricate" "ironical" "irrepressible" "kind" "lazy" "live" "lively" "loud" "malicious" "merry" "mild" "modest" "moral" "musical" "narrow" "natural" "nervous" "noisy" "observant" "original" "particular" "passionate" "peaceful" "petty" "philosophical" "pleasant" "polite" "precise" "productive" "profound" "prompt" "proper" "proud" "prudent" "quick" "quiet" "reasonable" "respectful" "rigid" "rough" "rude" "selfish" "sensitive" "serious" "silent" "simple" "slow" "smart" "solemn" "speedy" "steady" "stern" "strict" "sunny" "surly" "suspicious" "tender" "thoughtful" "tight" "unkind" "vague" "vigorous" "violent" "vivid" "warm" "wild" "religious" "zealous" "wise"
"boisterous" 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 2 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"bold" 0 0 0 0 1 0 0 1 0 1 0 0 0 2 0 0 1 0 1 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0
"bright" 0 0 0 0 1 1 0 0 1 1 1 0 2 0 1 0 0 1 5 2 0 1 2 0 7 0 0 1 0 0 0 0 2 1 3 0 1 0 1 1 1 2 2 0 0 0 0 1 0 1 1 1 0 0 0 1 1 2 1 1 1 2 1 1 0 0 2 1 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 3 1 0 2 0 0 0 1 1 1 0 0 1 2 1 1 0 0 1 1 0 0 0 0 1 1 0 2 4 0 1 0 1 0 1 0 0 3 0 0 0 2 1 0 0 0 0 1 0 0 1 0 0 1 1 3 1 0 1 0 0 0
"calm" 0 0 0 0 1 0 0 0 3 0 0 0 0 1 0 0 0 0 2 2 0 1 0 0 4 0 0 0 0 1 0 0 1 0 6 1 0 1 0 0 2 1 1 0 0 0 0 1 0 0 2 0 0 0 1 0 0 0 3 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 1 0 1 3 0 0 2 1 0 0 0 0 2 2 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 1 1 0 0
"capable" 0 0 1 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 2 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
"careful" 0 0 0 0 0 1 0 0 3 0 0 0 1 0 0 0 0 0 1 1 0 0 3 0 3 0 0 0 1 1 0 0 0 1 2 0 0 0 0 2 1 0 3 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 3 0 1 0 1 0 1 0 1 0 1 0 0 0 1 1 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 3 1 0 1 1
"careless" 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"certain" 0 1 1 1 1 1 0 0 7 1 0 0 1 5 2 1 1 0 0 2 1 2 2 0 12 1 1 1 0 0 0 0 2 1 6 1 0 0 1 1 2 1 1 0 0 0 1 0 0 1 0 2 1 0 0 1 1 2 3 3 1 2 3 0 0 0 2 1 0 0 1 0 1 0 1 0 1 0 0 3 0 1 1 3 1 0 1 1 1 0 2 1 1 0 0 1 4 0 0 0 2 2 1 1 0 4 0 4 1 2 1 8 1 0 1 2 0 0 0 0 3 2 0 1 1 1 0 0 1 0 2 1 1 0 0 0 0 2 4 1 2 0 1 0 2
"cheerful" 0 1 0 1 1 1 0 0 1 0 1 0 0 2 2 0 1 0 2 0 1 0 1 0 3 0 0 0 0 0 0 1 1 2 7 1 0 0 0 0 1 0 3 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 3 1 0 0 1 1 0 0 1 0 1 0 1 1 0 0 0 0 1 0 2 0 1 0 0 0 1 1 0 0 0 0 1 1 0 2 0 0 0 0 0 1 0 1 1 1 0 1 0 3 0 0 0 1 4 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0
"childish" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1
"civil" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0
"clever" 0 0 1 0 1 2 0 2 1 0 0 0 1 2 0 0 3 1 2 1 0 1 0 0 2 0 0 0 0 1 0 0 0 2 1 0 1 0 1 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 1 1 0 1 1 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 1 2 1 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 1 2 0 1 0 1 0 0 0 1 1 0 1 2 2 0 0 0 0 0 2 0 0 0 1 0 0 0 2 0 1 0 0 0 1
"coarse" 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"cold" 0 2 2 1 2 1 1 2 7 3 3 0 2 7 4 1 3 0 12 3 0 1 2 2 0 1 2 1 2 1 0 0 3 0 8 0 2 2 0 3 5 4 4 1 2 0 1 1 0 1 3 2 0 0 0 1 2 1 8 6 1 1 2 0 1 2 0 2 2 1 2 1 1 0 1 2 1 1 0 5 0 0 1 10 1 1 1 1 0 0 4 1 0 2 0 2 7 2 1 0 1 1 0 2 1 5 1 5 1 2 4 8 1 3 2 3 0 1 1 2 7 0 4 2 0 0 0 0 1 1 0 2 0 1 2 1 0 2 6 2 6 3 1 1 1
"communicative" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"confused" 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"consistent" 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0
"constant" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0
"cool" 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1
"crafty" 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"critical" 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
"cruel" 0 0 0 0 0 0 0 0 1 0 1 0 0 2 1 0 0 0 2 1 0 0 0 0 3 1 0 2 0 0 0 0 0 0 3 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 2 0 0 0
"curious" 0 0 1 1 0 1 0 1 1 0 0 1 0 1 0 0 1 0 1 2 0 1 2 1 0 0 0 0 1 0 1 0 0 0 4 1 1 1 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 2 1 0 2 2 0 0 0 1 1 0 1 2 0 0 0 1 0 0 1 2 0 1 2 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 1 1 2 0 0 0 2 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 3 0 0 0 0 0 1
"deep" 0 1 0 1 2 1 1 1 5 0 0 2 0 3 6 1 2 0 6 7 1 1 1 1 8 1 0 0 1 2 1 0 3 4 0 1 0 1 0 3 2 0 5 1 2 1 1 3 0 2 3 0 1 1 2 1 2 0 9 4 2 1 1 0 1 1 5 2 2 1 3 0 3 0 0 1 2 0 1 3 1 3 2 5 0 4 2 2 0 1 5 2 1 1 1 1 1 0 2 0 1 4 0 2 1 2 0 3 4 3 6 4 2 1 3 5 1 2 1 3 10 5 2 0 4 0 0 1 2 2 1 0 1 0 0 1 1 2 1 1 5 3 0 1 1
"dependent" 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0
"determined" 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0
"dignified" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1
"direct" 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"distant" 0 0 1 0 0 1 0 0 2 2 1 0 0 1 0 0 2 0 1 0 0 0 0 1 3 2 1 0 1 0 1 0 1 0 3 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 3 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 1 2 0 0 0 2 0 1 0 0 0 1 1 0 1 3 1 0 1 0 1 0 0 1 0 0 0 2 0 0 1 0 1 1 0 0 0 0 1 1 0 0 4 1 1 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 4 0 2 0 0 0 0
"dull" 0 1 0 0 1 1 0 0 1 0 0 0 0 1 2 0 1 1 2 1 0 1 1 0 5 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 1 3 0 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 1 0 0 0
"eager" 1 0 0 0 1 0 0 2 2 1 0 0 0 2 1 0 0 1 1 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 1 0 2 1 0 0 1 1 0 0 0 3 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 1 2 0 0 1 0 0 0 0 0 2 0 2 1 2 1 0 0 0 0 0 0 0 1 0 0 1 0 4 0 2 1 0 0 0
