"MR1";"MR5";"MR3";"MR4";"MR2";"MR7";"MR9";"MR10";"MR8";"MR6";"MR11";"MR12"
"#-worth";0.123393542112492;-0.0509803522013061;0.0110141146603942;0.0233272311195209;-0.0539835385469595;0.0525640045979708;-0.0266765117991256;-0.0977607902122187;0.0403901556110559;-0.150904617097136;0.0397123016032422;-0.00184528977113426
"accomplished";0.501752708947667;0.152577289244726;0.212656205225584;0.0306602638725865;0.0054720886265732;-0.0063323929494918;0.211931806955516;0.0838788362898017;0.373007931966142;-0.128038302533097;-0.0772695807751115;-0.11392319970459
"accustomed";0.550185563429687;-0.00624918271419916;0.139479606510777;0.209453860423676;-0.0396469442233738;0.219050349271287;0.137385946442902;0.143644754809281;0.157551257673631;0.126191967944373;-0.0605653941714796;-0.0914001612855587
"afraid";0.588667682308037;0.192552314416803;0.295530030069392;0.185180049028512;0.16968132269771;0.282906058357635;0.264940608619338;0.086448596610119;-0.0825834058705441;0.190421650992625;-0.0602341329897003;0.141200133322967
"amusing";0.0886207131132627;0.375441463677156;0.00468010189649301;-0.0108612869916659;0.0547666001801871;-0.0896627770063806;0.0788139449569435;-0.0140053399531096;-0.167535033578951;0.0366956348975535;0.189803300804711;0.350376601597133
"appropriate";0.0840192442911296;-0.0380473504280885;0.0260641431667782;0.442047046060663;0.217448315346262;0.106606499101776;0.157130798191045;0.232079321520172;-0.0356335878314189;0.105017260649395;0.00802189096677285;-0.160883030721559
"artistic";0.0714253868549685;-0.0350517493759396;0.0172033716074795;0.574520347293808;-0.0687373132730062;-0.0679117498563787;-0.0742081683138011;-0.0178081082480641;0.017537704962732;-0.0030355771811997;-0.035839282252078;0.0913842927044434
"beautiful";0.606612383379766;0.142393934563882;0.290287575506685;0.0453614444244249;0.247064754591816;0.208662139278963;0.203612551352409;0.170751504729953;0.142962024366105;0.125655242135791;0.0374526666853113;0.0733235478793961
"blessed";-0.0292186036928056;0.0313035621685133;0.248669326234412;0.0059430102870392;-0.021688069163814;0.0190124058946966;0.145133692395388;0.212242948772741;-0.0556092204747835;0.0454281649468798;0.0625787016107799;-0.10791697782237
"bored";0.109201845413947;-0.0483145559791642;-0.0112794180176589;0.0738838727170551;0.162678942160848;0.0443865053002198;0.116585962752792;0.0921167843644526;-0.138658409860494;0.0869095959663353;-0.0192952414320153;-0.083450025750471
"brave";0.284447882024376;0.287919586281186;-0.0130371182545058;0.175025947574419;0.305515645055828;0.321226232552635;-0.0626658146604784;0.00712083344533259;0.141013404774585;0.00694351707130607;-0.0802664690256395;0.200849278035983
"bustle";0.0723133736238253;0.04509562588056;-0.0272633857492336;-0.0357250147557665;0.160325079698689;0.652717332301114;-0.0600188585785924;-0.0994521465067925;-0.0859869640364049;-0.104003434053749;0.0429030781924664;-0.0759519984070677
"calm";0.321667016360843;0.219101572865315;0.0698686363815859;0.211323275496033;0.0902533538049782;0.0216959625334369;0.00287577101459178;0.226980182267366;0.0821938795614065;0.161125024540981;0.0681131396207247;0.238978236804378
"capable";0.236940803502863;0.226874998268244;0.104032274698521;0.115202272770667;0.0827297782643347;0.126821213714074;0.151912818486025;-0.046697008228129;0.165497435889517;0.123716339307556;0.25475236141201;-0.0767927913808083
"careful";0.229668517271387;0.29491916366275;0.40823267472037;0.0881234793420603;0.288795476729583;0.149304710284939;0.204893778204058;0.315855649362503;0.214488652755279;0.0665798674101697;-0.027712769447517;0.179094956333836
"cautious";0.128002224890994;0.0364896622579642;-0.0641412624686444;0.280832436008529;0.568181820956632;0.0929556254394717;0.0359090150098089;-0.176735855794566;-0.150038920517831;0.0303029915092322;0.0513252519529386;0.0830787623469045
"charitable";0.0994189261694028;0.0161574558088732;-0.0010157082277204;-0.00809410750979359;0.667951510740723;0.00267777112839772;0.0101664244634985;0.172056754849581;-0.120597291695433;-0.0317742643200828;0.0110009964768073;-0.0320161184420148
"cheerful";0.605412189995009;0.131995936757376;0.26941036622065;0.0583146592218082;0.158995328797681;0.160203011854605;0.158028987991885;0.0453681362474232;0.275707262521867;-0.185528570857419;-0.092101294907637;0.156509655008509
"clean";0.495848115191421;0.104476298169068;-0.0600263520669495;0.132026000050517;0.0570978961442543;-0.0121384986029312;-0.00068063271262513;0.204298021782122;-0.142141150454105;0.182834140343245;0.125509518526233;0.157402625573947
"clever";0.29610517997859;0.170198004376749;0.340221919249299;0.121193880282667;0.017841647492064;0.205365750469885;0.11852186454758;0.0988257586672384;0.280805422729027;0.14874736461091;0.056911928712243;0.121395252591841
"comfortable";0.544077064470227;0.182889456644984;0.0943799703234058;0.294612924618377;0.115687588179226;0.0362593221697434;0.139969856743987;-0.0561246406755042;0.0932923917621125;0.216766792262849;0.0592383026793654;0.238722970901317
