"MR1";"MR2";"MR3";"MR4";"MR6";"MR5";"MR8";"MR7"
"charitable";0.161158492337252;0.0278820289468062;0.410064527541965;0.235521758282179;-0.0934581368623593;-0.0820949973761106;0.245412274745014;-0.0516676031999727
"cheerful";0.698778318526544;0.19551570394245;0.227491180015902;0.264043694731487;0.00514272685986049;0.22172527856157;-0.0326544680706884;0.00645589499755697
"clever";0.450566285983044;0.141656962918172;0.0944927098533778;0.151933613851882;0.520237304518484;0.191762103542552;-0.036426097588056;0.246188479870858
"comfortable";0.680259760383736;0.265404422439015;0.36943911828375;0.164497239934147;0.187824608687714;-0.0528767992944463;0.1153870421846;0.088996750326186
"compassionate";0.229266214528724;0.182669324902608;0.114325149337801;-0.169010063008254;0.300642883683122;-0.260818946153176;-0.240991972631004;0.686693866135853
"competent";-0.00455645075751579;-0.135793129293323;0.305663418535215;0.00751762186765084;0.221858243533003;0.0803211954760784;0.25379389295569;0.0210448281053634
"confident";0.0513649427054593;0.0291321176598555;0.184758373697363;0.254463000046762;0.0373782285313089;0.0297233471850081;-0.0360988881608683;-0.0771610065221752
"conviction";0.0532157545744278;-0.0562507112812471;-0.0258058124556287;0.0713340692986359;-0.0284542260701526;0.0122560970429898;-0.0867321319965685;0.0447828292999101
"corrupted";0.448002421703596;-0.185984069154017;0.164361179731333;0.209307120608172;-0.0627253567620869;0.146850264357821;0.0115587545991835;0.271556238175143
"cruel";0.394605781270805;0.00674634103470604;0.458674726523605;-0.0893867722874564;-0.0111986692605563;0.0773343814500669;-0.134109525901906;0.0179066472149847
"curious";0.216827305003846;0.305290793751986;0.599346462653352;0.122984402537824;0.00836021552986756;-0.128566256478276;-0.0689254155013158;-0.0228285161316036
"dangerous";0.584391197915733;0.00430987400881457;0.0547041765986371;-0.0867814051202839;0.100985968171955;0.153904982813916;0.336419279097504;0.009590661621794
"delicate";0.0893441105946065;0.271764866064199;-0.11340174152952;0.0205706389791257;0.0541712328343772;0.0787754883668026;0.152250178040953;0.587161825880188
"delicious";0.196110470481504;0.128011629469063;0.214676513031135;0.246412070046878;0.113743329983676;0.521633057613461;0.348076768370267;-0.00657021422826994
"delight";-0.046363140720576;-0.0237090448676629;-0.0317452159015373;-0.0232621074495025;-0.0161624571898327;-0.020080677570826;-0.0109450327497871;-0.0134439437723482
"delighted";0.728362196837118;0.13629480608416;0.252650920174508;-0.0417868801279669;0.200110791308621;0.0986509872576586;0.0527398466043152;0.0808934753873411
"delightful";0.319062242428452;0.418274599072032;0.545315299987533;0.188120631921798;0.230212830101094;0.172437060185384;0.120154882464375;0.0480471540501953
"determined";0.476992479496972;0.450984038505816;0.40753160838391;0.240602412793892;0.133409642065897;0.00614379234220699;0.131309535389127;0.0931232293795455
"direct";0.084288982747649;0.212517288847581;0.314877999337737;0.454191201063095;0.0582440954504724;-0.20434184792295;-0.0519579326053788;0.246608151809121
"dramatic";0.175121160221905;0.476271068370146;0.335752588061691;0.0756271628432579;0.204369168711707;-0.250328229528833;-0.310567938954506;0.0192161918497281
"encouraging";0.123152055943104;0.100045136735986;0.0988152950344617;0.166400689345395;0.722607711341177;0.0188904479688645;0.0132839524465004;-0.0229051491032096
"entertaining";0.365653743470004;-0.0795546395364119;0.0142939072501983;0.350801299403948;-0.0242301331179827;-0.102127228341312;0.226413665283002;-0.181053356834237
"exciting";0.498733190582965;0.362878471825508;0.0263940182133327;-0.102411270905872;0.15157281627667;-0.324399025669779;0.391016257079699;-0.0188307352975931
"expensive";0.455365501155111;0.0928328953692286;0.0650734089746451;0.0434185718901531;0.334927184227837;0.0957283539296648;0.0178526676842973;-0.0114839669342601
"extraordinary";0.180870062762352;0.107242924498823;0.561355884152442;-0.0535129203860088;0.0714923758701538;0.175945126089329;0.03948430190643;-0.010267972349981
"extreme";0.113759110788376;0.311566786982493;0.310833324938805;0.391588679355987;0.0061757741118454;0.345400415013122;0.290282483540054;-0.00741642155753963
