"affectionate" "alone" "beautiful" "bitter" "blind" "bright" "busy" "calm" "capable" "cheerful" "cold" "delighted" "devoted" "evil" "excellent" "expressive" "fair" "familiar" "fortunate" "generous" "gentle" "good" "great" "happy" "hard" "ignorant" "innocent" "kind" "little" "lively" "lovely" "natural" "old" "open" "peaceful" "pleasant" "poor" "rude" "sad" "satisfied" "short" "strange" "surprised" "sweet" "terrible" "unhappy" "violent" "warm" "wonderful" "young"
"hard" 0 1 1 1 0 0 0 0 1 0 1 0 1 1 0 1 1 2 1 1 1 3 2 3 0 1 2 1 5 0 2 1 3 1 0 0 3 3 1 0 2 2 1 2 0 0 0 0 0 1
"ignorant" 1 2 0 2 2 0 0 1 0 1 4 0 1 1 0 0 0 0 1 2 3 4 3 2 1 0 1 1 6 2 3 0 4 0 0 0 3 0 1 0 1 5 0 0 3 1 0 1 2 2
"innocent" 1 2 1 5 1 0 0 2 3 0 3 0 1 2 3 0 3 1 0 4 2 4 5 5 2 1 0 4 5 0 2 0 2 1 0 1 9 1 3 1 1 5 1 1 0 4 1 0 2 1
"kind" 0 0 0 2 1 0 0 1 2 2 2 0 0 1 1 1 2 0 2 2 1 6 7 6 1 1 4 0 4 0 2 0 2 2 0 0 5 0 2 0 2 3 2 1 1 1 1 0 0 2
"little" 3 3 4 3 6 5 1 6 2 5 6 2 2 3 4 3 5 6 4 2 11 14 16 13 5 6 5 4 0 4 8 4 12 5 1 6 12 5 2 3 8 11 3 7 2 8 2 5 4 6
"lively" 1 0 0 0 1 0 0 1 0 0 3 1 0 1 1 1 1 0 0 0 3 3 1 2 0 2 0 0 4 0 1 1 3 0 0 1 0 0 0 1 1 1 2 2 0 2 1 1 2 2
"lovely" 1 4 7 3 4 3 2 2 2 5 3 3 3 0 5 1 4 2 1 2 9 8 6 6 2 3 2 2 8 1 0 1 7 1 2 1 7 3 3 1 4 3 1 5 2 4 1 1 3 6
"natural" 0 2 2 2 0 1 2 2 2 1 2 0 2 1 3 2 1 2 1 0 1 5 7 3 1 0 0 0 4 1 1 0 2 0 2 0 0 0 1 2 3 2 2 2 2 0 3 1 3 1
"old" 2 1 6 2 5 0 0 2 3 5 5 2 0 2 6 1 4 3 2 1 7 10 9 6 3 4 2 2 12 3 7 2 0 3 2 4 6 4 4 1 4 8 1 5 3 2 2 1 6 6
"open" 0 1 1 1 0 0 3 2 4 1 4 1 0 0 0 0 0 0 3 0 1 3 7 3 1 0 1 2 5 0 1 0 3 0 0 2 3 1 0 2 3 4 1 0 1 0 0 1 0 0
"peaceful" 0 2 2 1 1 1 2 2 1 0 1 0 1 1 1 0 0 0 1 0 1 1 2 2 0 0 0 0 1 0 2 2 2 0 0 1 1 0 0 1 0 0 1 3 1 0 2 0 1 0
"pleasant" 1 0 2 0 1 1 0 2 2 2 5 1 1 1 2 0 2 1 0 0 4 2 6 3 0 0 1 0 6 1 1 0 4 2 1 0 2 1 2 1 0 2 2 2 0 0 1 1 2 0
"poor" 2 3 5 6 3 3 1 3 3 2 5 4 2 1 4 2 6 2 1 5 6 7 9 8 3 3 9 5 12 0 7 0 6 3 1 2 0 2 4 0 4 8 2 6 2 5 3 3 2 5
"rude" 1 1 1 1 2 0 0 0 1 2 0 0 0 0 2 1 1 2 1 0 3 3 2 2 3 0 1 0 5 0 3 0 4 1 0 1 2 0 1 0 1 2 0 2 0 1 0 0 1 1
"sad" 1 0 4 2 1 0 0 2 1 2 2 1 0 2 3 0 2 1 0 1 2 3 4 5 1 1 3 2 2 0 3 1 4 0 0 2 4 1 0 1 1 4 0 2 1 2 2 0 3 1
"satisfied" 1 3 0 2 0 1 2 4 3 0 4 0 1 0 1 1 0 0 1 0 0 3 3 5 0 0 1 0 3 1 1 2 1 2 1 1 0 0 1 0 0 2 1 2 0 1 1 2 0 0
"short" 0 0 2 2 0 2 1 4 3 2 5 1 0 1 2 1 2 3 2 0 5 5 5 2 2 1 1 2 8 1 4 3 4 3 0 0 4 1 1 0 0 4 1 2 3 1 2 2 1 5
"strange" 2 2 3 2 2 1 2 5 2 3 7 2 1 1 4 1 1 2 2 2 7 8 13 8 2 5 5 3 11 1 3 2 8 4 0 2 8 2 4 2 4 0 1 1 3 6 2 3 6 3
"surprised" 1 0 1 0 0 1 0 1 2 0 3 1 1 0 1 2 0 0 0 0 3 4 3 4 1 0 1 2 3 2 1 2 1 1 1 2 2 0 0 1 1 1 0 4 0 2 3 2 0 4
"sweet" 1 2 4 1 1 3 1 2 3 2 5 3 0 1 2 2 4 1 2 0 6 4 2 6 2 0 1 1 7 2 5 2 5 0 3 2 6 2 2 2 2 1 4 0 1 3 3 2 0 4
"terrible" 0 2 2 0 1 0 1 1 2 2 4 1 0 0 0 0 0 1 0 0 1 4 2 3 0 3 0 1 2 0 2 2 3 1 1 0 2 0 1 0 3 3 0 1 0 0 1 0 1 2
"unhappy" 2 1 2 1 3 3 0 4 1 2 2 1 2 2 2 1 1 2 0 1 6 2 4 7 0 1 4 1 8 2 4 0 2 0 0 0 5 1 2 1 1 6 2 3 0 0 1 2 2 4
"violent" 0 0 3 0 0 2 1 3 1 0 2 0 0 0 1 2 1 1 1 0 2 2 2 2 0 0 1 1 2 1 1 3 2 0 2 1 3 0 2 1 2 2 3 3 1 1 0 0 1 2
"warm" 1 0 0 2 0 1 0 1 1 1 2 1 0 0 1 0 1 0 0 0 2 0 4 4 0 1 0 0 5 1 1 1 1 1 0 1 3 0 0 2 2 3 2 2 0 2 0 0 1 1
"wonderful" 2 1 3 2 2 0 1 2 1 2 2 1 1 2 6 1 1 2 0 2 5 4 8 5 0 2 2 0 4 2 3 3 6 0 1 2 2 1 3 0 1 6 0 0 1 2 1 1 0 2
"young" 2 0 2 1 1 2 1 2 3 4 3 3 1 0 4 2 2 1 1 1 8 7 3 7 1 2 1 2 6 2 6 1 6 0 0 0 5 1 1 0 5 3 4 4 2 4 2 1 2 0
