"affectionate" "afraid" "agreeable" "anxious" "ashamed" "bad" "beautiful" "certain" "charming" "comfortable" "delightful" "eager" "excellent" "extraordinary" "fair" "fine" "glad" "good" "great" "handsome" "happy" "interesting" "kind" "little" "natural" "old" "open" "pleasant" "pleased" "poor" "pretty" "proper" "remarkable" "satisfied" "short" "strange" "strong" "surprised" "sweet" "tired" "young"
"delightful" 2 6 4 3 2 1 5 1 3 1 0 3 3 3 1 5 4 17 16 6 10 1 3 14 4 7 5 4 4 5 3 5 2 2 8 2 5 5 3 4 11
"eager" 3 0 0 2 1 0 2 3 3 2 3 0 1 0 3 4 3 9 4 3 7 1 1 6 3 3 2 0 1 3 3 1 1 3 3 2 2 1 4 2 4
"excellent" 0 3 2 2 2 3 1 2 4 1 3 1 0 4 4 5 1 10 7 4 6 1 2 11 1 7 4 1 0 2 3 1 2 1 4 2 2 1 2 3 6
"extraordinary" 0 4 2 1 1 2 0 0 1 1 3 0 4 0 0 4 2 7 5 3 2 0 2 5 1 4 3 0 2 2 1 2 1 0 1 1 1 3 1 1 5
"fair" 1 2 3 5 3 1 3 2 4 1 1 3 4 0 0 2 3 6 5 3 5 1 1 9 1 5 2 1 0 3 1 0 0 2 5 2 1 1 3 2 6
"fine" 2 5 4 7 5 4 7 4 4 4 5 4 5 4 2 0 7 18 16 7 11 2 1 17 2 11 5 6 2 6 7 0 6 2 9 3 1 6 2 3 14
"glad" 3 5 5 3 4 1 3 1 3 3 4 3 1 2 3 7 0 15 13 2 11 3 4 17 1 9 6 3 3 7 2 2 1 2 10 6 2 4 4 3 14
"good" 9 13 11 7 7 6 7 8 10 5 17 9 10 7 6 18 15 0 39 15 27 5 9 40 7 18 12 8 8 16 8 8 6 8 25 13 9 10 7 10 33
"great" 7 11 13 10 6 6 9 5 8 7 16 4 7 5 5 16 13 39 0 12 26 6 6 40 7 17 10 7 8 14 9 6 7 4 21 14 7 8 5 10 31
"handsome" 2 4 3 3 1 3 2 1 5 1 6 3 4 3 3 7 2 15 12 0 8 2 2 10 1 7 2 3 0 1 3 1 3 3 7 2 3 4 1 5 11
"happy" 6 4 6 6 6 4 6 6 7 5 10 7 6 2 5 11 11 27 26 8 0 2 4 27 7 9 8 3 3 10 5 4 5 3 17 6 4 4 3 6 19
"interesting" 3 2 0 0 2 1 2 2 2 2 1 1 1 0 1 2 3 5 6 2 2 0 2 8 0 2 4 2 2 3 1 0 2 2 3 0 0 2 1 1 6
"kind" 2 2 1 3 4 2 0 1 4 1 3 1 2 2 1 1 4 9 6 2 4 2 0 6 2 5 2 2 3 3 2 1 1 3 5 1 2 2 2 0 9
"little" 7 10 14 10 8 7 7 9 10 9 14 6 11 5 9 17 17 40 40 10 27 8 6 0 7 16 12 10 8 18 9 5 6 7 23 12 7 7 8 10 33
"natural" 2 2 2 2 1 0 1 1 2 1 4 3 1 1 1 2 1 7 7 1 7 0 2 7 0 2 0 1 2 4 0 2 1 1 3 2 1 2 0 2 6
"old" 3 5 5 4 4 4 4 2 5 3 7 3 7 4 5 11 9 18 17 7 9 2 5 16 2 0 4 3 2 5 5 1 4 2 13 6 2 2 4 5 14
"open" 2 4 1 4 2 0 3 4 1 3 5 2 4 3 2 5 6 12 10 2 8 4 2 12 0 4 0 4 4 5 2 4 2 2 9 3 1 3 2 0 9
"pleasant" 1 2 3 2 2 0 2 2 2 0 4 0 1 0 1 6 3 8 7 3 3 2 2 10 1 3 4 0 3 2 2 1 1 2 5 0 1 1 1 2 6
"pleased" 1 4 2 2 1 0 3 2 1 0 4 1 0 2 0 2 3 8 8 0 3 2 3 8 2 2 4 3 0 3 1 3 1 2 2 1 1 1 1 1 8
"poor" 6 5 3 3 4 2 3 4 1 4 5 3 2 2 3 6 7 16 14 1 10 3 3 18 4 5 5 2 3 0 3 1 4 3 13 9 4 3 2 2 12
"pretty" 1 1 1 2 2 2 2 2 1 1 3 3 3 1 1 7 2 8 9 3 5 1 2 9 0 5 2 2 1 3 0 2 2 2 2 3 2 2 1 2 8
"proper" 0 2 1 1 0 0 1 0 1 0 5 1 1 2 0 0 2 8 6 1 4 0 1 5 2 1 4 1 3 1 2 0 0 1 2 2 2 2 1 2 4
"remarkable" 2 1 0 0 2 1 3 1 2 1 2 1 2 1 0 6 1 6 7 3 5 2 1 6 1 4 2 1 1 4 2 0 0 1 3 2 1 1 0 1 4
"satisfied" 4 1 0 2 4 0 2 0 3 0 2 3 1 0 2 2 2 8 4 3 3 2 3 7 1 2 2 2 2 3 2 1 1 0 2 1 1 0 5 1 6
"short" 5 5 6 6 5 5 4 4 6 5 8 3 4 1 5 9 10 25 21 7 17 3 5 23 3 13 9 5 2 13 2 2 3 2 0 8 4 5 3 4 16
"strange" 3 3 2 5 0 2 0 1 2 4 2 2 2 1 2 3 6 13 14 2 6 0 1 12 2 6 3 0 1 9 3 2 2 1 8 0 5 1 2 4 7
"strong" 2 4 1 1 1 1 2 0 2 0 5 2 2 1 1 1 2 9 7 3 4 0 2 7 1 2 1 1 1 4 2 2 1 1 4 5 0 1 2 3 6
"surprised" 0 6 1 2 4 1 2 0 2 2 5 1 1 3 1 6 4 10 8 4 4 2 2 7 2 2 3 1 1 3 2 2 1 0 5 1 1 0 1 1 8
"sweet" 1 2 1 3 2 0 1 1 4 0 3 4 2 1 3 2 4 7 5 1 3 1 2 8 0 4 2 1 1 2 1 1 0 5 3 2 2 1 0 1 5
"tired" 3 2 3 1 2 2 2 1 5 2 4 2 3 1 2 3 3 10 10 5 6 1 0 10 2 5 0 2 1 2 2 2 1 1 4 4 3 1 1 0 9
"young" 6 12 11 7 6 4 9 5 10 3 11 4 6 5 6 14 14 33 31 11 19 6 9 33 6 14 9 6 8 12 8 4 4 6 16 7 6 8 5 9 0
