"affectionate" "afraid" "agreeable" "alone" "anxious" "capable" "certain" "charming" "cold" "comfortable" "delighted" "delightful" "determined" "eager" "fine" "glad" "good" "great" "handsome" "happy" "interesting" "kind" "little" "natural" "old" "open" "pleased" "poor" "pretty" "proper" "quiet" "respectable" "rich" "satisfied" "serious" "short" "strange" "strong" "surprised" "unhappy" "violent" "young"
"great" 9 14 15 11 17 9 15 7 11 14 8 11 9 13 14 25 58 0 14 41 7 7 57 18 23 17 14 17 10 15 6 8 9 12 13 23 12 15 8 9 7 34
"handsome" 3 4 4 0 4 2 0 1 7 5 2 4 1 2 6 5 14 14 0 9 4 1 12 3 8 3 3 3 6 0 2 2 5 4 0 3 1 3 1 2 2 11
"happy" 10 9 9 8 10 6 11 6 5 9 6 8 11 11 8 19 44 41 9 0 4 8 38 13 15 19 11 12 7 9 3 2 5 14 10 17 8 10 5 9 3 25
"interesting" 2 1 1 3 1 0 5 0 3 0 0 3 1 1 3 5 11 7 4 4 0 1 10 2 5 3 2 3 3 2 1 2 3 5 3 4 1 2 0 1 2 8
"kind" 2 2 2 0 5 1 3 2 2 4 0 2 2 0 1 3 10 7 1 8 1 0 11 4 2 3 4 3 1 2 1 1 2 3 4 4 1 2 3 2 2 5
"little" 10 14 10 12 14 10 19 7 9 17 8 8 7 16 11 24 56 57 12 38 10 11 0 22 25 16 16 21 9 14 10 9 6 10 11 28 9 15 8 11 7 39
"natural" 5 5 4 5 6 6 6 3 4 4 2 4 1 2 4 4 19 18 3 13 2 4 22 0 8 6 7 7 3 5 3 3 3 2 5 8 2 8 3 5 3 17
"old" 2 5 5 3 7 7 4 5 6 6 4 3 3 3 5 11 26 23 8 15 5 2 25 8 0 4 6 7 6 3 3 6 5 4 3 10 6 5 2 1 2 15
"open" 6 3 1 2 4 6 12 3 4 4 2 5 6 6 7 5 20 17 3 19 3 3 16 6 4 0 2 8 2 3 4 2 5 8 1 6 4 3 3 1 4 11
"pleased" 2 3 8 3 6 1 4 6 3 3 5 3 1 4 4 12 15 14 3 11 2 4 16 7 6 2 0 4 4 3 2 4 2 2 4 11 2 5 2 4 0 12
"poor" 7 5 2 5 2 1 10 4 2 5 1 3 2 5 6 10 21 17 3 12 3 3 21 7 7 8 4 0 4 4 5 2 5 8 2 10 6 4 4 5 3 17
"pretty" 2 3 6 2 5 1 5 3 3 0 2 4 2 2 2 7 13 10 6 7 3 1 9 3 6 2 4 4 0 1 0 0 3 3 1 4 1 3 1 3 2 11
"proper" 4 1 0 2 2 2 4 0 0 5 1 1 1 3 1 4 13 15 0 9 2 2 14 5 3 3 3 4 1 0 1 2 1 1 1 6 4 1 1 3 1 6
"quiet" 3 2 2 2 1 3 3 2 2 2 0 0 0 1 3 1 9 6 2 3 1 1 10 3 3 4 2 5 0 1 0 0 1 3 2 6 0 1 1 1 3 7
"respectable" 0 1 4 0 1 4 4 0 2 4 3 1 0 1 2 4 10 8 2 2 2 1 9 3 6 2 4 2 0 2 0 0 2 0 4 6 3 3 4 2 1 6
"rich" 2 2 1 0 4 1 3 1 2 3 1 0 1 1 6 4 9 9 5 5 3 2 6 3 5 5 2 5 3 1 1 2 0 5 1 2 3 4 1 2 2 6
"satisfied" 3 1 2 3 4 1 3 1 4 3 0 2 2 5 4 2 12 12 4 14 5 3 10 2 4 8 2 8 3 1 3 0 5 0 4 3 4 4 3 4 4 8
"serious" 3 2 5 1 4 2 3 0 3 3 2 0 1 3 4 5 16 13 0 10 3 4 11 5 3 1 4 2 1 1 2 4 1 4 0 5 3 4 4 4 3 9
"short" 4 4 7 10 3 3 10 4 3 5 4 3 5 4 7 13 25 23 3 17 4 4 28 8 10 6 11 10 4 6 6 6 2 3 5 0 3 7 5 5 2 20
"strange" 4 3 3 1 2 1 4 0 1 4 2 0 3 2 1 4 9 12 1 8 1 1 9 2 6 4 2 6 1 4 0 3 3 4 3 3 0 2 4 3 2 5
"strong" 5 0 5 4 7 4 4 2 5 3 4 0 5 5 2 6 18 15 3 10 2 2 15 8 5 3 5 4 3 1 1 3 4 4 4 7 2 0 4 5 1 13
"surprised" 2 5 4 1 2 2 8 0 0 2 3 1 1 2 2 4 7 8 1 5 0 3 8 3 2 3 2 4 1 1 1 4 1 3 4 5 4 4 0 1 3 8
"unhappy" 3 2 2 3 4 4 3 0 2 5 1 1 2 2 2 2 10 9 2 9 1 2 11 5 1 1 4 5 3 3 1 2 2 4 4 5 3 5 1 0 0 8
"violent" 2 2 2 0 5 2 2 2 4 0 1 2 1 2 3 2 8 7 2 3 2 2 7 3 2 4 0 3 2 1 3 1 2 4 3 2 2 1 3 0 0 8
"young" 8 9 9 5 11 8 15 6 10 13 8 8 5 8 10 17 41 34 11 25 8 5 39 17 15 11 12 17 11 6 7 6 6 8 9 20 5 13 8 8 8 0
