"","austen","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"194","lonely",3,1,1,1,0,0,0
"195","loving",3,0,0,1,1,0,1
"196","maternal",3,0,1,0,0,1,1
"197","merry",3,0,1,0,0,1,1
"198","mild",3,1,1,1,0,0,0
"199","military",3,0,0,1,1,1,0
"200","negligent",3,1,0,1,0,1,0
"201","observant",3,1,0,0,1,0,1
"202","placid",3,0,1,1,1,0,0
"203","prejudiced",3,1,1,0,0,1,0
"204","prompt",3,1,0,0,1,1,0
"205","rapturous",3,0,1,0,0,1,1
"206","reserved",3,1,1,0,1,0,0
"207","rough",3,1,1,0,1,0,0
"208","saucy",3,1,0,0,0,1,1
"209","self-denying",3,1,1,0,1,0,0
"210","shy",3,0,1,0,1,1,0
"211","smooth",3,1,0,1,1,0,0
"212","soft",3,1,1,0,0,0,1
"213","sorrowful",3,1,1,0,0,0,1
"214","spirited",3,1,1,0,0,0,1
"215","spontaneous",3,1,1,0,1,0,0
"216","stable",3,1,1,0,0,0,1
"217","steadfast",3,0,0,0,1,1,1
"218","stormy",3,1,1,1,0,0,0
"219","tremulous",3,1,1,1,0,0,0
"220","ugly",3,0,0,0,1,1,1
"221","uncivil",3,0,0,1,0,1,1
"222","undecided",3,0,1,0,0,1,1
"223","unfriendly",3,1,1,1,0,0,0
"224","ungrateful",3,1,1,0,0,0,1
"225","unpretending",3,0,1,1,0,1,0
"226","unvarying",3,1,1,0,0,1,0
"227","watchful",3,0,1,1,0,1,0
"228","witty",3,1,0,0,0,1,1
"229","abrupt",2,1,0,0,0,1,0
"230","accurate",2,0,1,0,0,1,0
"231","assiduous",2,0,0,0,1,0,1
"232","authoritative",2,0,1,0,0,1,0
"233","bashful",2,0,0,0,0,1,1
"234","ceremonious",2,1,0,0,0,1,0
"235","chatty",2,1,1,0,0,0,0
"236","clean",2,1,0,1,0,0,0
"237","complimentary",2,1,1,0,0,0,0
"238","congratulatory",2,1,0,0,0,1,0
"239","dictatorial",2,0,1,0,0,1,0
"240","discreet",2,1,1,0,0,0,0
"241","doleful",2,1,0,0,0,1,0
"242","dutiful",2,1,0,0,1,0,0
"243","economical",2,0,1,0,0,0,1
"244","energetic",2,1,0,0,0,1,0
"245","explicit",2,0,0,1,0,1,0
"246","fastidious",2,0,0,0,1,0,1
"247","feminine",2,0,1,0,0,0,1
"248","fickle",2,0,0,1,0,0,1
"249","forbearing",2,0,1,0,1,0,0
"250","forgetful",2,0,1,0,1,0,0
"251","fraternal",2,0,1,0,1,0,0
"252","genial",2,1,0,0,0,0,1
"253","guileless",2,1,0,1,0,0,0
"254","hard-hearted",2,0,0,0,1,0,1
"255","haughty",2,0,0,0,0,1,1
"256","heedless",2,0,1,0,1,0,0
"257","hospitable",2,1,0,0,1,0,0
"258","hysterical",2,0,0,0,1,0,1
"259","ill-tempered",2,1,0,0,0,1,0
"260","immovable",2,0,0,1,0,0,1
"261","impetuous",2,0,0,1,0,1,0
"262","inconstant",2,0,1,0,1,0,0
"263","indolent",2,0,1,0,0,1,0
"264","industrious",2,0,1,1,0,0,0
"265","intense",2,0,1,1,0,0,0
"266","irrational",2,0,0,0,1,0,1
"267","keen",2,1,0,1,0,0,0
"268","leisurely",2,0,0,0,0,1,1
"269","literary",2,0,1,1,0,0,0
"270","malicious",2,0,0,1,0,1,0
"271","matter-of-fact",2,1,0,1,0,0,0
"272","merciful",2,0,1,0,1,0,0
"273","methodical",2,1,1,0,0,0,0
"274","motherly",2,1,0,0,0,0,1
"275","orderly",2,0,1,0,0,1,0
"276","overbearing",2,0,0,0,1,1,0
"277","paternal",2,1,1,0,0,0,0
"278","penitent",2,0,1,0,0,0,1
"279","pensive",2,1,0,0,1,0,0
"280","pert",2,1,1,0,0,0,0
"281","plaintive",2,1,1,0,0,0,0
"282","pompous",2,0,1,0,0,1,0
"283","precise",2,1,0,0,0,0,1
"284","quarrelsome",2,1,0,0,0,1,0
"285","random",2,1,0,1,0,0,0
"286","reproachful",2,1,1,0,0,0,0
"287","resentful",2,0,0,1,0,1,0
"288","retentive",2,1,0,0,1,0,0
"289","sarcastic",2,0,1,0,0,1,0
"290","self-command",2,1,0,0,0,0,1
"291","shrewd",2,0,0,0,1,0,1
"292","sociable",2,0,1,0,0,0,1
"293","sour",2,1,0,0,0,1,0
"294","spiritless",2,0,0,0,0,1,1
"295","stately",2,0,1,0,0,1,0
"296","straight",2,0,1,0,1,0,0
"297","stubborn",2,0,0,1,0,0,1
"298","submissive",2,1,0,0,1,0,0
"299","sullen",2,0,1,1,0,0,0
"300","sympathetic",2,0,1,0,1,0,0
"301","tacit",2,0,0,1,0,1,0
"302","temperate",2,0,0,1,0,0,1
"303","uncheerful",2,0,0,1,0,0,1
"304","unforgiving",2,0,0,0,1,1,0
"305","unprejudiced",2,0,0,1,1,0,0
"306","unsteady",2,0,1,1,0,0,0
"307","untoward",2,1,1,0,0,0,0
"308","vague",2,0,0,0,1,1,0
"309","verbal",2,1,0,0,0,0,1
"310","vicious",2,0,1,0,0,1,0
"311","virtuous",2,0,1,1,0,0,0
"312","wanton",2,0,0,1,0,0,1
"313","warm-hearted",2,1,1,0,0,0,0
"314","well-disposed",2,0,1,0,0,0,1
"315","whimsical",2,0,0,1,0,1,0
"316","woeful",2,1,1,0,0,0,0
"317","womanly",2,1,1,0,0,0,0
"318","abstruse",1,0,0,0,0,0,1
"319","airy",1,1,0,0,0,0,0
"320","aloof",1,0,0,0,0,1,0
"321","argumentative",1,1,0,0,0,0,0
"322","boastful",1,1,0,0,0,0,0
"323","bookish",1,0,0,0,1,0,0
"324","brisk",1,0,1,0,0,0,0
"325","brutal",1,1,0,0,0,0,0
"326","brute",1,0,1,0,0,0,0
"327","casual",1,0,0,0,0,1,0
"328","changeable",1,1,0,0,0,0,0
"329","circuitous",1,0,1,0,0,0,0
"330","circumspect",1,0,0,0,0,1,0
"331","clamorous",1,0,0,0,0,1,0
"332","coherent",1,0,0,0,0,1,0
"333","cold-blooded",1,0,0,0,1,0,0
"334","cold-hearted",1,0,0,0,0,0,1
"335","come-at-able",1,1,0,0,0,0,0
"336","commanding",1,0,0,1,0,0,0
"337","conciliatory",1,0,0,0,0,1,0
"338","condescending",1,1,0,0,0,0,0
"339","congenial",1,0,0,0,0,1,0
"340","considerate",1,1,0,0,0,0,0
"341","conversable",1,1,0,0,0,0,0
"342","convivial",1,1,0,0,0,0,0
"343","cowardly",1,0,0,1,0,0,0
"344","boyish",1,1,0,0,0,0,0
"345","credulous",1,0,0,0,0,0,1
"346","desultory",1,1,0,0,0,0,0
"347","diffident",1,1,0,0,0,0,0
"348","dilatory",1,0,0,0,0,1,0
"349","disobedient",1,0,0,0,0,0,1
"350","do-all",1,1,0,0,0,0,0
"351","downright",1,1,0,0,0,0,0
"352","ecstatic",1,0,0,0,0,0,1
"353","emphatic",1,0,0,0,0,1,0
"354","envious",1,1,0,0,0,0,0
"355","equitable",1,0,1,0,0,0,0
"356","even",1,1,0,0,0,0,0
"357","excursive",1,0,0,0,0,0,1
"358","executive",1,0,1,0,0,0,0
"359","expeditious",1,1,0,0,0,0,0
"360","exuberant",1,0,0,0,0,1,0
"361","forgiving",1,1,0,0,0,0,0
"362","fretful",1,0,0,0,0,0,1
"363","giddy",1,0,0,0,1,0,0
"364","girlish",1,0,1,0,0,0,0
"365","greedy",1,0,0,1,0,0,0
"366","handy",1,0,1,0,0,0,0
"367","tasteful",1,0,0,1,0,0,0
"368","hateful",1,1,0,0,0,0,0
"369","heart-whole",1,0,1,0,0,0,0
"370","high-spirited",1,0,0,0,1,0,0
"371","hopeful",1,0,1,0,0,0,0
"372","hostile",1,0,0,0,0,0,1
"373","hypocritical",1,0,0,0,0,1,0
"374","ill-judging",1,0,1,0,0,0,0
"375","improvident",1,0,0,0,0,0,1
"376","inarticulate",1,0,1,0,0,0,0
"377","incredulous",1,0,0,0,0,1,0
"378","indecisive",1,0,0,0,1,0,0
"379","indefatigable",1,0,1,0,0,0,0
"380","indirect",1,0,0,0,0,1,0
"381","inexpensive",1,0,0,0,1,0,0
"382","injudicious",1,0,1,0,0,0,0
"383","inquisitive",1,0,0,0,0,0,1
"384","inward",1,1,0,0,0,0,0
"385","irreligious",1,0,0,0,0,1,0
"386","irrepressible",1,0,0,0,0,0,1
"387","kind-hearted",1,1,0,0,0,0,0
"388","laconic",1,0,0,0,0,1,0
"389","ladylike",1,1,0,0,0,0,0
"390","lavish",1,0,0,0,1,0,0
"391","lenient",1,0,0,1,0,0,0
"392","light-hearted",1,0,1,0,0,0,0
"393","lofty",1,0,0,1,0,0,0
"394","low-spirited",1,0,0,0,0,0,1
"395","loyal",1,0,1,0,0,0,0
"396","make-believe",1,0,0,0,0,0,1
"397","mean-spirited",1,0,0,0,0,0,1
"398","mercenary",1,0,0,0,0,1,0
"399","miserly",1,0,0,0,0,1,0
"400","monastic",1,0,0,1,0,0,0
"401","mournful",1,1,0,0,0,0,0
"402","mute",1,1,0,0,0,0,0
"403","narrative",1,0,1,0,0,0,0
"404","obedient",1,0,0,0,0,0,1
"405","obsequious",1,0,0,0,0,1,0
"406","open-hearted",1,0,0,0,1,0,0
"407","overcareful",1,1,0,0,0,0,0
"408","passionate",1,0,0,0,0,0,1
"409","passive",1,0,1,0,0,0,0
"410","peevish",1,0,0,0,0,1,0
"411","philanthropic",1,0,1,0,0,0,0
"412","philippic",1,0,0,0,0,0,1
"413","pitiless",1,0,0,1,0,0,0
"414","political",1,0,0,0,0,0,1
"415","practical",1,0,1,0,0,0,0
"416","presumptuous",1,1,0,0,0,0,0
"417","profuse",1,0,0,0,0,1,0
"418","rapacious",1,0,0,0,0,0,1
"419","rash",1,0,0,0,0,0,1
"420","refined",1,1,0,0,0,0,0
"421","religious",1,0,0,0,1,0,0
"422","responsible",1,0,0,0,1,0,0
"423","restrained",1,0,0,1,0,0,0
"424","retrospective",1,0,0,0,0,1,0
"425","rigid",1,0,0,0,1,0,0
"426","scientific",1,0,0,0,1,0,0
"427","scornful",1,1,0,0,0,0,0
"428","self-willed",1,1,0,0,0,0,0
"429","sensitive",1,0,0,0,0,0,1
"430","sentimental",1,0,0,1,0,0,0
"431","shrewish",1,0,0,0,0,1,0
"432","sleek",1,1,0,0,0,0,0
"433","slippery",1,1,0,0,0,0,0
"434","slovenly",1,0,1,0,0,0,0
"435","sluggish",1,1,0,0,0,0,0
"436","soft-hearted",1,1,0,0,0,0,0
"437","speculative",1,0,0,0,0,0,1
"438","spendthrift",1,0,0,0,1,0,0
"439","sportive",1,0,0,1,0,0,0
"440","squeamish",1,0,0,0,0,1,0
"441","staid",1,0,0,0,0,1,0
"442","stern",1,0,0,0,1,0,0
"443","straightforward",1,1,0,0,0,0,0
"444","studious",1,0,0,0,0,1,0
"445","stylish",1,0,0,0,0,0,1
"446","subservient",1,0,0,0,0,0,1
"447","sunny",1,0,0,0,1,0,0
"448","supercilious",1,0,0,0,0,1,0
"449","swift",1,0,0,1,0,0,0
"450","tardy",1,0,0,0,0,0,1
"451","tart",1,1,0,0,0,0,0
"452","tenacious",1,0,1,0,0,0,0
"453","tender-hearted",1,1,0,0,0,0,0
"454","tidy",1,0,0,0,0,0,1
"455","timid",1,0,1,0,0,0,0
"456","tough",1,0,1,0,0,0,0
"457","tractable",1,0,0,0,0,1,0
"458","traditional",1,0,0,1,0,0,0
"459","treacherous",1,0,1,0,0,0,0
"460","tyrannical",1,0,1,0,0,0,0
"461","unassuming",1,0,0,0,0,1,0
"462","unbiased",1,1,0,0,0,0,0
"463","uncandid",1,0,0,1,0,0,0
"464","unceremonious",1,0,1,0,0,0,0
"465","unchanging",1,0,1,0,0,0,0
"466","uncordial",1,0,0,0,0,0,1
"467","underhand",1,0,1,0,0,0,0
"468","undeviating",1,0,0,0,1,0,0
"469","undiscerning",1,0,0,0,0,0,1
"470","undutiful",1,0,0,0,0,1,0
"471","unequivocal",1,1,0,0,0,0,0
"472","ungallant",1,1,0,0,0,0,0
"473","unmirthful",1,1,0,0,0,0,0
"474","unobservant",1,0,1,0,0,0,0
"475","unobtrusive",1,0,0,0,0,0,1
"476","unselfish",1,1,0,0,0,0,0
"477","unsolicitous",1,0,0,0,1,0,0
"478","untidy",1,0,0,0,0,1,0
"479","unyielding",1,0,1,0,0,0,0
"480","upstart",1,0,0,0,0,1,0
"481","vehement",1,0,0,0,1,0,0
"482","vocal",1,1,0,0,0,0,0
"483","wary",1,0,0,0,1,0,0
"484","wasteful",1,0,1,0,0,0,0
"485","windy",1,1,0,0,0,0,0
"486","zealous",1,0,0,0,0,0,1
"487","abject",0,0,0,0,0,0,0
"488","absent-minded ",0,0,0,0,0,0,0
"489","absolutist",0,0,0,0,0,0,0
"490","absorbent",0,0,0,0,0,0,0
"491","abstemious",0,0,0,0,0,0,0
"492","abstentions",0,0,0,0,0,0,0
"493","abstinent",0,0,0,0,0,0,0
"494","academic",0,0,0,0,0,0,0
"495","accelerative",0,0,0,0,0,0,0
"496","accendible",0,0,0,0,0,0,0
"497","accessible ",0,0,0,0,0,0,0
"498","accomodating",0,0,0,0,0,0,0
"499","accordiable",0,0,0,0,0,0,0
"500","accrescent",0,0,0,0,0,0,0
"501","accretive",0,0,0,0,0,0,0
"502","accroaching",0,0,0,0,0,0,0
"503","acerbate",0,0,0,0,0,0,0
"504","acharné",0,0,0,0,0,0,0
"505","acquiescent",0,0,0,0,0,0,0
"506","acquisitive",0,0,0,0,0,0,0
"507","acrobatical",0,0,0,0,0,0,0
"508","adamantean",0,0,0,0,0,0,0
"509","adherent",0,0,0,0,0,0,0
"510","adhesive",0,0,0,0,0,0,0
"511","adsorptive",0,0,0,0,0,0,0
"512","adulatory",0,0,0,0,0,0,0
"513","advancive ",0,0,0,0,0,0,0
"514","adventurous",0,0,0,0,0,0,0
"515","adversary",0,0,0,0,0,0,0
"516","advertent",0,0,0,0,0,0,0
"517","advertising",0,0,0,0,0,0,0
"518","aery",0,0,0,0,0,0,0
"519","aesthetic ",0,0,0,0,0,0,0
"520","afald ",0,0,0,0,0,0,0
"521","affective",0,0,0,0,0,0,0
"522","affluent",0,0,0,0,0,0,0
"523","afterwise",0,0,0,0,0,0,0
"524","afterwitted",0,0,0,0,0,0,0
"525","agaçant",0,0,0,0,0,0,0
"526","agglomerative",0,0,0,0,0,0,0
"527","agglutinative",0,0,0,0,0,0,0
"528","aggregative",0,0,0,0,0,0,0
"529","aggressive",0,0,0,0,0,0,0
"530","agile",0,0,0,0,0,0,0
"531","agonistical",0,0,0,0,0,0,0
"532","agnostical ",0,0,0,0,0,0,0
"533","agrestic",0,0,0,0,0,0,0
"534","aidant",0,0,0,0,0,0,0
"535","armful",0,0,0,0,0,0,0
"536","alacritous",0,0,0,0,0,0,0
"537","alambique",0,0,0,0,0,0,0
"538","à la militaire",0,0,0,0,0,0,0
"539","alarmist",0,0,0,0,0,0,0
"540","alchemistic ",0,0,0,0,0,0,0
"541","aldermanic",0,0,0,0,0,0,0
"542","alert ",0,0,0,0,0,0,0
"543","alternative",0,0,0,0,0,0,0
"544","altruistic ",0,0,0,0,0,0,0
"545","amative",0,0,0,0,0,0,0
"546","amatory",0,0,0,0,0,0,0
"547","ambagious ",0,0,0,0,0,0,0
"548","amnesic ",0,0,0,0,0,0,0
"549","amorevolous ",0,0,0,0,0,0,0
"550","amorous",0,0,0,0,0,0,0
"551","anal",0,0,0,0,0,0,0
"552","analgesic",0,0,0,0,0,0,0
"553","analytical",0,0,0,0,0,0,0
"554","anarchistic",0,0,0,0,0,0,0
"555","anecdotal",0,0,0,0,0,0,0
"556","anile",0,0,0,0,0,0,0
"557","animose",0,0,0,0,0,0,0
"558","anticipative",0,0,0,0,0,0,0
"559","apathetic",0,0,0,0,0,0,0
"560","apish",0,0,0,0,0,0,0
"561","aplomb",0,0,0,0,0,0,0
"562","apolaustic",0,0,0,0,0,0,0
"563","applause-seeking",0,0,0,0,0,0,0
"564","approbative",0,0,0,0,0,0,0
"565","appropriative",0,0,0,0,0,0,0
"566","aprioristic",0,0,0,0,0,0,0
"567","arbitrary",0,0,0,0,0,0,0
"568","architectonical",0,0,0,0,0,0,0
"569","arenose",0,0,0,0,0,0,0
"570","arrogant",0,0,0,0,0,0,0
"571","arrogative",0,0,0,0,0,0,0
"572","artistic",0,0,0,0,0,0,0
"573","ascendant",0,0,0,0,0,0,0
"574","ascetic",0,0,0,0,0,0,0
"575","asperse",0,0,0,0,0,0,0
"576","assembler",0,0,0,0,0,0,0
"577","assentient ",0,0,0,0,0,0,0
"578","assertive",0,0,0,0,0,0,0
"579","asseverative",0,0,0,0,0,0,0
"580","assimilative",0,0,0,0,0,0,0
"581","assistfu;",0,0,0,0,0,0,0
"582","assistive",0,0,0,0,0,0,0
"583","assuasive",0,0,0,0,0,0,0
"584","assured",0,0,0,0,0,0,0
"585","astucious",0,0,0,0,0,0,0
"586","astute",0,0,0,0,0,0,0
"587","atavistic",0,0,0,0,0,0,0
"588","atheist",0,0,0,0,0,0,0
"589","atrabilious",0,0,0,0,0,0,0
"590","attitudinizing",0,0,0,0,0,0,0
"591","attrite",0,0,0,0,0,0,0
"592","augural",0,0,0,0,0,0,0
"593","auld-farrant",0,0,0,0,0,0,0
"594","aulic",0,0,0,0,0,0,0
"595","austere",0,0,0,0,0,0,0
"596","autocratic",0,0,0,0,0,0,0
"597","autonoetic",0,0,0,0,0,0,0
"598","autonomous",0,0,0,0,0,0,0
"599","avaricious",0,0,0,0,0,0,0
"600","avid",0,0,0,0,0,0,0
"601","aweless",0,0,0,0,0,0,0
"602","bacchanalian",0,0,0,0,0,0,0
"603","balky",0,0,0,0,0,0,0
"604","bardish",0,0,0,0,0,0,0
"605","bardy",0,0,0,0,0,0,0
"606","battleful",0,0,0,0,0,0,0
"607","beau",0,0,0,0,0,0,0
"608","beau brummel",0,0,0,0,0,0,0
"609","beauclerk ",0,0,0,0,0,0,0
"610","beliefful",0,0,0,0,0,0,0
"611","beliefless ",0,0,0,0,0,0,0
"612","belittler",0,0,0,0,0,0,0
"613","belicose",0,0,0,0,0,0,0
"614","belligerent",0,0,0,0,0,0,0
"615","bendsome",0,0,0,0,0,0,0
"616","benign",0,0,0,0,0,0,0
"617","benignant",0,0,0,0,0,0,0
"618","bubacious",0,0,0,0,0,0,0
"619","biblicist",0,0,0,0,0,0,0
"620","biblioclast",0,0,0,0,0,0,0
"621","bibliognostic",0,0,0,0,0,0,0
"622","biblioklept",0,0,0,0,0,0,0
"623","bibliolatrous",0,0,0,0,0,0,0
"624","bibliomaniacal",0,0,0,0,0,0,0
"625","bibliophilic ",0,0,0,0,0,0,0
"626","bibliotaphic",0,0,0,0,0,0,0
"627","biblist",0,0,0,0,0,0,0
"628","bibulous",0,0,0,0,0,0,0
"629","biddable",0,0,0,0,0,0,0
"630","biophilist",0,0,0,0,0,0,0
"631","birlie",0,0,0,0,0,0,0
"632","birreller",0,0,0,0,0,0,0
"633","bishoplike",0,0,0,0,0,0,0
"634","bitterish",0,0,0,0,0,0,0
"635","blameful",0,0,0,0,0,0,0
"636","bland",0,0,0,0,0,0,0
"637","blandiloquous",0,0,0,0,0,0,0
"638","blasé",0,0,0,0,0,0,0
"639","blate ",0,0,0,0,0,0,0
"640","blazer",0,0,0,0,0,0,0
"641","blithe",0,0,0,0,0,0,0
"642","blitheful",0,0,0,0,0,0,0
"643","bloodshedder",0,0,0,0,0,0,0
"644","bloodthirsty",0,0,0,0,0,0,0
"645","bloody-minded",0,0,0,0,0,0,0
"646","bluff",0,0,0,0,0,0,0
"647","blushful",0,0,0,0,0,0,0
"648","blusterous",0,0,0,0,0,0,0
"649","boggish",0,0,0,0,0,0,0
