"accustomed" "afraid" "beautiful" "best" "calm" "capable" "careful" "cautious" "cheerful" "clean" "clever" "comfortable" "compassionate" "cruel" "curious" "dangerous" "delicate" "delicious" "delighted" "delightful" "different" "encouraging" "exciting" "expensive" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "fancy" "free" "friendly" "funny" "generous" "gentle" "genuine" "graceful" "greatest" "happier" "happy" "harmless" "honest" "humble" "jest" "legal" "liberal" "loose" "mighty" "minded" "modest" "moral" "mysterious" "natural" "neat" "original" "peaceful" "pleasant" "polite" "popular" "powerful" "professional" "proud" "prudent" "qualified" "quiet" "responsible" "rich" "safe" "secure" "selfish" "sincere" "smart" "social" "special" "stable" "strong" "superior" "surprising" "thoughtful" "uncertain" "universal" "weak" "worth" "weaker" "unpleasant" "welcome" "wise"
"compassionate" 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0
"cruel" 1 2 1 2 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 3 0 0 1 0 1 1 2 2 1 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 4 0 1 1 0 0 0 0 0 0 0 1 0 0 2 2 0 2 0 0 0 0 0
"curious" 5 1 1 4 1 0 1 1 0 1 0 1 0 1 0 0 1 1 0 1 3 0 0 0 1 1 1 1 3 0 0 3 1 0 0 3 1 0 1 0 2 0 0 3 0 1 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 1 1 0 0 2 1 0 4 0 0 0 0 1 0 0 4 0 1 2 2 0 1 1 1 1 0 1
"dangerous" 0 2 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 1 1 1 2 0 0 0 1 0 1 0 0 1 0 0
"delicate" 0 0 1 3 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 1 0 1 0 1 0 0 3 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 2 0 1 0 1 2 0 0 1 0 0 0 1 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 2 1 0 1 0 1 1 2 0 0 0 0
"delicious" 1 0 3 1 0 0 0 0 2 1 1 2 0 0 1 0 0 0 1 2 1 0 0 0 2 1 1 0 0 0 0 1 0 0 1 2 0 0 1 0 5 0 2 2 0 1 1 0 2 0 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 2 0 2 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 0 0 1 1
"delighted" 0 0 0 0 0 0 0 0 3 0 0 2 1 0 0 0 0 1 0 2 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 4 0 0 1 1 0 0 0 1 2 0 0 0 0 0 4 0 2 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0
"delightful" 1 0 1 2 0 0 0 0 3 1 0 0 0 0 1 0 0 2 2 0 0 0 0 0 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 3 1 1 0 0 0 0 0 0 0 0 1
"different" 1 4 2 7 2 0 4 1 5 3 1 4 1 0 3 0 2 1 0 0 0 1 0 0 2 2 3 2 4 0 0 5 2 2 1 3 2 1 1 1 8 0 4 3 0 1 0 0 1 1 1 1 1 4 1 4 4 8 1 2 1 2 0 2 0 7 1 5 2 0 0 1 0 0 2 0 6 1 1 3 0 0 4 2 2 1 0 2
"encouraging" 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
"exciting" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 2 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 1 0 0 0 0 0 1 0
"expensive" 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 2 0 0 0 0
"extraordinary" 2 5 4 6 0 1 2 2 4 2 0 1 1 1 1 0 1 2 1 3 2 1 1 2 0 2 5 1 1 1 2 2 3 0 0 4 0 1 1 1 8 0 1 1 0 3 1 1 1 2 0 1 1 3 0 5 0 5 1 3 2 1 3 2 0 1 0 7 2 0 1 1 2 0 0 1 8 2 2 2 3 0 3 3 1 1 1 0
"extreme" 2 0 2 4 0 0 3 1 6 0 1 4 0 0 1 0 0 1 0 2 2 0 1 0 2 0 2 0 4 0 0 6 2 0 0 2 0 2 0 1 4 1 2 2 1 2 0 1 1 1 1 2 2 2 1 5 0 7 0 1 1 1 1 0 0 3 1 4 2 0 0 0 0 2 1 0 6 1 0 2 0 2 2 2 0 2 2 2
"fair" 2 3 4 5 2 0 3 2 2 0 0 3 0 1 1 2 1 1 1 1 3 1 0 2 5 2 0 2 3 1 0 5 4 2 0 4 1 1 0 3 4 0 3 3 1 4 1 0 0 0 1 2 1 6 0 6 2 5 0 2 0 2 2 2 0 4 1 3 3 0 0 0 1 1 0 1 10 0 1 4 2 0 2 2 0 1 0 0
"faithful" 0 1 1 3 1 0 1 0 2 2 0 1 0 1 1 0 0 0 1 0 2 0 0 0 1 0 2 0 0 0 0 2 0 0 1 3 0 0 0 0 4 0 1 1 1 2 0 0 0 0 0 0 0 1 0 1 1 3 0 0 0 0 0 1 1 3 0 1 0 0 0 0 0 0 0 0 2 0 1 2 0 0 2 0 0 0 1 1
"familiar" 3 0 4 2 2 0 3 2 3 1 1 3 0 0 3 0 1 0 0 0 4 1 1 0 1 4 3 0 0 0 0 4 1 1 0 3 2 1 1 2 7 0 2 4 0 2 0 1 1 0 1 3 2 4 1 3 0 3 0 2 0 0 0 0 0 4 0 1 1 1 0 0 0 1 1 0 7 0 0 4 0 1 1 1 2 1 1 0
"famous" 1 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"fancy" 1 1 0 1 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 2 0 1 1 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
"free" 2 3 7 6 3 1 4 1 8 0 1 4 1 0 3 1 3 1 0 0 5 0 0 0 2 6 5 2 4 0 0 0 4 1 1 7 1 2 1 4 7 0 2 7 0 3 1 1 2 1 0 4 3 3 0 5 3 9 0 1 1 2 1 0 1 7 0 3 1 2 0 3 2 1 1 2 8 1 0 4 0 2 2 3 0 1 2 0
"friendly" 2 5 2 3 1 1 2 2 4 1 0 1 1 0 1 1 0 0 0 0 2 0 0 0 3 2 4 0 1 1 0 4 0 0 1 5 0 3 0 0 3 0 2 3 1 1 0 1 0 0 1 0 2 5 0 2 0 6 3 2 2 2 2 0 2 2 0 4 0 0 1 1 2 2 0 2 11 0 0 1 1 0 1 1 0 1 3 1
"funny" 0 0 0 1 1 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 2 1 0 0 0 0 2 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 2 0 2 0 1 0 2 0 2 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0
"generous" 0 1 2 3 1 0 0 1 0 1 0 2 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 1 2 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 0
"gentle" 2 5 5 8 4 1 0 1 5 1 0 5 1 3 3 0 1 2 1 0 3 1 0 0 4 2 4 3 3 1 2 7 5 0 1 0 0 2 2 1 11 2 3 5 1 4 0 0 3 0 2 1 2 2 0 2 1 4 1 1 0 1 1 2 2 7 1 2 3 1 2 1 1 0 0 1 9 1 0 3 2 0 2 2 0 0 2 0
"genuine" 1 0 1 1 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 2 1 0 0 0 0 1 0 2 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 3 0 1 0 1 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1
"graceful" 0 3 1 2 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 2 1 0 1 0 0 2 3 0 0 2 0 0 0 0 1 0 1 2 1 0 0 0 0 0 0 0 0 1 1 0 0 3 1 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 2 0 0 0 0 0 1 0 0 0 1 0
"greatest" 0 0 2 6 1 0 0 0 2 1 0 3 0 1 1 0 1 1 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 1 0 2 0 0 0 2 3 0 2 1 0 0 0 0 1 0 0 1 1 0 0 0 0 4 0 0 1 2 0 1 0 1 1 0 2 0 0 0 0 0 0 0 3 0 1 1 1 0 2 0 0 1 0 0
"happier" 1 0 5 3 1 0 2 0 1 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 1 1 3 0 2 0 1 4 0 0 0 1 1 0 2 0 3 0 0 1 0 0 0 0 0 1 0 2 0 1 0 1 2 1 0 0 0 0 1 0 0 2 0 0 3 0 0 1 0 0 1 0 3 0 0 2 1 1 0 2 0 0 1 0
"happy" 3 6 9 10 3 0 3 2 15 3 3 8 1 1 2 0 1 5 4 2 8 1 0 0 8 4 4 4 7 0 2 7 3 0 0 11 0 1 3 3 0 2 4 6 2 1 0 1 3 0 2 5 2 5 3 8 3 12 1 2 2 0 1 0 2 24 0 7 2 1 2 2 5 0 0 3 15 1 3 5 6 1 8 5 1 1 5 4
"harmless" 1 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0
"honest" 0 7 7 8 1 0 2 1 3 0 0 4 0 2 0 0 0 2 0 0 4 0 1 1 1 2 3 1 2 0 1 2 2 0 1 3 0 1 2 0 4 1 0 2 1 1 1 0 0 0 1 2 0 3 0 3 1 6 1 1 0 0 1 0 1 4 0 1 1 0 0 1 1 0 2 0 4 0 1 1 1 0 1 1 1 1 4 0
"humble" 2 4 3 5 1 0 2 1 2 3 1 5 1 2 3 0 0 2 1 1 3 0 0 1 1 2 3 1 4 0 1 7 3 1 0 5 1 2 1 1 6 0 2 0 1 2 0 2 3 0 0 2 1 4 0 4 1 4 1 1 0 2 3 1 0 9 1 0 2 0 1 1 1 2 1 0 5 0 1 1 1 2 3 1 0 0 2 0
"jest" 0 2 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0 1 0 0 2 1 1 1 0 0 0 1 0 0 1 0 0 0 1 2 0 2 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0
"legal" 2 2 5 4 0 0 0 2 1 1 0 6 0 1 1 1 0 1 0 1 1 0 0 0 3 2 4 2 2 1 0 3 1 0 2 4 0 0 0 0 1 0 1 2 0 0 0 0 0 0 2 2 2 2 0 3 1 2 0 0 0 2 1 3 0 3 0 1 0 2 0 0 0 1 0 0 6 0 1 1 2 0 0 1 0 2 0 0
"liberal" 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0
"loose" 0 1 0 3 0 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 1 0 0 1 0 1 0 1 1 1 0 0 0 0 0 3 0 1 2 0 0 0 1 0 0 1 0 0 1 0 1 1 1 0 0 0 1 1
"mighty" 0 1 1 1 2 1 1 0 3 2 0 1 0 1 0 0 2 2 1 1 1 0 0 0 1 1 0 0 1 0 0 2 0 0 0 3 0 0 1 0 3 0 0 3 0 0 0 0 0 0 0 0 1 1 0 0 2 1 0 0 0 0 0 1 0 3 0 1 2 0 0 1 0 0 0 0 3 0 0 1 0 1 2 0 0 1 0 1
"minded" 0 0 0 1 0 0 0 0 2 0 0 2 0 0 0 0 0 0 2 1 1 0 0 0 2 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0
"modest" 0 1 2 1 1 0 1 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 1 0 0 2 0 0 0 0 2 0 1 0 1 2 0 1 0 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 2 0 2 0 0 0 0 0 1 0 1 2 1 0 1 1 0 1 0 0 1 0 0
"moral" 0 2 5 2 3 0 2 0 3 0 2 4 0 0 0 0 0 0 0 0 1 1 1 0 1 2 2 0 3 0 2 4 0 1 0 1 1 0 1 2 5 0 2 2 0 2 1 0 0 1 1 0 2 2 0 5 0 5 0 1 0 2 1 0 0 3 0 1 1 0 0 1 1 1 0 1 5 0 0 3 1 0 0 1 0 1 1 1
"mysterious" 0 2 1 3 0 1 0 1 3 0 1 4 0 0 1 0 1 0 0 0 1 0 0 0 1 2 1 0 2 0 0 3 2 0 1 2 0 0 1 0 2 0 0 1 0 2 0 0 1 0 1 2 0 2 0 1 0 1 0 0 0 2 0 0 0 1 1 0 1 0 0 0 1 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0
"natural" 2 7 3 9 1 0 3 0 5 2 0 6 0 1 2 1 2 1 0 0 4 1 1 2 3 2 6 1 4 0 0 3 5 2 2 2 3 1 0 1 5 0 3 4 0 2 1 1 1 0 1 2 2 0 0 5 1 6 0 4 0 2 0 1 0 6 0 3 1 0 0 1 2 1 1 1 9 1 2 3 2 1 1 2 1 4 3 0
"neat" 0 1 1 1 0 0 0 0 0 2 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0
"original" 1 3 4 8 2 0 0 0 3 0 1 4 1 0 0 0 0 1 4 0 4 1 2 1 5 5 6 1 3 1 1 5 2 2 1 2 1 0 0 1 8 0 3 4 2 3 1 1 0 4 0 5 1 5 0 0 1 6 1 3 0 0 1 2 0 7 0 4 2 0 1 0 0 0 1 1 9 0 0 2 3 0 2 2 0 0 2 0
"peaceful" 1 1 3 1 1 0 1 0 1 1 0 1 1 1 0 0 1 0 0 0 4 0 0 0 0 0 2 1 0 0 0 3 0 0 1 1 0 0 0 2 3 0 1 1 0 1 0 0 2 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 5 0 1 0 0 0 2 0 0 1 0 1 0 1 1 0 1 1 2 0 0 0 0
"pleasant" 3 8 6 7 4 2 3 2 13 2 0 10 2 1 1 0 0 1 2 3 8 1 0 1 5 7 5 3 3 1 0 9 6 1 1 4 1 3 4 1 12 1 6 4 2 2 0 1 1 1 0 5 1 6 1 6 2 0 2 3 3 2 0 0 0 11 0 7 1 0 0 2 2 0 1 1 11 1 4 4 4 1 7 3 1 2 0 2
"polite" 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 3 0 0 1 0 1 0 0 1 0 1 1 1 0 0 1 0 1 1 0 0 0 0 1 0 2 0 1 2 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0
"popular" 1 1 0 2 1 0 0 0 3 0 0 2 0 0 0 0 0 0 0 0 2 2 2 1 3 1 2 0 2 0 0 1 2 2 0 1 1 1 0 0 2 0 1 1 0 0 0 1 0 0 0 1 0 4 0 3 0 3 1 0 1 2 0 1 0 1 1 1 2 1 1 0 2 0 1 1 2 0 1 0 1 0 1 1 0 0 3 0
"powerful" 1 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 2 1 0 0 0 0 0 1 2 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 1 0 0 0 0 1 0 1 3 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1
"professional" 0 1 0 2 0 0 0 0 1 1 0 2 0 0 1 0 0 0 0 0 2 0 1 2 1 1 2 0 0 0 0 2 2 2 0 1 1 0 2 0 0 0 0 2 0 2 0 0 0 0 0 2 2 2 0 0 0 2 0 2 0 0 0 2 0 0 3 1 2 1 0 0 0 0 0 0 3 1 0 1 1 1 3 2 0 1 0 1
"proud" 1 1 1 1 0 0 0 0 0 0 0 2 1 0 1 0 0 1 0 1 0 0 0 0 3 1 2 0 0 0 1 1 2 0 0 1 0 1 0 1 1 0 1 3 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 0 0
"prudent" 0 0 1 3 0 0 0 0 0 1 0 2 0 1 0 1 0 0 0 0 2 0 1 1 2 0 2 1 0 1 0 0 0 0 0 2 1 0 1 0 0 0 0 1 0 3 0 0 1 0 0 0 0 1 0 2 0 0 0 1 0 2 0 0 0 3 0 2 1 0 0 0 0 0 0 0 2 1 0 0 3 0 1 0 0 1 0 1
"qualified" 0 0 1 3 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 2 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 1 0 0 1 0 0 0 2 1
"quiet" 3 8 9 10 7 2 6 1 9 1 3 6 1 4 2 1 1 2 2 0 7 0 0 0 1 3 4 3 4 1 1 7 2 0 0 7 0 0 1 2 24 2 4 9 2 3 0 3 3 0 2 3 1 6 2 7 5 11 0 1 0 0 0 3 0 0 0 5 4 0 2 3 1 0 1 2 14 0 2 4 8 1 8 3 1 1 2 3
"responsible" 1 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 3 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
"rich" 2 0 3 4 0 1 1 1 5 0 0 2 0 1 0 1 2 2 0 1 5 0 0 0 7 4 3 1 1 0 1 3 4 1 0 2 1 1 0 0 7 0 1 0 0 1 0 1 1 1 2 1 0 3 0 4 1 7 1 1 3 1 1 2 0 5 1 0 0 0 0 1 1 1 0 2 6 2 1 1 0 0 2 2 0 1 1 2
"safe" 2 5 1 5 0 1 2 0 0 3 0 2 0 1 4 1 0 0 0 1 2 0 0 0 2 2 3 0 1 0 1 1 0 1 0 3 0 0 2 3 2 0 1 2 1 0 0 2 2 0 0 1 1 1 0 2 0 1 0 2 0 2 0 1 0 4 2 0 0 0 0 0 1 0 0 1 4 0 2 1 2 0 4 1 1 0 1 1
"secure" 1 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
"selfish" 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0
"sincere" 1 0 3 1 1 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 3 1 0 0 1 0 0 0 1 2 0 1 1 0 0 0 0 1 0 0 1 0 1 0 0 2 2 1 0 1 0 0 0 1 3 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 1 0
