"accustomed" "afraid" "amusing" "appropriate" "beautiful" "best" "brave" "bustle" "calm" "careful" "cautious" "cheerful" "clean" "clever" "comfortable" "confident" "cruel" "curious" "dangerous" "delicate" "delicious" "delighted" "delightful" "determined" "different" "energetic" "enthusiastic" "exciting" "expensive" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "fancy" "free" "friendly" "funny" "gentle" "graceful" "greatest" "happy" "honest" "humble" "independent" "individual" "intelligent" "interesting" "irregular" "learned" "legal" "liberal" "loose" "married" "mighty" "minded" "modest" "moral" "mysterious" "mystic" "natural" "neat" "original" "passionate" "peaceful" "playful" "pleasant" "pleasing" "polite" "popular" "powerful" "professional" "proud" "quiet" "reasonable" "rich" "sacred" "safe" "smart" "special" "stable" "strong" "superior" "surprising" "thoughtful" "top" "uncertain" "united" "unpleasant" "worth" "universal" "threatening" "wise" "weak"
"clean" 0 1 0 0 1 5 0 0 0 0 0 2 0 0 4 0 1 3 2 0 1 0 3 0 1 0 0 1 0 2 0 4 0 1 0 0 0 2 0 0 0 0 3 0 1 0 0 0 0 0 0 1 0 1 1 0 1 0 1 3 1 1 3 1 1 0 0 4 0 0 0 0 3 0 4 2 0 1 1 3 0 1 2 0 0 1 2 0 0 1 2 0 0 0 2
"clever" 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 1 1 1 1 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0
"comfortable" 1 4 0 0 3 7 0 0 0 7 1 5 4 0 0 0 1 1 2 1 2 4 3 1 2 3 2 1 0 2 0 4 1 2 0 0 1 2 1 1 0 1 9 1 3 1 0 0 3 0 0 3 0 0 3 0 0 0 6 4 0 7 3 1 0 0 1 8 0 0 1 2 3 3 8 2 3 0 5 3 3 1 3 0 1 6 1 0 1 1 1 0 0 3 1
"confident" 0 1 0 0 0 3 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"cruel" 0 2 1 0 0 2 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 1 0 1 1 0 0 0 0 0 1 1 2 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 2 0 1 0 0 0 2 0 1 0 0 0 2 0 0 2 1 0 0 0 1 0 0 0 0
"curious" 2 1 2 0 4 6 0 0 1 1 0 3 3 2 1 0 0 0 0 4 0 0 2 2 3 1 0 0 0 4 3 5 1 0 1 0 0 2 0 1 1 1 5 1 0 0 0 0 2 1 1 3 0 2 1 2 1 0 1 5 1 5 0 1 0 0 0 6 1 1 0 1 4 2 2 1 4 1 2 3 0 0 1 2 1 0 0 1 0 5 1 1 0 1 0
"dangerous" 0 0 0 0 1 2 0 1 1 1 1 0 2 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 3 0 0 0 0 0 3 0 0 0 0 1 0 4 1 0 1 2 2 1 0 2 0 1 0 2 0 1 1 0 0 0 0 1
"delicate" 0 2 1 0 2 5 0 0 0 1 1 2 0 0 1 0 0 4 0 0 1 0 0 0 4 1 1 1 0 1 0 3 1 0 0 1 0 0 0 2 0 2 2 3 1 1 0 0 0 0 0 0 0 0 0 2 2 1 1 2 0 2 1 1 0 0 0 2 0 0 0 1 2 1 1 0 2 0 2 2 0 0 2 0 0 0 0 1 0 1 0 0 1 2 0
"delicious" 0 1 0 0 1 0 1 0 1 0 0 1 1 0 2 0 0 0 0 1 0 0 1 0 0 0 1 2 0 0 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 2 1 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0
"delighted" 1 5 1 0 1 7 0 0 0 1 0 1 0 0 4 1 2 0 0 0 0 0 4 0 4 1 1 0 0 5 1 1 1 0 0 0 0 2 0 1 1 0 5 1 4 2 1 0 2 0 0 1 0 1 2 3 0 0 0 1 0 1 0 0 0 0 0 6 0 0 2 1 4 2 2 0 2 1 2 3 0 0 1 1 0 2 0 0 0 0 0 0 1 2 0
"delightful" 0 6 0 1 7 5 0 0 2 1 0 1 3 0 3 0 1 2 0 0 1 4 0 2 2 3 1 1 0 2 2 2 1 0 0 2 0 1 0 2 1 2 4 0 2 2 2 1 0 0 0 1 1 1 0 2 2 0 2 3 0 5 1 1 2 0 0 8 3 0 0 1 2 1 2 3 3 0 4 2 3 0 7 0 1 0 1 0 1 1 1 0 0 1 0
"determined" 0 1 0 0 1 2 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 2 0 1 1 0 0 0 2 1 2 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 4 0 2 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 2 1
"different" 2 4 1 0 3 6 1 1 0 1 1 3 1 0 2 0 1 3 1 4 0 4 2 1 0 1 3 1 0 6 3 0 4 1 0 0 0 0 1 2 0 4 9 0 1 0 0 1 1 0 1 1 0 2 2 2 1 1 1 2 0 1 1 3 1 2 0 6 0 0 0 1 5 1 4 0 1 1 4 4 1 2 4 1 1 3 4 2 0 3 0 0 2 1 0
"energetic" 0 1 1 0 1 2 0 0 0 1 0 0 0 0 3 0 1 1 0 1 0 1 3 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 1 0 0 0 1 2 0 0 1 0 1 0 2 0 0 0 1 0 0 0 1 0 2 2 0 0 0 0 0 0 0 0 0
"enthusiastic" 1 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 1 1 1 0 3 0 0 2 1 3 0 1 3 0 0 0 0 0 0 2 0 1 4 0 1 1 0 0 4 0 1 1 1 0 2 0 0 0 0 3 0 0 2 1 1 0 0 3 1 0 0 0 1 1 3 0 4 0 1 0 1 0 1 1 0 0 0 1 2 0 0 1 2 0 0
"exciting" 0 0 0 0 3 0 0 0 1 1 0 0 1 0 1 0 0 0 0 1 2 0 1 0 1 0 2 0 0 2 0 1 1 0 0 1 0 0 0 1 0 2 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 1 0 1 0 1 2 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 1 0
"expensive" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 3 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 2 0 0 0 1 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1
"extraordinary" 2 10 0 1 5 12 0 2 2 4 1 2 2 0 2 1 0 4 2 1 0 5 2 2 6 1 3 2 0 0 4 6 4 0 0 0 0 4 1 3 0 2 6 2 2 2 3 0 3 1 1 4 1 0 1 6 1 1 0 11 0 6 1 1 0 0 1 3 0 2 1 4 4 4 7 1 1 1 3 6 3 2 6 0 1 3 6 2 1 3 1 1 1 1 1
"extreme" 2 2 1 0 3 6 0 0 1 1 1 2 0 0 0 0 0 3 0 0 0 1 2 1 3 0 0 0 1 4 0 2 0 0 1 0 0 3 0 0 1 0 4 0 1 0 2 0 1 0 1 1 0 1 1 1 0 0 0 4 1 2 0 0 0 1 0 3 0 0 1 0 3 0 2 1 0 0 2 2 0 0 2 1 1 0 2 3 2 4 1 0 0 0 0
"fair" 1 3 0 1 1 5 0 0 4 1 1 4 4 0 4 0 1 5 1 3 1 1 2 2 0 0 1 1 0 6 2 0 0 0 1 0 1 1 0 1 0 0 3 3 1 1 2 0 3 0 0 1 0 1 0 6 0 1 3 5 1 5 1 0 0 0 0 4 0 0 1 2 3 2 1 2 3 0 1 2 4 1 6 1 0 1 1 0 0 2 1 1 0 3 0
"faithful" 1 0 1 1 3 1 0 3 2 1 0 1 0 1 1 0 1 1 1 1 0 1 1 0 4 0 3 1 0 4 0 0 0 0 1 1 0 2 0 1 0 1 4 0 1 0 0 0 2 0 1 2 0 1 0 0 0 0 0 2 0 0 1 1 0 0 0 4 2 0 1 1 1 2 0 1 1 0 0 2 0 1 2 1 1 0 2 0 0 0 1 0 2 1 0
"familiar" 1 2 0 0 2 3 0 0 0 1 0 1 1 0 2 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 1 2 0 2 0 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 1 1 0 0 1 1 2 0 0 0 0 0 1 0 0
"famous" 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 1 2 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0
"fancy" 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0
"free" 0 2 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 2 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 2 0 2 0 0 0 1 0 3 0 0 0 0 1 0 2 3 0 0 0 0
"friendly" 0 2 0 0 1 5 0 0 1 2 0 2 2 0 2 0 0 2 0 0 0 2 1 1 0 0 0 0 1 4 3 1 2 0 0 0 1 0 0 0 2 0 5 0 3 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 3 1 0 0 0 0 3 1 1 1 2 4 4 3 0 0 0 2 0 0 0 2 0 0 0 0 1 0 2 0 1 1 1 1
"funny" 0 1 0 0 1 0 0 1 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
"gentle" 0 2 0 0 2 6 1 0 2 1 1 3 0 0 1 0 1 1 0 2 1 1 2 0 2 0 2 1 0 3 0 1 1 0 0 0 2 0 0 0 0 1 4 0 2 0 0 0 1 0 0 3 0 0 1 2 1 1 1 4 1 1 0 0 1 2 0 5 1 0 0 1 1 0 5 1 8 0 1 2 1 0 5 1 0 2 2 0 0 1 2 0 0 2 1
"graceful" 1 3 0 1 2 1 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 2 0 0 0 0 2 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 1 0 0 1 3 0 0 2 0 0 0 1 0 1 0 0 1 0 1 2 0 0 0 0 0 0 1 1 1 0 0 0
"greatest" 0 4 0 0 1 5 0 0 0 0 0 1 0 0 1 0 0 1 0 2 0 0 2 0 4 0 1 2 0 2 0 0 1 0 1 0 1 0 1 1 0 0 2 0 1 0 0 0 1 2 0 1 0 0 1 0 1 1 1 1 0 4 0 2 1 0 0 2 0 0 0 0 2 1 0 1 1 0 0 1 0 0 1 1 0 0 0 2 0 1 1 0 0 0 0
"happy" 2 4 1 1 5 10 1 0 5 5 1 10 3 0 9 1 0 5 1 2 1 5 4 1 9 2 4 1 3 6 4 3 4 1 1 1 1 5 2 4 2 2 0 2 2 4 2 1 6 2 1 1 2 0 3 4 0 1 1 3 2 6 4 2 1 1 2 16 0 0 1 2 4 10 9 0 9 2 3 6 2 1 7 1 1 2 4 1 2 6 0 2 2 2 2
"honest" 0 3 0 1 0 3 0 0 1 2 1 0 0 0 1 1 0 1 0 3 0 1 0 0 0 0 0 0 0 2 0 3 0 0 0 0 0 0 0 0 1 0 2 0 1 2 1 0 0 2 1 0 1 0 0 2 0 0 1 0 0 2 1 0 0 1 0 1 0 1 1 1 0 0 2 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0
"humble" 0 4 1 0 1 3 0 0 1 1 1 1 1 0 3 1 1 0 1 1 0 4 2 0 1 0 1 0 0 2 1 1 1 0 0 1 0 3 0 2 1 1 2 1 0 1 1 0 1 0 0 3 0 0 0 2 0 0 0 1 0 2 0 0 0 0 0 5 1 0 3 0 3 0 1 1 1 1 0 1 0 0 2 0 0 0 1 2 0 2 0 0 0 0 0
"independent" 0 1 0 0 2 4 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 2 2 0 0 1 1 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 4 2 1 0 1 1 0 0 0 0 2 0 1 3 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 3 1 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
"individual" 1 1 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 3 2 2 0 0 1 0 0 0 0 0 1 0 2 1 1 1 0 0 0 0 0 1 0 1 0 2 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0 2 1 0 1 0 0 0 0 0 0 2 0 1 0 0 0
"intelligent" 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
"interesting" 0 1 1 0 4 1 0 0 1 2 0 0 0 0 3 1 0 2 0 0 1 2 0 0 1 0 4 2 2 3 1 3 2 1 0 0 0 0 0 1 0 1 6 0 1 0 0 0 0 1 0 0 0 0 0 1 2 0 1 2 0 2 1 0 1 0 1 3 0 0 0 0 0 1 3 0 2 0 0 0 0 0 3 0 0 0 3 1 0 1 0 1 0 2 1
"irregular" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 2 2 2 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"learned" 2 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 2 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0
"legal" 1 0 1 0 0 3 0 0 1 1 1 2 1 1 3 0 1 3 2 0 0 1 1 0 1 1 1 0 0 4 1 1 2 0 1 0 1 1 0 3 0 1 1 0 3 0 1 0 0 1 0 0 0 0 2 0 0 0 1 0 0 4 0 0 1 0 0 2 1 1 1 1 6 2 3 3 2 0 2 1 3 0 3 0 1 2 2 1 0 4 0 1 0 0 1
"liberal" 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 1 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 2 0 0 1 0 0 0 0 1 1 0 0 0 0 1 1 1 1 0 0 0 0
"loose" 2 3 0 0 2 3 1 1 0 0 0 0 1 1 0 0 1 2 0 0 1 1 1 0 2 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 2 1 0 1 0 1 1 0 0 0 1 1 0 0
"married" 0 2 0 0 2 5 0 0 0 2 0 2 1 0 3 0 1 1 0 0 0 2 0 0 2 0 2 0 0 1 1 0 0 1 0 0 0 1 0 1 0 1 3 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 1 0 3 0 1 0 0 0 0 0 0 1 0 1 1 2 0 1 0 1 0 1 0 0 0 0 1 2 0 0 3 1 0 0 0 0
"mighty" 0 4 0 1 2 4 0 0 1 1 1 2 0 0 0 1 0 2 1 2 1 3 2 2 2 0 0 1 0 6 1 6 0 0 1 1 2 0 0 2 0 0 4 2 2 3 2 1 1 0 1 0 0 0 0 0 1 1 0 4 1 1 1 0 0 0 1 5 1 0 1 1 4 3 4 2 4 1 0 3 3 1 4 1 0 1 3 1 1 1 0 0 0 2 1
"minded" 0 0 0 0 4 3 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 2 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 2 0 2 2 0 1 0 1 0 0 1 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 2 0 0 0 1 0 0 1 1 0 0 0 0
"modest" 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"moral" 1 1 0 0 1 4 0 0 1 2 1 1 1 0 6 0 0 1 0 1 0 0 2 0 1 0 0 0 1 0 0 3 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 1 1 0 1 0 0 0 3 1 1 0 2 2 1 1 2 0 0 0 0 0 0 3 1 1 0 1 2
"mysterious" 2 4 1 1 4 5 0 1 3 3 0 0 3 0 4 0 1 5 1 2 0 1 3 0 2 1 3 1 0 11 4 5 2 2 1 1 1 1 0 4 1 1 3 0 1 1 2 0 2 1 2 0 1 1 1 4 2 1 1 0 1 3 1 3 0 0 2 1 1 0 1 0 2 1 6 1 0 1 2 5 1 1 3 1 1 3 2 1 2 3 0 0 1 1 0
"mystic" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 0 1 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 3 0 0 0 0 1 0 2 0 0 0 0 0
"natural" 1 4 1 0 0 12 0 0 1 8 3 2 1 2 7 1 0 5 3 2 1 1 5 1 1 1 0 0 0 6 2 5 0 2 2 0 0 3 0 1 0 4 6 2 2 1 1 0 2 2 1 4 0 1 3 1 0 0 1 3 0 0 2 1 1 0 1 3 0 1 2 1 4 4 5 1 3 0 2 2 4 2 3 0 0 1 0 3 0 5 1 1 0 2 0
"neat" 0 0 0 0 2 5 0 0 0 2 0 4 3 0 3 0 0 0 0 1 1 0 1 0 1 1 2 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 4 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 2 0 0 0 0 1 3 0 1 1 0 0 0 2 1 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1 1 1 2 1
"original" 1 3 0 0 1 3 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 1 0 3 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 3 0 1 0 0 1 0 0 1 0 0 0 0 1 1 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0
"passionate" 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0
"peaceful" 0 1 1 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0
"playful" 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 2 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0
