"MR1";"MR4";"MR2";"MR3";"MR5";"MR6";"MR7";"MR8";"MR10";"MR9";"MR11"
"direct";0.360628676155007;0.423311346949621;0.15099033209974;0.0834559331068914;0.617413833780501;0.0834292602870824;0.0856815393446418;0.0307807888363111;0.165820127342801;0.0982338591894701;0.132208673596066
"exciting";0.247199366480587;0.59250732111863;0.470554368708958;0.114845613114301;0.20536766586847;-0.0569464672002432;0.109576661197732;0.148363259304968;0.0554154492273835;0.0535503592067118;0.277426963080917
"extraordinary";0.284946158192532;0.381493438533311;0.328761726068389;0.196731924188581;0.511128499418094;0.217894497843618;-0.013540671697195;0.0700414321862633;0.135535796925424;-0.0677740941494001;0.210145705122901
"extreme";0.323482858743251;0.349809557027636;0.398906614003071;0.260953783036858;0.261958444634233;0.0887011091731862;0.222718389339783;0.169616308377854;0.0873653964535124;0.106400813773705;0.162924551941463
"fair";0.189775624533124;0.246305875055923;0.494588917108873;0.374465887913295;0.26966626540697;0.408175209787977;0.167588065392996;0.130829478215862;0.156978631055347;-0.0267774041479416;0.168241431498852
"familiar";0.283963962801004;0.100920798967788;0.12790043241768;0.237616436953499;0.295460743972922;0.538069295547405;0.114982669298959;0.0906561805395645;0.225005775701997;0.192617489562394;-0.0331448655763011
"fancy";-0.0135124300384287;0.317081747118653;0.262849952990796;0.780251837985085;0.137645648015305;-0.0503933683594767;-0.0657302393466086;0.0322163549505274;0.158802273390534;0.0495629984081294;0.000624803245799834
"free";0.178366286610763;0.222798969404217;0.17429383793472;0.198632714607371;0.112671726655248;0.303320044979793;0.166556569895183;0.0914403027018118;0.784549133435212;0.018843356057484;0.0385389674399216
"friendly";0.357048105903208;0.577411477634792;0.19572056803318;0.153210826209722;0.145203674024609;0.282119506150733;0.206572404721456;0.30703198454003;0.128108143898052;0.0494572558358248;-0.102995407391903
"generous";0.120527399166717;0.246190357225669;0.0643933713881614;0.118548596158993;0.210989439311086;0.315284493258016;0.687669001647373;-0.09379235704251;0.136696512481809;0.121631701237691;0.120463618899051
"gentle";0.545245982669783;0.30144103208417;0.39579553597475;0.362651432601561;0.094298197699761;0.104625709607875;0.241311899361106;0.0703223049811554;0.0397936408777964;0.0792493739688986;-0.12729801784064
"greatest";0.328664281841266;0.410774212388171;0.463216380931578;0.344132946357583;0.283516629628857;0.26196717589427;0.165657685299559;0.228929785334399;0.0188868257562;-0.0432091184004862;-0.0780573516425533
"happier";0.603022815026743;0.307315402498173;0.219498722689456;0.185260597324236;0.0497683182674638;0.176614399528188;0.243673477250087;0.249354647432965;0.00316803449460631;0.0171442861388372;0.059911678984445
"happy";0.171778092450439;0.202371765734305;0.315141714994392;0.177600291748434;0.111236730220423;0.71449133838246;0.21146809978964;0.105865652819587;0.13787725627124;-0.0732655468663171;-0.0511322898689649
"honest";0.172099300866347;0.0848872026415119;-0.0952820419959206;0.551772331488172;0.179804499317451;0.177500265842573;0.429332823545552;0.243482430308907;0.289991848697044;0.117893802951434;0.110721250027106
"humble";0.439351719940662;0.662293459846328;0.182765141483111;0.107984298112569;0.137538399796138;0.164441613039821;0.10064690968626;0.0792447775986981;0.161430871458005;-0.00779470452691161;0.216546414351801
