"MR8";"MR7";"MR4";"MR3";"MR1";"MR5";"MR6";"MR2"
"cruel";0.393604203166119;0.116613741222036;0.440977734165525;0.40433748172185;0.277957493115342;0.188259758146822;0.145010214434107;0.281127692614525
"curious";0.583879155509219;0.1983202907651;0.0426929587259848;0.264072780998754;0.162268978482503;0.1661886719862;0.231969203631536;0.239269694201045
"dangerous";0.526626642301231;0.0128959928594434;0.346545508821415;0.0199176618416252;0.086866018351349;-0.102310973072942;0.0780220910996346;0.410984255639982
"delicate";0.455771604849016;0.372342248195481;0.337691823767202;0.338691860679928;0.294702342662038;0.275920222212747;-0.00593876125244108;0.0673924284211369
"delicious";-0.109164209815326;0.243801701150881;0.0662023403278878;0.671561302052611;0.166643165299249;0.175130409320109;0.271027492608205;0.194058588819579
"delighted";0.48311958504014;0.456034486227802;0.190626581042496;0.289937628143113;0.413955070630577;0.220450954566945;0.0792240708350345;-0.015145164321998
"delightful";0.453041128104722;0.358202873656531;0.146175950071202;0.38870032934384;0.411690713989108;0.270582642591339;-0.0651944269727185;0.041727199446551
"different";0.615059877642855;0.375984331596986;0.339775539567899;0.270667940546897;0.296802747585836;0.112337572033924;0.195286677972696;0.0630592216506683
"extraordinary";0.4609246916808;0.342013365756109;0.342116457888006;0.332277943465991;0.318584327669226;0.167626337942421;0.102990581338615;0.150075595870623
"extreme";0.17858206567637;0.125540070909539;0.0639761328709471;0.653449262680145;0.0372512709358697;-0.0649686143142759;-0.146662417148171;0.346090102504889
"fair";0.303232845869971;0.197097988863566;0.726399258851869;0.163767981029146;0.27329168192711;-0.00251918132380191;0.156457401091435;0.0669078431132646
"faithful";0.336791628107613;0.0966656199968314;0.661565183295153;0.0856299070592547;0.125052066953368;0.208860068990099;0.187235342551083;0.100769656474161
"familiar";0.348929378412355;0.238077239335363;0.457776944917524;0.426095428104518;0.382584337608802;0.164914575687737;0.271362674521368;0.136531371814415
"famous";0.0749458140646235;0.250392715818253;0.386828351481535;0.263177924666428;0.564403900000494;0.0579306071011989;0.217412558355157;0.0788632638970353
"fascinating";0.0164259188908498;-0.0149220016186454;0.247457433515195;0.0931576646380587;0.284326460753608;0.609409615385644;0.0980080130766836;0.0276708838919873
"free";0.375757324851917;0.234553618485501;0.290946082481048;0.489671553413176;0.238584120929986;0.267588572512786;0.132903311969123;-0.052154482692812
"friendly";0.644789124606432;0.326538287732008;0.220011835199636;0.359392011985489;0.288539679575931;0.203280368763615;0.151847331845327;0.0264445224125705
"generous";0.253943703932321;0.445654296353455;0.343851831281085;0.234046135930045;0.0513973342180628;0.307606028698209;0.169532765587127;0.168038747031936
"gentle";0.501485368513589;0.351701078801859;0.381147797940697;0.237651294267212;0.355362840718882;0.087585403010311;0.213675995207207;0.152134443906505
"greatest";0.221583955811074;0.130385779817535;0.420067674804584;0.499038612709023;0.12974411124568;0.0463311372276155;0.164880066250376;0.0701890046872558
"happier";0.366304096901087;0.35508351027639;0.314027610550054;0.354052111658176;0.33677635118486;0.194202487935166;0.283458049405741;-0.130497869813027
"happy";0.30872739263292;0.184284599752407;0.60461293375801;0.125072543355044;0.349174923675591;0.0234165651971314;0.241187713787245;0.378439875284066
"honest";0.331939135958491;0.27729920504211;0.182422928314452;0.447688200166626;0.354464528319485;0.36282576007135;0.203800123110897;0.190938543619402
"humble";0.461703508466294;0.421724710139246;0.345047554553235;0.0322884412750678;-0.0247274765569439;0.0682111716593744;-0.0661412484507121;0.0667150665912058
"individual";0.0508134177934667;0.525068577896906;0.193513451765503;0.562244957054747;0.124787482776952;0.0284213557525411;0.0249146550766425;-0.211926349974566
"interesting";0.107734609010383;0.281569529764037;-0.0761689704483418;0.199099554671903;0.165334501277653;0.627819270909005;-0.0648348873119454;0.0160551499889089
"legal";0.156313020559377;0.708456425520758;0.0939662110923923;0.377048521114488;0.0978091062956121;-0.0212045533327757;-0.0331794535295841;-0.0209933952382708
"married";0.24610879273439;0.504658808927556;0.214349041556875;0.264382759854434;0.545474203297152;0.260328513378734;0.0136226682219392;0.100108028086596
"mighty";0.279583484359482;0.0385708814780575;0.102565832276291;0.223241241583535;-0.00179578287766983;0.187216221706957;0.506624430777114;0.176770149878925
"modest";0.514980998040761;0.0156979566235643;0.511194693325248;0.174862427603738;0.274756043562789;0.297748497484888;0.102713404425592;-0.0291254099632094
"mysterious";0.186320847633138;0.298231182601836;0.150999329072033;0.288729956645158;0.253277661269356;0.380897488003177;0.228423553951018;0.0294005718190386
"natural";0.447164374929105;0.467314610555356;0.319629502361903;0.294321988058262;0.287049162441032;0.250707396293687;0.23499564132722;0.127792473556908
"neat";0.137672114394616;0.407349437899735;0.402463112157368;0.0910359848159494;0.151802358338108;0.224197963732026;0.104151444697203;0.235950586379178
"original";0.23227468448837;0.465473704678588;0.537077011687962;0.342545838748952;0.125047257503606;0.0452922598108333;0.0258729844040959;-0.105562889529374
"passionate";0.162418563160726;-0.0429116642110915;0.0629823251061548;0.087189463776266;0.576663579778863;0.221278046380539;0.219059612870708;0.164517598299625
"pleasant";0.380141442949609;0.33373169565927;0.310081796602532;0.473209400953008;0.341689094913966;0.155730550540318;0.139649683091102;0.171282776461602
"polite";0.490135499864259;0.275543578460168;0.0781551466253888;0.313751742524106;0.0078181366069412;0.410338890491297;0.0839997576347066;0.0720808289233142
"professional";0.235383897157475;0.719023039316677;0.114719153695596;0.29436513409732;0.13622102180773;0.183719192945856;0.246832677341065;0.00683237130384632
"proud";0.311553528151471;0.337075702981354;0.454273060981649;0.417234729681808;0.272737071527332;0.300416968017667;0.11847466895985;0.104853153993598
"quiet";0.597209384065599;0.333981470125003;0.274685620136145;0.336353182748988;0.294764413207278;0.233087936107869;0.226790875243609;-0.0455701839652312
"reasonable";0.0287766478994605;0.166016904921471;0.467677808315628;0.0779208144613028;0.313664804078532;-0.0886431998316702;0.571052328803292;0.11393697702332
