"accustomed" "afraid" "appropriate" "beautiful" "best" "blessed" "brave" "calm" "capable" "careful" "cautious" "cheerful" "clean" "compassionate" "confident" "cruel" "curious" "dangerous" "delicate" "determined" "different" "direct" "encouraged" "encouraging" "energetic" "extraordinary" "fair" "faithful" "familiar" "famous" "fascinating" "free" "friendly" "generous" "gentle" "genuine" "greatest" "happy" "honest" "loose" "married" "moral" "mysterious" "natural" "neat" "original" "passionate" "peaceful" "pleasant" "polite" "popular" "powerful" "proud" "quiet" "responsible" "revolutionary" "rich" "sacred" "safe" "scared" "sensual" "social" "special" "strong" "thoughtful" "uncertain" "universal" "weak" "wise" "superior" "welcome" "worth"
"energetic" 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"extraordinary" 0 1 0 1 2 0 1 0 0 0 1 0 1 1 0 1 0 2 1 0 0 0 1 1 1 0 2 1 0 0 0 2 0 1 0 0 2 3 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0
"fair" 0 1 0 3 5 0 0 1 0 0 0 0 0 1 1 0 3 2 1 1 0 1 0 1 0 2 0 1 1 1 0 2 0 0 1 2 2 2 0 1 0 0 1 4 1 1 0 0 2 0 1 1 0 1 1 1 1 2 4 1 0 0 0 3 1 0 0 2 0 0 1 2
"faithful" 0 0 0 2 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 4 1 1 2 0 1 4 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 3 1 0 0 0 0 2 0 0 0 1 0 0 0 0
"familiar" 0 1 0 1 3 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 1 0 0 1 0 1 2 0 0 0 0 1 0 1 1 0 0 0 1 0 0 1 0 0 0 2 2 0 1 1 2 0 0 0 1
"famous" 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0
"fascinating" 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0
"free" 1 1 0 3 5 0 2 1 0 1 1 0 1 1 0 3 1 3 0 0 3 0 0 1 0 2 2 4 2 0 0 0 1 1 3 0 2 5 1 2 1 2 0 2 0 1 0 1 1 0 0 0 0 4 0 0 1 1 3 1 0 0 0 7 0 1 2 0 0 0 0 3
"friendly" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 2 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 2 1 0 1 1 1 0 0 0 0 4 0 0 0 1 0 0 0 1
"generous" 0 0 0 2 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 2 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0
"gentle" 0 0 0 3 1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 1 2 0 0 0 3 0 2 0 1 0 2 1 0 0 0 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 3 0 0 1 1 0 0 1 0
"genuine" 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0
"greatest" 0 0 1 1 2 0 0 0 0 0 1 0 0 2 1 3 0 1 0 0 1 0 0 0 0 2 2 1 0 0 1 2 1 0 0 0 0 3 0 1 0 0 1 1 1 1 1 0 0 2 2 0 1 0 1 1 1 1 3 0 1 1 0 6 0 0 0 1 0 2 0 2
"happy" 0 1 1 4 3 2 1 0 1 0 1 1 1 1 1 2 0 4 2 0 0 0 0 1 0 3 2 4 1 0 1 5 2 2 2 0 3 0 0 2 1 1 0 3 1 2 0 1 1 3 0 1 1 6 0 0 2 4 2 0 1 1 0 7 0 0 0 1 0 1 0 2
"honest" 0 2 0 0 2 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 3 0 1 1 0 0 0 2 1 0 3 1 0 0 1 2 0 0 1 1 3 0 0 0 0 1 0 1 1
"loose" 0 0 1 3 2 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 2 0 0 0 0 1 0 0 0 1 2 0 0 0 0 1 2 0 0 0 0 0 1 0 2 0 0 0 1 0 1 0 1 1 0 1 1 1 0 1 1 0 3 0 0 1 1 0 1 0 1
"married" 0 0 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0
"moral" 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 3 0 0 0 1 0 0 0 2
"mysterious" 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 0 1 0 0 2 0 1 0 0 1 0 0 0 0 1 0 0 0 1 3 0 0 0 0 0 0 1 0
"natural" 0 1 0 2 6 0 1 2 1 1 0 2 0 0 2 0 2 2 3 1 0 0 1 0 1 1 4 1 2 2 0 2 1 1 1 1 1 3 3 1 1 1 2 0 1 0 0 2 2 1 3 1 0 1 1 2 1 1 5 0 0 0 3 7 2 1 0 1 1 0 0 2
"neat" 1 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 2 0 0 0 0 1 1 1 0 0 0 0 0 0
"original" 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 1 1 1 0 0 0 1 2 1 2 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0 3 0 0 0 1 0 1 1 0
"passionate" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 1 0 0
"peaceful" 0 0 0 1 0 0 1 1 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 1 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 1 1 0 0 1 0 0 1
"pleasant" 1 1 0 2 6 0 0 0 0 0 0 2 0 1 0 0 3 0 2 0 1 0 1 0 1 0 2 0 1 0 0 1 0 0 1 1 0 1 0 0 0 1 2 2 1 0 0 0 0 0 0 0 0 3 0 0 1 0 0 1 0 0 1 3 0 0 0 0 0 0 1 1
"polite" 1 0 1 1 0 1 1 0 0 0 0 0 0 1 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 3 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 2 2 0 0 1 1 0 3 0 0 0 0 0 1 0 0
"popular" 0 1 0 1 3 0 0 1 0 1 0 0 1 0 1 2 1 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 2 0 2 0 0 0 1 3 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1
"powerful" 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 2 0 1 1 0 0 0 0 1 0 1 0 0 0 1 2 0 0 0
"proud" 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 3 0 1 0 1
"quiet" 2 2 0 3 8 1 1 3 2 0 0 4 1 1 1 4 2 4 1 2 2 1 1 1 1 0 1 0 0 0 0 4 2 0 1 1 0 6 3 1 3 1 1 1 0 1 1 1 3 1 0 2 0 0 0 0 3 3 1 2 0 0 0 9 0 0 0 0 2 0 1 1
"responsible" 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 1 0 0 0 1 0 0 0 2
"revolutionary" 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0
"rich" 0 1 1 1 1 1 0 1 1 0 1 0 1 1 1 2 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 0 1 2 0 1 0 1 0 1 1 1 0 0 1 2 0 1 0 3 0 0 0 3 1 0 1 1 0 4 0 0 1 0 1 1 0 0
"sacred" 0 0 1 1 0 2 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 2 3 0 0 1 1 1 0 1 0 1 4 1 1 0 0 0 1 0 1 0 0 0 2 0 0 0 3 1 0 3 0 0 0 1 1 1 2 0 0 0 0 0 1 0 1
"safe" 1 1 0 2 4 0 0 2 1 1 0 1 2 1 0 1 1 5 3 2 0 0 0 1 0 2 4 1 1 0 0 3 1 0 0 0 3 2 2 1 1 0 1 5 2 0 1 1 0 0 0 0 1 1 3 1 1 0 0 0 0 0 1 5 2 2 0 2 2 0 0 4
"scared" 1 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0
"sensual" 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0
"social" 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 2 0 0 0 0 1 1 0 0
"special" 0 3 0 1 3 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 3 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 1 0 0 0 0
"strong" 3 7 1 7 8 1 4 3 3 0 0 1 1 2 4 3 6 4 3 2 4 1 1 1 1 2 3 2 2 0 1 7 4 2 3 0 6 7 3 3 1 3 3 7 1 3 2 2 3 3 2 1 2 9 1 1 4 2 5 2 1 2 2 0 1 2 0 5 0 2 1 4
"thoughtful" 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 2 0 0 1 0 0 1
"uncertain" 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 2 0 1 0 1 0 0 2
"universal" 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"weak" 0 3 0 4 1 0 1 0 1 1 0 0 0 1 1 1 1 0 1 0 0 1 0 0 0 0 2 1 2 0 0 0 1 1 1 0 1 1 0 1 0 1 0 1 0 1 0 0 0 0 1 1 3 0 1 1 0 0 2 0 0 0 1 5 0 0 0 0 0 0 0 2
"wise" 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 2 0 2 0 0 1 0 2 0 0 1 0 0 1 1 0 0 0 0 0 1
"superior" 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 1 1 0 2 0 0 0 0 0 0 0 0
"welcome" 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0
"worth" 0 0 0 0 2 0 1 1 1 0 0 1 1 0 0 1 1 0 2 1 1 0 0 0 0 0 2 0 1 0 0 3 1 0 0 0 2 2 1 1 0 2 0 2 0 0 0 1 1 0 1 0 1 1 2 0 0 1 4 0 0 0 0 4 1 2 0 2 1 0 0 0
