"accomplished" "accustomed" "afraid" "appropriate" "beautiful" "best" "calm" "capable" "careful" "charitable" "cheerful" "clean" "clever" "comfortable" "confident" "cruel" "curious" "dangerous" "delicate" "delicious" "delighted" "delightful" "determined" "different" "expensive" "extraordinary" "extreme" "fair" "faithful" "familiar" "free" "friendly" "funny" "generous" "gentle" "graceful" "greatest" "greedy" "happier" "happy" "harmless" "holy" "honest" "humble" "improper" "interesting" "loose" "married" "mighty" "moral" "mysterious" "natural" "neat" "original" "peaceful" "playful" "pleasant" "polite" "popular" "powerful" "professional" "proud" "quiet" "reasonable" "religious" "responsible" "rich" "safe" "selfish" "smart" "special" "strong" "superior" "surprising" "thoughtful" "threatening" "uncertain" "unpleasant" "weak" "welcome" "worth" "universal" "wise" "top"
"cheerful" 0 4 2 2 5 7 1 0 0 0 0 1 1 3 2 0 1 1 2 1 0 0 0 1 0 6 2 2 3 1 5 2 0 3 2 0 0 0 2 9 2 2 5 2 0 1 1 3 0 1 2 2 1 3 0 0 5 2 0 1 0 3 7 1 1 0 3 0 1 1 0 5 1 1 0 0 0 1 2 2 2 0 1 1
"clean" 1 1 1 1 4 3 1 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 2 0 2 0 2 1 0 3 1 0 1 0 0 0 0 0 5 0 0 2 1 0 1 0 0 0 0 1 1 0 0 0 1 4 0 1 1 1 1 1 0 0 0 1 0 0 0 2 3 0 0 0 1 1 0 0 1 1 1 0 2
"clever" 1 0 1 1 2 3 0 1 3 0 1 0 0 1 0 0 0 1 0 1 1 1 0 0 0 1 1 1 1 0 1 0 0 0 1 0 0 1 1 3 1 0 3 0 0 0 1 2 0 0 1 0 0 2 0 0 0 0 1 1 3 1 0 0 0 0 1 2 0 0 1 5 0 0 0 0 0 0 1 2 1 0 1 0
"comfortable" 0 0 4 3 4 3 1 0 1 0 3 1 1 0 0 1 2 0 2 1 2 2 1 0 0 4 1 3 1 1 1 0 1 0 3 1 1 0 1 8 1 0 3 1 2 0 1 4 0 3 1 3 0 3 0 0 4 0 1 0 0 4 6 0 0 0 8 0 2 1 1 8 2 0 0 1 0 2 1 1 3 0 0 0
"confident" 0 0 2 0 2 6 2 0 1 0 2 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 1 0 1 1 0 1 1 1 0 0 0 3 0 0 2 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 3 0 0 0 0 0 0 0 1 2 0 0 0
"cruel" 0 2 0 0 4 6 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 1 2 1 2 0 2 1 0 0 1 1 0 0 1 3 0 2 6 0 1 1 0 1 2 0 2 0 2 1 2 1 0 0 0 1 0 0 0 0 3 3 0 1 0 2 0 1 0 0 5 2 1 0 0 0 1 2 0 3 0 0 1
"curious" 0 0 1 0 0 2 1 1 0 0 1 0 0 2 0 0 0 0 1 1 0 1 1 1 0 4 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 2 0 1 2 1 0 0 0 0 2 0 1 1 0 1 1 2 0 1 2 0 1 0 0 4 0 0 0 1 0 0 2 0 1 1 0 0
"dangerous" 0 0 1 0 1 4 0 1 2 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 3 0 1 0 0 1 0 0 1 1 0 0 0 2 0 0 1 0 0 0 1 0 2 0 1 0 1 0 2 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 2 0 2 0 0 0
"delicate" 0 2 3 0 7 6 1 1 2 0 2 0 0 2 0 2 1 1 0 1 1 1 0 1 2 5 0 3 1 0 0 0 0 0 5 2 3 0 2 8 0 0 2 1 1 1 0 3 1 2 3 2 1 0 1 0 3 0 0 0 2 3 3 0 0 0 3 1 2 1 1 2 3 0 1 0 1 1 1 0 2 0 1 2
"delicious" 0 1 2 0 1 4 0 1 1 0 1 0 1 1 1 0 1 1 1 0 2 0 0 1 0 6 1 0 0 0 0 0 0 1 2 1 0 0 1 1 0 0 1 0 0 1 0 1 1 0 1 1 1 1 2 1 2 0 0 1 0 0 3 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1
"delighted" 0 1 5 0 5 4 0 0 1 0 0 1 1 2 0 0 0 0 1 2 0 2 0 2 1 4 1 1 3 0 1 2 1 1 2 1 1 0 0 6 0 0 2 2 0 1 0 3 0 0 2 3 1 0 0 2 3 0 0 0 1 6 0 1 0 1 1 0 1 1 2 3 1 0 0 0 0 0 0 0 1 0 0 1
"delightful" 3 0 3 1 4 5 0 1 0 1 0 1 1 2 1 1 1 0 1 0 2 0 0 1 0 5 3 3 1 1 1 2 1 0 0 3 2 0 1 5 0 0 2 1 0 3 1 1 0 2 0 3 0 0 0 0 2 0 1 0 0 5 1 0 0 0 1 2 1 0 1 7 1 0 1 1 1 1 3 1 1 0 0 0
"determined" 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 2 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0
"different" 0 1 3 0 4 6 0 0 0 0 1 2 0 0 0 2 1 0 1 1 2 1 1 0 0 3 0 3 1 0 2 1 0 0 1 1 1 0 1 5 0 1 3 1 0 1 1 0 0 0 3 4 0 1 1 1 2 1 1 2 1 3 5 0 1 1 3 0 1 1 2 6 0 0 0 0 0 1 1 0 3 1 1 1
"expensive" 0 1 3 0 2 5 0 0 3 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 2 0 1 0 0 0 0 1 0 2 0 1 0 1 4 0 0 1 0 0 0 1 1 0 0 0 2 0 1 0 0 3 0 0 0 0 1 1 0 1 0 2 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 2 0
"extraordinary" 3 3 10 4 13 21 1 1 4 2 6 2 1 4 0 2 4 1 5 6 4 5 2 3 2 0 3 8 3 2 3 0 3 3 9 5 3 1 1 18 1 1 8 3 0 6 0 7 3 1 9 11 0 4 1 0 15 1 5 5 1 7 9 2 1 1 4 1 2 2 3 13 4 1 1 3 4 1 6 2 4 4 0 3
"extreme" 1 3 0 0 4 8 1 1 1 1 2 0 1 1 1 0 2 0 0 1 1 3 0 0 0 3 0 0 0 1 0 2 0 0 2 0 0 0 0 1 0 0 1 2 1 1 0 1 0 2 2 3 1 1 0 0 4 1 2 0 2 1 0 0 0 1 3 3 1 0 1 4 0 0 0 2 0 1 3 1 0 0 0 1
"fair" 0 2 5 1 5 12 0 0 4 1 2 2 1 3 1 2 0 1 3 0 1 3 1 3 1 8 0 0 0 1 2 1 1 2 3 3 3 1 1 11 1 2 2 3 2 1 0 4 0 3 1 6 0 4 1 0 14 1 0 1 0 7 9 0 1 0 6 4 1 2 1 9 4 0 2 0 3 0 1 1 6 2 1 0
"faithful" 0 3 1 1 5 6 1 0 0 0 3 1 1 1 1 1 0 0 1 0 3 1 0 1 0 3 0 0 0 2 3 2 0 1 1 0 1 0 3 9 1 0 5 1 0 0 0 1 0 0 0 3 0 1 2 0 1 0 1 0 0 3 3 0 0 0 0 1 0 0 0 4 0 0 0 0 0 1 1 1 2 0 0 0
"familiar" 0 4 0 0 3 3 1 0 1 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 2 1 1 2 0 1 2 0 0 0 0 0 0 0 2 0 0 1 2 0 1 0 0 0 0 1 3 0 2 2 0 4 0 0 1 0 1 3 0 0 2 1 1 0 0 0 2 0 0 1 1 1 1 0 1 1 0 0 0
"free" 0 0 2 1 4 7 1 0 0 0 5 3 1 1 1 0 0 0 0 0 1 1 0 2 0 3 0 2 3 1 0 1 0 3 0 0 1 1 0 8 2 2 3 1 0 0 0 2 0 0 1 1 0 1 1 0 5 0 0 1 0 2 5 1 0 0 2 0 0 2 1 7 0 0 0 0 1 0 1 3 1 0 0 1
"friendly" 1 2 1 0 4 4 1 0 1 2 2 1 0 0 1 1 0 0 0 0 2 2 0 1 0 0 2 1 2 2 1 0 0 0 1 1 0 0 0 2 0 0 3 2 0 1 0 0 0 0 2 3 0 0 0 0 3 1 1 0 2 2 2 0 0 0 2 0 0 0 0 3 0 0 0 0 1 0 2 0 0 0 0 0
"funny" 1 1 2 1 1 3 1 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 3 0 1 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 1 0 0 1 1 3 0 0 0 1 0 0 0 1 0 0 1 1 0 1 1 0 0 0 0 1 2 0 1 0 0 0 1 0 2 0 0 0
"generous" 0 1 1 0 1 3 1 0 0 0 3 1 0 0 1 0 0 0 0 1 1 0 0 0 0 3 0 2 1 0 3 0 0 0 0 0 0 0 0 3 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 1 1 1 0 0 3 0 0 1 0 0 0 1 2 2 0 0 0
"gentle" 0 5 2 1 11 8 3 2 2 0 2 0 1 3 1 0 1 3 5 2 2 0 1 1 2 9 2 3 1 0 0 1 0 0 0 4 0 1 1 11 1 0 5 4 0 0 1 2 0 1 3 5 0 4 0 0 9 0 2 0 2 5 4 0 0 0 6 0 2 1 0 5 1 0 0 1 2 0 2 0 2 0 2 1
"graceful" 1 1 1 1 6 3 1 0 0 1 0 0 0 1 1 1 0 0 2 1 1 3 1 1 0 5 0 3 0 0 0 1 1 0 4 0 0 1 1 2 0 0 2 1 1 0 2 0 1 0 1 3 0 4 1 1 2 0 0 0 0 0 2 0 0 0 2 0 0 0 0 2 0 0 0 0 1 1 1 0 1 1 0 1
"greatest" 0 1 3 0 2 3 0 1 2 0 0 0 0 1 0 3 0 1 3 0 1 2 0 1 1 3 0 3 1 0 1 0 0 0 0 0 0 1 2 7 0 0 0 0 3 1 0 4 0 1 1 2 1 0 0 0 3 0 0 0 1 3 1 0 1 0 1 1 1 0 1 5 1 2 1 0 1 0 2 1 0 0 0 0
"greedy" 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 1 0 0 0 0 0 2 1 0 0 1 2 0 0 0 0 1 0 0 1 0 0 0 0
"happier" 0 1 2 0 4 4 0 0 0 0 2 0 1 1 0 2 0 0 2 1 0 1 0 1 1 1 0 1 3 0 0 0 0 0 1 1 2 0 0 9 1 0 2 0 1 0 0 0 1 0 3 1 0 0 1 0 3 0 0 1 0 1 3 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1
"happy" 0 7 15 2 16 25 4 0 4 1 9 5 3 8 3 6 0 1 8 1 6 5 1 5 4 18 1 11 9 2 8 2 3 3 11 2 7 1 9 0 3 3 14 6 4 2 1 11 2 3 7 14 1 6 3 1 19 1 1 4 3 11 14 2 2 1 8 2 4 3 3 16 4 2 2 1 1 1 7 6 5 0 1 3
"harmless" 0 0 1 1 1 1 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 2 0 0 0 1 0 0 0 1 3 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 1 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0
"holy" 0 0 0 0 2 1 1 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 2 0 0 2 0 0 1 0 0 0 0 0 3 1 0 0 1 0 0 0 2 1 1 0 0 0 2 1 0 3 0 0 1 0 1 1 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 1 0
"honest" 1 1 1 2 8 14 4 1 0 1 5 2 3 3 2 1 1 1 2 1 2 2 1 3 1 8 1 2 5 1 3 3 0 1 5 2 0 1 2 14 1 0 0 4 0 0 0 4 1 0 2 4 1 3 1 0 3 0 1 1 2 4 3 0 0 0 6 2 3 1 1 8 0 0 0 0 2 0 6 0 2 0 1 1
"humble" 0 2 1 0 5 6 0 0 0 0 2 1 0 1 0 0 1 1 1 0 2 1 1 1 0 3 2 3 1 2 1 2 0 1 4 1 0 1 0 6 1 1 4 0 0 1 1 0 0 1 0 4 0 2 2 0 7 1 0 0 1 3 3 0 1 0 4 1 1 1 2 3 1 0 0 0 2 1 1 0 2 0 0 0
"improper" 0 1 1 1 1 4 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 3 0 1 4 0 0 0 0 0 0 0 4 0 2 1 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 1 1 0 1 1 1 1 0 0 0 1 0 1 0 0 0
"interesting" 2 2 1 1 2 2 0 1 1 1 1 1 0 0 0 2 1 0 1 1 1 3 0 1 0 6 1 1 0 1 0 1 0 0 0 0 1 0 0 2 0 0 0 1 0 0 0 1 0 1 2 4 0 1 0 0 3 1 3 0 0 3 0 0 0 0 0 1 0 0 1 6 1 0 2 0 1 0 1 0 0 2 0 1
"loose" 0 2 1 1 1 4 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 1 2 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 2 0 3 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 4 1 1 0 0 0 1 1 0 1 1 1 0
"married" 0 1 5 0 6 13 0 0 1 0 3 0 2 4 1 2 2 2 3 1 3 1 0 0 1 7 1 4 1 0 2 0 0 0 2 0 4 0 0 11 0 2 4 0 4 1 1 0 1 2 2 0 3 4 0 1 7 1 1 1 0 6 2 1 1 1 1 0 3 2 0 8 2 1 0 1 0 0 2 0 2 1 0 2
"mighty" 0 0 1 0 2 2 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 1 1 0 0 0 0 1 0 1 2 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2
"moral" 0 3 2 0 2 8 0 0 1 0 1 0 0 3 0 2 1 0 2 0 0 2 1 0 0 1 2 3 0 0 0 0 1 0 1 0 1 0 0 3 0 1 0 1 2 1 0 2 1 0 0 1 1 2 0 0 3 0 0 0 1 2 2 0 1 0 2 0 0 2 0 2 2 1 0 1 0 1 2 0 2 0 0 0
"mysterious" 1 2 4 1 5 7 1 1 1 0 2 1 1 1 0 1 2 1 3 1 2 0 0 3 0 9 2 1 0 1 1 2 1 0 3 1 1 1 3 7 0 0 2 0 1 2 0 2 2 0 0 3 1 0 1 1 1 1 4 0 3 3 5 1 0 2 1 1 0 1 0 4 0 0 1 0 0 0 0 2 0 0 0 4
"natural" 0 1 3 2 8 17 3 2 1 1 2 1 0 3 1 2 1 0 2 1 3 3 0 4 2 11 3 6 3 3 1 3 3 0 5 3 2 1 1 14 0 0 4 4 1 4 2 0 0 1 3 0 0 2 2 0 8 2 4 1 3 3 11 2 1 3 3 2 1 2 1 10 0 0 3 0 3 2 3 1 5 0 1 0
"neat" 0 1 0 0 0 4 0 0 0 0 1 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 3 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 1
"original" 0 3 1 1 6 6 3 1 1 0 3 0 2 3 2 0 0 0 0 1 0 0 0 1 1 4 1 4 1 2 1 0 0 0 4 4 0 0 0 6 1 2 3 2 0 1 3 4 1 2 0 2 0 0 2 1 6 2 0 0 2 3 3 0 1 0 2 0 1 0 2 8 1 0 2 0 0 0 3 0 4 1 1 1
"peaceful" 0 2 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 1 0 1 0 1 2 2 1 0 0 0 0 1 0 0 1 3 1 1 1 2 0 0 1 0 1 0 1 2 1 2 0 0 2 0 0 1 0 2 3 0 1 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 1
"playful" 0 2 1 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 1
"pleasant" 0 3 4 0 10 9 1 1 2 1 5 4 0 4 0 1 2 2 3 2 3 2 1 2 3 15 4 14 1 4 5 3 0 1 9 2 3 2 3 19 2 3 3 7 1 3 1 7 1 3 1 8 0 6 2 0 0 2 0 3 1 8 12 1 2 0 6 1 0 3 2 10 0 0 2 1 3 1 1 0 1 1 3 1
"polite" 0 0 1 0 1 4 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 1 2 0 2 0 0 2 0 0 0 0 2 2 0 0 1 0 0 0 1 0 1 2 0 1 0 1 1 0 0 0 0 0 0
"popular" 0 0 0 1 1 4 0 1 2 1 0 1 1 1 0 0 1 1 0 0 0 1 0 1 0 5 2 0 1 0 0 1 0 0 2 0 0 0 0 1 0 0 1 0 0 3 0 1 0 0 4 4 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 3 0 0 0 0 1 1 1 1 1 0 0 1
"powerful" 0 0 3 0 2 2 0 0 1 0 1 1 1 0 0 0 1 0 0 1 0 0 1 2 0 5 0 1 0 1 1 0 1 0 0 0 0 0 1 4 0 1 1 0 0 0 0 1 0 0 0 1 1 0 1 0 3 0 0 0 0 0 0 0 1 0 1 0 0 1 0 3 0 0 0 2 0 0 0 0 0 1 1 0
"professional" 1 1 0 0 3 4 0 0 2 0 0 1 3 0 0 0 0 1 2 0 1 0 0 1 0 1 2 0 0 0 0 2 0 0 2 0 1 1 0 3 0 0 2 1 0 0 0 0 0 1 3 3 0 2 0 0 1 0 1 0 0 1 0 0 0 0 4 0 0 0 2 2 0 0 0 0 0 1 1 1 2 0 0 1
"proud" 1 4 5 1 7 7 1 1 1 0 3 1 1 4 0 3 1 0 3 0 6 5 0 3 1 7 1 7 3 1 2 2 0 2 5 0 3 0 1 11 1 1 4 3 0 3 0 6 0 2 3 3 0 3 2 0 8 2 1 0 1 0 1 0 0 0 4 0 3 0 2 12 2 0 2 1 0 1 2 0 2 1 0 0
"quiet" 0 3 3 1 5 14 2 1 2 2 7 1 0 6 2 3 1 2 3 3 0 1 1 5 1 9 0 9 3 3 5 2 1 1 4 2 1 0 3 14 1 1 3 3 1 0 0 2 1 2 5 11 0 3 3 0 12 2 1 0 0 1 0 0 0 2 5 3 1 2 1 11 4 2 0 1 3 1 3 3 4 1 1 2
"reasonable" 0 1 2 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0
"religious" 0 1 1 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 2 1 2 0 1 1 0 0 1 0 1 0 1 1 1 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0
"responsible" 0 0 0 0 2 2 1 0 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 1 1 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 3 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 1 0 1 0 0 0
"rich" 1 2 2 0 6 6 2 0 4 0 3 1 1 8 1 2 2 0 3 1 1 1 2 3 2 4 3 6 0 1 2 2 1 1 6 2 1 2 1 8 1 0 6 4 0 0 1 1 0 2 1 3 0 2 0 1 6 0 0 1 4 4 5 0 0 0 0 0 2 1 3 6 1 0 0 1 2 0 3 0 3 0 1 1
"safe" 1 0 1 0 0 6 0 1 2 0 0 0 2 0 0 0 0 0 1 0 0 2 1 0 0 1 3 4 1 1 0 0 0 1 0 0 1 1 1 2 1 0 2 1 1 1 0 0 0 0 1 2 0 0 0 0 1 0 1 0 0 0 3 0 0 0 0 0 1 0 1 4 1 1 1 0 1 0 0 3 2 0 1 1
"selfish" 0 2 1 0 1 3 0 1 1 1 1 0 0 2 0 1 1 1 2 1 1 1 0 1 1 2 1 1 0 0 0 0 0 1 2 0 1 0 0 4 0 0 3 1 1 0 1 3 0 0 0 1 0 1 0 0 0 0 0 0 0 3 1 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 3 0 1 0 1 0
"smart" 0 1 0 0 1 6 0 0 0 1 1 0 0 1 0 0 0 0 1 1 1 0 0 1 0 2 0 2 0 0 2 0 0 0 1 0 0 0 0 3 0 0 1 1 1 0 1 2 0 2 1 2 2 0 2 0 3 1 0 1 0 0 2 1 0 0 1 0 0 0 0 2 0 0 0 0 3 0 1 1 1 1 0 0
"special" 0 0 2 0 2 4 0 0 1 0 0 2 1 1 0 0 0 0 1 0 2 1 0 2 0 3 1 1 0 0 1 0 0 0 0 0 1 1 1 3 0 0 1 2 0 1 0 0 0 0 0 1 0 2 0 1 2 0 0 0 2 2 1 0 0 0 3 1 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 2
"strong" 2 7 8 4 11 19 1 1 6 1 5 3 5 8 3 5 4 1 2 1 3 7 1 6 1 13 4 9 4 2 7 3 1 3 5 2 5 2 1 16 1 3 8 3 1 6 4 8 0 2 4 10 0 8 2 0 10 1 3 3 2 12 11 1 1 2 6 4 0 2 3 0 2 1 4 2 0 3 8 2 3 5 1 1
"superior" 0 3 4 0 1 4 0 0 1 1 1 0 0 2 0 2 0 0 3 0 1 1 0 0 0 4 0 4 0 0 0 0 2 0 1 0 1 0 0 4 0 0 0 1 1 1 1 2 0 2 0 0 1 1 0 1 0 2 0 0 0 2 4 1 1 0 1 1 0 0 1 2 0 2 0 0 0 1 1 0 1 1 0 0
"surprising" 0 2 0 1 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 1 2 0 0 0 1 0 0 1 0 0 1 0
"thoughtful" 1 2 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 2 0 1 0 0 1 1 0 0 1 0 0 2 0 0 0 0 1 2 0 0 0 0 1 3 0 2 0 1 2 1 0 0 0 2 0 0 0 1 0 1 0 0 0 4 0 0 0 0 0 1 1 0 0 0 0 0
"threatening" 0 0 3 0 2 1 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 3 2 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 2 0 1 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0
