"care::heavy";"care::trim"
"louisa::expressive";"mrs_chick::expressive"
"louisa::expressive";"tox::emphatic"
"louisa::expressive";"tox::expressive"
"mrs_chick::emphatic";"mrs_chick::expressive"
"mrs_chick::emphatic";"tox::emphatic"
"mrs_chick::emphatic";"tox::expressive"
"mrs_chick::expressive";"tox::emphatic"
"mrs_chick::expressive";"tox::expressive"
"tox::emphatic";"tox::expressive"
"dombey::delicate";"paul::delicate"
"dombey::delicate";"richards::delicate"
"dombey::delicate";"tox::delicate"
"paul::delicate";"richards::delicate"
"paul::delicate";"tox::delicate"
"richards::delicate";"tox::delicate"
"dombey::melancholy";"john::melancholy"
"dombey::melancholy";"richards::melancholy"
"john::melancholy";"richards::melancholy"
"louisa::strong";"richards::strong"
"biler::charitable";"mrs_chick::charitable"
"biler::charitable";"richards::charitable"
"mrs_chick::charitable";"richards::charitable"
"chick::gloomy";"dombey::gloomy"
"chick::gloomy";"mrs_chick::gloomy"
"dombey::gloomy";"mrs_chick::gloomy"
"dombey::easy";"mrs_richards::easy"
"dombey::easy";"nipper::easy"
"dombey::easy";"polly::easy"
"mrs_richards::easy";"nipper::easy"
"mrs_richards::easy";"polly::easy"
"nipper::easy";"polly::easy"
"dombey::second";"paul::second"
"dombey::second";"polly::second"
"paul::second";"polly::second"
"staggs::confident";"staggs::open"
"jemima::sweet";"polly::sweet"
"susan::ceremonious";"susan::stately"
"jemima::sprightly";"polly::sprightly"
"jemima::sprightly";"toodle::sprightly"
"polly::sprightly";"toodle::sprightly"
"jemima::simple";"polly::simple"
"dombey::exact";"jemima::exact"
"jemima::confidential";"paul::confidential"
"jemima::confidential";"polly::confidential"
"paul::confidential";"polly::confidential"
"jemima::pious";"jemima::sure"
"jemima::pious";"polly::pious"
"jemima::pious";"polly::sure"
"jemima::pious";"toodles::pious"
"jemima::pious";"toodles::sure"
"jemima::sure";"polly::pious"
"jemima::sure";"polly::sure"
"jemima::sure";"toodles::pious"
"jemima::sure";"toodles::sure"
"polly::pious";"polly::sure"
"polly::pious";"toodles::pious"
"polly::pious";"toodles::sure"
"polly::sure";"toodles::pious"
"polly::sure";"toodles::sure"
"toodles::pious";"toodles::sure"
"biler::ferocious";"biler::pleasurable"
"biler::charitable";"biler::general"
"brown::close";"susan::close"
"mrs_brown::fast";"mrs_brown::slipshod"
"mrs_brown::fast";"mrs_brown::tight"
"mrs_brown::slipshod";"mrs_brown::tight"
"clark::lively";"clark::slipshod"
"walter::general";"walter::sorrowful"
"carker::generous";"walter::generous"
"dombey::quick";"walter::quick"
"dombey::true";"florence::true"
"dombey::true";"walter::true"
"florence::true";"walter::true"
"dombey::gentle";"florence::gentle"
"dombey::gentle";"walter::gentle"
"florence::gentle";"walter::gentle"
"richard_whittington::lofty";"walter::lofty"
"richard_whittington::quiet";"walter::quiet"
"dombey::impatient";"walter::impatient"
"louisa_dombey::natural";"susan_nipper::natural"
"louisa_dombey::natural";"walter_gay::natural"
"susan_nipper::natural";"walter_gay::natural"
"dombey::haughty";"polly::haughty"
"dombey::haughty";"staggs::haughty"
"polly::haughty";"staggs::haughty"
"dombey::swift";"polly::swift"
"dombey::swift";"staggs::swift"
"polly::swift";"staggs::swift"
"macbeth::confidential";"macbeth::domestic"
"macbeth::confidential";"macbeth::effervescent"
"macbeth::confidential";"tox::confidential"
"macbeth::confidential";"tox::domestic"
"macbeth::confidential";"tox::effervescent"
"macbeth::domestic";"macbeth::effervescent"
"macbeth::domestic";"tox::confidential"
"macbeth::domestic";"tox::domestic"
"macbeth::domestic";"tox::effervescent"
"macbeth::effervescent";"tox::confidential"
"macbeth::effervescent";"tox::domestic"
"macbeth::effervescent";"tox::effervescent"
"tox::confidential";"tox::domestic"
"tox::confidential";"tox::effervescent"
"tox::domestic";"tox::effervescent"
"bagstock::polite";"bagstock::proud"
"bagstock::polite";"bagstock::rigid"
"bagstock::proud";"bagstock::rigid"
"j._bagstock::familiar";"joe_bagstock::familiar"
"j._bagstock::familiar";"joey_bagstock::familiar"
"j._bagstock::familiar";"josh_bagstock::familiar"
"joe_bagstock::familiar";"joey_bagstock::familiar"
"joe_bagstock::familiar";"josh_bagstock::familiar"
"joey_bagstock::familiar";"josh_bagstock::familiar"
"paul::limp";"tox::limp"
"bagstock::domestic";"bagstock::gay"
"bagstock::domestic";"bagstock::social"
"bagstock::domestic";"chick::domestic"
"bagstock::domestic";"chick::gay"
"bagstock::domestic";"chick::social"
"bagstock::domestic";"mrs_chick::domestic"
"bagstock::domestic";"mrs_chick::gay"
"bagstock::domestic";"mrs_chick::social"
"bagstock::domestic";"richards::domestic"
"bagstock::domestic";"richards::gay"
"bagstock::domestic";"richards::social"
"bagstock::domestic";"tox::domestic"
"bagstock::domestic";"tox::gay"
"bagstock::domestic";"tox::social"
"bagstock::gay";"bagstock::social"
"bagstock::gay";"chick::domestic"
"bagstock::gay";"chick::gay"
"bagstock::gay";"chick::social"
"bagstock::gay";"mrs_chick::domestic"
"bagstock::gay";"mrs_chick::gay"
"bagstock::gay";"mrs_chick::social"
"bagstock::gay";"richards::domestic"
"bagstock::gay";"richards::gay"
"bagstock::gay";"richards::social"
"bagstock::gay";"tox::domestic"
"bagstock::gay";"tox::gay"
"bagstock::gay";"tox::social"
"bagstock::social";"chick::domestic"
"bagstock::social";"chick::gay"
"bagstock::social";"chick::social"
"bagstock::social";"mrs_chick::domestic"
"bagstock::social";"mrs_chick::gay"
"bagstock::social";"mrs_chick::social"
"bagstock::social";"richards::domestic"
"bagstock::social";"richards::gay"
"bagstock::social";"richards::social"
"bagstock::social";"tox::domestic"
"bagstock::social";"tox::gay"
"bagstock::social";"tox::social"
"chick::domestic";"chick::gay"
"chick::domestic";"chick::social"
"chick::domestic";"mrs_chick::domestic"
"chick::domestic";"mrs_chick::gay"
"chick::domestic";"mrs_chick::social"
"chick::domestic";"richards::domestic"
"chick::domestic";"richards::gay"
"chick::domestic";"richards::social"
"chick::domestic";"tox::domestic"
"chick::domestic";"tox::gay"
"chick::domestic";"tox::social"
"chick::gay";"chick::social"
"chick::gay";"mrs_chick::domestic"
"chick::gay";"mrs_chick::gay"
"chick::gay";"mrs_chick::social"
"chick::gay";"richards::domestic"
"chick::gay";"richards::gay"
"chick::gay";"richards::social"
"chick::gay";"tox::domestic"
"chick::gay";"tox::gay"
"chick::gay";"tox::social"
"chick::social";"mrs_chick::domestic"
"chick::social";"mrs_chick::gay"
"chick::social";"mrs_chick::social"
"chick::social";"richards::domestic"
"chick::social";"richards::gay"
"chick::social";"richards::social"
"chick::social";"tox::domestic"
"chick::social";"tox::gay"
"chick::social";"tox::social"
"mrs_chick::domestic";"mrs_chick::gay"
"mrs_chick::domestic";"mrs_chick::social"
"mrs_chick::domestic";"richards::domestic"
"mrs_chick::domestic";"richards::gay"
"mrs_chick::domestic";"richards::social"
"mrs_chick::domestic";"tox::domestic"
"mrs_chick::domestic";"tox::gay"
"mrs_chick::domestic";"tox::social"
"mrs_chick::gay";"mrs_chick::social"
"mrs_chick::gay";"richards::domestic"
"mrs_chick::gay";"richards::gay"
"mrs_chick::gay";"richards::social"
"mrs_chick::gay";"tox::domestic"
"mrs_chick::gay";"tox::gay"
"mrs_chick::gay";"tox::social"
"mrs_chick::social";"richards::domestic"
"mrs_chick::social";"richards::gay"
"mrs_chick::social";"richards::social"
"mrs_chick::social";"tox::domestic"
"mrs_chick::social";"tox::gay"
"richards::domestic";"richards::gay"
"richards::domestic";"richards::social"
"richards::domestic";"tox::domestic"
"richards::domestic";"tox::gay"
"richards::domestic";"tox::social"
"richards::gay";"richards::social"
"richards::gay";"tox::domestic"
"richards::gay";"tox::gay"
"richards::gay";"tox::social"
"richards::social";"tox::domestic"
"richards::social";"tox::gay"
"richards::social";"tox::social"
"tox::domestic";"tox::gay"
"tox::domestic";"tox::social"
"tox::gay";"tox::social"
"paul::cold";"paul::sensitive"
"dombey::quiet";"paul::quiet"
"dombey::weak";"mrs_chick::weak"
"dombey::weak";"tox::weak"
"mrs_chick::weak";"paul::weak"
"mrs_chick::weak";"tox::weak"
"paul::weak";"tox::weak"
"tox::cheerful";"wickam::cheerful"
"mrs_chick::invariable";"paul::invariable"
"dombey::true";"louisa::true"
"dombey::true";"mrs_chick::true"
"dombey::true";"paul::true"
"dombey::true";"tox::true"
"louisa::true";"mrs_chick::true"
"louisa::true";"paul::true"
"louisa::true";"tox::true"
"mrs_chick::true";"tox::true"
"paul::true";"tox::true"
"dombey::natural";"louisa::natural"
"dombey::natural";"paul::natural"
"louisa::natural";"paul::natural"
"dombey::familiar";"dombey::judicious"
"dombey::familiar";"louisa::familiar"
"dombey::familiar";"louisa::judicious"
"dombey::familiar";"mrs_pipchin::familiar"
"dombey::familiar";"mrs_pipchin::judicious"
"dombey::familiar";"tox::familiar"
"dombey::familiar";"tox::judicious"
"dombey::judicious";"louisa::familiar"
"dombey::judicious";"louisa::judicious"
"dombey::judicious";"mrs_pipchin::familiar"
"dombey::judicious";"mrs_pipchin::judicious"
"dombey::judicious";"tox::familiar"
"dombey::judicious";"tox::judicious"
"louisa::familiar";"louisa::judicious"
"louisa::familiar";"mrs_pipchin::familiar"
"louisa::familiar";"mrs_pipchin::judicious"
"louisa::familiar";"tox::familiar"
"louisa::familiar";"tox::judicious"
"louisa::judicious";"mrs_pipchin::familiar"
"louisa::judicious";"mrs_pipchin::judicious"
"louisa::judicious";"tox::familiar"
"louisa::judicious";"tox::judicious"
"mrs_pipchin::familiar";"mrs_pipchin::judicious"
"mrs_pipchin::familiar";"tox::familiar"
"mrs_pipchin::familiar";"tox::judicious"
"mrs_pipchin::judicious";"tox::familiar"
"mrs_pipchin::judicious";"tox::judicious"
"tox::familiar";"tox::judicious"
"mrs_pipchin::ingenuous";"mrs_pipchin::sweet"
"mrs_pipchin::ingenuous";"tox::ingenuous"
"mrs_pipchin::ingenuous";"tox::sweet"
"mrs_pipchin::sweet";"tox::ingenuous"
"mrs_pipchin::sweet";"tox::sweet"
"tox::ingenuous";"tox::sweet"
"mrs_pipchin::humble";"tox::humble"
"mrs_chick::particular";"tox::particular"
"mrs_pipchin::jealous";"mrs_pipchin::solicitous"
"mrs_pipchin::equable";"mrs_pipchin::scientific"
"mrs_chick::handsome";"paul::handsome"
"mrs_pipchin::cheerful";"pankey::cheerful"
"mrs_pipchin::resolute";"pipchin::resolute"
"paul::#-polite";"wickam::#-polite"
"mrs_pipchin::impudent";"paul::impudent"
"berry_mrs_wickam::free";"berry::free"
"betsey_jane::sweet";"mrs_wickam::sweet"
"berry::tremulous";"betsey_jane::tremulous"
"berry::tremulous";"mrs_wickam::tremulous"
"berry::tremulous";"paul::tremulous"
"betsey_jane::tremulous";"mrs_wickam::tremulous"
"betsey_jane::tremulous";"paul::tremulous"
"mrs_wickam::tremulous";"paul::tremulous"
"berry::solemn";"betsey_jane::solemn"
"berry::solemn";"mrs_wickam::solemn"
"berry::solemn";"pat::solemn"
"betsey_jane::solemn";"mrs_wickam::solemn"
"betsey_jane::solemn";"pat::solemn"
"mrs_wickam::solemn";"pat::solemn"
"berry::whimsical";"mrs_wickam::whimsical"
"berry::whimsical";"paul::whimsical"
"mrs_wickam::whimsical";"paul::whimsical"
"mrs_pipchin::emphatic";"mrs_wickam::emphatic"
"miss_berry::thankful";"mrs_wickam::thankful"
"miss_berry::thankful";"paul::thankful"
"mrs_wickam::thankful";"paul::thankful"
"berry::free";"paul::free"
"mrs_wickam::accessible";"mrs_wickam::melancholy"
"mrs_pipchin::fractious";"mrs_pipchin::severe"
"paul::consistent";"paul::tough"
"floy::silent";"paul::silent"
"richard_whittington::certain";"richard_whittington::expressive"
"nipper::sensitive";"walter::sensitive"
"walter::adventurous";"walter::pleasant"
"dombey::true";"richard_whittington::true"
"dombey::true";"uncle_sol::true"
"richard_whittington::true";"uncle_sol::true"
"richard_whittington::true";"walter::true"
"uncle_sol::true";"walter::true"
"cuttle::cheerful";"cuttle::merry"
"cuttle::cheerful";"cuttle::sanguine"
"cuttle::cheerful";"cuttle::visionary"
"cuttle::merry";"cuttle::sanguine"
"cuttle::merry";"cuttle::visionary"
"cuttle::sanguine";"cuttle::visionary"
"uncle_sol::sure";"walter::sure"
"brogley::easy";"caius_marius::easy"
"cuttle::sudden";"walter::sudden"
"cuttle::conciliatory";"walter::conciliatory"
"cuttle::rapid";"walter::rapid"
"mrs_macstinger::busy";"walter::busy"
"bagstock::constant";"j._b.::constant"
"bagstock::constant";"paul::constant"
"bagstock::constant";"tox::constant"
"j._b.::constant";"paul::constant"
"j._b.::constant";"tox::constant"
"paul::constant";"tox::constant"
"joey_b.::reserved";"tox::reserved"
"joey_b.::reserved";"yellow_jack::reserved"
"tox::reserved";"yellow_jack::reserved"
"bill_bitherstone::affectionate";"tox::affectionate"
"master_bitherstone::rabid";"paul::rabid"
"dombey::stately";"mrs_pipchin::stately"
"dombey::stately";"paul::stately"
"mrs_pipchin::stately";"paul::stately"
"joey_b._the_major::sudden";"paul::sudden"
"joey_b._the_major::sudden";"tox::sudden"
"paul::sudden";"tox::sudden"
"joseph_bagstock::plain-spoken";"paul::plain-spoken"
"joseph_bagstock::plain-spoken";"trump::plain-spoken"
"paul::plain-spoken";"trump::plain-spoken"
"dombey::complacent";"master_bitherstone::complacent"
"dombey::#-general";"joey_b.::#-general"
"bagstock::gracious";"dombey::gracious"
"bagstock::gracious";"paul::gracious"
"dombey::gracious";"paul::gracious"
"louisa::particular";"tox::particular"
"dombey::violent";"tox::violent"
"joe::fearful";"joe::true"
"mr_dombey::bashful";"mr_dombey::certain"
"mr_dombey::bashful";"walter::bashful"
"mr_dombey::bashful";"walter::certain"
"mr_dombey::certain";"walter::bashful"
"mr_dombey::certain";"walter::certain"
"walter::bashful";"walter::certain"
"dombey::expressive";"paul::expressive"
"dombey::expressive";"walter::expressive"
"paul::expressive";"walter::expressive"
"cuttle::lofty";"dombey::lofty"
"dombey::unobservant";"walter::unobservant"
"cuttle::presumptuous";"dombey::presumptuous"
"cuttle::presumptuous";"paul::presumptuous"
"cuttle::presumptuous";"walter::presumptuous"
"dombey::presumptuous";"paul::presumptuous"
"dombey::presumptuous";"walter::presumptuous"
"paul::presumptuous";"walter::presumptuous"
"dombey::consistent";"walter::consistent"
"cuttle::particular";"paul::particular"
"cuttle::particular";"walter::particular"
"paul::particular";"walter::particular"
"gay::thankful";"paul::thankful"
"betsey_jane::strong";"miss_berry::strong"
"berry::open";"mrs_pipchin::open"
"berry::melancholy";"mrs_pipchin::melancholy"
"berry::melancholy";"pipchin::melancholy"
"mrs_pipchin::melancholy";"pipchin::melancholy"
"mrs_pipchin::general";"mrs_pipchin::honest"
"mrs_pipchin::delicate";"mrs_pipchin::dreamy"
"mrs_pipchin::delicate";"mrs_pipchin::quiet"
"mrs_pipchin::delicate";"paul::delicate"
"mrs_pipchin::delicate";"paul::dreamy"
"mrs_pipchin::delicate";"paul::quiet"
"mrs_pipchin::dreamy";"mrs_pipchin::quiet"
"mrs_pipchin::dreamy";"paul::delicate"
"mrs_pipchin::dreamy";"paul::dreamy"
"mrs_pipchin::dreamy";"paul::quiet"
"mrs_pipchin::quiet";"paul::delicate"
"mrs_pipchin::quiet";"paul::dreamy"
"mrs_pipchin::quiet";"paul::quiet"
"paul::delicate";"paul::dreamy"
"paul::delicate";"paul::quiet"
"paul::dreamy";"paul::quiet"
"dombey::shrewd";"dombey::unsympathetic"
"dombey::shrewd";"mrs_pipchin::shrewd"
"dombey::shrewd";"mrs_pipchin::unsympathetic"
"dombey::shrewd";"pipchin::shrewd"
"dombey::shrewd";"pipchin::unsympathetic"
"dombey::unsympathetic";"mrs_pipchin::shrewd"
"dombey::unsympathetic";"mrs_pipchin::unsympathetic"
"dombey::unsympathetic";"pipchin::shrewd"
"dombey::unsympathetic";"pipchin::unsympathetic"
"mrs_pipchin::shrewd";"mrs_pipchin::unsympathetic"
"mrs_pipchin::shrewd";"pipchin::shrewd"
"mrs_pipchin::shrewd";"pipchin::unsympathetic"
"mrs_pipchin::unsympathetic";"pipchin::shrewd"
"mrs_pipchin::unsympathetic";"pipchin::unsympathetic"
"pipchin::shrewd";"pipchin::unsympathetic"
"dombey::sure";"mrs_pipchin::sure"
"blimber::sufficient";"dombey::sufficient"
"blimber::sufficient";"mrs_pipchin::sufficient"
"blimber::sufficient";"paul::sufficient"
"dombey::sufficient";"mrs_pipchin::sufficient"
"dombey::sufficient";"paul::sufficient"
"mrs_pipchin::sufficient";"paul::sufficient"
"blimber::general";"dombey::general"
"blimber::general";"mrs_pipchin::general"
"blimber::general";"pankey::general"
"blimber::general";"paul::general"
"dombey::general";"mrs_pipchin::general"
"dombey::general";"pankey::general"
"dombey::general";"paul::general"
"mrs_pipchin::general";"pankey::general"
"mrs_pipchin::general";"paul::general"
"pankey::general";"paul::general"
"dombey::silent";"paul::silent"
"miss_dombey::querulous";"mrs_pipchin::querulous"
"blimber::gentle";"dombey::gentle"
"blimber::gentle";"mrs_pipchin::gentle"
"blimber::gentle";"paul::gentle"
"dombey::gentle";"mrs_pipchin::gentle"
"dombey::gentle";"paul::gentle"
"mrs_pipchin::gentle";"paul::gentle"
"mrs_blimber::domestic";"sexton::domestic"
"cornelia::complimentary";"dombey::complimentary"
"dombey::proud";"mrs_blimber::proud"
"blimber::tight";"toots::tight"
"blimber::polite";"miss_blimber::polite"
"blimber::polite";"mrs_blimber::polite"
"miss_blimber::polite";"mrs_blimber::polite"
"paul::cold";"paul::lonely"
"paul::cold";"paul::sad"
"paul::lonely";"paul::sad"
"cornelia::abstruse";"cornelia::timid"
"cornelia::abstruse";"dombey::abstruse"
"cornelia::abstruse";"dombey::timid"
"cornelia::timid";"dombey::abstruse"
"cornelia::timid";"dombey::timid"
"dombey::abstruse";"dombey::timid"
"cornelia::#-sure";"dombey::#-sure"
"cornelia::cold";"paul::cold"
"cornelia::slow";"paul::slow"
"dombey::heavy";"paul::heavy"
"dombey::heavy";"toots::heavy"
"paul::heavy";"toots::heavy"
"paul::confidential";"toots::confidential"
"bitherstone::general";"bitherstone::polite"
"bitherstone::general";"miller::general"
"bitherstone::general";"miller::polite"
"bitherstone::polite";"miller::general"
"bitherstone::polite";"miller::polite"
"miller::general";"miller::polite"
"bitherstone::solemn";"miller::solemn"
"briggs::certain";"paul::certain"
"briggs::certain";"tozer::certain"
"paul::certain";"tozer::certain"
"briggs::general";"paul::general"
"paul::prophetic";"tozer::prophetic"
"briggs::pleasant";"paul::pleasant"
"briggs::benevolent";"briggs::vain"
"briggs::benevolent";"paul::benevolent"
"briggs::benevolent";"paul::vain"
"briggs::benevolent";"tozer::benevolent"
"briggs::benevolent";"tozer::vain"
"briggs::vain";"paul::benevolent"
"briggs::vain";"paul::vain"
"briggs::vain";"tozer::benevolent"
"briggs::vain";"tozer::vain"
"paul::benevolent";"paul::vain"
"paul::benevolent";"tozer::benevolent"
"paul::benevolent";"tozer::vain"
"paul::vain";"tozer::benevolent"
"paul::vain";"tozer::vain"
"tozer::benevolent";"tozer::vain"
"briggs::puffy";"tozer::puffy"
"blimber::#-cold";"blimber::cool"
"blimber::studious";"dombey::studious"
"blimber::studious";"paul::studious"
"dombey::studious";"paul::studious"
"blimber::careless";"paul::careless"
"miss_floy::gracious";"mrs_pipchin::gracious"
"miss_floy::gracious";"nipper::gracious"
"miss_floy::gracious";"susan::gracious"
"mrs_pipchin::gracious";"nipper::gracious"
"mrs_pipchin::gracious";"susan::gracious"
"nipper::gracious";"susan::gracious"
"paul::sure";"susan::sure"
"paul::original";"susan::original"
"paul::rough";"paul::smooth"
"toots::melancholy";"toots::quick"
"dombey::deferential";"haroun_alraschid::deferential"
"dombey::accessible";"dombey::cold"
"carker::second";"morfin::second"
"carker::genial";"carker::stately"
"carker::genial";"dombey::genial"
"carker::genial";"dombey::stately"
"carker::stately";"dombey::genial"
"carker::stately";"dombey::stately"
"dombey::genial";"dombey::stately"
"carker::certain";"carker::natural"
"carker::quick";"walter::quick"
"walter::bitter";"walter::deprecatory"
"walter::bitter";"walter::strong"
"walter::deprecatory";"walter::strong"
"mr_carker::true";"walter::true"
"morfin::free";"morfin::open"
"cuttle::heavy";"cuttle::true"
"cuttle::heavy";"paul::heavy"
"cuttle::heavy";"paul::true"
"cuttle::heavy";"uncle_sol::heavy"
"cuttle::heavy";"uncle_sol::true"
"cuttle::heavy";"walter::heavy"
"cuttle::heavy";"walter::true"
"cuttle::true";"paul::heavy"
"cuttle::true";"paul::true"
"cuttle::true";"uncle_sol::heavy"
"cuttle::true";"uncle_sol::true"
"cuttle::true";"walter::heavy"
"cuttle::true";"walter::true"
"paul::heavy";"paul::true"
"paul::heavy";"uncle_sol::heavy"
"paul::heavy";"uncle_sol::true"
"paul::heavy";"walter::heavy"
"paul::heavy";"walter::true"
"paul::true";"uncle_sol::heavy"
"paul::true";"uncle_sol::true"
"paul::true";"walter::heavy"
"paul::true";"walter::true"
"uncle_sol::heavy";"uncle_sol::true"
"uncle_sol::heavy";"walter::heavy"
"uncle_sol::heavy";"walter::true"
"uncle_sol::true";"walter::heavy"
"walter::heavy";"walter::true"
"mrs_tozer::forward";"tozer::forward"
"tozer::abstruse";"uncle::abstruse"
"paul::intimate";"toots::intimate"
"blimber::general";"mrs_blimber::general"
"blimber::general";"toots::general"
"dombey::general";"mrs_blimber::general"
"dombey::general";"toots::general"
"mrs_blimber::general";"mrs_pipchin::general"
"mrs_blimber::general";"toots::general"
"mrs_pipchin::general";"toots::general"
"mrs_pipchin::definite";"toots::definite"
"dombey::sad";"miss_blimber::sad"
"dombey::sad";"paul::sad"
"miss_blimber::sad";"paul::sad"
"blimber::loud";"blimber::second"
"mrs_blimber::sure";"paul::sure"
"cornelia::gentle";"cornelia::quiet"
"cornelia::gentle";"paul::gentle"
"cornelia::gentle";"paul::quiet"
"cornelia::quiet";"paul::gentle"
"cornelia::quiet";"paul::quiet"
"paul::gentle";"paul::quiet"
"blimber::general";"blimber::rigid"
