"anne_page::stable";"hugh_evans::stable"
"dolly_varden::frugal";"john::frugal"
"joe::sheepish";"joe::straight"
"joe_willet::busy";"varden::busy"
"joe::sure";"mrs_varden::sure"
"martha::christian";"mrs_varden::christian"
"martha::christian";"willet::christian"
"mrs_varden::christian";"willet::christian"
"joe::sad";"joseph::sad"
"miggs::confident";"mrs_varden::confident"
"dolly::coquettish";"dolly::handsome"
"dolly::practical";"miggs::practical"
"miggs::cheerful";"mrs_varden::cheerful"
"joe::sure";"varden::sure"
"black_lion::congenial";"joe::congenial"
"joe_willet::bold";"joe_willet::leisurely"
"edward::heavy";"haredale::heavy"
"haredale::generous";"haredale::true"
"haredale::generous";"haredale::weak"
"haredale::true";"haredale::weak"
"haredale::cold";"haredale::steady"
"haredale::handsome";"willet::handsome"
"fore_gad::cool";"ned::cool"
"haredale::compassionate";"haredale::loving"
"edward::candid";"ned::candid"
"ned::squeamish";"ned::unhappy"
"barnaby::open";"grip::open"
"barnaby::open";"polly::open"
"mrs_varden::intense";"mrs_varden::irreligious"
"mrs_varden::intense";"mrs_varden::righteous"
"mrs_varden::intense";"mrs_varden::untoward"
"mrs_varden::intense";"mrs_varden::watchful"
"mrs_varden::intense";"pagan::intense"
"mrs_varden::intense";"pagan::irreligious"
"mrs_varden::intense";"pagan::righteous"
"mrs_varden::intense";"pagan::untoward"
"mrs_varden::intense";"pagan::watchful"
"mrs_varden::intense";"sim_tappertit::intense"
"mrs_varden::intense";"sim_tappertit::irreligious"
"mrs_varden::intense";"sim_tappertit::righteous"
"mrs_varden::intense";"sim_tappertit::untoward"
"mrs_varden::intense";"sim_tappertit::watchful"
"mrs_varden::intense";"toby::intense"
"mrs_varden::intense";"toby::irreligious"
"mrs_varden::intense";"toby::righteous"
"mrs_varden::intense";"toby::untoward"
"mrs_varden::intense";"toby::watchful"
"mrs_varden::irreligious";"mrs_varden::righteous"
"mrs_varden::irreligious";"mrs_varden::untoward"
"mrs_varden::irreligious";"mrs_varden::watchful"
"mrs_varden::irreligious";"pagan::intense"
"mrs_varden::irreligious";"pagan::irreligious"
"mrs_varden::irreligious";"pagan::righteous"
"mrs_varden::irreligious";"pagan::untoward"
"mrs_varden::irreligious";"pagan::watchful"
"mrs_varden::irreligious";"sim_tappertit::intense"
"mrs_varden::irreligious";"sim_tappertit::irreligious"
"mrs_varden::irreligious";"sim_tappertit::righteous"
"mrs_varden::irreligious";"sim_tappertit::untoward"
"mrs_varden::irreligious";"sim_tappertit::watchful"
"mrs_varden::irreligious";"toby::intense"
"mrs_varden::irreligious";"toby::irreligious"
"mrs_varden::irreligious";"toby::righteous"
"mrs_varden::irreligious";"toby::untoward"
"mrs_varden::irreligious";"toby::watchful"
"mrs_varden::righteous";"mrs_varden::untoward"
"mrs_varden::righteous";"mrs_varden::watchful"
"mrs_varden::righteous";"pagan::intense"
"mrs_varden::righteous";"pagan::irreligious"
"mrs_varden::righteous";"pagan::righteous"
"mrs_varden::righteous";"pagan::untoward"
"mrs_varden::righteous";"pagan::watchful"
"mrs_varden::righteous";"sim_tappertit::intense"
"mrs_varden::righteous";"sim_tappertit::irreligious"
"mrs_varden::righteous";"sim_tappertit::righteous"
"mrs_varden::righteous";"sim_tappertit::untoward"
"mrs_varden::righteous";"sim_tappertit::watchful"
"mrs_varden::righteous";"toby::intense"
"mrs_varden::righteous";"toby::irreligious"
"mrs_varden::righteous";"toby::righteous"
"mrs_varden::righteous";"toby::untoward"
"mrs_varden::righteous";"toby::watchful"
"mrs_varden::untoward";"mrs_varden::watchful"
"mrs_varden::untoward";"pagan::intense"
"mrs_varden::untoward";"pagan::irreligious"
"mrs_varden::untoward";"pagan::righteous"
"mrs_varden::untoward";"pagan::untoward"
"mrs_varden::untoward";"pagan::watchful"
"mrs_varden::untoward";"sim_tappertit::intense"
"mrs_varden::untoward";"sim_tappertit::irreligious"
"mrs_varden::untoward";"sim_tappertit::righteous"
"mrs_varden::untoward";"sim_tappertit::untoward"
"mrs_varden::untoward";"sim_tappertit::watchful"
"mrs_varden::untoward";"toby::intense"
"mrs_varden::untoward";"toby::irreligious"
"mrs_varden::untoward";"toby::righteous"
"mrs_varden::untoward";"toby::untoward"
"mrs_varden::untoward";"toby::watchful"
"mrs_varden::watchful";"pagan::intense"
"mrs_varden::watchful";"pagan::irreligious"
"mrs_varden::watchful";"pagan::righteous"
"mrs_varden::watchful";"pagan::untoward"
"mrs_varden::watchful";"pagan::watchful"
"mrs_varden::watchful";"sim_tappertit::intense"
"mrs_varden::watchful";"sim_tappertit::irreligious"
"mrs_varden::watchful";"sim_tappertit::righteous"
"mrs_varden::watchful";"sim_tappertit::untoward"
"mrs_varden::watchful";"sim_tappertit::watchful"
"mrs_varden::watchful";"toby::intense"
"mrs_varden::watchful";"toby::irreligious"
"mrs_varden::watchful";"toby::righteous"
"mrs_varden::watchful";"toby::untoward"
"mrs_varden::watchful";"toby::watchful"
"pagan::intense";"pagan::irreligious"
"pagan::intense";"pagan::righteous"
"pagan::intense";"pagan::untoward"
"pagan::intense";"pagan::watchful"
"pagan::intense";"sim_tappertit::intense"
"pagan::intense";"sim_tappertit::irreligious"
"pagan::intense";"sim_tappertit::righteous"
"pagan::intense";"sim_tappertit::untoward"
"pagan::intense";"sim_tappertit::watchful"
"pagan::intense";"toby::intense"
"pagan::intense";"toby::irreligious"
"pagan::intense";"toby::righteous"
"pagan::intense";"toby::untoward"
"pagan::intense";"toby::watchful"
"pagan::irreligious";"pagan::righteous"
"pagan::irreligious";"pagan::untoward"
"pagan::irreligious";"pagan::watchful"
"pagan::irreligious";"sim_tappertit::intense"
"pagan::irreligious";"sim_tappertit::irreligious"
"pagan::irreligious";"sim_tappertit::righteous"
"pagan::irreligious";"sim_tappertit::untoward"
"pagan::irreligious";"sim_tappertit::watchful"
"pagan::irreligious";"toby::intense"
"pagan::irreligious";"toby::irreligious"
"pagan::irreligious";"toby::righteous"
"pagan::irreligious";"toby::untoward"
"pagan::irreligious";"toby::watchful"
"pagan::righteous";"pagan::untoward"
"pagan::righteous";"pagan::watchful"
"pagan::righteous";"sim_tappertit::intense"
"pagan::righteous";"sim_tappertit::irreligious"
"pagan::righteous";"sim_tappertit::righteous"
"pagan::righteous";"sim_tappertit::untoward"
"pagan::righteous";"sim_tappertit::watchful"
"pagan::righteous";"toby::intense"
"pagan::righteous";"toby::irreligious"
"pagan::righteous";"toby::righteous"
"pagan::righteous";"toby::untoward"
"pagan::righteous";"toby::watchful"
"pagan::untoward";"pagan::watchful"
"pagan::untoward";"sim_tappertit::intense"
"pagan::untoward";"sim_tappertit::irreligious"
"pagan::untoward";"sim_tappertit::righteous"
"pagan::untoward";"sim_tappertit::untoward"
"pagan::untoward";"sim_tappertit::watchful"
"pagan::untoward";"toby::intense"
"pagan::untoward";"toby::irreligious"
"pagan::untoward";"toby::righteous"
"pagan::untoward";"toby::untoward"
"pagan::untoward";"toby::watchful"
"pagan::watchful";"sim_tappertit::intense"
"pagan::watchful";"sim_tappertit::irreligious"
"pagan::watchful";"sim_tappertit::righteous"
"pagan::watchful";"sim_tappertit::untoward"
"pagan::watchful";"sim_tappertit::watchful"
"pagan::watchful";"toby::intense"
"pagan::watchful";"toby::irreligious"
"pagan::watchful";"toby::righteous"
"pagan::watchful";"toby::untoward"
"pagan::watchful";"toby::watchful"
"sim_tappertit::intense";"sim_tappertit::irreligious"
"sim_tappertit::intense";"sim_tappertit::righteous"
"sim_tappertit::intense";"sim_tappertit::untoward"
"sim_tappertit::intense";"sim_tappertit::watchful"
"sim_tappertit::intense";"toby::intense"
"sim_tappertit::intense";"toby::irreligious"
"sim_tappertit::intense";"toby::righteous"
"sim_tappertit::intense";"toby::untoward"
"sim_tappertit::intense";"toby::watchful"
"sim_tappertit::irreligious";"sim_tappertit::righteous"
"sim_tappertit::irreligious";"sim_tappertit::untoward"
"sim_tappertit::irreligious";"sim_tappertit::watchful"
"sim_tappertit::irreligious";"toby::intense"
"sim_tappertit::irreligious";"toby::irreligious"
"sim_tappertit::irreligious";"toby::righteous"
"sim_tappertit::irreligious";"toby::untoward"
"sim_tappertit::irreligious";"toby::watchful"
"sim_tappertit::righteous";"sim_tappertit::untoward"
"sim_tappertit::righteous";"sim_tappertit::watchful"
"sim_tappertit::righteous";"toby::intense"
"sim_tappertit::righteous";"toby::irreligious"
"sim_tappertit::righteous";"toby::righteous"
"sim_tappertit::righteous";"toby::untoward"
"sim_tappertit::righteous";"toby::watchful"
"sim_tappertit::untoward";"sim_tappertit::watchful"
"sim_tappertit::untoward";"toby::intense"
"sim_tappertit::untoward";"toby::irreligious"
"sim_tappertit::untoward";"toby::righteous"
"sim_tappertit::untoward";"toby::untoward"
"sim_tappertit::untoward";"toby::watchful"
"sim_tappertit::watchful";"toby::intense"
"sim_tappertit::watchful";"toby::irreligious"
"sim_tappertit::watchful";"toby::righteous"
"sim_tappertit::watchful";"toby::untoward"
"sim_tappertit::watchful";"toby::watchful"
"toby::intense";"toby::irreligious"
"toby::intense";"toby::righteous"
"toby::intense";"toby::untoward"
"toby::intense";"toby::watchful"
"toby::irreligious";"toby::righteous"
"toby::irreligious";"toby::untoward"
"toby::irreligious";"toby::watchful"
"toby::righteous";"toby::untoward"
"toby::righteous";"toby::watchful"
"toby::untoward";"toby::watchful"
"sim::thoughtless";"varden::thoughtless"
"edward::sure";"varden::sure"
"edward::particular";"warren::particular"
"mrs_varden::cheerful";"mrs_varden::talkative"
"mrs_varden::cheerful";"varden::cheerful"
"mrs_varden::cheerful";"varden::talkative"
"mrs_varden::talkative";"varden::cheerful"
"mrs_varden::talkative";"varden::talkative"
"varden::cheerful";"varden::talkative"
"mrs_varden::sudden";"varden::sudden"
"gabriel::solemn";"martha::solemn"
"gabriel::christian";"martha::christian"
"barnaby::strong";"dolly::strong"
"barnaby::strong";"edward::strong"
"barnaby::strong";"grip::strong"
"barnaby::strong";"mrs_varden::strong"
"dolly::strong";"edward::strong"
"dolly::strong";"grip::strong"
"dolly::strong";"mrs_varden::strong"
"edward::strong";"grip::strong"
"edward::strong";"mrs_varden::strong"
"grip::strong";"mrs_varden::strong"
"damme::sufficient";"miggs::sufficient"
"damme::sufficient";"mrs_varden::sufficient"
"miggs::sufficient";"mrs_varden::sufficient"
"miggs::languid";"mrs_varden::languid"
"miggs::free";"mrs_varden::free"
"mr_tappettit::certain";"mr_tappettit::cruel"
"dolly::hearty";"mrs_varden::hearty"
"dolly::genteel";"mrs_varden::genteel"
"joe::cheerful";"john::cheerful"
"dolly::free";"dolly::handsome"
"dolly::free";"dolly::joyous"
"dolly::free";"emma::free"
"dolly::free";"emma::handsome"
"dolly::free";"emma::joyous"
"dolly::handsome";"dolly::joyous"
"dolly::handsome";"emma::free"
"dolly::handsome";"emma::handsome"
"dolly::handsome";"emma::joyous"
"dolly::joyous";"emma::free"
"dolly::joyous";"emma::handsome"
"dolly::joyous";"emma::joyous"
"emma::free";"emma::handsome"
"emma::free";"emma::joyous"
"emma::handsome";"emma::joyous"
"dolly_varden::haughty";"dolly_varden::roguish"
"dolly_varden::haughty";"dolly::haughty"
"dolly_varden::haughty";"dolly::roguish"
"dolly_varden::haughty";"edward::haughty"
"dolly_varden::haughty";"edward::roguish"
"dolly_varden::haughty";"joe::haughty"
"dolly_varden::haughty";"joe::roguish"
"dolly_varden::roguish";"dolly::haughty"
"dolly_varden::roguish";"dolly::roguish"
"dolly_varden::roguish";"edward::haughty"
"dolly_varden::roguish";"edward::roguish"
"dolly_varden::roguish";"joe::haughty"
"dolly_varden::roguish";"joe::roguish"
"dolly::haughty";"dolly::roguish"
"dolly::haughty";"edward::haughty"
"dolly::haughty";"edward::roguish"
"dolly::haughty";"joe::haughty"
"dolly::haughty";"joe::roguish"
"dolly::roguish";"edward::haughty"
"dolly::roguish";"edward::roguish"
"dolly::roguish";"joe::haughty"
"dolly::roguish";"joe::roguish"
"edward::haughty";"edward::roguish"
"edward::haughty";"joe::haughty"
"edward::haughty";"joe::roguish"
"edward::roguish";"joe::haughty"
"edward::roguish";"joe::roguish"
"joe::haughty";"joe::roguish"
"dolly::open";"joe_willet::open"
"joe::ferocious";"joe::strong"
"dolly::cheerful";"dolly::tremulous"
"dolly::cheerful";"joe::cheerful"
"dolly::cheerful";"joe::tremulous"
"dolly::tremulous";"joe::cheerful"
"dolly::tremulous";"joe::tremulous"
"joe::cheerful";"joe::tremulous"
"dolly::honest";"joe::honest"
"dolly::honest";"mrs_varden::honest"
"joe::honest";"mrs_varden::honest"
"hugh::stable";"joe::stable"
"joe::clean";"paul::clean"
"dolly::sudden";"joe::sudden"
"joe::natural";"mrs_varden::natural"
"hugh::gentle";"joe::gentle"
"dolly::cheerful";"dolly::sure"
"dolly::cheerful";"mrs_varden::cheerful"
"dolly::cheerful";"mrs_varden::sure"
"dolly::sure";"mrs_varden::cheerful"
"dolly::sure";"mrs_varden::sure"
"mrs_varden::cheerful";"mrs_varden::sure"
"miggs::brutal";"miggs::vicious"
"miggs::brutal";"mrs_varden::brutal"
"miggs::brutal";"mrs_varden::vicious"
"miggs::brutal";"varden::brutal"
"miggs::brutal";"varden::vicious"
"miggs::vicious";"mrs_varden::brutal"
"miggs::vicious";"mrs_varden::vicious"
"miggs::vicious";"varden::brutal"
"miggs::vicious";"varden::vicious"
"mrs_varden::brutal";"mrs_varden::vicious"
"mrs_varden::brutal";"varden::brutal"
"mrs_varden::brutal";"varden::vicious"
"mrs_varden::vicious";"varden::brutal"
"mrs_varden::vicious";"varden::vicious"
"varden::brutal";"varden::vicious"
"dolly::solemn";"mrs_varden::solemn"
"miggs::gracious";"simmun::gracious"
"miggs::gracious";"tappertit::gracious"
"simmun::gracious";"tappertit::gracious"
"dolly::explicit";"miggs::explicit"
"dolly::explicit";"tappertit::explicit"
"miggs::explicit";"tappertit::explicit"
"dolly_varden::uncivil";"joseph_willet::uncivil"
"dolly_varden::uncivil";"miggs::uncivil"
"joseph_willet::uncivil";"miggs::uncivil"
"toby::cheerful";"toby::talkative"
"mrs_varden::practical";"mrs_varden::retrospective"
"bacon::thoughtful";"chesterfield::thoughtful"
"bacon::thoughtful";"milton::thoughtful"
"bacon::thoughtful";"shakespeare::thoughtful"
"chesterfield::thoughtful";"milton::thoughtful"
"chesterfield::thoughtful";"shakespeare::thoughtful"
"milton::thoughtful";"shakespeare::thoughtful"
"chester::certain";"hugh::certain"
"chester::proud";"hugh::proud"
"chester::honest";"chester::lavish"
"chester::honest";"chester::tranquil"
"chester::lavish";"chester::tranquil"
"chester::haughty";"chester::proud"
"mrs_varden::civil";"mrs_varden::honest"
"barnaby::capricious";"barnaby::inconstant"
"haredale::acceptable";"haredale::temperate"
"haredale::acceptable";"mary::acceptable"
"haredale::acceptable";"mary::temperate"
"haredale::acceptable";"polly::acceptable"
"haredale::acceptable";"polly::temperate"
"haredale::temperate";"mary::acceptable"
"haredale::temperate";"mary::temperate"
"haredale::temperate";"polly::acceptable"
"haredale::temperate";"polly::temperate"
"mary::acceptable";"mary::temperate"
"mary::acceptable";"polly::acceptable"
"mary::acceptable";"polly::temperate"
"mary::temperate";"polly::acceptable"
"mary::temperate";"polly::temperate"
"polly::acceptable";"polly::temperate"
"barnaby::restless";"barnaby::stern"
"barnaby::quiet";"barnaby::sad"
"barnaby::quiet";"reuben_haredale::quiet"
"barnaby::quiet";"reuben_haredale::sad"
"barnaby::sad";"reuben_haredale::quiet"
"barnaby::sad";"reuben_haredale::sad"
"reuben_haredale::quiet";"reuben_haredale::sad"
"barnaby::thoughtful";"reuben_haredale::thoughtful"
"john::busy";"john::giddy"
"john::busy";"john::restless"
"john::giddy";"john::restless"
"barnaby::merry";"hugh::merry"
"haredale::original";"varden::original"
"rudge::#-free";"rudge::frank"
"chester::courteous";"haredale::courteous"
"gabriel_varden::honest";"haredale::honest"
"chester::certain";"gabriel_varden::certain"
"chester::certain";"haredale::certain"
"gabriel_varden::certain";"haredale::certain"
"chester::abrupt";"chester::bland"
"chester::abrupt";"gabriel::abrupt"
"chester::abrupt";"gabriel::bland"
"chester::bland";"gabriel::abrupt"
"chester::bland";"gabriel::bland"
"gabriel::abrupt";"gabriel::bland"
"chester::domestic";"varden::domestic"
"chester::bold";"dolly::bold"
"miggs::easy";"miggs::metaphorical"
"miggs::easy";"mrs_varden::easy"
"miggs::easy";"mrs_varden::metaphorical"
"miggs::metaphorical";"mrs_varden::easy"
"miggs::metaphorical";"mrs_varden::metaphorical"
"mrs_varden::easy";"mrs_varden::metaphorical"
"ned::easy";"ned::true"
"mrs_varden::affable";"ned::affable"
"chester::sweet";"mrs_varden::sweet"
"dolly::keen";"tappertit::keen"
"chester::sufficient";"miggs::sufficient"
"chester::affectionate";"chester::sure"
"chester::affectionate";"mrs_varden::affectionate"
"chester::affectionate";"mrs_varden::sure"
"chester::sure";"mrs_varden::affectionate"
"chester::sure";"mrs_varden::sure"
"mrs_varden::affectionate";"mrs_varden::sure"
"joseph_willet::indifferent";"mrs_varden::indifferent"
"joseph_willet::indifferent";"ned::indifferent"
"joseph_willet::indifferent";"varden::indifferent"
"mrs_varden::indifferent";"ned::indifferent"
"mrs_varden::indifferent";"varden::indifferent"
"ned::indifferent";"varden::indifferent"
"chester::busy";"chester::conversational"
"dolly::#-jealous";"dolly::giddy"
"dolly::#-jealous";"mrs_varden::#-jealous"
"dolly::#-jealous";"mrs_varden::giddy"
"dolly::giddy";"mrs_varden::#-jealous"
"dolly::giddy";"mrs_varden::giddy"
"mrs_varden::#-jealous";"mrs_varden::giddy"
"chester::thoughtful";"dolly::thoughtful"
"chester::thoughtful";"miggs::thoughtful"
"dolly::thoughtful";"miggs::thoughtful"
"chester::benign";"chester::tranquil"
"chester::benign";"mrs_varden::benign"
"chester::benign";"mrs_varden::tranquil"
"chester::tranquil";"mrs_varden::benign"
"chester::tranquil";"mrs_varden::tranquil"
"mrs_varden::benign";"mrs_varden::tranquil"
"chester::lazy";"mrs_varden::lazy"
"hugh::quiet";"hugh::second"
"chester::genial";"chester::musical"
"hugh::open";"john_willet::open"
"john::particular";"john::stable"
"chester::careless";"chester::lazy"
"chester::careless";"hugh::careless"
"chester::careless";"hugh::lazy"
"chester::lazy";"hugh::careless"
"chester::lazy";"hugh::lazy"
"hugh::careless";"hugh::lazy"
"hugh::hasty";"hugh::lively"
"hugh::hasty";"hugh::unceremonious"
"hugh::hasty";"willet::hasty"
"hugh::hasty";"willet::lively"
"hugh::hasty";"willet::unceremonious"
"hugh::lively";"hugh::unceremonious"
"hugh::lively";"willet::hasty"
"hugh::lively";"willet::lively"
"hugh::lively";"willet::unceremonious"
"hugh::unceremonious";"willet::hasty"
"hugh::unceremonious";"willet::lively"
"hugh::unceremonious";"willet::unceremonious"
"willet::hasty";"willet::lively"
"willet::hasty";"willet::unceremonious"
"willet::lively";"willet::unceremonious"
"chester::complimentary";"warren::complimentary"
"chester::complimentary";"willet::complimentary"
"warren::complimentary";"willet::complimentary"
"edward::gentle";"edward::persuasive"
"chester::frank";"chester::ingenuous"
"chester::frank";"ned::frank"
"chester::frank";"ned::ingenuous"
"chester::ingenuous";"ned::frank"
"chester::ingenuous";"ned::ingenuous"
"ned::frank";"ned::ingenuous"
"emma::candid";"emma::truthful"
"chester::true";"edward::true"
"chester::languid";"chester::righteous"
"joe::despotic";"john::despotic"
"john::original";"willet::original"
"chester::solemn";"joe::solemn"
"chester::solemn";"john::solemn"
"joe::solemn";"john::solemn"
"chester::graceful";"joe::graceful"
"chester::graceful";"john::graceful"
"joe::graceful";"john::graceful"
"varden::free";"varden::gallant"
"dolly::silent";"joe::silent"
"crooked_billet::open";"joe::open"
"crooked_billet::gallant";"joe::gallant"
"edward_chester::certain";"joe::certain"
"chester::delicate";"edward::delicate"
"chester::delicate";"ned::delicate"
"edward::delicate";"ned::delicate"
"edward::cool";"ned::cool"
"edward::curious";"edward::disobedient"
"edward::irreligious";"edward::undutiful"
"chester::calm";"chester::placid"
"edward::grave";"edward::wrathful"
"willet::constant";"willet::loud"
"joseph::general";"willet::general"
"willet::silent";"willet::sufficient"
"cobb::sure";"messrs_parkes::sure"
"cobb::sure";"solomon::sure"
"messrs_parkes::sure";"solomon::sure"
"messrs_parkes::boisterous";"messrs_parkes::loud"
"solomon_daisy::certain";"willet::certain"
"john::heretical";"parkes::heretical"
"cobb::fresh";"cobb::nervous"
"cobb::fresh";"phil_parkes::fresh"
"cobb::fresh";"phil_parkes::nervous"
"cobb::fresh";"solomon_daisy::fresh"
"cobb::fresh";"solomon_daisy::nervous"
"cobb::nervous";"phil_parkes::fresh"
"cobb::nervous";"phil_parkes::nervous"
"cobb::nervous";"solomon_daisy::fresh"
