"emma_woodhouse::affectionate";"emma_woodhouse::indulgent"
"campbell::particular";"dixon::particular"
"campbell::particular";"jane::natural"
"campbell::particular";"jane::particular"
"dixon::natural";"dixon::particular"
"dixon::natural";"jane::natural"
"dixon::natural";"jane::particular"
"dixon::particular";"jane::natural"
"dixon::particular";"jane::particular"
"jane::natural";"jane::particular"
"campbell::kind";"dixon::kind"
"campbell::kind";"jane::kind"
"dixon::kind";"jane::kind"
"emma::sure";"jane::sure"
"campbell::handsome";"campbell::moderate"
"jane::easy";"jane::judicious"
"dixon::moderate";"jane_fairfax::moderate"
"dixon::moderate";"miss_campbell::moderate"
"jane_fairfax::moderate";"miss_campbell::moderate"
"dixon::mischievous";"dixon::willing"
"dixon::mischievous";"emma::mischievous"
"dixon::mischievous";"emma::willing"
"dixon::willing";"emma::mischievous"
"dixon::willing";"emma::willing"
"emma::mischievous";"emma::willing"
"dixon::simple";"emma::simple"
"jane_fairfax::handsome";"knightley::handsome"
"emma::cautious";"emma::cold"
"emma::pleasant";"emma::sure"
"emma::sure";"hartfield::sure"
"woodhouse::pleasant";"woodhouse::quiet"
"emma::delicate";"emma::sure"
"emma::delicate";"hartfield::delicate"
"emma::delicate";"hartfield::sure"
"emma::sure";"hartfield::delicate"
"hartfield::delicate";"hartfield::sure"
"jane::cold";"patty::cold"
"elton::indifferent";"hawkins::indifferent"
"goddard::fast";"hartfield::fast"
"woodhouse::friendly";"woodhouse::kind"
"elizabeth_martin::true";"elton::true"
"elizabeth_martin::true";"emma::true"
"elizabeth_martin::true";"harriet::true"
"elizabeth_martin::true";"martin::true"
"elizabeth_martin::true";"robert_martin::true"
"elton::true";"emma::true"
"elton::true";"harriet::true"
"elton::true";"martin::true"
"elton::true";"robert_martin::true"
"emma::true";"harriet::true"
"emma::true";"martin::true"
"emma::true";"robert_martin::true"
"harriet::true";"martin::true"
"harriet::true";"robert_martin::true"
"martin::true";"robert_martin::true"
"brown::cordial";"brown::fearless"
"brown::cordial";"brown::gallant"
"brown::cordial";"cole::cordial"
"brown::cordial";"cole::fearless"
"brown::cordial";"cole::gallant"
"brown::cordial";"green::cordial"
"brown::cordial";"green::fearless"
"brown::cordial";"green::gallant"
"brown::fearless";"brown::gallant"
"brown::fearless";"cole::cordial"
"brown::fearless";"cole::fearless"
"brown::fearless";"cole::gallant"
"brown::fearless";"green::cordial"
"brown::fearless";"green::fearless"
"brown::fearless";"green::gallant"
"brown::gallant";"cole::cordial"
"brown::gallant";"cole::fearless"
"brown::gallant";"cole::gallant"
"brown::gallant";"green::cordial"
"brown::gallant";"green::fearless"
"brown::gallant";"green::gallant"
"cole::cordial";"cole::fearless"
"cole::cordial";"cole::gallant"
"cole::cordial";"green::cordial"
"cole::cordial";"green::fearless"
"cole::cordial";"green::gallant"
"cole::fearless";"cole::gallant"
"cole::fearless";"green::cordial"
"cole::fearless";"green::fearless"
"cole::fearless";"green::gallant"
"cole::gallant";"green::cordial"
"cole::gallant";"green::fearless"
"cole::gallant";"green::gallant"
"green::cordial";"green::fearless"
"green::cordial";"green::gallant"
"green::fearless";"green::gallant"
"emma::easy";"harriet::easy"
"emma::sure";"harriet::sure"
"elton::invariable";"hawkins::invariable"
"emma::fearful";"emma::neat"
"martin::sudden";"smith::sudden"
"emma::cordial";"harriet::cordial"
"emma::sluggish";"james::sluggish"
"weston::overcareful";"weston::sure"
"frank::civil";"weston::civil"
"frank_churchill::quick";"frank_churchill::sensible"
"barnes::sure";"bates::sure"
"bates::hearty";"bates::serious"
"bates::hearty";"frank_churchill::hearty"
"bates::hearty";"frank_churchill::serious"
"bates::hearty";"frank::hearty"
"bates::hearty";"frank::serious"
"bates::serious";"frank_churchill::hearty"
"bates::serious";"frank_churchill::serious"
"bates::serious";"frank::hearty"
"bates::serious";"frank::serious"
"frank_churchill::hearty";"frank_churchill::serious"
"frank_churchill::hearty";"frank::hearty"
"frank_churchill::hearty";"frank::serious"
"frank_churchill::serious";"frank::hearty"
"frank_churchill::serious";"frank::serious"
"frank::hearty";"frank::serious"
"emma::handsome";"weston::handsome"
"emma::insincere";"knightley::insincere"
"emma::cheerful";"emma::social"
"emma::cheerful";"weston::cheerful"
"emma::cheerful";"weston::social"
"emma::social";"weston::cheerful"
"emma::social";"weston::social"
"weston::cheerful";"weston::social"
"emma::delicate";"weston::delicate"
"campbell::strong";"dixon::strong"
"emma::sudden";"frank_churchill::sudden"
"emma::unselfish";"frank_churchill::unselfish"
"emma::impudent";"emma::lively"
"emma::impudent";"emma::sensible"
"emma::lively";"emma::sensible"
"emma::cordial";"knightley::cordial"
"bates::general";"elton::general"
"bates::general";"emma::general"
"bates::general";"smith::general"
"elton::general";"emma::general"
"elton::general";"smith::general"
"emma::general";"smith::general"
"cole::sure";"jane_fairfax::sure"
"campbell::natural";"campbell::paternal"
"elton::vain";"emma::vain"
"elton::vain";"jane_fairfax::vain"
"emma::vain";"harriet::vain"
"emma::vain";"jane_fairfax::vain"
"harriet::vain";"jane_fairfax::vain"
"churchill::fresh";"enscombe::fresh"
"cole::rude";"frank_churchill::rude"
"bates::simple";"weston::simple"
"bateses::independent";"jane_fairfax::independent"
"jane::sure";"weston::sure"
"bates::kind";"jane::kind"
"bates::strong";"jane::strong"
"cole::silent";"cole::sure"
"cole::acceptable";"emma::acceptable"
"cole::acceptable";"frank_churchill::acceptable"
"cole::acceptable";"weston::acceptable"
"emma::acceptable";"frank_churchill::acceptable"
"emma::acceptable";"weston::acceptable"
"frank_churchill::acceptable";"weston::acceptable"
"emma::sweet";"knightley::sweet"
"emma::sweet";"weston::sweet"
"knightley::sweet";"weston::sweet"
"emma::free";"knightley::free"
"bates::grateful";"jane::grateful"
"emma::languid";"frank_churchill::languid"
"emma::dignified";"emma::pleasant"
"bates::fresh";"emma::fresh"
"jane::sure";"knightley::sure"
"hodges::sure";"patty::sure"
"bates::desultory";"patty::desultory"
"campbell::sure";"emma::sure"
"campbell::sure";"frank_churchill::sure"
"emma::sure";"frank_churchill::sure"
"campbell::general";"campbell::indefinite"
"bates::cold";"jane::cold"
"bates::cold";"knightley::cold"
"jane::cold";"knightley::cold"
"emma::particular";"weston::particular"
"frank_churchill::simple";"jane_fairfax::simple"
"frank_churchill::simple";"weston::simple"
"frank_churchill::simple";"woodhouse::simple"
"jane_fairfax::simple";"weston::simple"
"jane_fairfax::simple";"woodhouse::simple"
"weston::simple";"woodhouse::simple"
"emma::awkward";"weston::awkward"
"emma::awkward";"woodhouse::awkward"
"weston::awkward";"woodhouse::awkward"
"emma::unhappy";"woodhouse::unhappy"
"weston::unhappy";"woodhouse::unhappy"
"--_emma::#-strong";"emma::#-strong"
"taylor::open";"weston::open"
"emma::true";"taylor::true"
"bates::sure";"frank::sure"
"bates::neat";"jane::neat"
"emma::certain";"knightley::certain"
"jane_fairfax::honest";"jane_fairfax::woeful"
"frank_churchill::impatient";"weston::impatient"
"emma::natural";"weston::natural"
"weston::social";"weston::suspicious"
"elton::willing";"harriet::willing"
"emma::heavy";"harriet::heavy"
"elton::unhappy";"harriet::unhappy"
"--_harriet::sensible";"jane_fairfax::sensible"
"elton::hasty";"elton::witty"
"elton::easy";"elton::wise"
"harriet::gentle";"harriet::vain"
"harriet::gentle";"woodhouse::gentle"
"harriet::gentle";"woodhouse::vain"
"harriet::vain";"woodhouse::gentle"
"harriet::vain";"woodhouse::vain"
"woodhouse::gentle";"woodhouse::vain"
"elton::familiar";"elton::pert"
"elton::familiar";"elton::vain"
"elton::familiar";"harriet::familiar"
"elton::familiar";"harriet::pert"
"elton::familiar";"harriet::vain"
"elton::pert";"elton::vain"
"elton::pert";"harriet::familiar"
"elton::pert";"harriet::pert"
"elton::pert";"harriet::vain"
"elton::vain";"harriet::familiar"
"elton::vain";"harriet::pert"
"harriet::familiar";"harriet::pert"
"harriet::familiar";"harriet::vain"
"harriet::pert";"harriet::vain"
"elton::sufficient";"emma::sufficient"
"elton::musical";"emma::musical"
"elton::pleasant";"emma::pleasant"
"weston::kind-hearted";"weston::motherly"
"bates::pleasant";"elton::pleasant"
"bates::pleasant";"miss_woodhouse::pleasant"
"bates::pleasant";"woodhouse::pleasant"
"elton::pleasant";"miss_woodhouse::pleasant"
"elton::pleasant";"woodhouse::pleasant"
"miss_woodhouse::pleasant";"woodhouse::pleasant"
"harriet::easy";"harriet::open"
"harriet::easy";"woodhouse::easy"
"harriet::easy";"woodhouse::open"
"harriet::open";"woodhouse::easy"
"harriet::open";"woodhouse::open"
"woodhouse::easy";"woodhouse::open"
"campbell::calm";"emma::calm"
"bates::guileless";"elton::guileless"
"bates::guileless";"jane::guileless"
"elton::guileless";"jane::guileless"
"elton::affable";"elton::condescending"
"campbell::fresh";"jane::fresh"
"elton::reproachful";"emma::reproachful"
"elton::reproachful";"weston::reproachful"
"emma::reproachful";"weston::reproachful"
"bates::natural";"jane::natural"
"jane_fairfax::strong";"knightley::strong"
"bates::true";"goddard::true"
"bates::true";"perry::true"
"goddard::true";"perry::true"
"elton::true";"jane_fairfax::true"
"elton::quiet";"isabella::quiet"
"frank_churchill::gallant";"knightley::gallant"
"frank_churchill::gallant";"woodhouse::gallant"
"knightley::gallant";"woodhouse::gallant"
"emma::#-vain";"jane::#-vain"
"elton::cold";"jane::cold"
"bragge::sure";"campbell::sure"
"bragge::sure";"jane::sure"
"campbell::sure";"jane::sure"
"campbell::musical";"campbell::sure"
"jane::serious";"jane::sure"
"weston::communicative";"weston::eager"
"weston::communicative";"weston::observant"
"weston::communicative";"weston::partial"
"weston::eager";"weston::observant"
"weston::eager";"weston::partial"
"weston::observant";"weston::partial"
"elton::positive";"emma::positive"
"elton::positive";"john_knightley::positive"
"elton::positive";"weston::positive"
"emma::positive";"john_knightley::positive"
"emma::positive";"weston::positive"
"john_knightley::positive";"weston::positive"
"churchill::#-second";"elton::#-second"
"clifton::cold";"enscombe::cold"
"churchill::genial";"churchill::pleasant"
"elton::#-friendly";"elton::constant"
"elton::silent";"emma::silent"
"elton::silent";"knightley::silent"
"emma::silent";"knightley::silent"
"cole::fresh";"isabella::fresh"
"emma::quiet";"frank_churchill::quiet"
"churchill::nervous";"churchill::sincere"
"emma::joyous";"weston::joyous"
"weston::earnest";"weston::quiet"
"emma::intimate";"emma::intimates"
"emma::intimate";"weston::intimate"
"emma::intimate";"weston::intimates"
"emma::intimates";"weston::intimate"
"emma::intimates";"weston::intimates"
"weston::intimate";"weston::intimates"
"emma::open";"weston::open"
"emma::general";"weston::general"
"frank_churchill::sure";"jane::sure"
"emma::rude";"jane::rude"
"emma::rude";"woodhouse::rude"
"jane::rude";"woodhouse::rude"
"bates::quiet";"bates::thoughtful"
"bates::quiet";"elton::quiet"
"bates::quiet";"elton::thoughtful"
"bates::quiet";"emma::quiet"
"bates::quiet";"emma::thoughtful"
"bates::quiet";"frank_churchill::quiet"
"bates::quiet";"frank_churchill::thoughtful"
"bates::thoughtful";"elton::quiet"
"bates::thoughtful";"elton::thoughtful"
"bates::thoughtful";"emma::quiet"
"bates::thoughtful";"emma::thoughtful"
"bates::thoughtful";"frank_churchill::quiet"
"bates::thoughtful";"frank_churchill::thoughtful"
"elton::quiet";"elton::thoughtful"
"elton::quiet";"emma::quiet"
"elton::quiet";"emma::thoughtful"
"elton::quiet";"frank_churchill::quiet"
"elton::quiet";"frank_churchill::thoughtful"
"elton::thoughtful";"emma::quiet"
"elton::thoughtful";"emma::thoughtful"
"elton::thoughtful";"frank_churchill::quiet"
"elton::thoughtful";"frank_churchill::thoughtful"
"emma::quiet";"emma::thoughtful"
"emma::quiet";"frank_churchill::thoughtful"
"emma::thoughtful";"frank_churchill::quiet"
"emma::thoughtful";"frank_churchill::thoughtful"
"frank_churchill::quiet";"frank_churchill::thoughtful"
"elton::general";"weston::general"
"--_emma::close";"smith::close"
"knightley::good-natured";"smith::good-natured"
"bickerton::steep";"harriet::steep"
"emma::grateful";"goddard::grateful"
"emma::grateful";"knightley::grateful"
"goddard::grateful";"knightley::grateful"
"emma::#-true";"emma::indifferent"
"emma::#-true";"harriet::#-true"
"emma::#-true";"harriet::indifferent"
"emma::#-true";"miss_smith::#-true"
"emma::#-true";"miss_smith::indifferent"
"emma::#-true";"woodhouse::#-true"
"emma::#-true";"woodhouse::indifferent"
"emma::indifferent";"harriet::#-true"
"emma::indifferent";"harriet::indifferent"
"emma::indifferent";"miss_smith::#-true"
"emma::indifferent";"miss_smith::indifferent"
"emma::indifferent";"woodhouse::#-true"
"emma::indifferent";"woodhouse::indifferent"
"harriet::#-true";"harriet::indifferent"
"harriet::#-true";"miss_smith::#-true"
"harriet::#-true";"miss_smith::indifferent"
"harriet::#-true";"woodhouse::#-true"
"harriet::#-true";"woodhouse::indifferent"
"harriet::indifferent";"miss_smith::#-true"
"harriet::indifferent";"miss_smith::indifferent"
"harriet::indifferent";"woodhouse::#-true"
"harriet::indifferent";"woodhouse::indifferent"
"miss_smith::#-true";"miss_smith::indifferent"
"miss_smith::#-true";"woodhouse::#-true"
"miss_smith::#-true";"woodhouse::indifferent"
"miss_smith::indifferent";"woodhouse::#-true"
"miss_smith::indifferent";"woodhouse::indifferent"
