"lady_lucas::general";"william::general"
"--_elizabeth::weak";"mary::weak"
"darcy::insolent";"darcy::silent"
"elizabeth::steady";"elizabeth::violent"
"elizabeth::steady";"hurst::steady"
"elizabeth::steady";"hurst::violent"
"elizabeth::steady";"lydia::steady"
"elizabeth::steady";"lydia::violent"
"elizabeth::violent";"hurst::steady"
"elizabeth::violent";"hurst::violent"
"elizabeth::violent";"lydia::steady"
"elizabeth::violent";"lydia::violent"
"hurst::steady";"hurst::violent"
"hurst::steady";"lydia::steady"
"hurst::steady";"lydia::violent"
"hurst::violent";"lydia::steady"
"hurst::violent";"lydia::violent"
"lydia::steady";"lydia::violent"
"bennet::civil";"bennet::formal"
"bennet::civil";"bingley::civil"
"bennet::civil";"bingley::formal"
"bennet::formal";"bingley::civil"
"bennet::formal";"bingley::formal"
"bingley::civil";"bingley::formal"
"collins::formal";"collins::second"
"catherine::certain";"collins::certain"
"elizabeth::decisive";"elizabeth::negative"
"collins::headstrong";"lizzy::headstrong"
"collins::headstrong";"madam::headstrong"
"elizabeth::playful";"jane::playful"
"collins::silent";"madam::silent"
"collins::peevish";"elizabeth::peevish"
"collins::resentful";"elizabeth::resentful"
"elizabeth::general";"jane::general"
"elizabeth::general";"wickham::general"
"jane::general";"wickham::general"
"darcy::eager";"darcy::impatient"
"darcy::second";"miss_de_bourgh::second"
"bingley::sensible";"darcy::sensible"
"darcy::sensible";"jane::sensible"
"bennet::intimate";"bennet::partial"
"lady_lucas::joyful";"william::joyful"
"bennet::speedy";"catherine::speedy"
"collins::steady";"eliza::steady"
"collins::steady";"lucas::steady"
"eliza::steady";"lucas::steady"
"elizabeth::grateful";"elizabeth::strong"
"bennet::rapid";"william::rapid"
"elizabeth::rude";"lucas::rude"
"elizabeth::rude";"william::rude"
"lucas::rude";"william::rude"
"bennet::sensible";"bennet::tranquil"
"bennet::sensible";"charlotte_lucas::sensible"
"bennet::sensible";"charlotte_lucas::tranquil"
"bennet::tranquil";"charlotte_lucas::sensible"
"bennet::tranquil";"charlotte_lucas::tranquil"
"charlotte_lucas::sensible";"charlotte_lucas::tranquil"
"elizabeth::earnest";"jane::earnest"
"bennet::sour";"lucas::sour"
"lady_catherine::rapturous";"lucas::rapturous"
"bennet::contrary";"collins::contrary"
"bennet::indifferent";"collins::indifferent"
"bennet::gentle";"bingley::gentle"
"bingley::indifferent";"elizabeth::indifferent"
"elizabeth::silent";"jane::silent"
"caroline::partial";"darcy::partial"
"collins::prudent";"collins::steady"
"bingley::unhappy";"elizabeth::unhappy"
"elizabeth::hopeless";"jane::hopeless"
"gardiner::general";"wickham::general"
"elizabeth::sensible";"gardiner::sensible"
"elizabeth::sensible";"lizzy::sensible"
"gardiner::sensible";"lizzy::sensible"
"elizabeth::true";"elizabeth::wise"
"bennet::fast";"collins::fast"
"bennet::fast";"gardiner::fast"
"bennet::fast";"jane::fast"
"bennet::fast";"lady_lucas::fast"
"bennet::fast";"lucas::fast"
"collins::fast";"gardiner::fast"
"collins::fast";"jane::fast"
"collins::fast";"lady_lucas::fast"
"collins::fast";"lucas::fast"
"gardiner::fast";"jane::fast"
"gardiner::fast";"lady_lucas::fast"
"gardiner::fast";"lucas::fast"
"jane::fast";"lady_lucas::fast"
"jane::fast";"lucas::fast"
"lady_lucas::fast";"lucas::fast"
"elizabeth::ungracious";"lucas::ungracious"
"bingley::second";"caroline::second"
"bingley::second";"elizabeth::second"
"bingley::second";"jane::second"
"caroline::second";"elizabeth::second"
"caroline::second";"jane::second"
"elizabeth::second";"jane::second"
"gardiner::#-cordial";"gardiner::impartial"
"catherine_de_bourgh::sincere";"elizabeth::sincere"
"collins::formal";"elizabeth::formal"
"collins::humble";"collins::second"
"collins::humble";"elizabeth::humble"
"collins::humble";"elizabeth::second"
"collins::second";"elizabeth::humble"
"collins::second";"elizabeth::second"
"elizabeth::humble";"elizabeth::second"
"elizabeth::cheerful";"elizabeth::neat"
"collins::quiet";"rosings::quiet"
"elizabeth::vain";"maria::vain"
"collins::earnest";"de_bourgh::earnest"
"collins::earnest";"elizabeth::earnest"
"collins::earnest";"william::earnest"
"de_bourgh::earnest";"elizabeth::earnest"
"de_bourgh::earnest";"william::earnest"
"elizabeth::earnest";"william::earnest"
"collins::pleasant";"elizabeth::pleasant"
"collins::pleasant";"lewis_de_bourgh::pleasant"
"elizabeth::pleasant";"lewis_de_bourgh::pleasant"
"--_elizabeth::calm";"maria::calm"
"--_elizabeth::calm";"william::calm"
"maria::calm";"william::calm"
"collins::rapturous";"jenkinson::rapturous"
"collins::rapturous";"lady_catherine::rapturous"
"jenkinson::rapturous";"lady_catherine::rapturous"
"elizabeth::authoritative";"lady_catherine::authoritative"
"elizabeth::authoritative";"wickham::authoritative"
"lady_catherine::authoritative";"wickham::authoritative"
"collins::genteel";"elizabeth::genteel"
"collins::genteel";"maria::genteel"
"elizabeth::genteel";"maria::genteel"
"--_elizabeth::handsome";"--_lady::handsome"
"de_bourgh::cold";"jenkinson::cold"
"collins::thankful";"elizabeth::thankful"
"collins::thankful";"william::thankful"
"elizabeth::thankful";"william::thankful"
"collins::lively";"elizabeth::lively"
"collins::active";"collins::quarrelsome"
"collins::active";"elizabeth::active"
"collins::active";"elizabeth::quarrelsome"
"collins::quarrelsome";"elizabeth::active"
"collins::quarrelsome";"elizabeth::quarrelsome"
"elizabeth::active";"elizabeth::quarrelsome"
"catherine::open";"lady_catherine::open"
"catherine::quiet";"lady_catherine::quiet"
"darcy::hopeless";"elizabeth::hopeless"
"darcy::hopeless";"lady_catherine::hopeless"
"darcy::hopeless";"lucas::hopeless"
"elizabeth::hopeless";"lady_catherine::hopeless"
"elizabeth::hopeless";"lucas::hopeless"
"lady_catherine::hopeless";"lucas::hopeless"
"bennet::sensible";"bingley::sensible"
"bennet::sensible";"caroline::sensible"
"bennet::sensible";"jane::sensible"
"bingley::sensible";"caroline::sensible"
"caroline::sensible";"jane::sensible"
"collins::certain";"elizabeth::certain"
"collins::certain";"jane::certain"
"collins::certain";"maria::certain"
"elizabeth::certain";"jane::certain"
"elizabeth::certain";"maria::certain"
"jane::certain";"maria::certain"
"darcy::impertinent";"lady_catherine::impertinent"
"darcy::curious";"darcy::hasty"
"collins::grateful";"collins::sure"
"collins::grateful";"lady_catherine::grateful"
"collins::grateful";"lady_catherine::sure"
"collins::sure";"lady_catherine::grateful"
"collins::sure";"lady_catherine::sure"
"lady_catherine::grateful";"lady_catherine::sure"
"eliza::steadfast";"fitzwilliam::steadfast"
"collins::partial";"elizabeth::partial"
"darcy::second";"elizabeth::second"
"earl::lively";"elizabeth::lively"
"bingley::kind";"darcy::kind"
"darcy::unhappy";"kent::unhappy"
"jane::unfeeling";"wickham::unfeeling"
"bingley::general";"william_lucas::general"
"bingley::certain";"bingley::undecided"
"bingley::certain";"william_lucas::certain"
"bingley::certain";"william_lucas::undecided"
"bingley::undecided";"william_lucas::certain"
"bingley::undecided";"william_lucas::undecided"
"william_lucas::certain";"william_lucas::undecided"
"bennet::cheerful";"bennet::open"
"darcy::careful";"darcy::unguarded"
"darcy::careful";"darcy::vicious"
"darcy::unguarded";"darcy::vicious"
"darcy::strong";"elizabeth::strong"
"darcy::#-penitent";"darcy::haughty"
"darcy::#-penitent";"elizabeth::#-penitent"
"darcy::#-penitent";"elizabeth::haughty"
"darcy::haughty";"elizabeth::#-penitent"
"darcy::haughty";"elizabeth::haughty"
"elizabeth::#-penitent";"elizabeth::haughty"
"darcy::general";"darcy::social"
"darcy::particular";"fitzwilliam::particular"
"philips::fresh";"wickham::fresh"
"darcy::mercenary";"netherfield::mercenary"
"bingley::irreligious";"bingley::proud"
"bingley::irreligious";"darcy::irreligious"
"bingley::irreligious";"darcy::proud"
"bingley::irreligious";"jane::irreligious"
"bingley::irreligious";"jane::proud"
"bingley::proud";"darcy::irreligious"
"bingley::proud";"darcy::proud"
"bingley::proud";"jane::irreligious"
"bingley::proud";"jane::proud"
"darcy::irreligious";"darcy::proud"
"darcy::irreligious";"jane::irreligious"
"darcy::irreligious";"jane::proud"
"darcy::proud";"jane::irreligious"
"darcy::proud";"jane::proud"
"jane::irreligious";"jane::proud"
"darcy::partial";"darcy::prejudiced"
"darcy::partial";"wickham::partial"
"darcy::partial";"wickham::prejudiced"
"darcy::prejudiced";"wickham::partial"
"darcy::prejudiced";"wickham::prejudiced"
"wickham::partial";"wickham::prejudiced"
"collins::melancholy";"rosings::melancholy"
"bingley::sincere";"darcy::sincere"
"bingley::sincere";"jane::sincere"
"darcy::sincere";"jane::sincere"
"catherine::silent";"collins::silent"
"collins::affectionate";"elizabeth::affectionate"
"collins::affectionate";"gardiner::affectionate"
"elizabeth::affectionate";"gardiner::affectionate"
"maria::grateful";"maria::humble"
"bennet::second";"kitty::second"
"bennet::second";"lydia::second"
"kitty::second";"lydia::second"
"george::cold";"kitty::cold"
"george::cold";"mary::cold"
"kitty::cold";"mary::cold"
"elizabeth::urgent";"lydia::urgent"
"darcy::particular";"elizabeth::particular"
"darcy::particular";"jane::particular"
"elizabeth::particular";"jane::particular"
"bennet::natural";"bennet::strong"
"bennet::natural";"elizabeth::natural"
"bennet::natural";"elizabeth::strong"
"bennet::strong";"elizabeth::natural"
"bennet::strong";"elizabeth::strong"
"elizabeth::natural";"elizabeth::strong"
"darcy::contrary";"darcy::particular"
"darcy::general";"darcy::violent"
"jane::certain";"jane::willing"
"bennet::sad";"jane::sad"
"bennet::sad";"lizzy::sad"
"jane::sad";"lizzy::sad"
"kitty::peevish";"kitty::restless"
"kitty::peevish";"lydia::peevish"
"kitty::peevish";"lydia::restless"
"kitty::restless";"lydia::peevish"
"kitty::restless";"lydia::restless"
"lydia::peevish";"lydia::restless"
"forster::particular";"lydia::particular"
"forster::general";"lydia::general"
"elizabeth::sure";"elizabeth::unguarded"
"elizabeth::sure";"lydia::sure"
"elizabeth::sure";"lydia::unguarded"
"elizabeth::unguarded";"lydia::sure"
"elizabeth::unguarded";"lydia::unguarded"
"lydia::sure";"lydia::unguarded"
"lydia::creative";"lydia::gay"
"elizabeth::fresh";"wickham::fresh"
"elizabeth::frivolous";"wickham::frivolous"
"darcy::silent";"darcy::wise"
"darcy::silent";"wickham::silent"
"darcy::silent";"wickham::wise"
"darcy::wise";"wickham::silent"
"darcy::wise";"wickham::wise"
"wickham::silent";"wickham::wise"
"forster::noisy";"lydia::noisy"
"bennet::clamorous";"bennet::gentle"
"bennet::clamorous";"lydia::clamorous"
"bennet::clamorous";"lydia::gentle"
"bennet::gentle";"lydia::clamorous"
"bennet::gentle";"lydia::gentle"
"lydia::clamorous";"lydia::gentle"
"kitty::constant";"kitty::domestic"
"kitty::constant";"kitty::natural"
"kitty::domestic";"kitty::natural"
"forster::violent";"kitty::violent"
"darcy::handsome";"gardiner::handsome"
"darcy::sure";"reynolds::sure"
"elizabeth::gentle";"elizabeth::original"
"darcy::slow";"elizabeth::slow"
"elizabeth::expressive";"gardiner::expressive"
"darcy::stately";"darcy::sure"
"darcy::stately";"elizabeth::stately"
"darcy::stately";"elizabeth::sure"
"darcy::sure";"elizabeth::stately"
"darcy::sure";"elizabeth::sure"
"elizabeth::stately";"elizabeth::sure"
"darcy::proud";"elizabeth::proud"
"gardiner::cruel";"wickham::cruel"
"gardiner::sure";"wickham::sure"
"darcy::proud";"darcy::shy"
"bingley::quick";"darcy::quick"
"bingley::eager";"darcy::eager"
"bingley::eager";"georgiana::eager"
"darcy::eager";"georgiana::eager"
"darcy::civil";"darcy::lively"
"hurst::awkward";"miss_bingley::awkward"
"annesley::genteel";"elizabeth::genteel"
"annesley::genteel";"gardiner::genteel"
"elizabeth::genteel";"gardiner::genteel"
"elizabeth::cold";"miss_bingley::cold"
"annesley::cold";"darcy::cold"
"bingley::partial";"darcy::partial"
"bingley::partial";"elizabeth::partial"
"darcy::partial";"elizabeth::partial"
"bingley::#-wise";"darcy::#-wise"
"bingley::#-wise";"elizabeth::#-wise"
"darcy::#-wise";"elizabeth::#-wise"
"bingley::silent";"darcy::silent"
"bingley::silent";"elizabeth::silent"
"elizabeth::quiet";"jane::quiet"
"jane::second";"wickham::second"
"lydia::easy";"lydia::sufficient"
"elizabeth::certain";"elizabeth::sudden"
"elizabeth::hasty";"jane::hasty"
"bennet::general";"gardiner::general"
"bennet::general";"lydia::general"
"gardiner::general";"lydia::general"
"bennet::certain";"gardiner::certain"
"bennet::certain";"lydia::certain"
"gardiner::certain";"lydia::certain"
"elizabeth::grave";"mary::grave"
"elizabeth::unhappy";"lydia::unhappy"
"elizabeth::eager";"jane::eager"
"kitty::natural";"lydia::natural"
"elizabeth::thoughtless";"lydia::thoughtless"
"kitty::delicate";"mary::delicate"
"bennet::dilatory";"bennet::negligent"
"bennet::certain";"bennet::constant"
"forster::pleasant";"gardiner::pleasant"
"darcy::unhappy";"elizabeth::unhappy"
"darcy::unhappy";"lydia::unhappy"
"gardiner::violent";"jane::violent"
"gardiner::violent";"lydia::violent"
"jane::violent";"lydia::violent"
"gardiner::merry";"lydia::merry"
"bennet::grateful";"lydia::grateful"
"lydia::dilatory";"lydia::quick"
"darcy::jealous";"lydia::jealous"
"darcy::generous";"lydia::generous"
"forster::speedy";"wickham::speedy"
"lydia::fearless";"lydia::noisy"
"elizabeth::certain";"lydia::certain"
"elizabeth::certain";"wickham::certain"
"elizabeth::delicate";"jane::delicate"
"elizabeth::delicate";"lydia::delicate"
"jane::delicate";"lydia::delicate"
"lydia::constant";"wickham::constant"
"darcy::punctual";"lydia::punctual"
"darcy::true";"darcy::vague"
"lydia::saucy";"lydia::ungracious"
"de_bourgh::particular";"elizabeth::particular"
"elizabeth::quiet";"wickham::quiet"
"bingley::reasonable";"jane::reasonable"
"bingley::daring";"jane::daring"
"elizabeth::free";"jane::free"
"bennet::sure";"bingley::sure"
"bingley::prudent";"elizabeth::prudent"
"elizabeth::cheerful";"jane::cheerful"
"bennet::punctual";"bingley::punctual"
"bennet::communicative";"bingley::communicative"
"lizzy::indifferent";"lizzy::sure"
"bennet::certain";"bingley::certain"
"elizabeth::particular";"lizzy::particular"
"elizabeth::eager";"elizabeth::intimate"
"elizabeth::eager";"jane::intimate"
"elizabeth::intimate";"jane::eager"
"jane::eager";"jane::intimate"
"lady_lucas::good-natured";"william::good-natured"
"collins::sad";"lydia::sad"
"elizabeth::general";"kitty::general"
"elizabeth::general";"lady_lucas::general"
"elizabeth::general";"maria::general"
"elizabeth::general";"william::general"
"kitty::general";"lady_lucas::general"
"kitty::general";"maria::general"
"kitty::general";"william::general"
"lady_lucas::general";"maria::general"
"maria::general";"william::general"
"bennet::general";"bennet::incredulous"
"bingley::sure";"kitty::sure"
"darcy::earnest";"darcy::solemn"
"darcy::earnest";"elizabeth::earnest"
"darcy::earnest";"elizabeth::solemn"
"darcy::solemn";"elizabeth::earnest"
"darcy::solemn";"elizabeth::solemn"
"elizabeth::earnest";"elizabeth::solemn"
"elizabeth::certain";"elizabeth::sad"
"darcy::obsequious";"darcy::sincere"
"darcy::obsequious";"elizabeth::obsequious"
"darcy::obsequious";"elizabeth::sincere"
"darcy::sincere";"elizabeth::obsequious"
"darcy::sincere";"elizabeth::sincere"
"elizabeth::obsequious";"elizabeth::sincere"
"bingley::quiet";"philips::quiet"
"bingley::affectionate";"bingley::easy"
"bingley::affectionate";"jane::affectionate"
"bingley::affectionate";"jane::easy"
"bingley::easy";"jane::affectionate"
"bingley::easy";"jane::easy"
"jane::affectionate";"jane::easy"
"elizabeth::congratulatory";"lydia::congratulatory"
"elizabeth::open";"georgiana::open"
"darcy::sensible";"elizabeth::sensible"
