"node_id" "tags" "dpub"
"77" "birds, box, clean, cold, comfortable, direction, elegant, first, found, full, gold, large, little, meat, meeting, mute, name, near, order, plants, roof, room, round, strange, time, use, window, work" "77"
"78" "little, mute, plate" "78"
"79" "balance, can, condition, fear, found, halting, hand, idea, legs, little, name, observe, person, request, roof, round, secret, stage, strange, thought, time, two, wine, wonder" "79"
"80" "amused, back, bitter, determined, first, full, hope, idea, little, love, mother, object, observe, painful, polite, present, relation, reply, secret, thought, time, two" "80"
"81" "can, detect, determined, end, first, hand, lip, little, mere, mother, partner, position, rest, retire, room, sense, thought, time, wonder" "81"
"82" "hand, point, scale, strange, street, thought, time, two, use, waiting, window" "82"
"83" "animated, back, bird, black, bushes, can, distance, end, fear, female, first, green, hand, iron, letters, little, person, public, rest, round, safe, steep, tearful, thought, time, tranquil, wall, window" "83"
"84" "black, boy, cold, distance, green, hand, hope, ink, legs, little, love, meat, near, pipe, roof, room, round, school, shelter, sigh, spare, time, wall, wipe, wonder" "84"
"85" "damp, hand, little, pipe, room, round, strange, time, waste" "85"
"86" "book, bow, boy, can, comfortable, deserted, first, hand, hang, hope, legs, little, open, order, rest, roof, room, school, thought, time, two, wall, work" "86"
"87" "back, birds, book, boy, can, copy, deeply, driving, full, gentle, green, hand, hot, joyous, legs, little, natural, observe, open, page, retire, room, school, sky, time, two, wall, window, work" "87"
"88" "birthday, book, boy, can, charge, earth, fear, gentle, hand, hope, little, meeting, name, near, neck, open, point, private, reply, rest, room, round, thought, time, window" "88"
"89" "cold, hand, little, two, wall" "89"
"90" "back, border, boy, cold, comfortable, condition, distance, dusty, full, green, hand, hope, horse, large, little, money, move, open, point, ready, red, rest, room, sad, school, store, stretch, thought, time, two, wander" "90"
"91" "beg, calm, can, direction, distance, distinct, dusty, earth, excuse, first, fresh, full, gentle, hand, hot, large, legs, little, mere, near, plate, red, relieved, sky, spare, time, two" "91"
"92" "back, can, carriage, cold, driving, full, hand, hope, horse, load, open, perpetual, pie, pull, reply, rest, round, scientific, time, two, window" "92"
"93" "black, calm, comfortable, distance, end, familiar, first, full, important, large, letters, little, meat, natural, observe, open, position, public, roof, round, thought, time, two, window, yard" "93"
"94" "can, curious, familiar, fear, hand, important, line, little, mute, natural, point, round, separate, thought, time, window" "94"
"95" "back, black, boy, cold, distance, earth, fear, hand, large, little, load, mere, move, name, natural, near, person, point, room, strange, street, time, waste, worm" "95"
"96" "determined, direction, fear, guttural, known, large, near, roof, search, time" "96"
"97" "account, back, black, busy, can, clean, curious, distance, dogs, dusty, full, hot, important, large, leg, little, neck, object, open, public, red, reply, room, sign, street, thought, time, two, waiting, wall, window, winter, wonder, work, yellow" "97"
"98" "can, copy, fat, finger, first, full, hand, legs, little, married, name, open, order, pencil, public, room, round, time, two" "98"
"99" "boy, dinner, end, full, hand, history, little, money, person, private, round, time, window" "99"
"100" "chief, comfortable, condition, fancy, first, found, gentle, important, lie, little, living, love, mere, open, painful, perpetual, person, room, round, sad, thought, use, window, wonder" "100"
"101" "black, can, condition, distance, dry, earth, frame, gold, known, large, little, order, reply, rest, roof, room, sad, search, secret, shelter, sky, thought, train, tranquil, warm, waste" "101"
"102" "beg, black, broad, busy, can, first, gold, hand, large, little, love, money, neck, private, red, reply, round, shirt, teeth, thought, time, two, window" "102"
"103" "back, calm, distance, found, full, hand, little, open, ready, rest, round, thought, time, window, wonder" "103"
