"" "admirable" "afraid" "alone" "bad" "big" "bitter" "blind" "bold" "bright" "capable" "childish" "cold" "conceited" "concerned" "corrupt" "curious" "daring" "dedicated" "delighted" "determined" "direct" "dishonest" "distinguished" "disturbed" "eager" "excellent" "familiar" "famous" "fat" "fine" "forward" "friendly" "gentle" "glad" "good" "gorgeous" "gracious" "great" "happy" "hard" "honest" "ignorant" "impatient" "important" "innocent" "insulting" "kind" "little" "modest" "natural" "neglected" "nice" "old" "open" "ordinary" "passionate" "patient" "plain" "pleasant" "pleased" "pleasing" "proper" "proud" "quiet" "reasonable" "rebellious" "rich" "ridiculous" "rough" "sad" "serious" "short" "sincere" "slender" "smart" "strange" "strong" "sweet" "tall" "terrible" "thin" "thinking" "thorough" "tough" "troubled" "violent" "well" "wise" "young" "satisfied" "superstitious" "wonderful"
"childish" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
"cold" 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 1 1 1 1 0 0 2 0 0 2 0 0 0 0 0 0 3 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 1 0 2 1 1 0 0 0
"conceited" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
"concerned" 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 1 0 0 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 2 0 0 0 1 1 2 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0
"corrupt" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"curious" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 1 0 0 0 0 1 3 0 0 1 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 2 0 0 0
"daring" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
"dedicated" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"delighted" 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 2 0 0 1 0 0 0 1 0 1 3 0 0 0 1 0 0 0 0 0 3 0 0 0 1 1 1 0 0 0 1 2 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1
"determined" 0 0 1 2 1 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 2 1 1 0 1 1 0 1 0 4 0 1 5 0 2 1 1 0 0 0 0 1 4 0 1 1 2 1 2 0 0 1 1 1 1 1 0 0 0 0 1 3 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 2 1 0 0 0 0
"direct" 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 1 2 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"dishonest" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"distinguished" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"disturbed" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0
"eager" 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 2 0 0 2 1 2 0 0 0 0 2 0 0 3 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 2 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 1 0 2 0 2 3 1 0 0 0
"excellent" 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 2 0 0 1 2 0 1 0 0 1 0 0 1 1 0 2 0 1 2 5 0 1 6 1 3 1 0 0 0 1 0 0 6 0 0 0 1 0 1 1 1 1 1 1 2 0 0 1 0 0 0 2 1 0 0 0 1 0 0 0 0 0 2 0 1 0 1 1 0 2 0 3 1 1 0 0 0
"familiar" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 3 0 0 0 2 0 0 0 0 0 2 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 2 0 1 0 0 0
"famous" 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 3 0 0 0 1 0 0 0 0 0 3 0 0 0 1 1 1 0 0 0 1 1 2 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 2 1 0 0 1
"fat" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0
"fine" 0 1 0 0 1 0 1 0 1 1 0 2 0 1 1 0 0 0 0 1 2 0 0 0 1 0 1 0 1 0 0 1 0 1 4 0 0 3 0 1 1 2 0 0 1 0 0 4 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 1 0 3 2 0 0 0 0
"forward" 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 0 0 0 0 1 2 0 1 0 0 0 0 0 1 4 0 0 4 1 3 1 1 0 0 1 0 0 4 0 0 1 1 1 0 2 0 0 0 0 1 0 1 0 0 0 1 3 0 0 0 1 1 0 0 1 1 0 1 0 0 1 0 1 0 1 0 3 0 1 0 0 1
"friendly" 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0
"gentle" 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 3 0 1 1 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 2 1 2 0 0 0
"glad" 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1 1 0 0 1 2 0 0 1 1 1 0 0 0 4 1 0 2 1 1 2 1 0 0 1 0 0 5 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 3 0 0 0 0 1 0 1 0 2 0 0 0 0 0
"good" 1 2 2 5 2 1 3 0 0 1 1 1 0 1 1 3 1 0 1 4 2 1 1 1 2 5 3 1 2 4 4 0 2 4 0 0 2 16 1 7 4 5 0 1 3 1 1 16 2 1 1 1 4 5 2 1 3 0 1 4 1 3 0 1 2 1 7 0 2 1 1 6 0 1 1 3 2 4 0 1 1 6 5 1 5 2 11 2 8 0 1 0
"gorgeous" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"gracious" 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0
"great" 1 1 2 7 3 1 2 0 2 2 0 2 1 1 1 1 1 1 3 5 1 0 1 0 2 6 3 3 0 3 4 1 3 2 16 1 1 0 1 6 2 5 1 1 2 1 1 19 1 1 1 2 3 6 1 0 2 1 3 4 1 2 1 1 3 1 7 1 2 0 0 6 1 0 1 3 1 3 1 2 1 4 3 1 4 0 12 4 6 1 0 1
"happy" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"hard" 1 0 0 4 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 2 0 0 1 1 2 3 0 0 0 1 3 0 1 1 7 0 1 6 1 0 1 1 1 0 2 0 0 6 0 0 1 1 0 1 2 0 1 0 0 0 0 2 1 0 0 1 4 1 0 1 1 4 0 0 1 0 1 1 0 0 1 1 4 0 2 1 4 1 2 1 0 0
"honest" 0 1 0 1 0 0 0 0 0 0 0 2 0 1 0 1 1 0 0 1 1 1 0 0 0 1 0 0 1 1 1 0 1 2 4 0 0 2 0 1 0 0 0 0 1 0 0 4 0 0 1 1 1 2 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 0 0 3 0 1 0 0 0
"ignorant" 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 2 1 0 2 1 0 0 1 5 1 1 5 0 1 0 0 0 0 0 0 0 5 2 0 0 0 2 2 0 0 1 0 0 0 0 1 0 0 0 0 2 0 1 1 0 1 0 0 0 1 1 2 0 0 0 1 2 0 1 1 2 0 1 0 0 1
"impatient" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"important" 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
"innocent" 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 1 0 0 1 3 0 0 2 1 2 1 0 0 0 0 1 0 3 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 0 1 0 1 1 0 0 0 0
"insulting" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"kind" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"little" 1 2 1 8 2 0 0 1 2 2 1 3 1 2 1 2 1 1 3 4 1 1 0 0 3 6 2 3 1 4 4 1 3 5 16 1 1 19 1 6 4 5 0 0 3 1 0 0 2 0 1 2 4 7 2 1 2 1 3 2 0 3 1 1 3 1 8 1 2 0 1 5 1 0 1 2 2 4 1 2 1 5 3 1 5 1 12 5 5 0 0 1
"modest" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 1 1 0 1 0 0 0
"natural" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"neglected" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
"nice" 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 2 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 1 2 0 1 1 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 2 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0
"old" 0 1 0 0 0 1 0 0 0 1 0 1 0 1 1 0 0 1 1 1 1 0 0 0 0 0 0 1 0 2 1 0 0 1 4 0 0 3 0 0 1 2 0 0 0 0 1 4 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
"open" 0 1 1 1 0 0 1 0 0 0 0 2 0 2 0 0 0 0 1 2 2 0 0 0 1 1 2 1 0 3 0 0 1 1 5 0 1 6 0 1 2 2 0 0 2 1 0 7 1 0 0 1 1 0 0 0 2 1 1 2 0 0 0 0 0 0 2 0 2 0 0 2 0 0 0 0 1 2 1 0 0 2 1 0 0 0 6 2 2 0 0 0
"ordinary" 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 1 2 0 0 1 1 2 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 0 0 0
"passionate" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"patient" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 3 0 0 2 0 1 0 1 0 0 0 0 0 2 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 2 0 1 0 0 0
"plain" 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
"pleasant" 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 1 3 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0
"pleased" 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 2 0 2 0 0 1 0 1 0 4 0 1 4 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 2 0 0 1 1 1 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 5 2 2 0 0 0
"pleasing" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"proper" 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 3 1 0 2 0 2 0 1 0 0 0 0 0 3 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 2 0 0 0 0 1 1 0 0 0 0 1 0 0 0 2 0 1 0 0 0
"proud" 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
"quiet" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0
"reasonable" 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 2 0 0 3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 3 2 1 0 0 0
"rebellious" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
"rich" 0 0 1 3 0 0 0 0 1 0 1 0 0 1 0 0 1 1 3 3 0 0 0 0 2 2 0 2 0 0 3 0 1 0 7 0 2 7 0 4 2 2 0 0 1 0 0 8 0 0 1 2 1 2 1 0 1 1 3 1 0 1 0 0 1 1 0 0 1 1 1 3 0 1 1 2 1 0 0 0 1 0 2 0 2 0 4 3 2 0 0 1
"ridiculous" 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
"rough" 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 2 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 2 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 2 0 0 0 2 1 0 1 0 2 0 0 0 0 0
