"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"cranky";36;30;1;105;0,833333333333333;"cranky";4,5379798673335;"cranky";0,875047676669396;"cranky";191,5;"cranky";0,126802378244017;"cranky";0,3145312666893
"crazy";90;59;5;19,8;0,655555555555556;"crazy";4,64786471573046;"crazy";0,851796036303522;"crazy";235,333333333333;"crazy";0,0696409820346905;"crazy";0,401634181539217
"critical";33;29;2;110;0,878787878787879;"critical";4,4580462579726;"critical";0,876383802336054;"critical";210,333333333333;"critical";0,150709298908995;"critical";0,341262300809225
"cruel";116;62;7;29,7142857142857;0,53448275862069;"cruel";4,68412038251495;"cruel";0,845827613666514;"cruel";259,125;"cruel";0,0573734266167545;"cruel";0,449640460312366
"curious";221;100;14;17,4285714285714;0,452488687782805;"curious";4,36351628125415;"curious";0,881311976154169;"curious";187,2;"curious";0,122913309806072;"curious";0,30946192741394
"dangerous";59;43;3;54,6666666666667;0,728813559322034;"dangerous";4,68206681963721;"dangerous";0,846694334437364;"dangerous";255,25;"dangerous";0,0583551542938223;"dangerous";0,442705444991588
"daring";19;19;0;0;1;"daring";4,74315134383031;"daring";0,83304785476398;"daring";297;"daring";0,0311848370732315;"daring";0,535759925842285
"decent";59;45;3;14,6666666666667;0,76271186440678;"decent";4,70835076621205;"decent";0,83995360520299;"decent";272;"decent";0,04284048935096;"decent";0,468673810362816
"delighted";112;66;7;24,2857142857143;0,589285714285714;"delighted";4,67677982022171;"delighted";0,845947061350766;"delighted";254,375;"delighted";0,0568985587459647;"delighted";0,440146259963512
"delightful";98;64;6;33,1666666666667;0,653061224489796;"delightful";4,59364073710941;"delightful";0,863728379317645;"delightful";216,285714285714;"delightful";0,0975956369161614;"delightful";0,363754968558039
"dependent";33;28;1;30;0,848484848484849;"dependent";4,63865190726671;"dependent";0,853824672236508;"dependent";229;"dependent";0,0741195854140053;"dependent";0,399725005030632
"depressed";47;42;1;53;0,893617021276596;"depressed";4,68169962507286;"depressed";0,845720973573304;"depressed";254;"depressed";0,0548055479457918;"depressed";0,442138761281967
"desirable";93;68;4;50;0,731182795698925;"desirable";4,64191672526009;"desirable";0,857047765714978;"desirable";232,2;"desirable";0,0808282836930398;"desirable";0,392288306355476
"devoted";13;13;0;0;1;"devoted";4,55305333684256;"devoted";0,87866528824538;"devoted";178;"devoted";0,128502415458937;"devoted";0,281043291091919
"difficult";323;126;20;11,05;0,390092879256966;"difficult";4,65417366571302;"difficult";0,852166519566921;"difficult";240,095238095238;"difficult";0,0709292159730857;"difficult";0,412043572891326
"direct";34;32;1;210;0,941176470588235;"direct";4,64507987892418;"direct";0,857952985637693;"direct";234,5;"direct";0,0841608401855221;"direct";0,379945889115334
"disappointed";66;53;3;52,3333333333333;0,803030303030303;"disappointed";4,66125133857918;"disappointed";0,8499891799486;"disappointed";242,75;"disappointed";0,0658037269292319;"disappointed";0,413258217275143
"dishonest";41;27;2;101,5;0,658536585365854;"dishonest";4,57752648232005;"dishonest";0,86342605821448;"dishonest";224,333333333333;"dishonest";0,103725306233905;"dishonest";0,392077321807543
"disrespectful";12;12;0;0;1;"disrespectful";4,71024148517773;"disrespectful";0,836986248722192;"disrespectful";278;"disrespectful";0,0396346349019817;"disrespectful";0,50158679485321
"distinguished";58;51;2;59;0,879310344827586;"distinguished";4,71067021500437;"distinguished";0,841618740208113;"distinguished";270,666666666667;"distinguished";0,0446515566591759;"distinguished";0,475864112377167
"dumb";134;78;7;30,7142857142857;0,582089552238806;"dumb";4,58629521840613;"dumb";0,864126576924049;"dumb";218,625;"dumb";0,103928080548866;"dumb";0,369431974366307
"eager";127;69;8;21,875;0,543307086614173;"eager";4,68512674512996;"eager";0,846623873629418;"eager";254,777777777778;"eager";0,0559584229747096;"eager";0,443649407890108
"elderly";63;43;3;63,3333333333333;0,682539682539683;"elderly";4,51853545299262;"elderly";0,871375250111915;"elderly";204,5;"elderly";0,125362645344137;"elderly";0,349165517836809
"embarrassed";54;38;3;50,6666666666667;0,703703703703704;"embarrassed";4,48976419573343;"embarrassed";0,874539506162292;"embarrassed";191;"embarrassed";0,133561528157767;"embarrassed";0,321478236466646
"embarrassing";11;11;0;0;1;"embarrassing";4,73351778032606;"embarrassing";0,836903223811409;"embarrassing";286;"embarrassing";0,0347634630145841;"embarrassing";0,506500005722046
"encouraging";46;39;1;19;0,847826086956522;"encouraging";4,64519231507152;"encouraging";0,850886298700921;"encouraging";235;"encouraging";0,0685928928828649;"encouraging";0,415357083082199
"energetic";22;20;1;16;0,909090909090909;"energetic";4,70178584978733;"energetic";0,841541584610877;"energetic";267;"energetic";0,0453533240544762;"energetic";0,462324142456055
"entertaining";22;22;0;0;1;"entertaining";4,73349246234223;"entertaining";0,837938404881632;"entertaining";284;"entertaining";0,0362643148611294;"entertaining";0,49535596370697
"evil";92;59;5;37,4;0,641304347826087;"evil";4,68089695283714;"evil";0,847491421531593;"evil";255;"evil";0,0597003348188218;"evil";0,441519449154536
"excellent";119;78;6;31;0,65546218487395;"excellent";4,6772761527237;"excellent";0,849936035316156;"excellent";252,285714285714;"excellent";0,0641717811199924;"excellent";0,429246393697602
"excited";83;57;4;24,25;0,686746987951807;"excited";4,71729207494892;"excited";0,839127573985328;"excited";276,6;"excited";0,0407578824983151;"excited";0,489498549699783
"exciting";47;36;2;18,5;0,765957446808511;"exciting";4,70076794461443;"exciting";0,845793899453077;"exciting";259,333333333333;"exciting";0,0523102965293779;"exciting";0,441706319650014
