"MR1";"MR2";"MR4";"MR3"
"powerful";0.0718353370607148;-0.0864527761855959;0.374812224371223;-0.17065675138136
"productive";0.109457551975901;-0.077808350116847;0.241658763324332;0.397159803888888
"proud";0.0156985074781574;0.477078698017605;0.28012912335734;0.288153159945376
"prudent";-0.031144614030536;0.0614029507764264;0.32708107607311;0.00018553110581724
"quiet";0.284681876926273;-0.0737647522010998;0.203130217722463;0.255774770455922
"reasonable";0.387468891499502;-0.0405916094086033;0.0936096212528404;-0.00820672248862794
"respected";0.256069082471574;-0.0565488661972325;-0.0916376226643865;0.480677569785686
"rich";-0.208550781791947;0.34029179699641;0.169377644159822;0.411541869356433
"sacred";-0.0466167687030586;0.583962537077541;0.01372220661487;0.192311597181895
"safe";0.0915356964468923;0.586534581191286;0.321962438935045;0.173661145861889
"shocked";0.207925181230584;0.224909297983748;0.18936522350378;0.227029793930146
"sincere";0.289132509606746;0.140573600736959;0.329829120719531;0.169158098751766
"smart";0.0556827921788904;0.489777874095741;0.175542804478681;0.239142013225854
"special";0.149664472170949;0.102350550960225;-0.0367407569094267;0.00678530089777616
"strong";0.4023622377276;0.446061699073817;0.215310762914203;0.279867916826243
"superior";0.387109939039428;0.197416138712454;0.0689008767333051;0.175511082980883
"surprising";0.164190209137672;-0.0272029296708898;-0.0657810761889356;0.510003211172812
"thoughtful";0.018485883421502;0.115526025916731;-0.235731147203;0.483432160784044
"unpleasant";0.360884263527584;-0.0781245558755299;0.457882998491372;-0.13309994298851
"welcome";0.274911820923285;0.541335272474789;0.0933939071031681;0.201815851864926
"worth";0.481942245667658;0.220924107922791;0.150548087779388;0.150133371832676
"weaker";0.338177879705919;0.284889838919071;0.0830954686973448;-0.0795864075070006
"vulnerable";0.540081847995531;-0.118662422033261;0.084916278057571;0.033625796879336
"pleasing";0.334849448108955;0.0367705450301066;0.241668535278761;-0.220795646158746
"secure";-0.0881561418659198;-0.00504798436920824;0.627099224512635;0.0414972236776717
"social";0.0686593199272061;0.045199905639832;-0.0088665288822559;0.326034237062679
"united";-0.141958461641515;0.087355511024932;0.178578388724228;0.196258604074742
"universal";-0.0641695578145972;-0.00245572170697419;0.150885783221397;0.0326084386641942
"wealthy";0.162035780528315;0.134964358366395;0.422161935704627;-0.158499226540055
