"MR1";"MR3";"MR2";"MR5";"MR4"
"humble";0.793849441097156;-0.0135807791478517;0.13168472230183;-0.146695883143155;-0.077877065960953
"improper";0.0931565607835632;-0.0967074825201803;0.532057077594339;0.165686369836012;-0.0132224178939864
"independent";0.619051446774645;0.222362764803705;-0.029463136741845;0.0390763706793055;0.03196566350751
"intelligent";0.349815254977962;0.272219940702856;0.183673283992179;0.206195728023454;0.22317157645715
"interesting";0.555129486072315;0.24244801862997;0.0404978530078736;-0.00526355507024505;-0.00662987359649748
"liberal";0.464771876715418;0.105109444524577;-0.163365181353032;-0.0295063868419116;0.568747323255716
"married";0.156933035699429;0.31848793491812;0.318227581290139;0.428129473788071;0.217912333037045
"mature";0.526095754920652;0.155137699224199;-0.0856214119540611;-0.146549048144577;0.182645973200263
"minded";0.0225532584181738;-0.0704674686838787;0.160537046355952;0.0601395198426221;0.658645066871999
"modest";0.400322131825056;-0.151716537743105;0.102598426893796;0.448468219817597;-0.088620587940597
"moral";-0.0914260528201757;0.213830149671001;0.389259108828032;0.298166496145378;0.111793868549535
"natural";0.270915276513772;0.492378527278328;0.144289232466391;0.282647743115183;0.0510294851868916
"newest";0.355001445206251;0.159721401577984;0.0406009892602846;0.198832705092516;-0.127447000031913
"obliged";-0.0215930776183853;0.0569581097511953;0.0657674841689733;0.241452603034619;-0.200357353448077
"original";0.585705898951327;-0.00526744536511238;0.139552153624079;0.181868733788742;-0.0351672224841522
"playful";-0.0159336053765736;-0.0744034368802471;0.00371941882014171;0.434007141533748;-0.0133696875366766
"pleasant";0.343676890477051;0.468597482952889;0.0907155280438963;0.41178592012917;0.136953719024924
"polite";0.519608770693341;0.135489245027861;-0.144055594199998;0.0140054396676643;0.087529639293266
"popular";-0.0270777978538439;-0.0805011221600304;-0.0605115238934116;0.0501917130379428;0.828113774582911
"powerful";0.320729895765922;-0.0342951740474162;0.00560528893446629;0.28439835416526;0.561341523964095
"productive";0.194622732491563;0.169204771832323;-0.108095751112339;-0.291004565653737;-0.11145610857404
"prudent";-0.0116334881683586;0.167700886557647;0.536161218011254;-0.189460664895959;0.286998689166433
"qualified";0.678846528548385;0.0133356779738382;0.215188272619347;0.063108138876215;0.145696401333429
"quiet";0.0597166692042498;0.189961196541508;0.578769655117919;0.213971833182186;0.215702632836972
"reasonable";-0.00352061413131375;0.190260268541553;0.64239493840952;0.166696156401215;0.236841843731075
"rich";0.285145956613879;0.108381707004904;0.342874597465348;0.254899817723041;0.423566636815614
"safe";0.122896857761206;0.599313853064297;-0.0605973442989656;0.375093906110109;0.11180115835266
"secure";0.234068745296005;0.216542421394107;0.236405040112565;0.438222431619974;0.121421576313306
"selfish";0.0616053614679104;0.318597927057842;0.50644137996589;-0.0796517330514875;0.0691586054049522
"shocked";-0.0850079021448058;0.683189970923167;0.277648495808415;-0.105032012324722;-0.0667687942887877
"sincere";-0.0771324783199689;0.314505936520102;0.335974651791305;0.0348362545715587;0.495029948245942
"smart";0.132491582095092;0.250131725378811;-0.077564614528025;-0.32499615757099;-0.13173033752591
"social";0.249944824031238;0.375967368304494;-0.00951533447822661;0.00855015840852547;-0.0670773332682793
"strong";0.239846002586535;0.522730619416189;0.0714001689207772;0.226108310998794;0.0104971424193751
"suited";0.0548981490852678;0.657672585019651;-0.0714177552599715;-0.0941679287386576;-0.143123126887493
"superior";0.589706991700737;0.128254369507443;0.113995286935036;0.198825859404781;0.0275565534115658
"thoughtful";0.11713026039898;0.251867109776902;0.220830290951481;0.122833133529303;-0.194002829210004
"united";-0.138163099765565;0.0731831309567557;0.111321304861588;-0.0432466522873208;0.157301315488431
"universal";-0.0493895384147085;0.00870520207076906;0.69426804445002;-0.0455419536668938;0.170826324915204
"unpleasant";0.0921858752085235;0.166153337147715;0.570000942679091;0.198098802093453;-0.0566925283422724
"welcome";0.0847036908196572;0.408716602604213;0.22187123900658;0.272712905267897;0.0309789437893971
"wise";0.125715583425954;0.467614367780536;0.0293483564505412;-0.0628447240132185;0.119245382737271
"worth";0.0553717451614633;0.0709093093127316;0.480497004285959;-0.0469013580443689;0.486992983039854
"weak";0.0359344598754196;0.549074980670786;0.0613189446090986;-0.11403839079132;0.0419241279902177
"legal";0.108041946945506;-0.087497481550345;0.254055035952386;-0.194046070544988;-0.0286483448910282
"uncertain";0.0629697022942171;-0.00697471781798998;0.468433865722377;0.235597966147257;-0.1678723347548
"neat";0.418791591297441;0.0803706844381279;-0.059546132292126;-0.26979853748962;-0.0539094615171528
"special";0.131042843235656;-0.0343808301235164;0.247980310930327;0.110498204414626;0.25300997464081
"respected";-0.0289074617979421;0.501584718180396;0.288533114804068;0.211147299280328;-0.0135029634906168
