"MR2";"MR1";"MR3";"MR4"
"delight";-0.0402788105158819;-0.0224071543910554;0.545065517412632;-0.022089413252682
"delighted";0.096895473435015;0.583157167014952;0.0465520742652858;0.00622212401241729
"delightful";0.171510479674152;-0.0455776168181974;0.491324009906342;0.019396840919847
"determined";0.483134093421939;0.0353389423219972;0.148330733416915;-0.100864190803217
"direct";-0.0778687293052746;0.208314682889373;0.276767961723543;0.0485200175964564
"encouraging";0.269879020580965;0.104123008085131;-0.0164655292980592;-0.303424505383137
"entertaining";-0.0841211931924204;0.0965692423222322;0.610142955948063;-0.110537916815974
"expensive";0.0346267099095469;-0.138285881427935;0.627775019279316;-0.222388663641782
"extraordinary";0.167766323134569;0.213203547039183;0.582179578884708;-0.109097420422375
"extreme";0.218328995391501;0.000962052094378645;0.0398704900824878;0.460714749479007
"fair";0.481219037144835;0.337057128215787;0.0730469960286003;0.164838535600675
"faithful";0.1431119077486;0.0162138614445275;-0.0204418741849371;0.363706434443666
"familiar";0.204782561371003;0.186353664140123;0.0127902491372995;0.0145762656419001
"famous";-0.0347055785958184;0.71168772144142;-0.227951933744526;-0.0400363671404912
"fancy";-0.0795228369881998;0.135818829981295;0.362380262483015;0.177011449439273
"free";0.0387643226333707;0.761366033666752;0.0359144571530833;-0.146954763644278
"friendly";-0.0437869503066922;0.207937055811407;0.472104597465177;0.0338652942024581
"generous";0.279721418768191;-0.129851429769405;0.0974127644471882;-0.284801057003292
"gentle";0.546646187231972;-0.0547458145828466;0.206750852547808;0.312734274836132
"graceful";-0.162268019174731;0.290970885090067;0.251909529567848;0.072918901778923
"greatest";-0.00875822580930483;0.361885338371519;0.47044081114543;-0.0555916681031381
"happier";0.460594911419372;0.00671418147338022;0.0137520964274394;-0.308579026326972
"honest";0.190626152160198;-0.158019899074113;-0.0618313048109464;0.578354043671209
"humble";0.223314508892402;0.0208401191407207;0.20550111978484;-0.0592666925156251
"improper";0.747363693994186;0.0482629021377918;-0.20706068081692;0.0784584539213419
"independent";0.376867009125049;-0.185125867084014;-0.0490736133135568;0.485721640287505
"intelligent";-0.0204856993458524;0.0958969426911845;0.535975778174456;-0.176557327513506
"interesting";0.353032786126559;0.00157404253868265;0.322246161707848;-0.00839366230340319
"liberal";-0.00396954953924097;0.791838478663124;0.0903059577848131;-0.127962479680074
"married";0.293002561411802;0.262126208933898;0.268886587911684;-0.0103228523584056
"mature";-0.095593048032206;-0.0852265880080939;-0.0179087401231939;0.415156597108349
"modest";0.174678100427555;0.125926340973786;0.300340812749423;-0.118381379194332
"moral";0.0901398208186151;0.18496532280833;0.0809097911784378;0.0806428679554437
"neat";0.00243588968032198;0.516606923836562;0.412939099774459;-0.0441016103610621
"newest";0.034626709909547;-0.138285881427935;0.627775019279316;-0.222388663641781
"official";0.227760815198468;0.160804982405282;0.000690253336573789;0.0113518886748282
"original";0.00313709988087289;-0.0650861163974035;-0.0894189010431835;0.479118900817333
"playful";0.0031370998808729;-0.0650861163974035;-0.0894189010431835;0.479118900817333
"pleasant";0.0929795879340123;0.50351269507531;0.218793694869475;-0.0325816904996134
"pleasing";0.475473940710785;0.121023145081266;0.0565729735775315;-0.00118324726976018
"polite";-0.0496966273440165;0.0525026583090533;0.24332596808553;0.17351481069798
"popular";-0.0795228369881998;0.135818829981295;0.362380262483015;0.177011449439273
"powerful";0.774352182757771;-0.0396734992517185;-0.0429170542038042;-0.0337048825207151
"profitable";0.034626709909547;-0.138285881427935;0.627775019279316;-0.222388663641781
"proud";0.30251207430236;0.190913443746655;-0.0593485063417744;-0.262004148012123
"prudent";0.724721903099968;-0.0680569565481406;-0.0287300097652656;0.133393077368722
"qualified";0.161794489771096;0.302462536467233;-0.224710605404535;-0.09092048134182
"quiet";0.416273290418999;0.203079676313901;-0.062626518131923;0.0192297476982344
"reasonable";0.157963826998744;0.103636489122609;0.514943800393967;0.161307184445127
"religious";0.0111063812257161;-0.00474171347743132;0.0611956720932008;-0.184707804260638
"responsible";0.039199037953915;0.589749255279947;0.356125461366467;-0.122447249382214
"rich";0.457911557650349;0.259601955966307;0.118317003315773;-0.172676474667662
"safe";0.117086058759713;0.500866426968837;0.448482810095964;-0.0186781062377602
"safer";0.298018938785479;-0.0276479866304654;-0.00689161740347588;0.0569717554482835
"secure";-0.0871838936022691;0.412328209789596;0.0868827864070669;0.0923532032430217
"selfish";0.611400278401621;0.018549589393529;-0.0473194485576992;0.0652944231587926
"shocked";0.161794489771096;0.302462536467233;-0.224710605404535;-0.09092048134182
"sincere";-0.144122416808288;0.267303906280971;0.331723358239167;0.0525338769605375
"smart";0.0279766390822598;0.034559218244995;0.230825934137731;-0.0335331140377173
"social";0.162507599372664;-0.0170872612463162;0.505547852452983;0.031483854825776
"spontaneous";0.0727022766862426;0.29332523624741;0.306347163024258;0.394695857222606
"superior";0.168795722532481;0.150931337331299;0.561209459085942;0.103393461104527
"sympathetic";0.325169162683323;0.0261787808469723;0.0128164454189366;0.0273343929892793
"thoughtful";0.461257972635583;-0.0135396143448193;-0.0484422564060951;-0.117147738188762
"uncertain";0.697924965371944;0.0586637084502143;-0.0758025527906399;-0.0984000083107897
"unpleasant";0.231167137947376;0.308283309374265;0.109686001997036;-0.293607346120469
"weak";0.128330597078443;0.164086588511652;0.191854897837343;0.485158356135853
"wealthy";0.0258984963824072;0.577053536891148;0.317229946573813;-0.145868247240972
"welcome";0.156670670966578;0.173136776618732;0.106148578824561;-0.161257167626629
"worth";0.285681668945017;0.255127735121094;0.331076601783227;-0.219327729326019
"special";-0.0347055785958183;0.711687721441421;-0.227951933744526;-0.0400363671404913
"wise";0.542494701611352;-0.0718426519960206;0.0987489481361229;0.186701637546079
"universal";-0.0386834338785555;-0.0527728727585492;-0.0235736864471631;0.208556169926798
"stable";0.0279766390822598;0.034559218244995;0.230825934137731;-0.0335331140377173
