"MR1";"MR2";"MR4";"MR6";"MR3";"MR7";"MR5";"MR11";"MR8";"MR9";"MR10"
"determined";0.452340133382577;0.559181314333779;0.0699101030638229;0.0953834567974746;-0.0417791554299179;-0.0143985735180972;0.177485356083472;0.092316705243163;0.0536558745567553;0.248381007684611;0.00206709217293675
"different";0.837106142870642;0.104498218532425;0.127540542216674;0.18686785774816;0.114023492296997;0.0565561840348035;0.114809928812824;0.0679337276619736;0.051235702399751;0.0551616260937175;0.0158501739822842
"direct";0.210510714354803;-0.1837300061954;0.371086935038322;0.00628324737200367;-0.0909817658860491;-0.148706971383058;0.155279466143349;-0.0877837300903211;0.100103781790939;0.238502049412494;0.125067312401153
"educational";0.0821427499208813;0.0345065567360645;-0.0640706753450642;0.0591916338409234;-0.0518833588184068;-0.000621027177881475;0.270471284093577;0.210356507633716;-0.126191105041956;0.654861933692122;0.063718620351266
"effective";0.023128646004102;0.446086973542326;0.00525343730273764;-0.0521510968792302;-0.0250510800191793;-0.0514526330239467;0.0571567108913164;0.101681895880126;0.0809004727198374;-0.0564094380419052;-0.0121899012140701
"encouraged";0.466134862229494;-0.0433980460963534;0.0506893670519815;0.0754175347495669;-0.122743045801512;-0.0817970414511371;0.54643715050717;-0.131047246168022;0.260345883908201;-0.00791149038355414;-0.111896867319639
"encouraging";0.544797443328167;0.0983461106878961;0.286248460013959;0.249737129227113;0.0048368090478328;-0.0770534789227264;0.174724396828543;0.133510274416486;0.2269921942999;0.0292439224655743;0.0043296046063958
"energetic";0.124462433508194;0.245233761055649;0.545200584117281;0.187745179445309;0.0773621241412232;-0.0370928613623286;0.0314514195348206;0.111783748074843;0.0471683174070341;0.157553705651176;0.0657444333159783
"entertaining";0.0802932811058834;0.270681823833794;0.37785515753073;-0.104958623329549;-0.0538781680317508;-0.00883639958814167;-0.00777946950377794;0.0144602206358319;-0.109630844620281;-0.0876597298237556;0.105563575001481
"enthusiastic";0.00707574197972015;0.484006791386529;0.0679017546033852;-0.0372967491574524;-0.0144902861662159;-0.0512764597839936;-0.0207219380198914;0.0624888102159544;0.0456573112654935;0.019737327766427;-0.0139306055019458
"exciting";0.482519867064913;-0.123078697188319;-0.144656165135706;-0.0230754406146473;0.222342313476239;-0.373265449224782;0.0547255936247271;-0.0883625594823104;-0.0275720134710498;-0.0875391570428082;0.196022966538405
"expensive";0.484286102348383;0.458808689185993;0.229244947514057;-0.0567457071073105;0.059481225542997;0.161930088196823;-0.035195627693056;-0.0885383439922991;0.0492909066582825;-0.0408544307309867;0.000296662300503898
"extraordinary";0.86149313902489;0.100572269618765;0.0586877935390645;0.0453546632351424;-0.0929172135124056;0.00554071316750415;-0.0956590194900551;0.124777980580043;0.154594326528198;0.101819937815262;-0.0864427962576543
"extreme";0.633927187307608;0.172524573079578;0.135822040853815;0.227438008216617;0.220669183071294;0.292568657524595;-0.0116085646207947;-0.121274760162022;-0.102414574742571;0.178016973573447;0.148296767537166
"fair";0.616723398211573;0.32401635467615;0.259885774260035;0.141469973489288;0.189302107367309;0.0566414274116016;0.255731166010495;0.21541530857565;0.101818715846774;0.0504838967402763;0.0597759465860108
"faithful";0.747180840805821;0.0971234539045697;0.103028814465907;0.357595292445955;0.0606443428077602;-0.0150186811484049;0.137064890808502;-0.0327526635524676;0.0467202527198586;-0.124730414529269;0.153215563056576
"familiar";0.630197777648006;0.220143296963581;0.128477988198121;0.273171660967844;0.151081707655285;0.229613609912992;0.11989005720826;0.174736268851418;0.023726816150898;-0.00351742276571616;0.0750305700268256
"famous";0.61876381302551;0.0495272208945507;0.00626891377753475;0.094763712814399;0.0988042429686917;0.0564695913339189;0.0323678860483325;0.0763757438497759;0.281453409155997;0.175096792559396;-0.018974817368991
"fancy";0.456415036326975;0.194696834517567;0.358111975666265;0.0145220113575716;-0.0626006705190124;-0.109118013658336;-0.105896955862161;0.0286911759064914;0.407993487844545;0.272010918438218;-0.179075209644194
"fascinating";0.39316803104925;-0.0386724678135943;0.303588589228531;-0.186802331539727;0.0625933955645795;0.203586833842151;0.497859608766769;0.0999931781210242;0.128792480011978;0.0593525678747528;0.0466934571379018
"feeling";0.392610078076696;-0.126807788380858;-0.000626324883956628;-0.121276548068541;-0.0363260540140331;-0.306000101392619;0.123185853084493;-0.0873451171008099;0.418034311709451;-0.0142479144143663;-0.12759880175588
"forbidden";0.252519982125728;0.014136844297601;0.124859789017925;-0.0439166725824543;0.528598813056962;0.0365190634291944;0.136070427428667;-0.0995751119880113;-0.300471590148914;-0.0659649001552742;-0.153006817068297
