"#-married" "#-quiet" "accomplished" "afraid" "amusing" "appropriate" "beautiful" "best" "blessed" "calm" "capable" "careful" "cautious" "cheerful" "clever" "comfortable" "compassionate" "confident" "cruel" "curious" "dangerous" "delicate" "delighted" "delightful" "determined" "different" "direct" "encouraged" "encouraging" "enthusiastic" "exciting" "expensive" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "fancy" "fascinating" "free" "friendly" "generous" "gentle" "genuine" "graceful" "greatest" "happier" "happy" "harmless" "honest" "humble" "independent" "individual" "intelligent" "interesting" "irregular" "legal" "liberal" "loose" "married" "mighty" "minded" "modest" "modesty" "mysterious" "natural" "neat" "newer" "novel" "passionate" "playful" "pleasant" "pleasing" "polite" "powerful" "productive" "proud" "prudent" "quiet" "reasonable" "respected" "rich" "sacred" "safe" "secure" "selfish" "shocked" "sincere" "smart" "strong" "superior" "surprising" "sympathy" "thoughtful" "tidy" "uncertain" "unfair" "united" "universal" "unpleasant" "wealthy" "welcome" "wise" "worth" "original" "standing" "threatening" "weak" "tenderness" "spontaneous" "stable" "suited"
"comfortable" 0 0 0 5 0 0 0 1 0 3 4 0 0 3 0 0 0 1 1 0 1 2 4 3 1 8 2 0 1 1 0 0 0 0 1 0 0 0 0 0 2 3 1 0 1 0 5 2 9 0 1 1 1 0 0 0 1 2 1 0 2 0 1 0 0 0 4 2 0 0 0 0 2 2 0 0 1 0 2 2 2 2 3 0 1 2 2 0 4 0 3 0 0 0 2 1 1 0 2 1 3 0 2 1 4 0 0 0 0 0 0 0 0
"compassionate" 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"confident" 0 0 0 0 0 0 0 1 0 2 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0
"cruel" 0 1 0 0 0 0 0 2 0 0 4 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 4 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 1 0 2 1 0 0 1 3 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0
"curious" 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"dangerous" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"delicate" 1 0 1 2 0 0 2 1 0 1 3 0 0 0 0 2 1 0 1 0 0 0 1 0 2 2 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 6 0 0 1 1 0 0 0 0 0 0 0 1 0 1 1 0 0 2 0 1 0 0 0 0 1 1 0 1 0 0 1 1 0 1 0 1 0 1 0 2 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"delighted" 0 0 0 3 1 0 1 0 0 1 3 1 1 0 1 4 0 0 0 1 0 1 0 2 1 2 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 4 2 6 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 4 0 0 0 1 0 0 0 1 0 0 0 1 0 3 0 0 0 0 0 0 0 0
"delightful" 0 0 0 1 0 1 3 2 0 1 1 0 0 0 0 3 0 0 1 0 0 0 2 0 1 4 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 2 2 1 1 1 3 2 8 0 1 0 0 0 0 3 0 0 0 0 2 0 0 0 0 0 4 0 0 0 0 0 3 3 1 0 0 1 1 0 2 0 0 0 0 2 1 0 2 0 0 2 0 0 1 0 2 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0
"determined" 1 0 0 2 0 0 0 1 0 3 1 1 0 1 0 1 0 0 0 0 1 2 1 1 0 2 0 0 0 0 1 1 1 0 1 0 0 0 0 0 2 1 0 1 0 0 3 1 11 1 1 0 0 0 0 1 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 0 3 0 1 1 0 1 2 0 1 0 1 0 2 1 2 0 2 0 5 1 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0
