"MR1";"MR3";"MR2";"MR5";"MR11";"MR6";"MR7";"MR10";"MR9";"MR8";"MR4";"MR12"
"happier";0.583521222567595;0.392400451763257;-0.147121320592419;0.0393849331114382;0.0211574458043804;0.059991767376251;0.130797245656762;0.0408426872259491;0.0517929614456456;0.10649308587033;0.060368021085334;0.154777715280915
"happy";0.492076014962449;0.262848312737232;0.12009749804073;0.33703558184346;0.0537704849049886;-0.0123487402550517;0.217584782934892;0.059893344940328;0.0532191319227798;0.213335514806376;-0.0239552425318793;-0.199396832827854
"harmless";0.414718235917665;-0.0938544508668309;0.220499162428974;0.111624380938717;-0.0884632406502563;0.16064441108036;-0.0656537061306755;0.249173059144521;-0.0123715463121225;-0.13313340026244;-0.194348103699695;0.251971065995334
"honest";0.634419108363842;-0.0286985200487837;-0.0140929791798712;0.140562945191741;-0.10084040642554;0.417891921932519;0.100309139312277;0.240323088346256;0.161347352453782;-0.0211578537117381;-0.0682371895606057;0.0287636608569177
"humble";0.619526959015197;-0.0753425502695409;-0.0127157392804256;0.0095326765136686;-0.00505317249013213;0.281800269954119;0.189432025765178;0.0361135320224003;-0.0313733455586087;-0.09839046067969;0.017479836611032;-0.0573897645916777
"independent";0.410844025535613;0.000800771123632596;0.067650462558568;0.202889982131524;-0.0454139023760109;0.100684485751356;0.470730732946146;0.304948346429347;0.065348725470019;0.0395825194051142;-0.182623840910485;-0.0309085149019862
"individual";0.171651603873685;0.112786654860912;0.124647428431232;0.0935603600096373;-0.139001408851343;0.071103410308771;-0.134419061548417;0.0115498343907768;-0.114751370547782;-0.14017759079831;-0.0026711038693566;-0.358647696992625
"intelligent";-0.0305709949671309;0.196499555105244;0.552043648408259;-0.108227196950176;0.268720443186742;0.25718675481177;0.252691385277317;-0.0884107565848934;0.103321454262424;0.140353009620186;0.0511351213343189;-0.18619322813093
"interesting";0.554340188849785;0.157680759086227;0.220164841053651;0.0469461812648535;0.187130667378709;-0.0795214709138725;0.0186974068711883;0.155829593852062;0.375621053459269;-0.0595906250690399;-0.00794323667892967;-0.057358624230191
"irregular";0.400694797646297;0.0300311417510572;-0.0752787920597376;0.109155680345838;0.00150968385659455;-0.0751052685627687;0.0729438986310526;0.116896282028527;-0.041456685292721;-0.0427421499927239;0.706501358030908;-0.101659426851998
"legal";0.374621631955416;0.100605154664398;0.0449224619490263;-0.0236229648395599;-0.112316536198556;0.164453333687007;0.606908171685636;0.142735491297719;-0.0865458159089389;0.142442713553385;-0.0345110291350188;0.0519248089397535
"liberal";0.501307542146065;-0.111676331658242;0.338639587913837;-0.0275022110704275;0.00821545164762223;0.170209741594129;0.315666577787832;0.0642676604124905;-0.080555223070961;-0.124514743984731;-0.16349054741143;0.0395669700798492
"loose";0.24872422648559;0.0186789665726198;-0.0728579177923807;-0.0221624362802326;0.132172300961911;0.108940811610731;0.0601906423772647;0.750400338212789;0.0331781053508077;-0.0558717557159604;0.151996634194631;0.0233600407656773
"married";0.748373079767721;0.228746711077821;0.00492652060096164;-0.00315911749241929;0.261637827385412;0.130337179093378;0.000836244036441501;0.0200289585036734;0.0308171777813519;0.220141895640853;0.152401445620556;-0.0391657397134559
"mighty";0.510566128982169;-0.0531333527599258;-0.0771869851213633;-0.117992249308715;0.261614930943381;0.155891909124075;-0.104612366595567;0.112523369429319;0.0199407443218045;-0.104476257894532;0.145851255232366;0.181265666654029
"minded";0.273812769245364;-0.0184559227872452;0.242555157277514;-0.197513544642974;0.104154473577075;0.338415381471612;0.571961011012778;0.0866707843944466;-0.0500244512462729;-0.0273608108083843;-0.0206949311932078;-0.0471786627803197
"modest";0.361701528207495;0.417608607211633;-0.161644516746802;-0.164136753584019;0.136496185060208;0.239547069771144;-0.00705636086604345;-0.0242026180534655;-0.0226971204657154;-0.307224227750934;-0.0214751997641544;0.37654311632649
"modesty";0.172501442255091;0.595827278435715;-0.127414940339058;0.34434641687891;0.0309433314201205;-0.13665740685727;-0.0395987256118541;0.153945896034981;-0.139806831260691;0.0756555835324007;-0.201513807651577;-0.151133048231008
"mysterious";0.0656971145309034;-0.0843178973443488;-0.0291246226679051;-0.0783105130870871;0.228384363995236;-0.183821474037962;-0.0470770065523584;0.00405268944859312;0.0947444736025761;0.0396271813260786;-0.0617251642703984;0.0619161381136592
"natural";0.686095764876951;0.229455688716734;0.110499386345965;0.103409880407024;0.151359986027286;0.388726605652079;0.160466869054761;-0.0138532356363989;0.144629440726186;0.112843768674033;0.159510831439234;-0.0497352744238084
"neat";0.432235679013678;-0.0615976454034413;-0.067768714368657;0.186186959364564;0.1025387857896;-0.0430282229207755;0.135661390134761;0.130585925834254;-0.0194102697224226;-0.0456689665159587;0.703745789995502;0.104244030816173
"newer";0.159028232938063;-0.000841044907464251;0.071749381988964;0.116572515582116;0.792472315410243;0.0949828812184013;0.0513144514303485;0.0593196299642398;0.196615475239891;0.0953130879223618;0.0374697287673863;-0.0785873180662993
"novel";0.24872422648559;0.0186789665726199;-0.0728579177923808;-0.0221624362802329;0.132172300961911;0.108940811610731;0.0601906423772648;0.750400338212789;0.0331781053508077;-0.0558717557159607;0.151996634194632;0.0233600407656771
"passionate";0.0272091507560948;0.0403547034067075;0.818238058897225;-0.0343494755980254;-0.0426819544857848;-0.00909105425629697;-0.0562836241559309;-0.00000556620680811769;-0.0431121207833571;-0.0428865628654271;-0.0497323081461018;0.0251445340509887
"playful";0.0803718710984508;0.0601419203644796;-0.0894475387287277;0.752191007222209;0.141015397600309;0.139975958298729;-0.0895530793745259;-0.020531143723299;0.0335251424475944;-0.06765970954131;0.0478281977430053;-0.266065945244844
"pleasant";0.678009247135578;0.0693295481688949;0.101504834699653;0.219958769229141;0.0894628537874108;0.0794069221447076;0.0232031304993799;0.121368022644881;0.239444534492781;-0.0972384078647564;0.163569321219528;0.183092462026159
"pleasing";0.56393481497724;0.376768402292931;0.0692051625865215;0.173497227026645;-0.123475409186687;-0.0904024631120826;0.306894768267503;0.0791326320712497;0.241394799939076;0.208679341804306;-0.0924370945766143;0.104038186427244
"polite";0.312962924666079;-0.0512614942644168;0.266915582953177;0.235548165677977;0.12768289552447;0.255435544761189;-0.173082345629201;-0.204322161922359;0.144784332057814;-0.141949907157218;0.0187283718040521;0.0867531399490176
"powerful";0.289032175306189;0.413840679626834;-0.160542058906147;-0.172388006103251;0.0323968494122716;0.132709647328405;-0.0195772859794521;-0.0571653041846627;-0.0442068929562346;-0.279577514667366;-0.0221218207846821;0.38918836857463
"productive";0.318065946888958;0.049920663503933;0.0729196310869039;0.0432627911214976;0.63450931865081;0.140307829180996;0.163867025109324;-0.00679354936935908;0.174077452375421;0.396621276084923;0.0710183415623424;0.0264188304184105
"proud";0.673040657003151;0.0444098611063478;0.127597924550933;0.181776498135909;0.00996174380756296;0.166023764101072;-0.0556146370256996;0.0413683412019338;0.0456166909447259;-0.0973786936299778;0.0616141458388665;-0.162595849689917
"prudent";0.527991670508882;0.0494800225284031;0.356247385903944;0.101536736030592;0.0294701382222416;0.113512292443433;0.203308660604788;0.115540004501803;0.272335249709416;0.0986844450798454;0.190721634303775;0.230622890141786
"quiet";0.566612173293321;0.0746967998793692;0.0499954741954931;0.436447231790475;0.00139314783316448;0.126040203291713;0.325791664374492;0.0573364577689106;0.0328473945788724;-0.0779215576099677;-0.0689635796858015;-0.157147203794404
"reasonable";0.724403463820259;-0.00945455666536361;0.367840243413418;0.0900710876492086;-0.0201840101993534;0.167653529036537;0.167387475488822;-0.0120978085083083;0.0631068362233049;-0.0233994525980645;-0.0677028656212227;0.0376687614255608
"respected";0.0950166398976658;0.0523197883198998;0.0376614799358276;-0.0490235763079429;0.0326517320083436;-0.0182240681176945;0.831037541670786;0.0296525316361033;-0.094555797449751;-0.0460592063620479;0.102421672990104;0.0046666023884621
"rich";0.513340337520706;0.26368653186407;0.185522698607327;0.175915095711958;0.32148931555538;0.0236380228307513;0.209497127572568;0.161949516258448;0.176028449750596;0.108105327648559;0.109836118769084;0.127039235424438
"sacred";0.119192078063703;-0.0638337211394342;0.102922233186712;0.250144673511181;-0.203938962372429;0.111249223647363;0.216604514124716;0.350687474700616;-0.0368930731760991;-0.00622858155871675;-0.340398342858385;-0.022536051751512
"safe";0.492520463110255;0.157468305995697;0.271238411293296;0.144262984894145;-0.0641863480183617;0.117577042838034;0.133774408854528;0.201539670679111;0.0773808890012012;-0.0236007826608628;-0.0874721720047124;0.131993429251659
"secure";0.655897134595664;0.0344741096414614;-0.0226089665444366;-0.0656746261857325;0.045228815998915;0.0596478474419862;0.179969699327302;0.144505205656936;0.0567727128543953;0.0593514378529105;0.0352668224879401;0.0997929776656757
"selfish";0.748153245724448;0.146326577224815;-0.0663175304745724;-0.0259956607971283;0.14921882725406;0.267636099063597;0.116565971445546;0.225581408986667;0.0419123228850713;-0.0144057083415633;0.0959823007231531;0.0730528471114801
"shocked";0.229303952163938;0.13675202387435;0.02039721666747;0.024397749598034;-0.0137805463820178;0.610655938301198;0.127487421161686;0.306716181117051;0.0876955435952822;0.183142414683009;-0.145339917095859;-0.0782346361913076
