"MR1";"MR2";"MR5";"MR3";"MR6";"MR7";"MR8";"MR4";"MR10";"MR9";"MR11"
"cautious";0.302772609926059;0.234934926110759;0.252865032814055;-0.0660151074453045;-0.0194423254831368;0.561648667400923;0.2609250472242;-0.011589883511827;0.00314449556139007;0.0458106555784722;-0.00483052050842287
"cheerful";0.75721670242734;0.153286536115046;0.0631323468698637;0.0272156389328008;0.198761237535711;0.196025570655864;0.346687215252058;-0.0486070276156059;0.106666643386286;0.0812026461930969;0.0969041297328011
"choice";-0.046722060162596;0.113768441582931;-0.00591376870560755;0.46724713699558;0.0409066237225253;0.12021537216613;-0.0158198399949789;0.076710447181906;0.124999952118524;-0.00394741325332321;-0.0178846201211371
"clean";0.696745818222689;0.244278920491163;-0.0584689925175947;0.0797821275808977;0.0926158384139229;0.0000378382444150734;0.253476577036464;0.360293509560207;0.0673241381587701;0.24725973100978;0.0231717679713283
"clever";0.578883653625314;0.229743952188661;-0.0451386837015879;0.0978414326041597;0.283029856191718;0.215668705828461;0.254452358936972;0.210176408308656;0.161706149527769;-0.128810713844885;0.232545610505734
"comfortable";0.442594531422694;0.114768924318109;0.152357676236815;0.59130799817508;0.217749569492;-0.0453737956614797;-0.0532655886705123;0.149622762221691;-0.172773843187194;0.173008462045571;0.087150425815898
"compassionate";0.227498694978865;0.0235785004999918;0.0271862894416827;0.0213083648400249;0.0759197539563466;0.0200269368618929;0.0742598465175862;-0.0310127323338737;0.534040899643923;0.142830711243131;-0.0372081321447679
"competent";0.171452297480233;0.347499686619337;0.442432497135161;-0.0917790774939253;0.0153456960469741;0.227524962297743;0.0207234953016977;-0.0184017688254416;-0.105733098001351;0.175414647290535;-0.0224192442809371
"confident";0.266700900095834;0.0597396295926329;0.126481817478035;-0.0425233720849278;0.231624701596775;0.192717787603328;0.405292772571073;-0.0971939536704792;0.213129568819271;-0.0492237878261036;0.171335145269775
"cruel";0.753792210796456;0.245997958102105;0.0646627071419401;-0.132245596226007;0.132364265559836;0.208443463036355;0.170178675830132;0.11846050808968;0.0406974607966165;0.155871587904182;0.132946061964577
"curious";0.658333703987265;0.275009216816881;0.294979023819522;0.332845864398899;0.132095744438677;0.133286247318375;0.0666616213639783;-0.0309572523975464;-0.00227856754930885;0.107723567653732;0.0633221055025489
"dangerous";0.21846047479108;0.081278710342552;0.128503469057196;0.113793590335896;0.332348284384326;0.632421502301902;0.0754487106383743;0.160788326059778;0.0181914546197469;-0.0275157310264435;-0.0191617039216937
"defensive";0.0322393838475276;0.0547733325801129;0.00516965365924075;0.000355952378425716;-0.0580516165029072;0.0731723725074255;0.0146851026801824;-0.0396899674746775;-0.153069733160052;0.0165166914858266;0.281075990897709
"delicate";0.72203514323272;0.183643474023482;0.161240664669116;0.0469628472949947;0.100795989367786;0.342682538640581;0.00711647947044492;-0.104472540476839;0.152653344600307;0.0148656686379448;0.051773845951964
"delicious";0.5645793792647;-0.0329996071465015;-0.17414406989756;0.00677221555697492;0.0503859028206023;0.274836503801978;0.162815699783809;0.223690669571165;-0.159973825093989;-0.0536632220190369;-0.10495982843458
"delighted";0.672616583135306;0.246071191679264;0.0535185757371273;0.409602915595343;0.132135524841892;-0.0359927203959907;0.00538006229284492;0.22531863805641;0.0415555417729384;0.0447660746939622;-0.00963261811496937
"delightful";0.572076141919739;0.154585759531324;0.111066749305431;-0.0446234818669121;0.00484621779801297;0.282306252191965;0.0763298389068089;-0.0277696333059043;0.115220679003772;0.0759333197028261;0.126427384944232
"determined";0.57591909535399;0.283942939247791;0.382697365847255;0.245557606746924;-0.025452028290477;0.0411700491951839;0.0435067212501454;0.173827108547647;-0.0466021935082373;-0.0894399093282805;-0.0269597053534126
"different";0.722179646238974;0.411112554659027;0.149974410641393;0.140211419654379;0.151530399365217;0.171041965558876;0.0953477044593615;0.103889015386152;0.1246766221528;0.0141532924387147;-0.0220125782451204
"direct";0.291257892492008;0.222804726148238;0.230367693686046;0.173356855944224;0.144981062882973;0.0537767536502929;0.241030303920553;-0.00384458700926402;-0.218174781086469;-0.0386475854263614;0.156214765196052
"distinctive";0.317417261667296;0.131178091555324;0.156346357154787;-0.0867449016114386;-0.199240695046791;0.344327901904577;0.151681295844071;-0.0810330273444617;0.0456346673112955;0.255296647018514;0.297238200605288
"educational";0.186568607614467;0.717889966826812;0.0315060434937099;-0.131042387957045;-0.143673534171005;-0.111691199644939;-0.0537292801179624;-0.0417041202108256;0.171044165094015;-0.0430796064849444;-0.000389677673504101
"encouraging";0.568471519612655;-0.255600527630974;0.303432056550972;0.0983586991903769;0.0764745296588517;-0.323370767366381;0.0861500076544412;0.00582889459724457;0.0422235894037634;-0.0468461731360139;-0.105060711455289
"energetic";0.472308987617752;0.012407314744582;0.020482980983229;0.431215339979157;-0.046236828630085;-0.0249098228699802;0.34606713348189;-0.112584235278466;0.0762201732610168;-0.12674011110469;-0.00809602933568809
"enforced";0.2666955803767;0.542243418768239;0.0733374738409776;0.121559291830757;0.00646258400219119;0.212458944161464;0.0411421631074342;-0.151449034596084;0.125206891840708;-0.118916510707792;0.0860203803432416
"enthusiastic";0.324177081908624;0.0374511992187148;0.149876309718705;0.163505084747444;0.527329912922508;-0.156000567253342;0.292026220044003;-0.0181691288943964;0.0915498872542811;0.00556331715759696;-0.0427258277916139
"expensive";0.53778401104335;0.0775758516442586;0.340455729002325;0.0694262117593823;0.136655062287495;-0.0252196353455265;-0.0991906914780734;-0.156164043886264;0.0248488746914929;-0.0396666981954964;0.0663515194070324
"extraordinary";0.769211615153338;0.239278629865876;0.116313555677745;0.128336988484446;0.258731548504931;-0.0105551337171438;0.141455427118456;0.203719955033592;-0.0645354697802926;0.0384174879592363;0.0644406964592537
"extreme";0.663836946172481;0.219890156205468;0.338446746687726;-0.0989783247706588;0.160486362164619;0.025163955880912;0.131955679495174;0.0196755917168567;0.00690900192075512;-0.0957805962209547;0.147479295496688
"fair";0.646364327422674;0.263831601986312;0.249617214206223;0.331564817504178;0.0676083403798805;0.151040071591858;0.18761930589296;0.116021252466033;0.0173865551119653;0.0730475061439031;0.00848316613250362
"faithful";0.767925332852389;0.177223116210677;-0.0785849649129196;0.134877466285973;0.0982952851498487;0.0080415784312287;-0.0773150139055584;0.19961148483556;0.189617045868893;0.00266150987983794;0.113056729859918
"familiar";0.619867266719476;0.423389145159548;-0.0482170080058216;0.0162678103083781;0.332491921715128;0.0929560003974482;0.10167908532258;0.200413516062476;-0.0107526404807726;0.0256444635372983;0.0236479072424693
"famous";0.538708622471255;0.306583943024938;0.110540219422994;0.168956424988287;-0.0407153063938749;-0.00342072336124419;0.182100754814022;0.19333071125577;-0.0811901326952953;0.12640637861027;-0.0756879050335404
"fancy";0.516559672809372;0.0649257449995496;0.152227771092194;0.0676332088840507;0.071546081808405;0.423512175955943;0.170526610077784;0.137391849709223;-0.046757875068435;0.0887723226411786;0.19454200128255
"fascinating";0.191342831427226;0.617012690098224;0.0471187911003502;0.181300335929786;-0.0261810872680652;0.127605309434651;0.162631618821351;0.20217156174025;-0.0597368539792358;0.0875512673054029;-0.0395666324968069
"forbidden";-0.0144635359435407;-0.0157855406631385;-0.0249826651939739;-0.00265234097470646;-0.00436223728883884;-0.0294025089462031;-0.0141703998125025;0.0016965699725683;0.0992246111413996;-0.00577305424771487;0.0118607317927731
"forcing";0.0731380303762927;-0.0421673578013969;-0.0658531702825101;0.032756557083159;-0.0063307707694718;0.25344220197786;-0.0266992250398028;-0.124795377952497;-0.224258300826004;0.0110748094150954;0.0395925696591021
"free";0.763271622356739;0.204453813381597;0.0972057677864307;0.089075809589849;0.204533575283249;0.202888076833686;0.206733290752351;0.0952755240566819;-0.0185866163170781;0.245366020473807;-0.0376317025960237
"friendly";0.608218848250754;0.383622789152205;0.209200416949426;0.244872702161085;0.192750566689442;-0.133988966746159;0.10652492215024;0.141052850718635;-0.0191827602960951;0.186376448496171;0.0292906697004122
"generous";0.65120339466147;0.262927230658285;0.0630388631088287;0.0610195780122811;0.217640867769192;-0.0645299482155435;0.0412082413948432;0.329993909029476;-0.0675394042734431;0.0836329517096882;-0.110237676358451
"gentle";0.843357825908096;0.225435400892438;0.162422012428606;0.0497662682906981;0.147854644481758;0.119430489263026;0.162521387783601;-0.077143993522015;0.0615152088125921;0.0182069202742157;0.0855445053854661
"genuine";0.578269338379809;0.199462074401635;0.0640423720514299;0.111026364199082;0.0779099576050237;0.145983761463621;0.20864175180388;0.00989323140647305;-0.0379636908357195;0.224683820689976;-0.0593361785166513
"graceful";0.821132903190056;0.158429763049684;0.214123440719597;-0.0226736286989071;0.0540405676496777;0.214070765791364;-0.115898856432362;-0.0364299081904885;0.0860993727560298;0.0796461642712249;0.0257620592871585
"greatest";0.540357194342405;0.284518483616074;0.0502727320516368;0.0917123564898994;0.475921524137136;0.0520761121333202;-0.088707327415625;0.178300000271162;0.141391679406076;0.109378347311626;0.125269168219023
