"MR1";"MR2";"MR6";"MR5";"MR4";"MR3";"MR7";"MR8"
"best";0.693742028157165;0.323849605481353;0.0286239030258337;-0.0118686242521877;0.376874903195049;0.233751288795202;0.222372697974902;-0.00816493777498088
"blessed";0.429573720207698;0.544268503534413;0.235954608025493;0.0617529124365211;0.0202827516081464;-0.0398358099547034;0.025218734566078;-0.0621623905433042
"bored";0.081137088922781;0.285158323826586;0.179782453564396;-0.082439699368218;0.133015226360973;0.00108701300069895;0.197162376799075;0.11991476054051
"brave";0.539742713753581;0.249599432728196;-0.117558365830917;-0.163679098465236;0.337778738199001;0.0720902640337309;0.15652380483253;0.0223861965991442
"calm";0.750643794165404;0.0770312998742454;-0.0850199994727557;-0.0615938540676046;0.018837405542762;0.0556037429660426;0.0639893652246011;0.19605294887513
"capable";0.566414658359905;0.15852619106582;0.353596536651631;-0.0502723527150578;-0.127030902194885;0.0649144406706455;0.124072182736638;0.347788321323018
"careful";0.650733877675904;0.35527603501652;-0.0488719326879656;0.327703550056057;0.0330445892935302;0.0445290216151912;0.133759710371256;-0.0764289622666813
"charitable";0.636279427251306;0.162697504893416;0.0810014993608857;0.243858280464298;-0.153514563414068;-0.138630016741606;-0.0885485864615835;0.0341579429113565
"cheerful";0.70489847781291;0.34167380770648;0.301511793162605;0.0459959088907668;0.120942022547564;-0.00952440633550945;0.126409100710047;-0.0243246975099207
"clean";0.552942499051322;0.275108246467172;0.0585342244920067;0.152186509763123;0.421390505474424;-0.00504483353482165;-0.0852175394354781;0.0991057077581796
"clever";0.678092981211491;0.240157468159906;0.141263691811409;0.0858447108865922;-0.0190139532525059;0.0420742458864142;0.234929852841644;0.199252174167674
"comfortable";0.658295634161901;0.442910652878699;0.213455007293259;0.0697917153108617;0.179633169905172;0.0539923613621256;0.134288425642675;0.2033982928743
"compassionate";0.219310995020595;0.63795565700555;0.0430372095491383;-0.124509887439783;0.105958854473115;0.208124219152401;0.0523263156028313;-0.0175947694085967
"competent";0.0645339095852246;-0.00750104902984047;0.0010604823906635;0.0772282533649415;0.0127748544266615;-0.0986382543873553;0.383953557299139;-0.0705148450723693
"complex";0.1542422430302;0.410231542190526;0.332754953132485;-0.300041738504557;0.0424282794238699;0.148809194519151;0.105072101209561;-0.117832432762247
"confident";0.523124265229922;0.297219990697735;0.188565064739709;0.180601460275525;-0.0538822346208846;-0.106820982803407;-0.125746701358035;0.0540418464416003
"corrupted";0.161769564510003;0.41721417908529;0.0351207113804351;-0.140960299723219;0.0285880626341927;0.0143270122356249;0.120716281357898;-0.0956044256010265
"cruel";0.688722920223626;0.0284486098782729;-0.0986769091171803;0.232116328297807;0.114849825823589;0.0196715405203056;0.0750121488232392;-0.0296361788295819
"curious";0.792698634596612;0.324969548804378;0.152691009022099;0.096932974955082;0.235347792095134;0.123479814715517;0.0934560446179741;0.124585314111417
"damned";0.431400725142376;-0.0151910329161451;0.253973014736792;-0.0328921626589609;-0.132150873084486;0.293534413988443;0.092121360004785;-0.015447143154468
"dangerous";0.555446227874898;0.264924020765298;0.33376964093756;0.0951198533995557;0.197057789242806;0.354453185597411;0.00220500888542308;0.101331356129689
"delicate";0.658807567672589;0.158873957898916;0.375459474052591;0.150718853014725;0.216291540434635;0.0252805459535506;0.252803036738491;0.0149839489359911
"delicious";0.480366717166373;-0.00193425159972184;0.144460007136285;0.326644076875409;0.0343509738821188;0.10100630934271;0.103156795149464;-0.027977112354491
"delighted";0.740097848754621;0.286112574215598;0.0458968024860077;0.176543460603545;0.05556262225908;0.148196260225649;0.123073976296276;-0.0999104535400343
"delightful";0.625996898376108;0.0735944999874127;0.27973120221154;0.222749161612125;0.168695552785191;0.139357555581447;0.286254272534875;0.0778228901024761
"determined";0.420454036011466;0.558819816233966;0.0760523914856341;0.0564280134251062;0.202492433370994;-0.0467998383522924;0.200233563515658;0.0233198761561717
"different";0.780682850855758;0.16786410370802;0.219804157363841;0.136113154940603;0.208379802168206;0.16025979421509;0.151821791689937;0.0507892014123229
"direct";0.23250699762492;-0.114624683618082;-0.128998583174607;0.193482035450555;0.240151930484164;-0.0279454505683375;0.0995965867692761;0.214582687330051
"educational";0.120767115724464;-0.0296126168426092;-0.00566522097408144;0.137027636565323;0.254008381854773;-0.105900239924739;0.243176601889692;-0.112526845524134
"effective";0.00548180652692719;0.441705826222179;-0.0508271219928265;0.0216838096660814;-0.0529834888901111;-0.037418996808887;0.0711096047716316;0.0287119311168733
"encouraged";0.461209656666373;-0.0203365372242475;0.0303230436413576;-0.0862903215632759;0.0966023895137328;-0.09027486781987;0.535055112204296;0.296860332472976
"encouraging";0.490879916165274;0.175301930093925;0.104468610044701;0.244554677065086;0.307387066563128;0.0492861856666662;0.191754905091345;0.256667787375888
"energetic";0.0710035212448183;0.335976700746319;0.0382288284795561;0.365158321632271;0.312795734745938;0.11754291429267;0.0235391229858953;0.217061748873132
"entertaining";0.0517307806241511;0.349154802109922;-0.0558951201630097;0.23732601775163;-0.0417804007625998;0.00961572523854764;-0.0223757224286002;0.0117898356872785
"enthusiastic";-0.0107853376105647;0.487370803124378;-0.0561298887776758;0.0192824736415709;0.0075577313119348;-0.0275848317156705;-0.00755186093038131;0.027103410098396
"exciting";0.479530230269605;-0.110106373121519;-0.256575259617982;-0.0777542123427359;0.117554321457893;0.298011058606955;0.0828513055332726;-0.166077938852887
"expensive";0.444827762631343;0.523748685002002;0.160957060072914;0.0308551068130002;-0.0531926282310755;0.0998884712618046;-0.0410932632712949;0.10774128203075
"extraordinary";0.849596396975228;0.161912129441157;0.101769915692354;0.104994351056848;0.149322111411719;-0.0869525155189426;-0.0558504783264269;0.109254978111642
"extreme";0.570146942258696;0.208444970387602;0.411751569351741;0.0393153975932763;0.197905418955524;0.281741337059399;-0.0139620290931798;-0.073735634169444
"fair";0.54837937574313;0.389343517863157;0.174383332484133;0.302353879242235;0.154278112020663;0.222243848878876;0.271370417092281;0.131187124889495
"faithful";0.655812328879678;0.160096566733619;0.258917996638618;0.084814948996607;0.300732445224558;0.169698201297837;0.174221826238376;-0.019204945390482
"familiar";0.54323505546967;0.267410353024853;0.397231215017551;0.224389106393633;0.157429013102044;0.189932573807457;0.148658801308476;0.00352259431114334
"famous";0.614896002289204;0.067968732409376;0.148836861635049;0.0459387297320971;0.15544585419463;0.0914627242662739;0.0304061896976584;0.212488370699989
"fancy";0.474842500900925;0.272322753628293;-0.077793236564561;0.115715274420556;0.263601785978673;-0.0872518385476509;-0.116588080478267;0.502648135431111
"fascinating";0.398262109342775;0.0230862358480141;0.108219746706143;0.30011580065598;-0.176374924891417;0.0887751277966264;0.421872058751465;0.265233215768293
"feeling";0.441201507378263;-0.0974634222780076;-0.272541258936363;-0.114209252842026;0.0531117771067693;-0.0347479657319906;0.11126771052419;0.374246386125739
"forbidden";0.204214648280219;0.058636267305267;0.0197649439414528;-0.0352775776527732;-0.07101557332419;0.514745561026461;0.183557030029119;-0.0882612458600895
"forgiving";0.461042067262522;-0.0294144114061726;-0.0456319859609425;0.116481773930696;-0.143626883204069;-0.165324440007588;0.0192185453696935;-0.0557540419311476
"free";0.743142868223535;0.260904526508091;0.251317827267727;0.20570997921017;0.159798796043286;0.0398474268162077;0.105194327626257;0.152676339541636
"friendly";0.637746392231996;0.0693617242472365;0.367790330689878;0.137625753199528;-0.0868633089706545;0.27258202954139;0.129798095961555;0.028885377119845
"funny";0.072979093290375;0.0298906667123986;-0.0309389831346145;0.160848293900453;0.330105205434683;-0.0706265334288545;-0.0281078010578643;0.0401414550057808
"generous";0.488134990604479;0.0251366216647412;0.273368777287422;0.148810070998801;0.366835237578614;0.0663975849771056;0.348213538009044;0.140721742246477
"gentle";0.709198490661089;0.291600847104478;0.168580706118572;-0.0187764600354291;0.324628465569159;-0.02382019157101;0.0785797211302337;0.0896165959157673
"genuine";0.646469389096563;0.241871294816721;0.366442642462908;-0.0598052882822165;0.183889438186483;0.229843341008691;-0.0101045915104308;-0.13023864075063
"graceful";0.262041016347209;-0.00277288045025307;0.600180628116294;0.199044748509433;0.259053282299696;0.182542815217478;0.110099447809068;0.145200142926067
"greatest";0.794426519378654;0.20968104321837;0.133414548764696;0.1020018028688;0.150646824477875;0.0682920403363437;0.0731886126763397;0.114471577076806
"greedy";0.202231044797616;0.0310937433081567;-0.0206236044743848;0.375222544164853;0.238239586190214;0.0989997643956778;0.118586794939531;-0.00986449331133365
