"MR1";"MR2";"MR3";"MR6";"MR7";"MR4";"MR8";"MR9";"MR5";"MR10"
"bible";0.188897290869024;0.338827378126798;0.247550430526133;-0.0137608647430551;-0.0337940505359118;0.0966149806309823;0.354266256989772;-0.213175038284929;0.319740383880306;-0.000290720434472271
"blessed";0.605272228194667;0.287326791987773;-0.0297314642649511;-0.0204916243129753;-0.247977202189429;-0.105258954463652;0.268908773457515;0.189970880045022;-0.13131958062137;0.099527042295053
"bored";0.276152504008647;0.312754068367708;0.140087366580518;0.289914332638666;0.0693593654756662;-0.0276358694163053;0.0977863810493831;-0.0947790621076794;0.454024939478583;-0.0897130981096231
"brave";0.652105768737228;0.193203202621862;-0.0612911063013526;-0.29502871338072;0.0813795763223273;-0.00333201325321147;0.172221836434455;-0.105355289040515;0.0233613818702344;0.0376283593588666
"calm";0.861499326667561;0.161803685364249;0.209519148946977;0.0340480580108371;0.0563683433709401;0.0381952492369244;0.088072126312414;0.0540560883042325;0.0483940320898944;-0.0172718657523468
"capable";0.650602586830976;0.334642697043068;0.0202768395316966;0.0335666135675345;0.161496163979577;0.0408900124673338;-0.024404345829846;0.118323204719929;0.155072113839916;0.329946842076176
"capital";0.23679055143516;0.502599657605027;0.0935392217775816;0.0580455854104662;0.0139589738785343;-0.086497467336341;0.0915418971075572;-0.0601136346789286;0.428952595906655;-0.146501646495737
"careful";0.64378416130123;0.288534513949532;0.203129469380745;-0.00568226965634874;0.213969705578672;0.0551687836752295;0.210743691725075;-0.175088279849729;-0.0632959258505487;-0.00964047152349941
"charitable";0.0555779439410042;-0.0649925630407928;-0.0809997170507081;-0.0360428554127097;-0.0225619913412669;-0.0420649393095126;0.130761474682025;0.220742989966784;-0.105239293010136;-0.0728118592002912
"cheerful";0.811041795507317;0.279550818847104;0.220290800882526;0.129048567895376;0.110880617206522;0.0594673479299477;0.0691621006795871;0.0891882920207435;0.00789006147651033;0.0539948680407977
