"MR1";"MR7";"MR3";"MR2";"MR4";"MR8";"MR6";"MR5";"MR9"
"compliance";-0.0374201315744147;-0.0652373411635116;-0.067747871608582;0.0340794020127423;-0.0308339764494544;-0.0446734794410964;0.127177770530365;-0.0549156027261194;0.01784963644717
"confident";0.190300648285484;0.0407827719198408;0.00991621909722692;0.778020840652446;0.199389831238404;0.151536929372446;-0.0649184892334121;0.105356058885962;-0.0273444296510838
"creative";-0.0160845253978607;0.330962345597469;-0.0790814048378228;-0.152342229295452;0.2230436351751;0.0374994412388226;0.172063088148696;0.266985275119712;-0.141064606905132
"cruel";0.525717699782112;0.36129143104418;0.21747888144863;0.180272895335989;0.268428280276527;0.154369552295857;0.166189686953224;0.214677255139393;0.205011133386608
"curious";0.203869380262852;-0.0402745208403947;0.0851975376836986;0.216741700457122;0.579300101211963;0.208473383507121;-0.0123193881995723;-0.0158369250320662;-0.151358185356798
"dangerous";0.163598769400656;0.0541382507419544;0.0438702701055587;0.713904594599859;0.0831646296079976;0.130985821400017;0.0333881520935048;0.186616192968225;0.0343545495297335
"daring";0.0646316304458686;0.15788590428872;0.650284880713707;-0.0749405180759884;-0.122394670248355;-0.0355517963472353;-0.0773581349601971;-0.0993996473714344;-0.169648840405265
"delicate";0.630334278111303;0.10374617039287;0.132400791467552;0.216505245031196;0.142446883570268;0.187475799292045;0.282320003488607;0.35726269158896;0.0427970882179974
"delighted";0.352826120815106;0.228428886923991;0.291656202961766;0.24007159717152;0.236283909144937;0.482669553693735;-0.00663265405261414;0.206686638706904;-0.0534959937468844
"delightful";0.423985280029207;0.493385291514666;-0.0722439509887851;0.260232842887329;0.452805175169184;0.189640865655535;-0.1010635155273;0.238723246929276;-0.0239355334906092
"determined";0.465136349688233;0.1353066390423;0.334964414358298;0.0490353500509596;0.0540163093746491;0.49508660008349;0.126591300796102;0.18126809144372;0.0767089676381695
"different";0.485818475693155;0.423249608286326;0.307548058743765;0.0803402628675258;0.152701197089225;0.209848831585591;0.2182715935361;0.0952849178498231;0.330303550382762
"direct";0.657147806523791;0.0688568362793829;-0.0704773868336423;-0.146341517405241;0.209425702951452;-0.0212709805986348;0.182273324079689;-0.0983478285540775;-0.0261898709519438
"entertaining";0.224559995931763;-0.123834056035773;0.473342839731538;0.104958030077674;0.135849232983431;0.0393213997126924;0.0803431272375258;0.251055764361372;0.00682262204046766
"entitled";0.114305392159922;0.0359904840131708;0.0558751799433286;0.206764676201656;0.17583382304933;-0.150490080648566;-0.1073663857726;0.604555515459177;-0.0990533503818924
"exciting";0.168199058090926;-0.115005945665483;-0.0184185413236998;0.536292602508248;0.110183897765042;-0.158221774998802;0.168787419828017;0.0943991980107855;0.00998741993610754
"expensive";-0.00805690606857386;0.0591181212284101;0.0668717580331196;0.0306927243678764;-0.0889901762510634;0.12417752579948;0.327860509106636;0.366682551138304;0.223480208465672
"extraordinary";0.324572776443724;0.243318314518944;0.22555945011278;0.368570950202351;0.26869166879821;0.47546525222893;-0.0430373343922923;0.0593289288891571;-0.0656741264394258
"extreme";0.418981085178367;0.417951128613979;0.203738748193425;-0.0474057709367901;0.176723944813643;0.0312626473341455;0.384124339638633;0.12581886576259;0.299632959404529
"fair";0.432770613170544;0.293137597833779;0.323364074703624;0.113851797826233;0.207538073969811;0.328859121913777;0.0173091182022035;-0.197046316336792;0.290984405784429
