"MR5";"MR4";"MR2";"MR1";"MR8";"MR3";"MR9";"MR7";"MR6"
"greedy";-0.0783869907961871;-0.0503344668156743;0.0461276659194218;0.391524390210658;0.0883539595637283;0.161808081152603;-0.0587886086701427;0.1018158532297;-0.00454782602925177
"happier";0.0309525327728792;-0.100697496441767;0.535127748783297;0.119060982174487;0.0697524867201441;-0.158140022165045;0.532415715138904;0.149851699807603;-0.010570217270531
"happy";0.165068377802472;0.266250148313533;0.276537954300225;0.358389014756389;0.249934584746958;0.0802628416706189;0.164420854466564;0.062242513162451;-0.0979394533693083
"harmless";0.342852044603628;0.143909617073284;0.736762614079025;0.0153215158543992;-0.0577553731636417;0.0792475668941991;0.11322353093446;-0.193944491191726;0.0269710709594499
"heavenly";0.144023217589539;0.315877949816782;0.302113072778003;0.578353692865588;-0.00796011570661155;0.00383357987339107;-0.113924645137095;-0.0352089610189831;-0.124587242481529
"hobby";0.134704670689992;0.242616108574986;0.18738693080925;0.586003044596093;-0.0608200880704997;-0.117122020143766;0.342157024931263;0.038981056170518;0.0231758546796508
"honest";0.396713075028433;0.106582821297739;0.424328330350376;0.269607469805317;0.355085343038599;-0.171197660710561;0.190564397059807;-0.0558519020938838;0.149194542372048
"humble";0.0356570920922322;-0.111615059604097;0.0515077300095081;-0.0224415801224887;0.0938433557405903;0.627831704116458;-0.0653477905646017;0.311452467221995;-0.0589814781882784
"improper";0.0577442952219922;0.437273310547875;-0.00094889056999724;0.136017358277492;0.0328550169232635;0.0157877160386036;0.360581618175554;0.330784495024487;0.0163656601889575
"independent";0.710607933533303;0.191858261545792;0.282665966205416;0.0232335844852232;0.107337362908166;-0.0474400904990483;0.121959254612513;-0.170806448124956;-0.0503719970218021
"intellectual";0.248269291435933;0.224924373929643;0.0317847971893596;0.49532128060026;0.250886411037226;-0.14773795675336;0.0763018374397844;-0.256756520522774;0.01082437661303
"intelligent";0.0854331090057326;0.456252227538212;0.581789440223539;-0.0264910462976709;-0.0988692654372258;0.187488117557809;0.10725703939568;-0.104871139821381;-0.0896214532703332
"interesting";0.103443801990394;0.135327719118639;0.560890583860933;0.351943883459758;-0.0107145791937406;0.0971332698109666;0.00953900181537147;-0.0290561512172804;0.191998288308533
"jest";0.222837148321114;-0.066928145843185;0.397049463734879;0.162884213351165;0.102818599410193;-0.166684330109023;0.654138651632627;-0.0857165496793521;0.0678796691434802
"liberal";-0.0953033701678367;0.030293228680095;0.0879956761630084;0.0209414358217603;0.149074817919961;-0.030697034775376;0.0273639891312487;0.0195309869367129;0.548868512288239
"married";0.331680266194418;0.427769771861612;0.154640485952743;0.0782420170936469;-0.070179799615345;0.390880546247774;-0.0293578225945282;0.111947232033099;0.214452423061689
