"MR1";"MR2";"MR3";"MR5";"MR8";"MR4";"MR6";"MR9";"MR7"
"bored";0.147181432709842;-0.0818308947198702;0.138369501772198;0.233969683056518;0.380780659387379;-0.160035171941126;-0.0518176944014844;-0.167006056451064;0.236182725341901
"brave";0.521126191070819;-0.0837615671833029;-0.0554815301811684;0.197433114684882;-0.00508982448540911;0.110238609028281;0.119800415360903;0.0721835308043382;0.0955694514169662
"calm";0.520742605115818;0.425959729696518;0.0700168811836632;-0.144565141029565;-0.019712938457695;0.105528548213481;-0.0812881817172711;0.163944255821226;-0.0246077539789788
"capable";0.198482486830633;0.127937263313825;-0.0948490740398434;0.252947947824129;0.281923383491669;-0.146474992072103;0.560590336647763;-0.114092900993313;-0.188119293019966
"careful";0.221326936367617;0.315764603330413;-0.0711354572311729;0.0533825431883872;0.259219599239221;0.0508495478422469;-0.00796106344569044;0.603118712618262;-0.0232227551635373
"cautious";0.105626745906274;0.0667059309515228;0.850524129084857;0.102338946102739;0.0254040859837318;0.0190770553677605;-0.0130617668096074;-0.0707264890421818;0.0199624544596873
"cheerful";0.487612543648418;0.334661014549567;0.0294386628916631;0.00557702000116622;-0.00245653158472176;-0.00397409377004249;0.18443702062691;0.536265318798301;0.0728278429813086
"clean";0.282732162359643;-0.0174985264073708;0.0319432837147806;-0.0208780519697413;0.10847115926799;0.0116914086319999;0.654540106497723;0.286459764478761;-0.121171715421994
"clever";-0.012434983794765;-0.0295466006348687;-0.0852104556647051;-0.0415336401389558;0.513678639094397;-0.0246616357058571;0.119253833276096;0.0197880082640301;-0.0578003828012263
"comfortable";0.485468987137016;0.191278852168426;0.120843279805457;-0.0429165672461594;0.413064501347289;0.135561652763153;-0.00524815327907369;0.101119850887514;0.228777988131747
"compassionate";0.0974592368375278;0.561181249052831;-0.0195537957208448;-0.164002717222853;-0.0880233757991394;-0.00224145915589868;0.211959500484972;0.368086996777576;0.154105317274463
"competent";0.167088504130023;0.34327676925715;0.419829116952688;0.024624300705;-0.0839122833865035;-0.0969051321677145;0.282833509128165;-0.132694976887333;-0.163918849568299
"confident";-0.0207581094910211;0.256239452402216;0.114562609014161;0.149563179495904;0.17850776516904;0.321612603646081;0.0638189986172905;-0.195843731315442;-0.350969799370372
"controversial";0.00859724590923747;0.0910631324330918;0.0579683515581736;0.150543893947078;-0.014890839399425;-0.0587777819460894;0.0177246247562144;-0.0226890162577962;0.355650174910745
"conventional";0.117404323064789;-0.167305203760979;-0.0129283459388722;0.65409171652539;0.0756955737212707;-0.0712949505472976;0.0660646766253236;0.101821032397613;0.199407655385461
"cruel";0.302569790239196;0.190455882973553;-0.0649356467165071;0.188776486993497;-0.221695940905706;0.477978294691186;0.163342296774925;0.2173635071069;-0.0195308716066862
"curious";0.433355979408019;0.334145509307728;0.158825686538649;0.267999193762323;-0.0492022386165578;0.131812984542104;0.193020519664294;0.336220165511188;0.0509253222905825
"dangerous";0.183603871899951;0.406506290607175;0.0278500404473439;0.551009089762804;-0.136958088205656;0.222069985363269;0.11316879456708;0.0757475797205672;0.0305998187036221
"delicate";0.244644436055495;0.649541659070702;-0.0958416691100697;0.159504606960135;0.0413408306232889;0.0726978877864643;0.0905291857598346;0.1828273870197;-0.0381619409198208
"delighted";0.48760152804797;0.102061194182331;0.0869828538930468;0.274316353496651;-0.109260532246104;-0.0731246845753373;0.40757299828222;0.387716371365773;-0.0316610991732505
"delightful";-0.00804968743632597;-0.0347683101125724;-0.0599706584922536;-0.0657446997372365;-0.0719340616150951;-0.0411745224041282;-0.0278631720544345;-0.0632001892824082;-0.0198693370898211
"determined";-0.0285458717211379;0.0274033758280441;0.0178489894621776;0.156433562708149;-0.0194703042189667;0.025607767906735;-0.00955470713802469;0.195678632912355;0.210792132677877
"different";0.607781627326449;0.0807237865262948;0.19967125506717;0.250537368199139;0.259526343079246;0.0931665072617798;0.100091784464698;0.0154130686548063;0.135448300992039
"direct";0.269832883846265;-0.0146401123726916;0.197319853841485;0.106126632958928;0.016997144800366;0.229736317610331;-0.0847159349868734;-0.115578629989668;0.51621773365316
"educational";0.080207150124216;-0.0708467912370407;-0.0246944655530491;0.0984785137655972;0.373571997266388;-0.124663636176816;0.0411580382042693;0.228997190589619;-0.170078045430657
"effective";-0.0185456078573165;0.53285351249515;-0.0560688127524528;0.109093231892264;-0.0836454412922049;-0.0708447526322553;-0.0916674893371895;-0.144489815417083;-0.0687570629708272
"energetic";0.00417859200612497;0.517649202232141;-0.0552913547484164;0.122984490668518;-0.153114886267259;-0.0482158611512276;-0.0245563030709736;-0.0542543973532737;-0.0411651067241763
"enthusiastic";-0.0751529152662689;-0.106836448513533;0.011161059934001;0.0541635632810694;0.0253779230119518;0.743800134016009;-0.0593590741051216;-0.0412005003405803;0.0488911247807527
"expensive";0.115794262822006;-0.156177980740642;-0.0262049733349277;0.658016901274812;0.0399079655101042;-0.0311517052265084;0.0170961384395509;0.182685419806961;0.154517929406834
"extraordinary";0.4499409465612;0.120172130906357;0.1650529306453;0.109923879543488;0.238234150030886;-0.0603599606526126;0.0110463799177741;0.118456975804112;-0.0959250026417057
"extreme";0.222561198230083;0.147340677124674;0.149603419428492;-0.0280846590701923;0.199242982608824;-0.0027692606257596;-0.104185049542564;0.172143169424663;0.652061544927099
"fair";0.10441386090284;0.0159321455431383;0.471111384738572;0.244860323058313;0.391549835521666;0.101147370652681;0.098928567537218;-0.143570012127404;0.244237908593564
"faithful";0.618594215193988;0.13126897402907;0.0830720959010747;0.18660928777646;0.0400415539261284;0.383014220601781;0.0518755867383327;-0.172925618047904;0.0315562230756349
"familiar";0.323187534196415;0.219698413638369;0.14065755525757;0.163427614269672;0.138667583533842;0.132032676505725;0.173042519473063;0.376526345859443;0.0220496515004825
"famous";0.0992615783548538;-0.108673276342425;0.0340097491296066;-0.0143445256627965;0.012139484470168;0.792038055572464;0.151838915135917;-0.0469912156973275;-0.0239069948179861
"fancy";0.0412240788265621;0.0812000709139868;-0.0322381417820389;0.0344846577138361;0.161424567474089;0.00565738065752043;-0.0462159507034889;0.73479696040446;-0.0213840481159255
"forgiving";0.0203975713508463;0.0388616913476134;-0.0168017652950128;0.0248087200459227;-0.149833267414353;-0.00200381429271602;0.220297622846499;0.133589591213672;0.00195974508401222
"free";0.517928206209071;0.177352189961504;0.144597103200006;0.388065297691488;0.00117374704031028;0.0351702431215471;0.358450468817004;-0.0287324072227535;-0.0809065360353833
"friendly";0.187285394075683;0.0790046572489329;0.00778066851798341;-0.0258899307684538;0.0448674244170369;-0.0537047623330639;0.67622608489781;0.25701725671965;-0.0928996783728331
"generous";0.0316562782155968;-0.0486697766202812;-0.0592709486405434;-0.0649994051686811;-0.0793063583651413;0.15356776247696;-0.0597775911889806;-0.0193234866800648;0.0741309585645033
"gentle";0.673787454293372;0.0411469284676846;0.0470519144950169;0.190754897869206;-0.0104220697482917;0.192786418780963;0.309102015519018;-0.0541302886857559;0.0475261590997251
"genuine";0.285413781981208;0.0198460367435945;-0.00547999554295676;0.67527780028467;0.0885244220819382;-0.0965996649288615;-0.0551540984019213;0.0271756671996559;0.0693890341195288
"graceful";0.106514363927553;0.219019461967355;0.0659638647608756;0.670254604830387;-0.0338135472727852;0.269356454730631;-0.0115602044903461;0.18001511787687;0.0909944792710099
"greatest";0.791296027847128;0.0749713888418814;0.115208323430431;0.0119756676463549;0.103322535012334;0.0320466035935535;0.00322241904912317;0.122300413794929;0.0044581017899173
"greedy";0.0908634155135565;-0.0895345607252284;-0.0516447582697887;0.0691316193630756;-0.0768477481014816;0.771373830300479;-0.00439868929180873;0.0735397878063712;0.0515046603686476
"happier";0.596952277659277;-0.206389199353894;-0.0561170553249029;0.171872991749612;0.209611412108619;-0.147622971736955;0.112108338432163;0.158638800232913;-0.208992911662059
"happy";0.466981433641369;0.467070077436604;0.107675752914894;0.0218195006572912;0.148608182299961;0.00654771662670409;0.0622092563742839;0.20093428452944;0.0517268846995712
"heavenly";0.0412240788265621;0.0812000709139867;-0.0322381417820389;0.0344846577138361;0.161424567474089;0.00565738065752043;-0.0462159507034889;0.734796960404461;-0.0213840481159254
"holy";0.115718448882971;0.57382740292183;0.135099658356027;-0.0232782158748582;-0.0303349505232433;-0.0796043431281041;0.537814721163414;-0.0216448540911148;-0.073894682682461
"honest";0.522218579099457;0.237833381838297;0.131042769476744;0.102320764193483;-0.0933583539104213;0.113120920178204;0.477112846484664;0.0154029323028016;-0.125638697201915
"humble";0.54083747864673;0.0600815031659839;0.237724859075445;0.453378926892736;0.0708689807014595;0.00554859308575571;0.310558865347123;0.0298426075491845;-0.00674675498774801
"improper";0.254895106101043;-0.0546169004445768;0.0403317677373395;-0.082430115599497;-0.0150934927067839;0.519918063160195;0.310036986139821;-0.0229015995853748;-0.0971583463924646
"independent";0.0124772084035246;0.51615647675558;0.0469267539950854;0.214167600240935;0.217618639007886;0.0795100455200157;0.477180373188559;0.0699152021836812;0.092063409447865
"individual";0.189868222962369;-0.0605858512105963;-0.100927480604378;-0.00561169719450135;0.401501033467664;-0.129361432311245;-0.0500216237565411;-0.0633117761149305;-0.0241164786608062
"intellectual";0.0380894126157444;0.723646374798994;0.215768064925945;-0.0431944400361625;-0.0435187216372772;-0.102442253600825;0.289684087207728;0.0487830122324938;-0.0278249648966298
