"MR1";"MR4";"MR2";"MR3"
"gentle";0.535153238706853;0.426342033687499;0.0885610536158799;0.152154969007739
"graceful";0.229683630808952;0.265136120088838;0.279702895081436;0.207424583083904
"greatest";0.0551458328084945;0.357084323095649;0.249880265225624;0.604571243355544
"happier";0.599839797075724;0.214887861402198;0.0786614419051347;0.181499123839373
"happy";0.534533665498803;0.0899884165463524;0.338985386928021;0.437747146062302
"honest";0.235908643342379;0.0294432732128216;-0.419457794047176;0.201674330663895
"humble";0.246219328433617;0.530088255525288;0.105116968404859;0.075564928688599
"improper";0.763305140885265;0.0194030616348348;0.271450022337259;-0.146679388648659
"independent";0.586477810365398;0.198984075621403;-0.23371892449125;0.190278242064462
"intelligent";0.0992078591143711;0.178428819451623;0.593267882370486;0.211243305986197
"interesting";0.480943074005176;0.443726384623395;0.385907841672097;0.254065824984044
"liberal";-0.0475899999309295;0.305687663247368;0.384701276214019;0.435059542311047
"married";0.549244325712719;0.411466354137204;0.0795940928478181;0.336360470988195
"mature";0.312491782585099;0.401515922372154;-0.370746634449609;0.241674978340625
"modest";0.320190881318512;-0.0882374949244837;0.0103403826632196;0.538097457376201
"moral";0.176715990536595;-0.0299724568668969;0.130270468055656;0.379438810191795
"natural";0.624242698277252;0.430113562095578;0.0190829605745578;0.157138090608059
"neat";-0.0450803362558992;0.320086403761708;0.235996145467293;0.633047964455888
"newest";0.0851351230753695;-0.0791522485060593;0.605324727591607;0.181078187809411
"official";0.378402654466578;0.222589142317645;-0.0756225271135628;0.00501057142379945
"original";0.0440877643487257;0.501526787877593;-0.20718262270448;-0.13777853461981
"playful";0.0440877643487257;0.501526787877593;-0.20718262270448;-0.13777853461981
"pleasant";0.365175634830238;0.643166861233116;0.297325003755873;0.30617081424052
"pleasing";0.616827604282763;0.211107491606997;0.304802585475558;0.19940037189117
"polite";0.163341558024653;0.462760321087288;-0.278968714789976;0.441883754375503
"popular";-0.00684021356032197;0.0717399037071012;0.344769432897556;0.032351124398001
"powerful";0.754546091776824;0.236439760723989;0.277768165902151;-0.0596665167160755
"profitable";0.0851351230753694;-0.0791522485060592;0.605324727591607;0.181078187809411
"proud";0.536897917781643;0.297265916534585;-0.007398027470097;0.339133970609759
"prudent";0.729140023961625;0.0194933947905135;-0.126741714397824;0.10833000984112
"qualified";0.0802193450137689;0.414484764016123;0.162527948170293;-0.181067190208988
"quiet";0.606828213200409;0.344384412546047;0.409535661980427;0.0137940824860621
"reasonable";0.262628552228451;0.405489923070537;0.275894496674525;0.394056335129329
"religious";0.187989016087058;-0.0834863604290863;0.142786408006734;0.436620880273576
"responsible";0.0611510039209605;0.079668337066573;-0.00381173595861748;0.675671429100208
"rich";0.504752866369311;0.255519714860742;-0.155709369156625;0.465116213921864
"safe";0.228845056646174;0.228456948990827;0.406197784935457;0.53190406672343
"safer";0.204028733932751;-0.0699015559001545;-0.0412086129360796;-0.0788308043658964
"secure";0.0971467286805091;0.0736873639370759;0.161757998108067;0.459722732586147
"selfish";0.616124882533224;0.319707162851076;-0.138068900834356;-0.0362163738828439
"shocked";0.0802193450137689;0.414484764016122;0.162527948170293;-0.181067190208988
"sincere";0.175429121837606;0.295412463822905;0.221078953365269;0.476027428208465
"smart";-0.083727611391546;-0.0221095994832371;-0.0559248529712139;0.27994609414691
"social";0.161044055151182;0.439047920804878;0.0169465132629272;0.311571726822708
"spontaneous";0.20659276333969;0.534517886162691;0.0550979709201003;0.0912157460059959
"strong";0.486303859678991;0.507302346721185;0.221393367405448;0.304020496028134
"superior";0.286576996325629;0.461484126017265;0.483670331771686;0.261622387243517
"sympathetic";0.529397097308354;0.16221876784526;0.265567168357395;-0.0332367766976786
"thoughtful";0.604604845131429;0.11499424514808;0.304061392848845;-0.156033917184039
"uncertain";0.721745255517759;0.124337982850163;0.159169103186808;-0.117273847882053
"unpleasant";0.156678384987318;0.599268076324472;0.312727584960383;-0.0485676239088767
"weak";0.132423513965105;0.487341711722282;-0.107143733324744;0.144473642792807
"wealthy";-0.147630880788651;0.0780638301507457;0.102227754651317;0.619400079313454
"welcome";0.346857903028614;0.67524042862815;0.170013198664101;-0.0130768996024304
"worth";0.447624474056161;0.396455951178166;0.369858570523781;0.358976365012512
"special";0.061810899150511;0.393653705500602;0.496043909824737;0.0401328499440497
"wise";0.5961557524595;0.0969712402776424;0.284324034640845;0.183936542095913
"universal";0.29655163282722;-0.0464196322566041;-0.189790078338618;0.0194549843331454
"stable";-0.083727611391546;-0.022109599483237;-0.055924852971214;0.27994609414691
