"MR1";"MR2"
"succeeding";0.0611110581314791;0.413412369671582
"superior";0.455011286039284;0.602346517174561
"surprising";0.28314978055865;0.0354374165691514
"sympathetic";0.427778355941389;0.14616185336749
"thoughtful";0.514123215238269;0.710148426519983
"threatening";0.338648622689165;0.417493974082063
"top";0.575426607650204;0.522287657302542
"trusted";0.214619848736725;0.391175456394321
"uncertain";0.238743523479656;0.655223210763974
"united";0.315831698499952;0.238489185464435
"weak";0.47473143630822;0.591012297352358
"welcome";0.598085014301059;0.459240596646178
"wise";0.519777726999185;0.611072234190346
"universal";0.48782036552212;0.427024970848108
"worth";0.73784345677065;0.47224333364469
"unpleasant";0.12290409735393;0.692370648093888
"newest";0.362532548766467;0.228287416954509
"suited";0.542859763505092;0.0883894721667347
"secure";0.0641743128775895;0.39095980461375
"subordinate";0.478737188445896;-0.0777271231006021
"safer";0.0430972787616342;-0.0279787328188536
"weaker";0.0814067295058625;0.25707625605668
