"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"1693","wise",138,4,19,7,11,10,3,1,16,12,5,8,6,15,14,7
"1694","wishful",8,0,0,2,0,0,1,0,5,0,0,0,0,0,0,0
"1695","wishy-washy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1696","withdrawing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1697","withdrawn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1698","witless",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1699","witty",5,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0
"1700","womanly",29,1,0,3,1,5,2,3,5,1,2,1,1,3,1,0
"1701","wordy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1702","world-weary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1703","worldly",84,4,3,12,11,10,3,0,9,10,0,9,2,4,6,1
"1704","worldly-minded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1705","worldly-wise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1706","worriless",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1707","worrying",2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"1708","worshipful",3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
"1709","zany",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1710","zealless",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1711","zealous",36,2,2,6,1,5,1,1,1,6,0,5,2,1,3,0
"1712","zestful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
