"agreeable" "anxious" "brave" "bright" "careless" "certain" "coarse" "cold" "cool" "cruel" "curious" "deep" "distant" "dull" "earnest" "expressive" "fierce" "friendly" "gentle" "gloomy" "gracious" "honest" "loud" "moral" "narrow" "natural" "original" "particular" "pleasant" "quick" "quiet" "rough" "shrewd" "silent" "slow" "solemn" "steady" "wild"
"deep" 0 3 2 4 0 3 0 3 1 3 2 0 1 1 0 1 1 0 2 2 0 0 2 0 1 2 1 0 2 2 3 1 1 2 0 2 3 2
"distant" 2 0 0 2 0 4 1 0 1 2 1 1 0 0 0 2 2 2 0 0 0 1 1 1 0 1 0 1 1 1 1 0 1 0 0 3 0 1
"dull" 0 2 0 2 0 1 0 2 0 1 1 1 0 0 0 1 0 1 0 2 2 1 0 1 0 1 1 4 1 1 2 1 0 2 0 0 1 3
"earnest" 0 2 0 2 0 3 0 2 1 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 2 3 1 1 1 0 1 2 0
"expressive" 1 0 0 3 0 3 1 0 1 0 0 1 2 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 2 0 1 1 1 2 0 1
"fierce" 1 1 1 0 0 1 1 1 0 2 0 1 2 0 0 0 0 1 0 0 1 1 2 1 1 1 1 0 0 2 1 1 1 1 0 0 0 1
"friendly" 1 1 0 1 0 0 0 0 0 2 1 0 2 1 0 0 1 0 0 0 2 0 0 0 0 1 1 0 0 1 2 2 0 0 0 0 0 1
"gentle" 0 1 1 4 0 1 0 3 1 1 1 2 0 0 1 0 0 0 0 2 0 1 0 0 2 1 0 0 1 1 1 0 1 0 2 1 2 0
"gloomy" 0 1 0 1 0 1 1 2 0 3 0 2 0 2 0 0 0 0 2 0 0 0 1 1 1 0 2 0 1 3 1 0 0 3 0 0 3 1
"gracious" 0 2 0 2 1 2 2 0 0 0 1 0 0 2 0 1 1 2 0 0 0 0 0 1 0 1 1 1 0 0 1 1 1 0 1 1 0 1
"honest" 0 1 0 1 0 1 1 4 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 1 2 3 1 3 0 0 3 1 0 0 1 2 0 2
"loud" 1 1 2 1 1 2 0 1 3 3 2 2 1 0 1 1 2 0 0 1 0 1 0 0 3 0 2 2 0 4 5 1 0 1 0 0 0 2
"moral" 0 2 0 0 0 2 2 1 0 0 0 0 1 1 0 0 1 0 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 0 0 0 0
"narrow" 1 1 1 3 0 0 0 3 0 2 0 1 0 0 0 0 1 0 2 1 0 2 3 0 0 2 1 0 1 1 0 1 0 1 1 1 2 2
"natural" 2 4 1 3 1 6 1 4 0 0 2 2 1 1 1 1 1 1 1 0 1 3 0 1 2 0 0 2 2 1 1 3 2 1 1 2 2 2
"original" 1 2 1 2 1 1 1 1 0 0 0 1 0 1 0 0 1 1 0 2 1 1 2 0 1 0 0 1 0 3 1 1 0 2 0 0 0 2
"particular" 0 2 0 0 1 1 1 3 1 0 1 0 1 4 1 0 0 0 0 0 1 3 2 1 0 2 1 0 0 1 1 1 0 0 1 0 0 2
"pleasant" 2 4 0 2 0 4 0 3 2 0 3 2 1 1 1 1 0 0 1 1 0 0 0 1 1 2 0 0 0 1 3 0 2 2 0 0 1 2
"quick" 1 2 1 3 1 0 0 2 2 3 0 2 1 1 2 1 2 1 1 3 0 0 4 1 1 1 3 1 1 0 3 1 0 3 0 1 3 1
"quiet" 1 1 1 6 0 6 1 6 4 4 2 3 1 2 3 2 1 2 1 1 1 3 5 1 0 1 1 1 3 3 0 3 2 4 1 1 2 5
"rough" 0 1 0 2 0 3 2 3 0 2 2 1 0 1 1 0 1 2 0 0 1 1 1 1 1 3 1 1 0 1 3 0 1 0 1 0 0 1
"shrewd" 1 3 0 2 0 2 1 1 2 0 2 1 1 0 1 1 1 0 1 0 1 0 0 1 0 2 0 0 2 0 2 1 0 0 0 0 1 2
"silent" 2 3 2 3 2 4 1 2 0 1 0 2 0 2 1 1 1 0 0 3 0 0 1 1 1 1 2 0 2 3 4 0 0 0 0 1 3 3
"slow" 0 0 0 1 1 0 1 2 0 0 0 0 0 0 0 1 0 0 2 0 1 1 0 0 1 1 0 1 0 0 1 1 0 0 0 1 0 2
"solemn" 0 0 0 5 0 5 1 1 0 0 0 2 3 0 1 2 0 0 1 0 1 2 0 0 1 2 0 0 0 1 1 0 0 1 1 0 1 0
"steady" 1 1 0 5 0 1 1 1 0 3 2 3 0 1 2 0 0 0 2 3 0 0 0 0 2 2 0 0 1 3 2 0 1 3 0 1 0 3
"wild" 2 2 3 4 2 3 4 4 1 2 2 2 1 3 0 1 1 1 0 1 1 2 2 0 2 2 2 2 2 1 5 1 2 3 2 0 3 0
