"affectionate" "amiable" "anxious" "benevolent" "bitter" "bright" "calm" "capable" "cheerful" "cold" "constant" "deep" "distant" "fearful" "gentle" "gloomy" "harsh" "ignorant" "intense" "kind" "lifeless" "lively" "loud" "natural" "nervous" "peaceful" "placid" "pleasant" "quick" "serene" "silent" "slow" "solemn" "vain" "violent" "warm" "wild"
"loud" 0 1 0 1 1 0 2 1 1 2 1 2 0 1 1 0 1 1 1 1 1 0 0 0 1 0 0 0 2 1 2 1 2 0 0 1 0
"natural" 0 1 1 2 2 1 2 2 1 2 0 0 1 0 1 1 1 0 2 0 1 1 0 0 1 2 1 0 1 1 0 1 0 0 3 1 1
"nervous" 0 1 0 1 0 0 2 1 0 4 1 0 1 0 2 0 1 0 0 1 1 2 1 1 0 1 0 0 2 1 1 2 0 1 1 0 0
"peaceful" 0 2 1 1 1 1 2 1 0 1 0 0 0 1 1 1 1 0 1 0 0 0 0 2 1 0 1 1 0 1 1 1 0 0 2 0 1
"placid" 0 1 2 1 1 1 1 0 3 1 1 1 1 0 1 0 0 1 0 1 0 0 0 1 0 1 0 1 0 1 2 0 1 1 1 0 0
"pleasant" 1 1 0 1 0 1 2 2 2 5 1 2 0 1 4 1 2 0 0 0 1 1 0 0 0 1 1 0 1 1 2 0 0 2 1 1 1
"quick" 0 2 0 3 0 0 2 1 1 3 2 2 0 0 4 0 3 0 2 2 2 1 2 1 2 0 0 1 0 2 2 1 0 0 1 0 0
"serene" 0 1 0 2 0 2 2 0 1 1 1 1 0 0 1 0 2 0 1 1 1 1 1 1 1 1 1 1 2 0 1 0 0 2 1 2 0
"silent" 1 3 2 1 3 1 3 3 3 4 1 5 1 3 3 1 1 2 1 1 0 0 2 0 1 1 2 2 2 1 0 1 4 1 1 0 2
"slow" 0 0 0 1 1 0 1 3 1 2 0 0 1 1 1 0 1 1 1 1 1 1 1 1 2 1 0 0 1 0 1 0 2 1 1 0 1
"solemn" 0 0 0 0 1 1 1 1 2 3 0 1 1 2 1 0 0 3 1 0 0 1 2 0 0 0 1 0 0 0 4 2 0 2 0 0 1
"vain" 0 1 1 1 1 1 4 1 0 5 0 0 1 2 1 0 0 3 1 0 1 1 0 0 1 0 1 2 0 2 1 1 2 0 1 1 2
"violent" 0 0 0 1 0 2 3 1 0 2 0 0 1 1 2 2 1 0 2 1 0 1 0 3 1 2 1 1 1 1 1 1 0 1 0 0 2
"warm" 1 0 0 0 2 1 1 1 1 2 1 0 1 0 2 1 0 1 0 0 0 1 1 1 0 0 0 1 0 2 0 0 0 1 0 0 2
"wild" 2 0 1 1 2 0 0 0 0 4 0 1 1 3 5 2 0 2 3 0 1 0 0 1 0 1 0 1 0 0 2 1 1 2 2 2 0
