"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "attentive" "awkward" "bad" "beautiful" "capable" "certain" "charming" "cold" "comfortable" "delighted" "delightful" "desirable" "determined" "difficult" "eager" "excellent" "extraordinary" "fair" "fine" "fortunate" "glad" "good" "grateful" "great" "handsome" "happy" "ignorant" "impatient" "important" "interesting" "kind" "little" "lively" "natural" "old" "open" "pleasant" "pleased" "pleasing" "poor" "pretty" "private" "proper" "proud" "reasonable" "respectable" "rich" "satisfied" "sensible" "serious" "short" "sincere" "strange" "strong" "surprised" "unhappy" "unlucky" "valuable" "violent" "young"
"glad" 2 8 7 4 1 4 3 2 1 4 0 3 8 2 6 3 4 2 4 4 3 2 4 3 5 3 2 0 14 1 15 5 7 1 3 2 1 5 17 1 3 5 2 5 5 4 6 4 2 3 3 1 1 1 2 4 4 3 0 2 3 6 2 4 2 2 18
"good" 12 25 22 8 9 18 12 6 6 10 9 8 24 10 8 9 7 14 5 7 7 8 12 10 12 12 12 14 0 10 59 16 39 11 5 7 10 10 65 10 16 10 3 10 20 15 19 8 6 11 11 9 11 7 17 22 11 28 7 4 8 13 11 8 7 8 49
"grateful" 2 1 4 0 1 0 0 0 2 1 1 1 4 1 0 2 0 1 0 1 1 2 2 2 1 2 3 1 10 0 6 0 5 0 2 0 1 1 8 0 2 2 2 0 2 1 2 0 1 2 1 1 0 0 3 1 0 4 0 0 3 3 1 1 2 2 5
"great" 10 19 23 8 10 16 11 7 8 10 8 8 21 12 6 9 8 11 6 6 8 9 16 8 12 15 9 15 59 6 0 15 34 9 6 10 7 11 59 11 10 8 7 12 16 15 17 9 7 13 11 4 10 8 13 21 11 23 5 8 9 15 6 5 5 7 48
"handsome" 2 5 9 1 3 6 1 3 3 2 3 3 6 8 1 2 3 4 2 1 2 1 1 4 2 10 4 5 16 0 15 0 10 1 1 2 4 2 15 4 4 4 1 6 10 7 4 4 1 3 7 0 3 3 7 5 1 4 1 3 1 3 0 1 1 1 14
"happy" 9 13 16 6 5 11 6 3 5 6 4 5 16 8 5 7 5 5 7 3 3 6 8 4 9 6 9 7 39 5 34 10 0 7 3 6 4 8 34 4 7 4 2 4 13 6 2 1 6 10 4 6 5 7 12 12 9 14 5 4 7 7 5 4 0 5 29
"ignorant" 4 3 0 1 1 2 1 1 0 1 1 1 1 0 0 0 2 1 2 2 2 0 3 2 0 1 1 1 11 0 9 1 7 0 0 2 1 2 9 2 1 1 1 0 1 1 5 0 3 2 1 4 3 2 2 4 2 2 3 1 1 2 1 0 1 2 10
"impatient" 1 3 2 0 0 2 0 1 0 2 1 1 2 1 1 2 1 0 1 1 0 1 1 3 1 3 2 3 5 2 6 1 3 0 0 0 3 2 5 0 1 2 1 0 0 2 2 0 1 1 1 1 0 1 0 3 0 3 0 1 0 1 0 1 1 3 6
"important" 0 3 2 0 1 1 2 0 0 2 0 1 3 3 1 0 0 0 0 0 1 2 3 2 0 1 3 2 7 0 10 2 6 2 0 0 0 0 5 1 2 0 1 1 3 1 3 0 0 3 2 0 2 1 3 1 2 3 2 0 0 2 1 0 1 0 5
"interesting" 0 2 4 1 0 2 2 3 1 0 1 3 2 2 1 3 1 0 1 1 1 3 1 2 2 2 1 1 10 1 7 4 4 1 3 0 0 3 9 1 3 1 2 1 3 2 4 0 0 0 5 0 2 1 4 5 2 3 0 0 0 2 2 2 1 0 7
"kind" 3 4 3 3 1 3 1 3 1 2 1 2 5 2 3 1 2 2 1 2 3 4 1 3 4 2 0 5 10 1 11 2 8 2 2 0 3 0 11 2 3 1 2 1 1 2 4 1 2 0 2 2 1 3 2 3 4 3 2 3 0 3 2 2 0 2 10
"little" 13 24 20 10 13 16 9 6 6 9 9 10 22 10 10 5 8 9 5 7 9 8 9 10 14 14 12 17 65 8 59 15 34 9 5 5 9 11 0 12 11 9 7 12 20 14 20 7 8 12 14 9 5 8 10 18 10 24 5 6 10 14 7 7 5 9 52
"lively" 2 1 5 2 3 4 2 1 2 1 3 2 2 1 0 0 3 2 2 1 3 2 2 1 0 5 2 1 10 0 11 4 4 2 0 1 1 2 12 0 1 2 1 4 4 2 3 3 3 2 5 1 2 3 2 3 1 0 0 1 1 0 2 0 1 3 8
"natural" 3 5 3 2 1 1 3 0 1 2 4 1 6 1 1 1 1 2 1 0 2 2 1 2 2 3 1 3 16 2 10 4 7 1 1 2 3 3 11 1 0 2 1 4 2 3 4 4 2 1 3 2 3 1 6 4 3 6 2 0 4 3 4 1 1 2 9
"old" 0 3 3 1 1 1 3 0 1 0 1 2 7 1 1 1 3 3 2 1 1 1 2 3 2 6 0 5 10 2 8 4 4 1 2 0 1 1 9 2 2 0 1 2 1 1 4 1 1 4 2 1 1 0 1 3 1 1 0 1 2 2 0 1 2 1 8
"open" 1 2 2 1 4 1 0 0 0 0 0 0 4 1 1 0 0 0 2 0 0 1 3 2 0 2 0 2 3 2 7 1 2 1 1 1 2 2 7 1 1 1 0 2 1 1 2 0 2 0 1 1 0 1 2 1 2 3 0 1 0 3 0 0 1 0 8
"pleasant" 1 6 6 1 2 0 2 1 3 2 3 2 7 1 3 3 1 4 0 0 1 0 5 1 0 6 2 5 10 0 12 6 4 0 0 1 1 1 12 4 4 2 2 0 5 3 6 4 1 1 2 0 1 3 1 1 1 2 0 0 4 4 2 2 0 1 8
"pleased" 2 7 10 3 3 4 6 2 1 3 2 5 8 6 3 3 1 1 2 2 2 5 5 6 2 4 5 5 20 2 16 10 13 1 0 3 3 1 20 4 2 1 1 5 0 5 5 3 1 5 6 4 5 2 6 8 3 8 2 0 4 5 1 2 3 1 13
"pleasing" 4 4 7 3 2 5 0 3 1 3 4 1 5 6 1 1 1 1 1 1 1 1 3 0 1 5 4 4 15 1 15 7 6 1 2 1 2 2 14 2 3 1 1 3 5 0 5 3 1 3 4 2 2 2 3 3 2 4 3 2 0 2 1 0 0 1 12
"poor" 4 6 3 4 1 3 2 2 2 4 1 5 6 1 2 2 1 1 1 2 4 1 5 3 3 5 1 6 19 2 17 4 2 5 2 3 4 4 20 3 4 4 2 6 5 5 0 4 0 0 4 2 1 3 3 6 3 4 3 1 3 4 3 0 5 2 14
"pretty" 2 2 6 2 2 1 2 0 0 2 4 1 4 2 1 1 1 4 1 0 0 0 3 0 2 5 2 4 8 0 9 4 1 0 0 0 0 1 7 3 4 1 0 4 3 3 4 0 1 1 4 0 1 2 3 3 1 2 0 0 3 0 0 1 2 2 8
"private" 2 2 5 2 1 1 0 1 2 1 1 1 3 1 2 1 1 1 1 0 0 0 1 0 2 2 0 2 6 1 7 1 6 3 1 0 0 2 8 3 2 1 2 1 1 1 0 1 0 3 2 1 1 2 3 4 2 1 0 0 2 3 0 0 0 0 5
"proper" 3 5 4 0 3 0 3 1 1 1 0 1 3 2 0 1 2 1 3 0 2 2 1 3 4 5 3 3 11 2 13 3 10 2 1 3 0 0 12 2 1 4 0 1 5 3 0 1 3 0 1 1 3 1 4 2 2 2 0 1 3 4 0 1 0 1 9
"proud" 2 4 6 1 2 5 3 3 3 2 4 4 3 4 2 1 2 3 0 1 1 1 1 2 1 5 3 3 11 1 11 7 4 1 1 2 5 2 14 5 3 2 1 2 6 4 4 4 2 1 0 3 2 3 3 3 3 3 1 1 0 2 1 0 3 2 8
"reasonable" 4 4 1 1 2 3 5 0 1 0 2 0 2 0 2 0 1 2 0 3 0 1 1 4 1 1 1 1 9 1 4 0 6 4 1 0 0 2 9 1 2 1 1 0 4 2 2 0 1 1 3 0 2 2 1 2 2 4 2 0 1 2 1 1 0 2 8
"respectable" 0 3 3 1 0 3 2 1 3 3 2 1 5 3 0 1 3 0 2 3 2 2 4 3 2 3 1 1 11 0 10 3 5 3 0 2 2 1 5 2 3 1 0 1 5 2 1 1 1 3 2 2 0 2 4 7 1 4 2 0 0 1 2 1 2 1 10
"rich" 2 1 2 1 2 2 0 2 3 0 1 2 5 4 1 1 2 1 2 1 1 1 1 2 0 1 1 1 7 0 8 3 7 2 1 1 1 3 8 3 1 0 1 3 2 2 3 2 2 1 3 2 2 0 0 4 1 1 2 1 0 1 1 2 1 1 9
"satisfied" 3 6 7 4 2 2 3 1 1 3 1 2 5 3 1 2 0 4 3 0 3 2 1 2 1 5 1 2 17 3 13 7 12 2 0 3 4 2 10 2 6 1 2 1 6 3 3 3 3 4 3 1 4 0 0 5 3 8 1 1 4 4 3 0 1 1 12
"sensible" 1 5 10 4 2 7 6 2 1 1 2 2 6 5 1 5 1 2 3 1 1 2 8 5 7 3 4 4 22 1 21 5 12 4 3 1 5 3 18 3 4 3 1 1 8 3 6 3 4 2 3 2 7 4 5 0 3 10 2 3 2 4 2 4 3 1 19
"serious" 2 6 4 2 3 3 4 0 1 1 1 2 5 3 2 0 1 1 2 0 2 2 2 2 2 2 1 4 11 0 11 1 9 2 0 2 2 4 10 1 3 1 2 1 3 2 3 1 2 2 3 2 1 1 3 3 0 5 2 0 0 3 3 2 0 0 10
"short" 2 11 12 4 5 7 4 3 1 4 3 2 11 3 6 3 1 6 2 2 1 4 4 4 7 3 3 3 28 4 23 4 14 2 3 3 3 3 24 0 6 1 3 2 8 4 4 2 1 2 3 4 4 1 8 10 5 0 2 2 2 7 3 2 3 3 16
"sincere" 4 2 1 0 1 1 1 1 1 1 0 0 3 2 1 0 0 1 2 0 1 2 2 2 1 0 0 0 7 0 5 1 5 3 0 2 0 2 5 0 2 0 0 0 2 3 3 0 0 0 1 2 2 2 1 2 2 2 0 1 1 0 1 1 1 1 6
"strange" 1 3 4 0 1 2 1 1 0 0 1 0 3 3 0 2 1 1 3 0 1 0 2 0 0 1 0 2 4 0 8 3 4 1 1 0 0 3 6 1 0 1 1 0 0 2 1 0 0 1 1 0 0 1 1 3 0 2 1 0 0 2 0 0 0 1 6
"strong" 4 3 5 1 2 0 3 0 1 2 0 2 4 0 1 4 0 3 1 1 1 0 4 1 3 2 1 3 8 3 9 1 7 1 0 0 0 0 10 1 4 2 0 4 4 0 3 3 2 3 0 1 0 0 4 2 0 2 1 0 0 3 2 0 0 3 7
"surprised" 1 5 9 1 3 4 1 2 2 2 0 4 5 3 4 4 2 4 2 2 1 2 3 2 3 2 1 6 13 3 15 3 7 2 1 2 2 3 14 0 3 2 3 4 5 2 4 0 3 4 2 2 1 1 4 4 3 7 0 2 3 0 2 1 0 1 9
"unhappy" 1 2 3 3 0 1 2 2 1 2 0 1 5 0 2 0 1 0 1 1 1 1 1 0 1 1 0 2 11 1 6 0 5 1 0 1 2 2 7 2 4 0 0 2 1 1 3 0 0 0 1 1 2 1 3 2 3 3 1 0 2 2 0 0 1 2 6
"unlucky" 2 4 1 0 1 1 2 0 0 0 0 3 3 2 1 1 1 4 1 0 1 2 1 0 4 0 2 4 8 1 5 1 4 0 1 0 2 2 7 0 1 1 0 2 2 0 0 1 0 1 0 1 1 2 0 4 2 2 1 0 0 1 0 0 1 0 8
"valuable" 1 2 2 2 1 1 1 0 0 2 0 3 4 0 0 0 0 0 0 1 2 1 3 1 0 2 1 2 7 2 5 1 0 1 1 1 1 0 5 1 1 2 1 0 3 0 5 2 0 0 3 0 2 1 1 3 0 3 1 0 0 0 1 1 0 0 4
"violent" 2 3 2 1 1 2 0 1 1 4 2 1 3 0 0 1 2 2 1 2 0 0 1 1 1 2 3 2 8 2 7 1 5 2 3 0 0 2 9 3 2 1 0 1 1 1 2 2 0 1 2 2 1 1 1 1 0 3 1 1 3 1 2 0 0 0 6
"young" 9 15 19 5 8 12 7 5 4 6 5 9 20 8 4 5 9 8 8 7 7 7 12 9 12 12 9 18 49 5 48 14 29 10 6 5 7 10 52 8 9 8 8 8 13 12 14 8 5 9 8 8 10 9 12 19 10 16 6 6 7 9 6 8 4 6 0
