"afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "bad" "beautiful" "bright" "certain" "cold" "curious" "difficult" "fair" "fine" "glad" "good" "great" "handsome" "happy" "hard" "kind" "little" "natural" "old" "open" "plain" "pleasant" "poor" "pretty" "proud" "quiet" "rich" "sensible" "short" "strange" "strong" "surprised" "weak" "well" "wonderful" "young"
"glad" 13 12 11 7 4 5 7 11 9 25 8 10 11 8 11 0 55 45 7 15 7 13 61 14 45 13 8 10 30 4 8 17 10 6 17 10 13 11 9 7 12 29
"good" 44 30 38 18 24 23 26 34 37 59 21 22 23 28 30 55 0 158 23 41 30 38 224 35 154 45 22 24 112 24 34 52 32 25 66 31 51 22 21 27 25 92
"great" 37 24 29 20 24 16 27 28 33 47 27 25 21 20 28 45 158 0 12 39 31 30 195 30 132 38 23 25 94 17 26 40 26 18 60 21 52 21 22 23 31 78
"handsome" 1 4 4 3 1 2 5 5 3 11 2 4 7 8 6 7 23 12 0 4 1 4 27 5 17 5 1 3 8 6 6 3 8 6 7 3 7 2 3 5 2 15
"happy" 10 7 6 3 5 2 5 10 9 14 5 7 3 6 7 15 41 39 4 0 5 11 49 11 34 7 3 4 32 8 11 10 8 5 13 5 9 6 6 10 8 18
"hard" 6 5 4 4 5 4 6 4 8 12 5 5 4 1 3 7 30 31 1 5 0 3 43 6 29 8 4 8 24 2 2 11 4 3 12 7 8 4 3 2 5 16
"kind" 10 4 8 5 6 3 7 3 10 12 8 2 3 4 5 13 38 30 4 11 3 0 39 7 31 5 4 6 23 2 4 13 4 7 13 5 9 4 4 6 3 13
"little" 46 30 44 23 28 25 35 44 45 72 32 30 29 25 38 61 224 195 27 49 43 39 0 40 184 57 30 32 128 28 39 62 39 24 81 36 63 26 30 31 31 108
"natural" 8 6 10 3 3 5 3 7 7 14 5 4 6 8 7 14 35 30 5 11 6 7 40 0 28 10 4 6 17 3 6 10 6 2 17 6 12 6 7 7 10 18
"old" 32 24 32 19 22 17 25 33 34 52 22 22 22 22 26 45 154 132 17 34 29 31 184 28 0 40 15 26 97 17 33 42 21 17 57 24 41 17 21 23 21 74
"open" 13 7 6 3 4 7 10 10 8 15 11 8 2 4 3 13 45 38 5 7 8 5 57 10 40 0 9 7 28 7 7 10 7 5 17 6 21 8 8 3 8 23
"plain" 1 4 4 2 5 2 3 4 7 10 3 3 3 6 2 8 22 23 1 3 4 4 30 4 15 9 0 4 15 2 4 10 5 4 11 0 5 3 2 3 3 14
"pleasant" 7 5 4 6 6 6 5 6 6 9 5 6 5 5 5 10 24 25 3 4 8 6 32 6 26 7 4 0 16 4 2 10 7 4 12 6 7 6 1 4 8 19
"poor" 28 12 22 16 18 16 18 24 22 32 16 10 15 13 16 30 112 94 8 32 24 23 128 17 97 28 15 16 0 14 25 33 14 12 32 18 26 12 16 16 16 50
"pretty" 1 3 5 1 2 2 2 8 5 7 2 4 4 2 4 4 24 17 6 8 2 2 28 3 17 7 2 4 14 0 2 4 5 2 12 2 4 2 0 6 1 15
"proud" 10 6 8 7 8 5 4 7 7 11 2 2 9 7 11 8 34 26 6 11 2 4 39 6 33 7 4 2 25 2 0 6 6 3 13 7 5 5 7 9 4 16
"quiet" 11 7 13 7 12 6 4 15 12 14 8 7 5 5 4 17 52 40 3 10 11 13 62 10 42 10 10 10 33 4 6 0 7 5 10 9 15 6 8 4 7 26
"rich" 6 6 6 2 4 2 0 7 10 11 3 4 3 6 10 10 32 26 8 8 4 4 39 6 21 7 5 7 14 5 6 7 0 1 11 6 6 3 4 5 8 16
"sensible" 5 3 3 4 1 3 1 2 2 7 3 2 4 5 2 6 25 18 6 5 3 7 24 2 17 5 4 4 12 2 3 5 1 0 10 4 6 3 4 6 3 9
"short" 11 9 12 10 8 10 10 11 12 28 6 11 11 11 8 17 66 60 7 13 12 13 81 17 57 17 11 12 32 12 13 10 11 10 0 8 25 12 7 13 13 36
"strange" 11 2 6 5 5 3 3 6 7 12 6 5 4 2 4 10 31 21 3 5 7 5 36 6 24 6 0 6 18 2 7 9 6 4 8 0 8 3 2 5 9 12
"strong" 10 4 12 7 3 4 10 11 10 16 13 4 3 6 2 13 51 52 7 9 8 9 63 12 41 21 5 7 26 4 5 15 6 6 25 8 0 7 13 8 11 25
"surprised" 5 4 7 1 3 4 2 6 2 9 4 3 1 4 2 11 22 21 2 6 4 4 26 6 17 8 3 6 12 2 5 6 3 3 12 3 7 0 2 4 3 12
"weak" 3 3 5 3 4 2 6 4 4 10 7 2 1 4 4 9 21 22 3 6 3 4 30 7 21 8 2 1 16 0 7 8 4 4 7 2 13 2 0 5 3 9
"well" 4 2 7 3 1 3 3 6 5 5 6 2 6 5 3 7 27 23 5 10 2 6 31 7 23 3 3 4 16 6 9 4 5 6 13 5 8 4 5 0 2 11
"wonderful" 9 7 6 3 2 3 3 9 9 11 6 5 4 2 4 12 25 31 2 8 5 3 31 10 21 8 3 8 16 1 4 7 8 3 13 9 11 3 3 2 0 16
"young" 14 15 21 13 9 6 9 24 16 32 17 24 15 14 15 29 92 78 15 18 16 13 108 18 74 23 14 19 50 15 16 26 16 9 36 12 25 12 9 11 16 0
