"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "bad" "beautiful" "busy" "calm" "capable" "certain" "charming" "cheerful" "cold" "comfortable" "delighted" "delightful" "determined" "disappointed" "eager" "excellent" "extraordinary" "fine" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "important" "interesting" "kind" "little" "lucky" "natural" "old" "open" "pleasant" "pleased" "pleasing" "poor" "pretty" "private" "proper" "quiet" "reasonable" "respectable" "rich" "satisfied" "selfish" "sensible" "serious" "short" "sincere" "smart" "strange" "strong" "surprised" "sweet" "uncomfortable" "unhappy" "violent" "warm" "young"
"calm" 3 1 0 3 2 2 1 1 0 1 0 0 4 0 2 3 3 1 1 3 1 0 1 2 2 1 2 5 0 5 1 5 0 2 1 8 0 2 1 3 1 0 1 4 1 1 0 2 4 0 1 4 0 0 1 5 2 1 0 6 2 1 1 3 1 0 5
"capable" 4 2 1 1 0 4 0 0 1 0 0 0 4 0 1 4 4 3 1 1 1 1 0 1 2 3 4 15 3 9 2 6 3 0 1 10 1 6 7 6 1 1 2 1 1 1 2 3 2 4 1 1 2 2 2 3 2 0 1 4 2 1 0 4 2 1 8
"certain" 7 5 4 4 3 4 3 3 5 2 4 4 0 2 2 1 3 1 3 3 2 3 1 3 3 1 10 15 2 15 0 11 3 5 3 19 3 6 4 12 4 4 2 10 5 0 4 3 1 4 3 3 2 1 3 10 2 1 4 4 8 3 4 3 2 3 15
"charming" 0 3 5 0 1 3 2 0 2 1 0 0 2 0 1 1 1 4 4 1 2 2 2 0 3 1 7 9 0 7 1 6 1 0 2 7 3 3 5 3 3 6 1 4 3 0 0 2 0 0 1 1 0 2 0 4 0 2 0 2 0 3 1 0 2 1 6
"cheerful" 1 0 1 1 0 1 0 0 0 2 2 1 2 1 0 3 3 0 0 1 0 1 0 1 2 0 1 9 1 8 2 6 2 2 2 9 1 0 5 2 0 1 2 4 1 1 2 3 1 1 0 6 2 1 5 3 2 1 1 2 1 0 1 1 3 2 6
"cold" 4 2 4 0 2 4 2 1 1 1 3 4 1 1 3 0 2 2 2 1 1 5 1 2 5 2 1 13 2 11 7 5 2 3 2 9 0 4 6 4 2 3 1 2 3 1 0 2 2 2 2 4 2 2 3 3 1 1 1 5 0 0 1 2 4 2 10
"comfortable" 1 5 1 0 2 5 0 0 0 2 3 4 3 1 3 2 0 4 3 1 1 3 1 0 4 0 6 13 6 14 5 9 4 0 4 17 1 4 6 4 2 3 2 5 0 0 5 2 2 4 3 3 2 1 3 5 4 0 4 3 2 1 1 5 0 2 13
"delighted" 1 3 5 1 2 2 0 0 1 1 1 3 1 4 0 2 4 0 2 1 1 2 0 0 3 2 8 11 1 8 2 6 1 0 0 8 2 2 4 2 1 5 1 1 2 0 1 0 0 3 1 0 0 3 2 4 0 1 2 4 3 0 1 1 1 0 8
"delightful" 1 1 4 1 1 4 2 2 3 0 1 1 3 4 0 2 3 2 0 1 2 2 3 1 2 1 6 10 0 11 4 8 1 3 2 8 2 4 3 5 3 3 3 3 4 0 1 0 2 1 0 2 1 1 0 3 2 0 0 0 1 4 0 1 2 1 8
"determined" 1 2 1 2 2 3 0 2 0 2 3 1 3 1 1 1 1 1 1 0 3 3 0 1 2 1 3 9 3 9 1 11 1 1 2 7 1 1 3 6 3 1 0 2 2 1 1 0 1 0 1 2 2 2 1 5 2 0 3 5 1 1 3 2 1 1 5
"disappointed" 0 2 2 0 2 1 1 1 0 2 1 1 2 2 0 1 1 1 2 3 0 3 2 0 2 2 3 6 1 8 1 5 0 1 1 6 0 2 3 2 2 2 2 2 2 2 1 1 0 1 0 1 1 2 3 4 0 1 1 2 2 2 0 0 1 1 6
"eager" 4 4 3 0 2 1 2 1 0 2 0 1 3 2 1 5 3 2 2 3 3 0 3 1 5 0 5 13 2 13 2 11 2 1 0 16 0 2 3 6 2 4 1 5 2 2 3 1 1 1 1 5 5 1 3 4 0 0 2 5 2 1 0 2 2 1 8
"excellent" 2 0 1 1 0 3 3 1 0 0 1 0 1 2 0 1 1 0 3 0 2 3 0 1 2 0 4 7 0 9 2 3 2 4 1 9 0 2 4 0 2 5 2 1 2 1 3 0 1 2 2 2 1 1 1 2 1 0 0 3 1 1 1 1 2 1 5
"extraordinary" 4 2 1 1 0 2 1 4 1 0 2 1 3 0 1 2 0 0 1 1 0 1 1 0 0 0 1 8 0 5 1 6 0 2 1 6 0 3 3 2 1 0 0 2 2 0 2 0 2 0 2 2 0 1 0 3 2 0 1 2 0 1 1 1 2 0 3
"fine" 1 3 3 1 3 4 2 0 6 4 2 2 3 3 2 5 4 3 2 2 2 5 2 0 0 3 7 13 2 14 6 8 3 3 1 11 3 4 5 7 3 4 3 6 2 2 1 3 1 2 6 4 1 1 4 7 1 2 1 2 2 3 0 2 3 4 10
"gentle" 1 1 2 0 1 0 2 0 3 0 1 3 1 1 0 2 0 2 1 1 2 0 0 0 3 0 1 7 0 4 0 4 0 0 0 4 0 3 4 2 0 0 0 3 1 0 0 2 0 1 0 1 1 2 1 4 0 2 1 2 1 2 0 1 1 0 4
"glad" 3 7 8 5 3 7 2 4 3 3 2 4 10 7 1 1 6 8 6 3 3 5 4 1 7 1 0 28 3 25 5 19 5 5 3 24 5 4 11 5 4 12 4 10 7 1 4 1 0 4 4 2 2 1 5 13 0 2 4 6 4 6 3 2 2 1 17
"good" 16 11 16 8 7 17 5 8 8 6 5 15 15 9 9 13 13 11 10 9 6 13 7 8 13 7 28 0 8 58 14 44 9 11 10 56 9 19 26 20 6 15 5 21 13 6 13 9 5 10 9 12 7 9 16 25 4 7 9 18 7 6 6 10 8 6 41
"grateful" 1 1 0 2 1 3 0 0 1 1 0 3 2 0 1 2 6 1 0 3 1 2 0 0 2 0 3 8 0 7 0 7 2 0 2 6 2 3 4 3 1 2 0 3 0 0 5 0 1 1 0 0 0 0 1 3 3 0 3 3 0 1 1 4 0 4 5
"great" 9 14 15 11 8 17 6 8 6 4 5 9 15 7 8 11 14 8 11 9 8 13 9 5 14 4 25 58 7 0 14 41 9 7 7 57 8 18 23 17 9 14 7 17 10 8 15 6 5 8 9 12 10 9 13 23 6 8 12 15 8 6 6 9 7 8 34
"handsome" 3 4 4 0 2 4 1 1 2 2 1 2 0 1 2 7 5 2 4 1 1 2 2 1 6 0 5 14 0 14 0 9 1 4 1 12 3 3 8 3 2 3 3 3 6 2 0 2 0 2 5 4 2 2 0 3 1 2 1 3 1 2 1 2 2 2 11
"happy" 10 9 9 8 6 10 4 5 7 6 5 6 11 6 6 5 9 6 8 11 5 11 3 6 8 4 19 44 7 41 9 0 3 4 8 38 4 13 15 19 5 11 2 12 7 4 9 3 5 2 5 14 9 6 10 17 7 6 8 10 5 6 6 9 3 5 25
"important" 0 1 2 3 0 3 1 0 0 1 0 3 3 1 2 2 4 1 1 1 0 2 2 0 3 0 5 9 2 9 1 3 0 2 1 8 1 2 5 1 0 2 1 2 1 1 1 0 0 3 1 1 2 1 3 4 1 0 0 3 1 0 1 2 1 0 6
"interesting" 2 1 1 3 1 1 1 1 2 1 2 0 5 0 2 3 0 0 3 1 1 1 4 2 3 0 5 11 0 7 4 4 2 0 1 10 1 2 5 3 1 2 2 3 3 2 2 1 1 2 3 5 1 2 3 4 2 1 1 2 0 0 2 1 2 2 8
"kind" 2 2 2 0 0 5 1 1 1 1 1 1 3 2 2 2 4 0 2 2 1 0 1 1 1 0 3 10 2 7 1 8 1 1 0 11 2 4 2 3 2 4 2 3 1 1 2 1 1 1 2 3 0 0 4 4 1 0 1 2 3 2 1 2 2 3 5
"little" 10 14 10 12 8 14 7 7 6 5 8 10 19 7 9 9 17 8 8 7 6 16 9 6 11 4 24 56 6 57 12 38 8 10 11 0 5 22 25 16 9 16 5 21 9 6 14 10 7 9 6 10 10 6 11 28 5 4 9 15 8 5 6 11 7 7 39
"lucky" 0 1 4 1 1 6 0 0 2 1 0 1 3 3 1 0 1 2 2 1 0 0 0 0 3 0 5 9 2 8 3 4 1 1 2 5 0 2 3 2 1 3 1 1 3 0 2 2 0 0 2 0 0 0 1 3 1 1 0 3 0 1 2 2 1 3 2
"natural" 5 5 4 5 2 6 4 2 2 0 2 6 6 3 0 4 4 2 4 1 2 2 2 3 4 3 4 19 3 18 3 13 2 2 4 22 2 0 8 6 2 7 3 7 3 5 5 3 2 3 3 2 3 3 5 8 3 2 2 8 3 3 1 5 3 4 17
"old" 2 5 5 3 1 7 4 3 3 4 1 7 4 5 5 6 6 4 3 3 3 3 4 3 5 4 11 26 4 23 8 15 5 5 2 25 3 8 0 4 3 6 1 7 6 2 3 3 1 6 5 4 5 4 3 10 0 5 6 5 2 3 2 1 2 2 15
"open" 6 3 1 2 3 4 3 2 4 4 3 6 12 3 2 4 4 2 5 6 2 6 0 2 7 2 5 20 3 17 3 19 1 3 3 16 2 6 4 0 4 2 1 8 2 3 3 4 2 2 5 8 4 1 1 6 2 1 4 3 3 3 3 1 4 4 11
"pleasant" 1 0 3 1 1 3 1 1 1 3 1 1 4 3 0 2 2 1 3 3 2 2 2 1 3 0 4 6 1 9 2 5 0 1 2 9 1 2 3 4 0 3 1 5 1 0 0 0 0 2 2 1 0 1 0 3 0 0 2 1 1 1 1 1 2 1 5
"pleased" 2 3 8 3 0 6 2 1 1 2 0 1 4 6 1 3 3 5 3 1 2 4 5 0 4 0 12 15 2 14 3 11 2 2 4 16 3 7 6 2 3 0 3 4 4 0 3 2 0 4 2 2 0 0 4 11 2 0 2 5 2 3 3 4 0 3 12
"pleasing" 2 1 4 0 0 0 0 0 0 0 1 2 2 1 2 1 2 1 3 0 2 1 2 0 3 0 4 5 0 7 3 2 1 2 2 5 1 3 1 1 1 3 0 3 2 2 0 1 1 1 1 3 0 0 3 1 2 0 1 1 3 2 0 1 3 2 5
"poor" 7 5 2 5 2 2 2 5 2 4 4 1 10 4 4 2 5 1 3 2 2 5 1 2 6 3 10 21 3 17 3 12 2 3 3 21 1 7 7 8 5 4 3 0 4 2 4 5 0 2 5 8 1 1 2 10 0 2 6 4 4 5 2 5 3 1 17
"pretty" 2 3 6 2 2 5 0 2 3 0 1 1 5 3 1 3 0 2 4 2 2 2 2 2 2 1 7 13 0 10 6 7 1 3 1 9 3 3 6 2 1 4 2 4 0 1 1 0 0 0 3 3 1 3 1 4 1 3 1 3 1 5 4 3 2 0 11
"private" 2 0 2 3 2 1 1 0 0 0 1 1 0 0 1 1 0 0 0 1 2 2 1 0 2 0 1 6 0 8 2 4 1 2 1 6 0 5 2 3 0 0 2 2 1 0 2 2 1 1 1 3 3 1 1 3 0 2 0 2 2 1 0 0 2 2 7
"proper" 4 1 0 2 1 2 1 2 2 0 0 2 4 0 2 0 5 1 1 1 1 3 3 2 1 0 4 13 5 15 0 9 1 2 2 14 2 5 3 3 0 3 0 4 1 2 0 1 1 2 1 1 2 1 1 6 5 1 4 1 1 2 1 3 1 2 6
"quiet" 3 2 2 2 1 1 2 0 2 1 2 3 3 2 3 2 2 0 0 0 1 1 0 0 3 2 1 9 0 6 2 3 0 1 1 10 2 3 3 4 0 2 1 5 0 2 1 0 1 0 1 3 0 0 2 6 1 1 0 1 1 2 1 1 3 3 7
"reasonable" 2 0 0 0 1 4 0 1 0 0 4 2 1 0 1 2 2 0 2 1 0 1 1 2 1 0 0 5 1 5 0 5 0 1 1 7 0 2 1 2 0 0 1 0 0 1 1 1 0 0 0 3 1 0 2 3 2 0 0 3 1 0 0 2 1 1 5
"respectable" 0 1 4 0 1 1 1 0 2 1 0 4 4 0 1 2 4 3 1 0 1 1 2 0 2 1 4 10 1 8 2 2 3 2 1 9 0 3 6 2 2 4 1 2 0 1 2 0 0 0 2 0 2 3 4 6 0 0 3 3 4 1 2 2 1 0 6
"rich" 2 2 1 0 0 4 1 1 1 2 1 1 3 1 0 2 3 1 0 1 0 1 2 2 6 0 4 9 0 9 5 5 1 3 2 6 2 3 5 5 2 2 1 5 3 1 1 1 0 2 0 5 1 0 1 2 1 2 3 4 1 0 2 2 2 1 6
"satisfied" 3 1 2 3 1 4 1 1 1 2 4 1 3 1 6 4 3 0 2 2 1 5 2 2 4 1 2 12 0 12 4 14 1 5 3 10 0 2 4 8 1 2 3 8 3 3 1 3 3 0 5 0 4 1 4 3 3 1 4 4 3 2 1 4 4 1 8
"selfish" 1 1 0 2 3 1 1 0 0 1 0 2 2 0 2 2 2 0 1 2 1 5 1 0 1 1 2 7 0 10 2 9 2 1 0 10 0 3 5 4 0 0 0 1 1 3 2 0 1 2 1 4 0 0 2 5 0 0 1 2 1 0 1 0 1 1 5
"sensible" 1 4 4 0 2 2 0 1 2 0 0 2 1 2 1 2 1 3 1 2 2 1 1 1 1 2 1 9 0 9 2 6 1 2 0 6 0 3 4 1 1 0 0 1 3 1 1 0 0 3 0 1 0 0 2 2 0 2 3 3 2 1 1 1 1 0 5
"serious" 3 2 5 1 0 4 0 0 1 2 1 2 3 0 5 3 3 2 0 1 3 3 1 0 4 1 5 16 1 13 0 10 3 3 4 11 1 5 3 1 0 4 3 2 1 1 1 2 2 4 1 4 2 2 0 5 1 1 3 4 4 0 3 4 3 1 9
"short" 4 4 7 10 5 3 4 2 4 2 5 3 10 4 3 3 5 4 3 5 4 4 2 3 7 4 13 25 3 23 3 17 4 4 4 28 3 8 10 6 3 11 1 10 4 3 6 6 3 6 2 3 5 2 5 0 1 1 3 7 5 3 4 5 2 4 20
"sincere" 2 1 0 1 0 3 0 1 1 0 2 2 2 0 2 1 4 0 2 2 0 0 1 2 1 0 0 4 3 6 1 7 1 2 1 5 1 3 0 2 0 2 2 0 1 0 5 1 2 0 1 3 0 0 1 1 0 0 1 3 0 1 2 4 1 2 4
"smart" 0 1 4 0 0 2 2 0 3 1 1 0 1 2 1 1 0 1 0 0 1 0 0 0 2 2 2 7 0 8 2 6 0 1 0 4 1 2 5 1 0 0 0 2 3 2 1 1 0 0 2 1 0 2 1 1 0 0 2 1 1 1 0 1 1 0 7
"strange" 4 3 3 1 1 2 0 2 2 1 0 1 4 0 1 1 4 2 0 3 1 2 0 1 1 1 4 9 3 12 1 8 0 1 1 9 0 2 6 4 2 2 1 6 1 0 4 0 0 3 3 4 1 3 3 3 1 2 0 2 4 1 2 3 2 0 5
"strong" 5 0 5 4 3 7 2 0 1 0 6 4 4 2 2 5 3 4 0 5 2 5 3 2 2 2 6 18 3 15 3 10 3 2 2 15 3 8 5 3 1 5 1 4 3 2 1 1 3 3 4 4 2 3 4 7 3 1 2 0 4 0 4 5 1 0 13
"surprised" 2 5 4 1 2 2 4 0 2 1 2 2 8 0 1 0 2 3 1 1 2 2 1 0 2 1 4 7 0 8 1 5 1 0 3 8 0 3 2 3 1 2 3 4 1 2 1 1 1 4 1 3 1 2 4 5 0 1 4 4 0 1 1 1 3 0 8
"sweet" 2 3 4 1 0 1 2 1 4 0 1 1 3 3 0 0 1 0 4 1 2 1 1 1 3 2 6 6 1 6 2 6 0 0 2 5 1 3 3 3 1 3 2 5 5 1 2 2 0 1 0 2 0 1 0 3 1 1 1 0 1 0 0 1 1 0 5
"uncomfortable" 0 1 3 2 1 3 0 0 0 1 1 0 4 1 1 1 1 1 0 3 0 0 1 1 0 0 3 6 1 6 1 6 1 2 1 6 2 1 2 3 1 3 0 2 4 0 1 1 0 2 2 1 1 1 3 4 2 0 2 4 1 0 0 1 1 1 4
"unhappy" 3 2 2 3 1 4 0 1 0 0 3 4 3 0 1 2 5 1 1 2 0 2 1 1 2 1 2 10 4 9 2 9 2 1 2 11 2 5 1 1 1 4 1 5 3 0 3 1 2 2 2 4 0 1 4 5 4 1 3 5 1 1 1 0 0 2 8
"violent" 2 2 2 0 0 5 2 1 1 0 1 2 2 2 3 4 0 1 2 1 1 2 2 2 3 1 2 8 0 7 2 3 1 2 2 7 1 3 2 4 2 0 3 3 2 2 1 3 1 1 2 4 1 1 3 2 1 1 2 1 3 1 1 0 0 2 8
"warm" 1 1 0 1 3 2 0 0 2 2 0 1 3 1 2 2 2 0 1 1 1 1 1 0 4 0 1 6 4 8 2 5 0 2 3 7 3 4 2 4 1 3 2 1 0 2 2 3 1 0 1 1 1 0 1 4 2 0 0 0 0 0 1 2 2 0 7
"young" 8 9 9 5 6 11 5 3 8 6 5 8 15 6 6 10 13 8 8 5 6 8 5 3 10 4 17 41 5 34 11 25 6 8 5 39 2 17 15 11 5 12 5 17 11 7 6 7 5 6 6 8 5 5 9 20 4 7 5 13 8 5 4 8 8 7 0
