"afraid" "alone" "anxious" "bad" "beautiful" "bright" "certain" "cheerful" "clever" "cold" "fine" "gentle" "glad" "good" "great" "happy" "hard" "kind" "little" "lonely" "loud" "old" "open" "pleasant" "poor" "quiet" "sad" "short" "strange" "strong" "sweet" "violent" "warm" "weak" "worthy" "young"
"gentle" 3 3 4 4 6 1 3 2 1 8 1 0 4 23 18 10 8 8 21 3 1 22 2 6 14 5 4 6 5 6 9 3 7 5 3 23
"glad" 5 2 8 4 2 1 3 3 1 8 3 4 0 18 17 6 2 3 17 3 2 19 9 4 8 5 2 11 7 6 1 2 2 2 2 19
"good" 17 17 19 21 15 12 17 9 8 28 9 23 18 0 78 26 19 13 78 5 12 90 21 11 50 22 9 32 19 28 16 18 9 12 13 85
"great" 17 15 15 19 15 10 17 10 6 33 10 18 17 78 0 23 17 9 73 9 11 83 25 11 47 21 7 37 13 28 14 16 11 12 14 81
"happy" 3 3 6 10 9 2 5 7 2 9 5 10 6 26 23 0 7 8 25 3 2 25 4 4 15 9 3 11 3 12 7 2 6 6 3 24
"hard" 2 2 1 3 5 2 5 2 0 8 1 8 2 19 17 7 0 3 14 3 1 19 2 2 11 3 3 5 4 2 4 5 3 3 2 12
"kind" 2 1 5 3 6 2 3 1 1 5 0 8 3 13 9 8 3 0 9 1 1 13 0 1 7 6 3 4 3 4 5 2 4 3 2 12
"little" 20 14 16 17 14 13 21 12 9 27 9 21 17 78 73 25 14 9 0 7 14 87 29 13 45 22 7 41 17 26 15 13 8 11 11 82
"lonely" 2 2 4 1 1 0 2 0 0 7 2 3 3 5 9 3 3 1 7 0 2 9 4 1 5 2 1 7 2 3 1 3 2 1 2 10
"loud" 3 3 1 2 0 3 3 0 2 10 1 1 2 12 11 2 1 1 14 2 0 15 6 0 7 3 1 9 4 5 1 6 2 2 0 11
"old" 20 18 20 20 19 15 17 9 10 34 11 22 19 90 83 25 19 13 87 9 15 0 26 10 52 24 11 43 24 33 18 19 13 10 16 97
"open" 5 4 7 6 3 5 5 5 2 10 5 2 9 21 25 4 2 0 29 4 6 26 0 3 9 3 0 16 7 9 1 3 2 4 1 26
"pleasant" 1 1 2 1 4 1 2 2 1 1 1 6 4 11 11 4 2 1 13 1 0 10 3 0 4 4 2 6 0 4 2 1 3 1 2 11
"poor" 13 8 8 13 8 5 12 3 8 18 6 14 8 50 47 15 11 7 45 5 7 52 9 4 0 10 4 16 8 18 11 11 6 3 8 51
"quiet" 3 6 7 6 4 4 8 1 2 8 2 5 5 22 21 9 3 6 22 2 3 24 3 4 10 0 4 9 6 10 3 3 5 4 6 21
"sad" 0 2 3 2 2 2 1 1 0 4 0 4 2 9 7 3 3 3 7 1 1 11 0 2 4 4 0 6 3 4 2 2 1 1 3 10
"short" 12 11 9 9 6 4 8 7 6 13 7 6 11 32 37 11 5 4 41 7 9 43 16 6 16 9 6 0 11 13 4 11 5 4 7 43
"strange" 4 5 4 9 1 3 4 1 0 8 3 5 7 19 13 3 4 3 17 2 4 24 7 0 8 6 3 11 0 5 4 3 1 1 1 20
"strong" 8 5 6 8 8 5 10 4 3 12 2 6 6 28 28 12 2 4 26 3 5 33 9 4 18 10 4 13 5 0 5 7 4 3 4 28
"sweet" 3 3 3 6 3 1 4 2 2 7 4 9 1 16 14 7 4 5 15 1 1 18 1 2 11 3 2 4 4 5 0 3 4 2 2 14
"violent" 6 5 1 3 2 3 4 1 2 6 1 3 2 18 16 2 5 2 13 3 6 19 3 1 11 3 2 11 3 7 3 0 1 4 4 15
"warm" 1 1 4 2 4 0 2 1 1 6 2 7 2 9 11 6 3 4 8 2 2 13 2 3 6 5 1 5 1 4 4 1 0 3 2 12
"weak" 3 4 1 2 3 2 0 1 1 5 0 5 2 12 12 6 3 3 11 1 2 10 4 1 3 4 1 4 1 3 2 4 3 0 1 7
"worthy" 3 3 2 1 2 3 2 2 1 5 2 3 2 13 14 3 2 2 11 2 0 16 1 2 8 6 3 7 1 4 2 4 2 1 0 11
"young" 20 18 20 18 18 11 17 7 10 26 10 23 19 85 81 24 12 12 82 10 11 97 26 11 51 21 10 43 20 28 14 15 12 7 11 0
