"afraid" "agreeable" "alone" "anxious" "ashamed" "bad" "capable" "certain" "cheerful" "cold" "comfortable" "dangerous" "delighted" "desirable" "determined" "eager" "excellent" "extraordinary" "fair" "fine" "gentle" "glad" "good" "great" "handsome" "happy" "interesting" "kind" "little" "natural" "nice" "old" "open" "pleasant" "pleased" "poor" "pretty" "proper" "quiet" "rich" "satisfied" "sensible" "serious" "short" "strong" "surprised" "sweet" "useful" "warm" "young"
"pretty" 0 3 0 3 0 4 1 1 0 2 1 2 2 0 2 0 3 1 3 3 2 3 11 7 2 4 2 1 11 2 3 3 1 1 2 2 0 1 1 1 2 5 2 5 2 1 0 0 2 8
"proper" 2 7 0 2 0 6 1 4 2 4 2 1 3 4 3 2 2 1 3 3 1 7 11 12 1 8 2 3 11 2 1 5 7 4 1 6 1 0 1 3 5 3 2 6 5 1 0 3 3 7
"quiet" 1 2 0 1 2 3 2 1 0 0 1 1 0 0 2 0 4 0 2 1 0 4 8 6 0 4 1 0 9 3 1 2 1 1 1 3 1 1 0 0 2 2 4 2 1 1 1 0 1 6
"rich" 1 3 0 2 0 0 1 3 1 1 0 1 1 3 1 0 2 2 1 2 1 1 8 6 2 3 0 0 5 4 2 3 4 1 0 1 1 3 0 0 3 3 0 4 6 1 1 0 2 4
"satisfied" 3 7 0 2 2 3 0 5 2 1 1 2 3 1 3 3 1 0 5 2 0 5 11 12 3 9 0 2 10 5 2 6 4 2 1 4 2 5 2 3 0 6 3 7 2 0 2 0 1 9
"sensible" 2 8 0 4 2 4 2 3 1 4 0 2 2 3 3 1 4 2 3 4 1 3 18 15 6 8 5 1 17 5 2 7 6 1 4 9 5 3 2 3 6 0 5 8 7 2 1 1 5 10
"serious" 2 4 1 2 2 5 4 3 1 2 2 3 1 0 4 2 5 0 1 0 1 7 14 10 1 6 1 1 12 4 1 4 4 3 2 6 2 2 4 0 3 5 0 6 4 0 1 1 3 8
"short" 5 16 2 10 3 10 3 4 3 6 4 3 6 4 7 5 5 4 6 8 4 7 32 22 5 17 3 4 32 5 4 12 9 4 9 7 5 6 2 4 7 8 6 0 9 3 3 5 5 18
"strong" 1 8 3 4 1 3 3 3 2 5 1 1 3 5 4 0 7 5 2 6 3 4 20 19 4 11 3 2 19 5 2 9 4 3 3 6 2 5 1 6 2 7 4 9 0 2 2 3 7 9
"surprised" 3 4 0 1 0 2 0 1 0 0 1 0 0 3 0 1 3 3 0 1 0 1 5 4 1 5 0 2 5 1 1 3 4 3 0 2 1 1 1 1 0 2 0 3 2 0 1 1 2 2
"sweet" 2 1 2 3 2 1 0 0 2 0 1 2 0 1 0 3 1 2 0 2 1 2 6 4 1 3 1 0 6 2 1 2 2 1 0 1 0 0 1 1 2 1 1 3 2 1 0 0 0 4
"useful" 1 4 0 1 0 1 2 0 2 1 0 0 3 2 0 1 1 1 0 3 1 1 7 4 1 4 1 0 7 1 0 2 1 1 1 3 0 3 0 0 0 1 1 5 3 1 0 0 3 4
"warm" 0 7 1 2 0 2 2 4 4 2 0 2 1 2 2 0 5 3 1 2 3 2 12 9 2 6 3 2 13 3 2 4 3 2 1 6 2 3 1 2 1 5 3 5 7 2 0 3 0 8
"young" 4 14 2 7 4 13 4 6 5 6 4 5 4 2 4 5 9 3 8 14 2 13 35 24 9 16 5 7 37 10 7 14 8 6 10 15 8 7 6 4 9 10 8 18 9 2 4 4 8 0
