"afraid" "alone" "angry" "anxious" "bad" "beautiful" "bright" "busy" "certain" "cold" "cruel" "curious" "dangerous" "difficult" "fair" "fine" "gentle" "good" "great" "handsome" "happy" "hard" "honest" "innocent" "little" "loud" "natural" "old" "open" "plain" "pleasant" "poor" "pretty" "quiet" "remarkable" "rough" "short" "strange" "strong" "sweet" "terrible" "useful" "weak" "wonderful" "young"
"fine" 2 0 2 1 2 0 2 1 3 2 4 0 1 1 2 0 1 14 8 1 3 1 1 1 13 2 4 8 5 2 1 1 4 3 1 3 4 1 5 0 0 2 1 2 3
"gentle" 0 4 1 1 3 3 4 0 1 3 1 1 1 1 1 1 0 8 6 0 2 4 1 1 8 0 1 6 1 1 1 6 2 1 3 0 1 1 3 4 1 2 1 0 3
"good" 10 12 9 10 19 8 17 6 16 17 9 8 9 7 14 14 8 0 51 8 13 15 8 12 70 6 14 52 21 11 7 31 12 14 13 11 23 10 32 8 10 9 10 3 31
"great" 8 10 7 8 12 10 12 5 15 17 14 9 9 6 5 8 6 51 0 7 9 11 7 8 60 9 13 46 19 4 3 26 10 18 10 9 20 8 32 7 8 7 8 6 30
"handsome" 0 1 0 1 1 1 1 0 1 3 2 1 0 0 0 1 0 8 7 0 0 1 0 2 10 1 1 8 1 0 0 7 3 1 6 1 0 0 5 0 1 2 0 0 4
"happy" 1 2 1 2 0 4 5 2 2 2 2 0 4 3 2 3 2 13 9 0 0 2 0 2 17 0 3 9 2 4 1 8 4 6 3 2 2 5 7 1 0 3 1 3 7
"hard" 3 4 5 2 4 4 7 2 1 5 3 1 1 3 2 1 4 15 11 1 2 0 3 2 20 3 3 15 7 1 2 11 2 5 6 0 8 4 7 4 5 1 2 1 10
"honest" 2 1 1 1 3 0 1 1 1 4 1 0 1 0 0 1 1 8 7 0 0 3 0 0 9 1 3 7 3 0 0 4 0 3 0 1 5 1 3 1 2 0 0 1 6
"innocent" 4 3 1 2 6 2 2 2 4 3 2 3 1 2 2 1 1 12 8 2 2 2 0 0 14 1 3 10 5 3 1 8 3 2 1 2 3 4 10 3 3 0 3 3 5
"little" 13 11 9 9 19 11 17 8 16 19 10 10 10 11 9 13 8 70 60 10 17 20 9 14 0 9 15 58 25 9 8 35 12 19 15 10 26 13 34 10 10 9 9 8 38
"loud" 1 1 1 1 1 1 1 1 2 1 3 2 1 1 0 2 0 6 9 1 0 3 1 1 9 0 0 8 5 2 0 2 1 5 2 1 1 2 4 2 3 0 0 0 6
"natural" 1 1 3 4 3 2 3 2 6 4 0 2 2 2 4 4 1 14 13 1 3 3 3 3 15 0 0 14 4 3 2 5 1 1 2 3 4 2 7 1 2 2 1 2 9
"old" 7 10 8 10 15 7 11 5 17 13 6 7 8 5 9 8 6 52 46 8 9 15 7 10 58 8 14 0 24 7 8 27 8 15 9 7 17 9 30 10 9 8 7 7 30
"open" 8 3 3 3 5 4 1 2 7 6 2 3 3 4 4 5 1 21 19 1 2 7 3 5 25 5 4 24 0 2 4 11 0 4 3 2 10 2 14 2 5 3 5 5 10
"plain" 1 3 1 1 2 1 4 1 4 0 0 2 1 1 5 2 1 11 4 0 4 1 0 3 9 2 3 7 2 0 1 3 2 2 0 1 3 5 2 0 2 0 3 1 5
"pleasant" 1 2 1 4 2 2 2 1 4 3 0 3 0 1 2 1 1 7 3 0 1 2 0 1 8 0 2 8 4 1 0 4 3 3 1 0 3 1 3 2 0 1 0 3 4
"poor" 5 9 3 4 10 10 10 1 7 10 4 4 2 4 2 1 6 31 26 7 8 11 4 8 35 2 5 27 11 3 4 0 8 8 6 3 6 7 19 9 2 5 5 4 17
"pretty" 2 4 0 4 3 2 5 1 3 5 4 2 0 2 2 4 2 12 10 3 4 2 0 3 12 1 1 8 0 2 3 8 0 3 3 1 5 2 6 2 2 2 1 2 9
"quiet" 2 2 2 1 2 3 6 1 6 6 4 2 4 2 1 3 1 14 18 1 6 5 3 2 19 5 1 15 4 2 3 8 3 0 3 3 5 7 9 5 2 4 0 3 9
"remarkable" 0 3 2 2 2 2 5 1 2 3 2 1 2 4 1 1 3 13 10 6 3 6 0 1 15 2 2 9 3 0 1 6 3 3 0 1 3 1 8 1 2 3 0 1 8
"rough" 0 0 0 1 3 0 2 1 3 3 2 2 1 0 2 3 0 11 9 1 2 0 1 2 10 1 3 7 2 1 0 3 1 3 1 0 3 4 4 0 4 1 0 1 3
"short" 6 4 2 4 7 2 5 2 9 9 2 1 2 5 4 4 1 23 20 0 2 8 5 3 26 1 4 17 10 3 3 6 5 5 3 3 0 2 11 3 3 1 4 2 11
"strange" 1 1 1 3 2 3 5 2 3 4 2 4 1 4 5 1 1 10 8 0 5 4 1 4 13 2 2 9 2 5 1 7 2 7 1 4 2 0 5 1 2 1 2 2 7
"strong" 7 3 3 7 8 7 8 5 5 8 3 6 4 5 3 5 3 32 32 5 7 7 3 10 34 4 7 30 14 2 3 19 6 9 8 4 11 5 0 5 5 5 5 5 18
"sweet" 2 2 0 1 3 4 2 0 2 3 0 1 1 0 1 0 4 8 7 0 1 4 1 3 10 2 1 10 2 0 2 9 2 5 1 0 3 1 5 0 1 2 2 1 6
"terrible" 1 1 2 0 4 0 0 2 1 4 2 2 1 1 3 0 1 10 8 1 0 5 2 3 10 3 2 9 5 2 0 2 2 2 2 4 3 2 5 1 0 1 0 0 6
"useful" 1 1 1 3 0 3 2 0 2 2 1 1 2 2 1 2 2 9 7 2 3 1 0 0 9 0 2 8 3 0 1 5 2 4 3 1 1 1 5 2 1 0 1 3 4
"weak" 3 1 0 2 3 4 2 0 0 1 1 1 0 1 2 1 1 10 8 0 1 2 0 3 9 0 1 7 5 3 0 5 1 0 0 0 4 2 5 2 0 1 0 0 7
"wonderful" 2 1 1 0 3 2 1 1 4 0 1 2 2 1 2 2 0 3 6 0 3 1 1 3 8 0 2 7 5 1 3 4 2 3 1 1 2 2 5 1 0 3 0 0 3
"young" 6 3 6 6 9 6 10 4 11 11 2 3 3 8 6 3 3 31 30 4 7 10 6 5 38 6 9 30 10 5 4 17 9 9 8 3 11 7 18 6 6 4 7 3 0
