"afraid" "agreeable" "alone" "anxious" "bad" "beautiful" "bright" "busy" "certain" "cold" "curious" "difficult" "excellent" "fair" "fine" "glad" "good" "great" "handsome" "happy" "hard" "kind" "little" "natural" "old" "open" "plain" "pleasant" "poor" "pretty" "quiet" "rich" "short" "strange" "strong" "surprised" "young"
"little" 55 45 45 34 57 47 56 39 52 46 44 32 31 31 54 73 254 220 38 77 38 31 0 58 209 66 34 49 119 44 64 28 89 41 47 33 153
"natural" 16 6 5 6 13 12 14 2 15 7 9 8 10 5 11 14 47 44 8 15 9 9 58 0 47 15 5 7 23 13 10 5 18 9 12 7 31
"old" 38 24 26 20 45 34 45 24 40 31 35 23 20 22 43 48 170 156 35 59 27 22 209 47 0 44 25 31 80 36 47 24 60 22 35 20 105
"open" 11 11 9 6 15 8 12 10 10 11 12 9 9 10 12 16 53 45 6 20 8 5 66 15 44 0 11 11 26 12 14 4 17 13 9 13 32
"plain" 5 6 4 5 4 6 6 3 5 5 7 4 2 3 8 10 26 22 6 8 6 2 34 5 25 11 0 2 14 5 8 1 8 9 7 6 17
"pleasant" 8 12 2 8 4 8 11 8 13 5 7 4 7 4 11 12 42 36 4 12 9 8 49 7 31 11 2 0 13 6 9 4 14 8 10 4 25
"poor" 31 19 15 11 20 18 25 15 12 22 21 14 14 8 19 32 103 88 12 41 20 14 119 23 80 26 14 13 0 20 29 11 31 15 18 13 65
"pretty" 8 10 2 5 9 13 10 7 11 11 6 3 4 4 11 14 40 37 12 19 8 7 44 13 36 12 5 6 20 0 11 7 10 4 7 10 30
"quiet" 15 7 11 7 12 12 11 4 15 11 13 7 5 7 10 12 47 46 4 13 6 7 64 10 47 14 8 9 29 11 0 5 18 8 6 4 30
"rich" 3 5 1 4 6 7 9 6 5 5 9 4 2 4 6 8 27 18 8 13 2 3 28 5 24 4 1 4 11 7 5 0 12 3 2 1 13
"short" 17 13 10 11 20 15 14 10 13 13 18 8 12 13 13 24 67 70 11 21 7 14 89 18 60 17 8 14 31 10 18 12 0 12 17 11 40
"strange" 7 8 10 5 8 11 12 5 7 8 10 6 3 0 8 9 41 37 6 12 3 5 41 9 22 13 9 8 15 4 8 3 12 0 5 2 20
"strong" 12 5 6 4 11 9 9 9 7 7 11 5 4 5 13 10 48 35 4 9 10 5 47 12 35 9 7 10 18 7 6 2 17 5 0 6 26
"surprised" 5 3 3 2 5 7 6 7 5 6 7 6 1 3 10 9 28 26 5 10 1 3 33 7 20 13 6 4 13 10 4 1 11 2 6 0 16
"young" 26 23 25 16 30 30 28 16 30 21 27 19 20 15 33 47 129 112 17 43 25 13 153 31 105 32 17 25 65 30 30 13 40 20 26 16 0
