"affectionate" "afraid" "alone" "angry" "bad" "beautiful" "bright" "certain" "charming" "cheerful" "cold" "curious" "difficult" "fair" "friendly" "generous" "glad" "good" "great" "handsome" "happy" "hard" "little" "natural" "nice" "old" "open" "poor" "pretty" "proud" "quiet" "rich" "short" "strange" "strong" "sweet" "well" "worthy" "young"
"fair" 0 2 2 0 2 1 1 2 0 1 3 2 0 0 0 1 1 7 5 1 0 2 8 1 0 4 4 2 1 1 2 1 0 2 2 1 1 1 5
"friendly" 2 1 0 1 3 3 2 3 0 1 3 0 1 0 0 0 4 8 4 3 2 1 7 2 0 5 3 6 0 1 0 2 2 0 3 0 2 0 9
"generous" 2 2 1 3 1 1 1 1 1 0 1 1 2 1 0 0 0 5 1 0 2 2 7 2 1 2 1 4 2 1 4 0 1 1 2 1 0 2 7
"glad" 3 2 1 0 3 1 6 5 3 1 2 1 2 1 4 0 0 12 8 3 3 5 16 0 1 6 4 4 1 0 1 2 6 5 2 1 2 0 11
"good" 4 8 14 6 13 8 19 17 4 7 12 9 10 7 8 5 12 0 39 5 4 14 55 8 5 33 21 25 6 10 15 6 18 10 17 7 6 6 38
"great" 1 5 11 2 9 5 14 11 4 3 9 5 7 5 4 1 8 39 0 4 2 13 39 7 4 21 15 23 4 8 10 5 15 8 8 5 3 3 25
"handsome" 2 2 1 1 1 2 3 1 1 0 2 1 0 1 3 0 3 5 4 0 1 1 7 1 2 4 2 4 1 1 1 2 2 2 2 0 2 0 7
"happy" 2 0 3 2 1 1 3 1 1 0 0 1 1 0 2 2 3 4 2 1 0 3 8 4 0 4 2 5 2 3 3 1 1 3 0 1 1 1 9
"hard" 2 2 4 1 2 3 7 7 4 1 1 2 2 2 1 2 5 14 13 1 3 0 18 3 1 8 6 10 2 3 4 1 5 5 1 1 1 1 11
"little" 8 10 17 6 12 8 21 21 6 7 10 9 10 8 7 7 16 55 39 7 8 18 0 10 8 35 22 33 9 10 17 4 24 18 16 6 7 6 50
"natural" 2 0 7 1 2 0 3 3 1 1 1 1 3 1 2 2 0 8 7 1 4 3 10 0 2 6 2 8 1 5 5 1 2 4 0 1 1 2 7
"nice" 2 1 3 1 1 1 4 0 2 0 2 0 2 0 0 1 1 5 4 2 0 1 8 2 0 4 3 5 1 1 3 0 3 1 2 1 1 1 6
"old" 4 4 9 5 9 6 11 14 2 5 9 6 4 4 5 2 6 33 21 4 4 8 35 6 4 0 11 18 5 6 11 5 12 12 9 6 5 1 25
"open" 3 4 7 2 0 1 5 8 3 0 7 5 5 4 3 1 4 21 15 2 2 6 22 2 3 11 0 12 4 5 5 1 5 5 6 3 3 1 14
"poor" 4 5 8 3 8 4 12 8 4 2 7 2 8 2 6 4 4 25 23 4 5 10 33 8 5 18 12 0 4 4 7 2 12 11 6 4 3 2 22
"pretty" 1 3 2 1 1 1 2 2 0 1 2 0 1 1 0 2 1 6 4 1 2 2 9 1 1 5 4 4 0 3 2 1 1 2 3 1 1 0 9
"proud" 0 0 4 3 0 1 3 1 0 2 3 1 3 1 1 1 0 10 8 1 3 3 10 5 1 6 5 4 3 0 4 2 2 1 1 1 1 3 9
"quiet" 2 3 6 2 3 3 4 2 1 2 2 4 2 2 0 4 1 15 10 1 3 4 17 5 3 11 5 7 2 4 0 0 8 4 6 0 1 2 14
"rich" 0 0 0 1 0 2 3 3 0 0 2 0 0 1 2 0 2 6 5 2 1 1 4 1 0 5 1 2 1 2 0 0 1 2 1 1 0 2 3
"short" 3 3 5 1 6 5 8 6 3 3 4 2 2 0 2 1 6 18 15 2 1 5 24 2 3 12 5 12 1 2 8 1 0 4 6 2 1 4 14
"strange" 3 1 4 1 3 1 7 7 2 3 4 1 2 2 0 1 5 10 8 2 3 5 18 4 1 12 5 11 2 1 4 2 4 0 3 2 2 0 10
"strong" 2 7 3 2 5 4 6 6 1 3 3 1 4 2 3 2 2 17 8 2 0 1 16 0 2 9 6 6 3 1 6 1 6 3 0 2 4 2 14
"sweet" 0 1 2 1 3 1 0 5 2 0 1 1 4 1 0 1 1 7 5 0 1 1 6 1 1 6 3 4 1 1 0 1 2 2 2 0 0 1 5
"well" 1 2 0 1 2 1 1 2 0 2 5 0 1 1 2 0 2 6 3 2 1 1 7 1 1 5 3 3 1 1 1 0 1 2 4 0 0 0 5
"worthy" 2 1 0 3 0 0 1 1 1 1 2 1 1 1 0 2 0 6 3 0 1 1 6 2 1 1 1 2 0 3 2 2 4 0 2 1 0 0 6
"young" 8 7 10 7 9 7 12 10 3 5 7 5 7 5 9 7 11 38 25 7 9 11 50 7 6 25 14 22 9 9 14 3 14 10 14 5 5 6 0
