"afraid" "agreeable" "alone" "angry" "ashamed" "bad" "beautiful" "bold" "capable" "certain" "charming" "cheerful" "confused" "cruel" "delighted" "determined" "difficult" "eager" "embarrassed" "excellent" "extraordinary" "fair" "fine" "foolish" "fortunate" "generous" "gentle" "glad" "good" "grateful" "great" "happy" "ignorant" "important" "innocent" "kind" "little" "loud" "modest" "natural" "old" "open" "pleased" "poor" "pretty" "private" "productive" "proper" "proud" "quiet" "ridiculous" "satisfied" "sensible" "serious" "short" "strange" "strong" "surprised" "sweet" "tired" "unhappy" "violent" "weak" "worthy" "young"
"charming" 2 1 3 1 2 1 2 1 0 1 0 1 1 3 1 1 2 2 0 1 1 0 1 1 1 0 1 3 8 1 9 3 2 2 0 2 5 1 1 0 3 1 2 3 1 1 1 1 2 0 1 2 4 2 1 1 3 5 2 2 0 0 3 1 3
"cheerful" 0 0 2 1 2 2 1 0 0 0 1 0 0 2 0 0 3 2 1 0 1 0 0 1 0 1 1 3 7 1 4 3 0 3 1 2 2 0 2 0 2 1 1 0 0 0 2 1 1 0 0 0 2 1 3 2 1 4 3 1 2 0 2 1 4
"confused" 1 1 0 2 2 0 0 1 1 0 1 0 0 1 0 0 1 1 1 2 0 0 1 2 0 1 1 2 7 3 4 0 2 2 0 1 6 4 0 0 2 2 0 4 2 1 0 2 0 1 3 2 1 3 4 3 1 3 1 3 3 0 3 0 7
"cruel" 3 0 7 6 6 1 0 2 3 5 3 2 1 0 2 2 3 4 0 1 2 3 7 2 2 4 1 5 21 1 22 7 2 2 2 2 16 1 4 1 7 2 5 8 4 1 3 6 4 4 3 4 4 3 6 4 6 8 4 0 6 5 6 5 16
"delighted" 2 1 1 1 1 2 2 1 2 2 1 0 0 2 0 2 0 3 1 0 1 2 2 1 1 3 1 4 5 2 6 2 1 0 0 1 3 1 1 1 4 0 4 3 1 1 1 1 0 1 2 0 2 2 3 1 1 3 2 1 1 2 2 0 5
"determined" 3 1 3 2 4 1 2 1 1 2 1 0 0 2 2 0 1 2 1 0 2 1 4 0 1 3 0 5 10 2 11 1 2 1 1 1 5 2 0 2 3 2 2 6 1 0 1 0 2 0 1 3 2 0 2 2 1 3 2 3 3 2 1 0 10
"difficult" 6 1 6 1 5 3 0 1 0 2 2 3 1 3 0 1 0 0 2 1 2 1 1 0 1 2 2 6 9 2 14 4 3 3 1 3 11 2 1 0 3 5 8 7 0 1 3 3 0 0 4 2 3 4 10 3 2 7 2 2 6 5 3 1 9
"eager" 1 0 2 2 5 2 1 0 3 5 2 2 1 4 3 2 0 0 0 1 1 0 4 0 2 2 1 5 11 2 9 6 2 2 1 0 8 3 1 3 6 0 2 4 1 0 1 2 2 3 3 1 0 2 5 3 2 4 4 3 2 3 2 2 9
"embarrassed" 2 2 1 0 4 1 2 0 0 0 0 1 1 0 1 1 2 0 0 1 1 1 1 0 0 1 2 2 7 2 6 1 2 1 1 1 4 0 0 1 2 3 2 2 0 1 0 0 0 1 0 3 2 2 5 4 0 1 2 1 2 1 1 1 5
"excellent" 3 1 2 2 2 1 1 4 0 3 1 0 2 1 0 0 1 1 1 0 2 1 3 2 3 1 3 5 12 1 10 5 2 2 3 3 9 2 1 5 5 1 2 6 4 2 0 5 1 2 1 3 3 1 6 1 1 3 2 0 1 3 3 3 7
"extraordinary" 2 0 2 1 3 2 4 2 2 3 1 1 0 2 1 2 2 1 1 2 0 4 3 2 2 3 0 4 7 0 10 4 6 0 0 2 9 1 4 2 5 0 4 6 3 1 0 1 1 1 3 2 2 1 2 3 3 3 2 0 5 2 2 0 11
"fair" 1 2 3 1 1 2 1 3 0 1 0 0 0 3 2 1 1 0 1 1 4 0 4 1 0 0 0 2 10 0 6 2 4 1 0 1 8 2 1 1 3 0 4 3 2 1 2 0 2 3 2 1 1 1 4 3 1 1 2 1 2 2 0 3 7
"fine" 5 2 3 4 8 3 0 3 0 5 1 0 1 7 2 4 1 4 1 3 3 4 0 1 2 1 3 11 20 2 15 9 5 3 1 0 16 6 3 3 5 2 9 7 5 1 0 2 6 4 3 4 2 3 5 4 1 3 5 2 1 3 2 3 15
"foolish" 1 1 2 4 2 1 1 2 1 2 1 1 2 2 1 0 0 0 0 2 2 1 1 0 1 1 1 5 9 4 9 3 3 1 0 1 7 4 1 0 6 0 2 5 2 0 0 3 1 2 2 3 2 1 4 3 0 4 1 3 4 2 3 1 8
"fortunate" 3 2 2 2 3 1 0 1 1 2 1 0 0 2 1 1 1 2 0 3 2 0 2 1 0 2 1 1 5 2 7 3 0 0 0 1 2 2 0 2 3 1 4 4 1 2 0 2 0 0 4 1 3 0 6 1 1 4 0 0 3 3 0 1 3
"generous" 2 1 6 1 3 1 3 1 3 2 0 1 1 4 3 3 2 2 1 1 3 0 1 1 2 0 1 4 12 4 11 4 3 1 0 2 8 2 2 3 6 2 8 6 2 0 3 5 2 0 3 3 3 2 7 6 3 9 4 0 6 5 4 4 14
"gentle" 2 3 2 1 3 2 0 1 0 1 1 1 1 1 1 0 2 1 2 3 0 0 3 1 1 1 0 5 3 0 6 3 1 2 2 0 6 0 0 1 2 4 3 4 2 1 0 0 0 0 0 3 3 1 4 3 1 3 3 1 1 1 2 2 6
"glad" 4 6 8 9 9 8 5 6 3 5 3 3 2 5 4 5 6 5 2 5 4 2 11 5 1 4 5 0 27 4 29 10 5 3 1 2 29 7 5 2 12 5 14 8 10 3 2 6 5 3 6 6 4 3 14 11 0 9 9 8 4 6 4 2 24
"good" 12 5 17 12 21 9 6 9 4 10 8 7 7 21 5 10 9 11 7 12 7 10 20 9 5 12 3 27 0 15 63 25 15 14 5 7 51 12 7 9 23 8 17 27 10 5 7 12 13 8 7 17 13 12 33 20 8 18 15 9 16 11 13 13 48
"grateful" 0 1 5 2 2 2 2 2 3 2 1 1 3 1 2 2 2 2 2 1 0 0 2 4 2 4 0 4 15 0 11 3 4 3 0 4 11 4 1 3 4 1 4 5 1 2 0 2 1 2 1 5 4 4 8 4 2 6 6 2 8 3 4 3 9
"great" 15 8 17 12 26 12 5 8 6 14 9 4 4 22 6 11 14 9 6 10 10 6 15 9 7 11 6 29 63 11 0 23 12 9 6 7 52 9 5 8 29 10 25 29 9 9 7 11 10 5 11 16 14 10 35 17 10 31 15 11 18 18 13 9 46
"happy" 6 2 7 4 7 5 4 1 1 7 3 3 0 7 2 1 4 6 1 5 4 2 9 3 3 4 3 10 25 3 23 0 6 5 2 3 18 3 4 4 7 2 9 9 4 4 1 6 2 4 2 6 3 3 13 10 2 14 2 6 4 4 7 4 19
"ignorant" 1 3 4 1 7 2 2 2 2 3 2 0 2 2 1 2 3 2 2 2 6 4 5 3 0 3 1 5 15 4 12 6 0 6 1 2 12 1 5 1 4 4 8 7 4 1 0 2 3 1 5 3 4 3 5 6 1 5 3 4 3 1 6 1 14
"important" 0 2 3 1 4 1 0 0 1 3 2 3 2 2 0 1 3 2 1 2 0 1 3 1 0 1 2 3 14 3 9 5 6 0 2 3 10 0 1 1 1 1 1 2 1 1 1 1 4 0 2 3 2 0 10 6 0 5 3 3 3 0 1 2 11
"innocent" 0 0 0 0 0 0 0 1 0 3 0 1 0 2 0 1 1 1 1 3 0 0 1 0 0 0 2 1 5 0 6 2 1 2 0 2 10 0 1 2 1 2 2 3 0 3 1 1 0 0 0 1 3 0 3 1 0 3 2 0 3 1 2 2 6
"kind" 2 2 3 2 3 2 2 2 2 1 2 2 1 2 1 1 3 0 1 3 2 1 0 1 1 2 0 2 7 4 7 3 2 3 2 0 7 0 2 0 4 2 3 6 1 2 1 0 0 1 1 2 4 1 5 2 0 7 3 0 3 1 1 1 3
"little" 10 4 12 9 12 10 4 9 5 9 5 2 6 16 3 5 11 8 4 9 9 8 16 7 2 8 6 29 51 11 52 18 12 10 10 7 0 12 5 7 17 11 15 20 10 8 3 10 8 10 11 12 9 10 28 23 4 20 17 8 20 7 11 11 47
"loud" 2 0 2 6 3 3 2 3 0 2 1 0 4 1 1 2 2 3 0 2 1 2 6 4 2 2 0 7 12 4 9 3 1 0 0 0 12 0 0 1 4 2 4 7 3 0 0 5 0 4 4 1 0 0 5 4 0 4 3 2 2 4 2 3 13
"modest" 0 0 1 0 2 0 3 2 1 2 1 2 0 4 1 0 1 1 0 1 4 1 3 1 0 2 0 5 7 1 5 4 5 1 1 2 5 0 0 1 0 1 3 3 1 1 0 2 0 1 1 1 3 2 2 3 1 3 1 1 2 0 2 0 6
"natural" 1 0 2 1 2 2 0 2 2 4 0 0 0 1 1 2 0 3 1 5 2 1 3 0 2 3 1 2 9 3 8 4 1 1 2 0 7 1 1 0 3 2 3 3 1 2 0 2 2 0 1 3 1 2 6 2 2 5 2 1 2 0 2 6 10
"old" 5 1 5 7 7 4 1 3 3 4 3 2 2 7 4 3 3 6 2 5 5 3 5 6 3 6 2 12 23 4 29 7 4 1 1 4 17 4 0 3 0 1 10 13 3 2 4 7 3 4 6 3 3 3 9 5 4 8 4 3 5 6 3 1 14
"open" 4 4 2 1 7 3 0 2 1 0 1 1 2 2 0 2 5 0 3 1 0 0 2 0 1 2 4 5 8 1 10 2 4 1 2 2 11 2 1 2 1 0 7 5 3 2 1 0 2 0 3 1 3 4 5 5 0 6 3 1 4 3 3 2 12
"pleased" 7 7 9 4 11 5 2 3 1 5 2 1 0 5 4 2 8 2 2 2 4 4 9 2 4 8 3 14 17 4 25 9 8 1 2 3 15 4 3 3 10 7 0 12 5 5 2 3 3 2 5 2 4 4 11 8 2 11 2 3 3 8 4 3 17
"poor" 7 1 7 2 9 4 1 2 2 9 3 0 4 8 3 6 7 4 2 6 6 3 7 5 4 6 4 8 27 5 29 9 7 2 3 6 20 7 3 3 13 5 12 0 2 0 2 6 2 2 5 3 7 3 11 6 4 11 3 3 8 7 7 1 18
"pretty" 2 3 2 4 2 1 2 4 1 1 1 0 2 4 1 1 0 1 0 4 3 2 5 2 1 2 2 10 10 1 9 4 4 1 0 1 10 3 1 1 3 3 5 2 0 0 0 0 2 2 3 3 1 2 2 4 0 3 4 2 0 3 1 1 11
"private" 2 3 1 1 3 1 1 2 1 1 1 0 1 1 1 0 1 0 1 2 1 1 1 0 2 0 1 3 5 2 9 4 1 1 3 2 8 0 1 2 2 2 5 0 0 0 0 1 0 1 3 2 2 1 5 2 1 5 1 1 4 1 1 1 6
"productive" 2 0 2 2 1 1 0 1 0 0 1 2 0 3 1 1 3 1 0 0 0 2 0 0 0 3 0 2 7 0 7 1 0 1 1 1 3 0 0 0 4 1 2 2 0 0 0 1 0 2 0 1 4 1 7 1 1 6 1 0 3 4 1 3 4
"proper" 3 0 3 5 0 2 1 0 1 1 1 1 2 6 1 0 3 2 0 5 1 0 2 3 2 5 0 6 12 2 11 6 2 1 1 0 10 5 2 2 7 0 3 6 0 1 1 0 1 2 2 2 2 1 5 3 2 7 1 2 3 3 4 3 13
"proud" 1 0 3 1 4 1 0 0 0 1 2 1 0 4 0 2 0 2 0 1 1 2 6 1 0 2 0 5 13 1 10 2 3 4 0 0 8 0 0 2 3 2 3 2 2 0 0 1 0 0 1 1 2 2 4 5 2 4 2 0 1 1 3 2 10
"quiet" 2 0 1 5 1 1 2 2 0 2 0 0 1 4 1 0 0 3 1 2 1 3 4 2 0 0 0 3 8 2 5 4 1 0 0 1 10 4 1 0 4 0 2 2 2 1 2 2 0 0 0 2 1 1 3 3 0 4 2 1 2 1 1 2 8
"ridiculous" 4 2 2 3 5 3 0 2 4 2 1 0 3 3 2 1 4 3 0 1 3 2 3 2 4 3 0 6 7 1 11 2 5 2 0 1 11 4 1 1 6 3 5 5 3 3 0 2 1 0 0 2 1 2 6 8 1 5 2 3 3 2 2 1 9
"satisfied" 3 3 4 6 5 3 1 2 2 1 2 0 2 4 0 3 2 1 3 3 2 1 4 3 1 3 3 6 17 5 16 6 3 3 1 2 12 1 1 3 3 1 2 3 3 2 1 2 1 2 2 0 6 3 5 5 3 8 4 3 3 6 3 4 12
"sensible" 3 2 6 2 7 0 2 2 0 2 4 2 1 4 2 2 3 0 2 3 2 1 2 2 3 3 3 4 13 4 14 3 4 2 3 4 9 0 3 1 3 3 4 7 1 2 4 2 2 1 1 6 0 2 9 5 3 8 5 1 3 3 5 2 10
"serious" 2 0 1 2 4 5 1 1 2 2 2 1 3 3 2 0 4 2 2 1 1 1 3 1 0 2 1 3 12 4 10 3 3 0 0 1 10 0 2 2 3 4 4 3 2 1 1 1 2 1 2 3 2 0 6 4 3 5 1 1 4 2 3 2 9
"short" 6 6 9 5 17 6 1 6 3 3 1 3 4 6 3 2 10 5 5 6 2 4 5 4 6 7 4 14 33 8 35 13 5 10 3 5 28 5 2 6 9 5 11 11 2 5 7 5 4 3 6 5 9 6 0 10 1 17 9 5 15 7 6 7 20
"strange" 3 2 7 1 5 3 1 2 3 5 1 2 3 4 1 2 3 3 4 1 3 3 4 3 1 6 3 11 20 4 17 10 6 6 1 2 23 4 3 2 5 5 8 6 4 2 1 3 5 3 8 5 5 4 10 0 3 6 3 4 7 1 2 3 21
"strong" 1 0 2 0 2 3 0 0 1 2 3 1 1 6 1 1 2 2 0 1 3 1 1 0 1 3 1 0 8 2 10 2 1 0 0 0 4 0 1 2 4 0 2 4 0 1 1 2 2 0 1 3 3 3 1 3 0 6 1 0 2 3 4 2 6
"surprised" 6 2 7 8 10 5 4 2 3 5 5 4 3 8 3 3 7 4 1 3 3 1 3 4 4 9 3 9 18 6 31 14 5 5 3 7 20 4 3 5 8 6 11 11 3 5 6 7 4 4 5 8 8 5 17 6 6 0 4 5 7 5 5 9 23
"sweet" 2 3 5 1 6 1 2 3 0 2 2 3 1 4 2 2 2 4 2 2 2 2 5 1 0 4 3 9 15 6 15 2 3 3 2 3 17 3 1 2 4 3 2 3 4 1 1 1 2 2 2 4 5 1 9 3 1 4 0 0 4 2 5 4 12
"tired" 2 2 1 4 4 2 1 0 1 2 2 1 3 0 1 3 2 3 1 0 0 1 2 3 0 0 1 8 9 2 11 6 4 3 0 0 8 2 1 1 3 1 3 3 2 1 0 2 0 1 3 3 1 1 5 4 0 5 0 0 2 2 3 0 9
"unhappy" 4 1 6 1 4 2 1 2 3 1 0 2 3 6 1 3 6 2 2 1 5 2 1 4 3 6 1 4 16 8 18 4 3 3 3 3 20 2 2 2 5 4 3 8 0 4 3 3 1 2 3 3 3 4 15 7 2 7 4 2 0 5 4 3 17
"violent" 5 3 2 4 5 6 1 3 1 3 0 0 0 5 2 2 5 3 1 3 2 2 3 2 3 5 1 6 11 3 18 4 1 0 1 1 7 4 0 0 6 3 8 7 3 1 4 3 1 1 2 6 3 2 7 1 3 5 2 2 5 0 2 1 10
"weak" 3 0 3 1 3 1 1 2 2 1 3 2 3 6 2 1 3 2 1 3 2 0 2 3 0 4 2 4 13 4 13 7 6 1 2 1 11 2 2 2 3 3 4 7 1 1 1 4 3 1 2 3 5 3 6 2 4 5 5 3 4 2 0 5 13
"worthy" 1 0 4 3 0 1 0 1 1 1 1 1 0 5 0 0 1 2 1 3 0 3 3 1 1 4 2 2 13 3 9 4 1 2 2 1 11 3 0 6 1 2 3 1 1 1 3 3 2 2 1 4 2 2 7 3 2 9 4 0 3 1 5 0 12
"young" 12 5 11 13 10 7 6 5 7 9 3 4 7 16 5 10 9 9 5 7 11 7 15 8 3 14 6 24 48 9 46 19 14 11 6 3 47 13 6 10 14 12 17 18 11 6 4 13 10 8 9 12 10 9 20 21 6 23 12 9 17 10 13 12 0
