"afraid" "agreeable" "alone" "anxious" "bad" "beautiful" "bright" "certain" "cold" "extraordinary" "fair" "fine" "gentle" "glad" "good" "great" "handsome" "happy" "hard" "honest" "kind" "little" "loud" "natural" "old" "open" "original" "pleasant" "poor" "pretty" "private" "proper" "proud" "quiet" "remarkable" "rich" "serious" "short" "strange" "strong" "surprised" "violent" "warm" "weak" "worthy" "young"
"proper" 7 3 2 3 3 4 2 8 6 5 3 5 0 4 26 21 3 8 6 2 1 29 3 5 16 8 1 2 16 6 5 0 2 3 5 2 7 11 1 4 3 4 4 4 6 26
"proud" 5 3 3 7 2 7 2 5 1 7 7 4 5 9 20 27 3 11 6 4 4 27 0 3 19 9 3 8 11 3 6 2 0 1 5 4 8 11 1 12 1 8 4 2 7 21
"quiet" 3 4 8 7 6 5 7 12 10 9 9 9 4 9 30 35 3 14 8 3 7 38 10 11 33 15 3 12 24 4 4 3 1 0 3 5 2 16 3 11 2 3 7 3 7 25
"remarkable" 7 3 3 9 5 3 5 5 4 12 3 7 4 5 26 28 4 3 7 1 4 29 6 3 20 4 1 2 15 4 8 5 5 3 0 2 4 12 4 8 3 3 3 5 7 23
"rich" 2 4 5 3 8 6 4 2 8 4 6 6 6 5 23 27 7 8 11 6 4 27 7 3 21 11 2 6 13 2 4 2 4 5 2 0 1 9 5 6 1 3 6 3 5 18
"serious" 5 1 1 6 2 4 4 11 2 8 4 0 1 5 23 26 2 7 1 0 2 24 3 5 16 7 3 3 12 2 6 7 8 2 4 1 0 10 1 9 4 5 2 3 5 21
"short" 17 5 14 18 12 21 8 21 19 27 16 15 11 19 74 90 8 34 20 11 22 93 19 20 72 24 5 13 48 14 17 11 11 16 12 9 10 0 13 16 11 26 9 10 21 74
"strange" 3 4 3 7 4 5 2 7 7 7 3 6 4 8 21 23 1 8 11 2 5 26 2 3 22 5 0 6 18 2 5 1 1 3 4 5 1 13 0 4 3 6 1 2 5 18
"strong" 8 4 6 9 8 11 5 14 11 13 9 6 5 15 43 49 8 16 6 8 6 52 6 10 38 15 8 10 26 3 8 4 12 11 8 6 9 16 4 0 3 8 6 8 7 46
"surprised" 2 2 5 4 3 8 1 4 8 8 2 2 2 7 21 22 3 7 2 1 4 26 5 4 18 2 1 4 11 2 4 3 1 2 3 1 4 11 3 3 0 3 1 3 4 18
"violent" 6 3 3 5 10 8 2 8 8 8 6 5 5 3 28 39 4 13 7 6 4 42 5 3 28 13 5 7 17 3 3 4 8 3 3 3 5 26 6 8 3 0 2 6 5 36
"warm" 3 3 4 7 5 5 6 4 8 6 3 10 5 4 18 22 3 7 6 3 4 26 5 6 23 8 2 7 14 1 4 4 4 7 3 6 2 9 1 6 1 2 0 1 2 20
"weak" 1 0 3 5 4 5 3 4 5 6 1 5 2 3 21 16 3 7 5 6 1 20 5 3 14 4 3 1 12 2 3 4 2 3 5 3 3 10 2 8 3 6 1 0 2 18
"worthy" 7 4 3 9 8 3 2 9 4 15 3 8 3 8 32 40 3 13 5 5 12 40 6 4 30 8 2 9 27 6 7 6 7 7 7 5 5 21 5 7 4 5 2 2 0 25
"young" 25 15 16 28 33 34 20 44 31 50 27 31 20 32 141 164 21 50 34 21 25 171 29 32 125 33 15 29 91 22 25 26 21 25 23 18 21 74 18 46 18 36 20 18 25 0
