"afraid" "agreeable" "alone" "angry" "anxious" "bad" "beautiful" "bold" "bright" "busy" "certain" "cheerful" "cold" "comfortable" "curious" "delighted" "difficult" "extraordinary" "fair" "fine" "gentle" "glad" "good" "gracious" "grateful" "great" "happy" "hard" "honest" "kind" "little" "lively" "loud" "natural" "old" "open" "plain" "pleasant" "poor" "private" "proud" "quiet" "remarkable" "rich" "serious" "short" "strange" "strong" "surprised" "sweet" "well" "worthy" "young"
"delighted" 7 5 3 1 2 6 2 3 4 4 8 2 4 2 2 0 1 4 2 4 4 13 21 3 2 21 4 4 4 5 25 1 1 3 20 5 3 5 11 3 5 5 7 4 3 12 5 3 2 2 3 1 14
"difficult" 4 1 4 4 5 9 3 1 4 4 7 4 5 2 3 1 0 4 7 0 3 7 21 3 5 18 4 4 1 2 19 3 1 4 16 8 0 7 10 4 1 6 6 2 5 7 6 7 0 4 3 1 12
"extraordinary" 8 4 3 2 7 7 5 2 7 3 14 4 5 6 1 4 4 0 5 2 5 7 30 4 0 30 8 5 3 4 28 2 4 5 24 6 2 5 11 2 3 6 7 3 5 14 13 13 4 3 2 2 17
"fair" 7 5 7 2 2 6 6 3 8 5 12 9 10 2 3 2 7 5 0 4 10 11 36 5 3 28 10 5 4 5 37 4 3 4 29 9 6 13 13 6 4 12 7 6 4 16 9 12 4 9 3 4 29
"fine" 8 4 6 2 3 6 5 2 5 2 9 2 6 3 1 4 0 2 4 0 4 7 25 3 5 24 5 7 0 1 24 5 3 6 22 11 3 8 8 1 3 4 7 4 2 10 8 10 5 3 1 0 24
"gentle" 5 5 7 5 8 7 6 2 10 4 11 8 6 3 3 4 3 5 10 4 0 12 25 3 3 21 11 5 4 5 29 6 5 5 30 11 2 10 12 2 6 13 8 6 2 12 12 12 5 6 2 3 22
"glad" 14 8 12 10 10 19 13 6 21 7 30 14 17 11 8 13 7 7 11 7 12 0 69 8 11 62 17 14 7 11 73 8 8 14 59 21 7 20 26 7 6 18 11 5 10 37 14 20 7 10 8 8 46
"good" 45 24 38 18 23 49 32 24 39 16 77 26 32 28 15 21 21 30 36 25 25 69 0 19 24 184 46 39 21 28 193 23 19 37 170 51 19 54 80 24 27 41 36 24 20 94 53 69 20 30 20 23 154
"gracious" 7 2 5 2 3 2 4 3 6 2 8 0 3 2 2 3 3 4 5 3 3 8 19 0 0 17 4 8 2 6 23 7 1 2 17 6 2 8 10 4 1 5 4 1 2 12 6 5 2 6 2 3 16
"grateful" 4 2 4 3 3 7 2 1 6 6 11 8 6 1 2 2 5 0 3 5 3 11 24 0 0 26 7 9 4 5 26 1 0 3 19 7 3 7 14 2 4 6 4 6 2 9 7 14 4 3 2 4 20
"great" 41 25 30 20 20 38 32 18 42 15 78 28 31 27 13 21 18 30 28 24 21 62 184 17 26 0 43 40 20 24 178 18 15 33 145 49 16 47 72 24 23 35 38 21 21 80 46 73 22 21 17 20 131
"happy" 16 8 9 6 5 12 6 7 15 3 17 11 9 5 4 4 4 8 10 5 11 17 46 4 7 43 0 9 5 6 48 5 8 8 46 13 6 15 23 5 11 14 7 7 6 21 11 16 10 11 3 4 40
"hard" 7 2 8 4 7 8 7 4 8 1 11 3 5 2 2 4 4 5 5 7 5 14 39 8 9 40 9 0 3 6 36 5 4 6 31 11 4 11 16 3 5 4 8 4 6 19 12 16 3 5 6 5 31
"honest" 4 5 4 2 5 10 3 0 4 5 10 4 3 5 5 4 1 3 4 0 4 7 21 2 4 20 5 3 0 8 18 1 2 4 19 6 5 4 8 5 2 7 4 5 1 12 7 10 8 3 4 4 19
"kind" 5 7 1 2 3 10 3 1 3 4 11 1 9 6 3 5 2 4 5 1 5 11 28 6 5 24 6 6 8 0 32 1 0 5 25 7 2 6 20 5 1 7 4 7 1 17 6 11 5 6 1 4 21
"little" 37 30 29 21 24 47 31 20 42 21 71 33 34 30 21 25 19 28 37 24 29 73 193 23 26 178 48 36 18 32 0 28 18 34 173 57 18 57 78 26 25 46 39 22 23 96 46 65 20 35 16 26 143
"lively" 2 2 4 3 2 8 3 3 8 2 8 7 3 2 2 1 3 2 4 5 6 8 23 7 1 18 5 5 1 1 28 0 2 6 20 6 0 9 14 2 5 7 7 2 3 11 4 8 5 4 0 3 23
"loud" 4 4 3 3 3 2 2 2 7 1 10 4 5 3 2 1 1 4 3 3 5 8 19 1 0 15 8 4 2 0 18 2 0 3 13 5 4 8 7 2 4 4 3 3 0 7 6 6 2 4 5 2 16
"natural" 6 6 7 4 1 8 9 3 7 6 16 4 7 3 3 3 4 5 4 6 5 14 37 2 3 33 8 6 4 5 34 6 3 0 33 6 3 9 13 6 7 7 6 3 3 16 8 11 7 6 2 3 30
"old" 40 20 29 18 18 36 32 18 35 18 66 24 32 21 21 20 16 24 29 22 30 59 170 17 19 145 46 31 19 25 173 20 13 33 0 47 10 43 68 20 21 43 33 19 19 78 48 57 23 26 17 22 129
"open" 13 6 10 6 8 16 9 6 13 5 14 6 8 7 6 5 8 6 9 11 11 21 51 6 7 49 13 11 6 7 57 6 5 6 47 0 8 14 20 5 4 16 9 5 7 22 16 14 7 9 7 1 45
"plain" 6 3 8 3 1 5 4 2 1 4 7 1 5 3 3 3 0 2 6 3 2 7 19 2 3 16 6 4 5 2 18 0 4 3 10 8 0 5 3 1 2 5 3 1 2 8 4 8 0 5 2 0 15
"pleasant" 12 8 9 8 9 11 9 7 16 6 21 13 7 11 6 5 7 5 13 8 10 20 54 8 7 47 15 11 4 6 57 9 8 9 43 14 5 0 18 4 9 16 8 5 6 28 10 11 7 9 7 5 38
"poor" 12 10 14 10 7 16 13 2 15 6 27 13 13 7 10 11 10 11 13 8 12 26 80 10 14 72 23 16 8 20 78 14 7 13 68 20 3 18 0 7 13 16 13 14 5 34 21 28 10 10 5 9 65
"private" 2 4 1 2 3 3 5 5 3 4 13 1 3 2 2 3 4 2 6 1 2 7 24 4 2 24 5 3 5 5 26 2 2 6 20 5 1 4 7 0 5 5 5 1 5 15 8 8 4 7 3 2 24
"proud" 5 4 3 2 3 4 6 4 5 2 11 4 0 1 2 5 1 3 4 3 6 6 27 1 4 23 11 5 2 1 25 5 4 7 21 4 2 9 13 5 0 3 3 4 5 15 4 7 3 3 5 2 25
"quiet" 4 8 9 9 7 11 4 6 12 9 15 7 12 2 3 5 6 6 12 4 13 18 41 5 6 35 14 4 7 7 46 7 4 7 43 16 5 16 16 5 3 0 5 8 4 19 14 10 5 7 4 5 29
"remarkable" 11 4 8 1 2 13 3 2 7 3 14 4 9 5 11 7 6 7 7 7 8 11 36 4 4 38 7 8 4 4 39 7 3 6 33 9 3 8 13 5 3 5 0 5 5 24 5 12 3 6 3 4 26
"rich" 3 7 5 1 3 7 3 0 6 3 12 4 11 3 1 4 2 3 6 4 6 5 24 1 6 21 7 4 5 7 22 2 3 3 19 5 1 5 14 1 4 8 5 0 1 7 7 6 0 1 2 5 23
"serious" 7 4 2 4 3 6 2 2 6 2 10 5 3 2 3 3 5 5 4 2 2 10 20 2 2 21 6 6 1 1 23 3 0 3 19 7 2 6 5 5 5 4 5 1 0 14 4 8 4 6 3 1 17
"short" 22 13 18 7 17 20 13 11 20 10 35 12 15 18 9 12 7 14 16 10 12 37 94 12 9 80 21 19 12 17 96 11 7 16 78 22 8 28 34 15 15 19 24 7 14 0 31 33 13 18 11 11 74
"strange" 11 5 12 7 5 9 6 7 11 4 21 6 14 6 6 5 6 13 9 8 12 14 53 6 7 46 11 12 7 6 46 4 6 8 48 16 4 10 21 8 4 14 5 7 4 31 0 22 8 9 7 8 40
"strong" 15 11 13 11 7 18 8 2 17 4 29 9 11 11 7 3 7 13 12 10 12 20 69 5 14 73 16 16 10 11 65 8 6 11 57 14 8 11 28 8 7 10 12 6 8 33 22 0 9 9 7 11 50
"surprised" 6 3 3 4 3 4 5 0 9 3 7 4 1 1 2 2 0 4 4 5 5 7 20 2 4 22 10 3 8 5 20 5 2 7 23 7 0 7 10 4 3 5 3 0 4 13 8 9 0 3 3 1 20
"sweet" 5 4 8 4 3 5 8 5 6 1 11 1 4 6 4 2 4 3 9 3 6 10 30 6 3 21 11 5 3 6 35 4 4 6 26 9 5 9 10 7 3 7 6 1 6 18 9 9 3 0 6 3 25
"well" 6 4 4 4 3 4 3 2 6 0 7 0 1 3 1 3 3 2 3 1 2 8 20 2 2 17 3 6 4 1 16 0 5 2 17 7 2 7 5 3 5 4 3 2 3 11 7 7 3 6 0 4 15
"worthy" 1 2 3 2 0 4 4 1 5 1 9 3 3 4 3 1 1 2 4 0 3 8 23 3 4 20 4 5 4 4 26 3 2 3 22 1 0 5 9 2 2 5 4 5 1 11 8 11 1 3 4 0 16
"young" 32 23 24 19 17 39 25 18 27 12 59 15 20 20 13 14 12 17 29 24 22 46 154 16 20 131 40 31 19 21 143 23 16 30 129 45 15 38 65 24 25 29 26 23 17 74 40 50 20 25 15 16 0
