"active" "affectionate" "agreeable" "alone" "anxious" "beautiful" "bitter" "blind" "bright" "busy" "calm" "capable" "certain" "cheerful" "childish" "cold" "confused" "dangerous" "delighted" "delightful" "devoted" "evil" "excellent" "expressive" "fair" "familiar" "fine" "fortunate" "generous" "gentle" "glad" "good" "grateful" "great" "happy" "hard" "harmless" "helpless" "ignorant" "impatient" "innocent" "interesting" "kind" "little" "lively" "loud" "lovely" "natural" "nervous" "old" "open" "peaceful" "pleasant" "pleased" "poor" "powerful" "rich" "rude" "sad" "satisfied" "short" "strange" "strong" "surprised" "sweet" "terrible" "thin" "unhappy" "violent" "warm" "weak" "well" "wonderful" "young" "worthy"
"calm" 0 1 1 1 2 2 1 0 2 2 0 1 0 0 1 5 1 0 0 0 1 1 1 2 2 2 0 3 0 1 1 4 0 6 6 0 0 0 1 1 2 1 1 6 1 2 2 2 2 2 2 2 2 2 3 1 0 0 2 4 4 5 1 1 2 1 1 4 3 1 1 0 2 2 1
"capable" 0 0 1 2 0 3 5 1 1 3 1 0 0 2 1 5 2 1 1 0 0 1 1 0 2 0 2 1 0 3 2 4 0 6 6 1 0 2 0 0 3 0 2 2 0 1 2 2 1 3 4 1 2 0 3 0 1 1 1 3 3 2 0 2 3 2 0 1 1 1 0 1 1 3 1
"certain" 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 1 2 0 0 2 0 0 0 3 4 0 0 0 1 0 1 1 1 2 0 0 2 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1
"cheerful" 1 1 0 0 1 3 0 3 2 0 0 2 2 0 0 2 0 0 1 2 1 0 4 0 4 2 1 1 0 5 1 4 1 4 9 0 0 0 1 0 0 0 2 5 0 1 5 1 0 5 1 0 2 2 2 0 1 2 2 0 2 3 1 0 2 2 0 2 0 1 0 2 2 4 1
"childish" 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 2 0 1 1 2 0 0 1 0 1 0 1 2 0 0 2 1 0 1 0 1 0 0 2 1 0 1 1 1 0 1 1 0 2 0 1 0 1 0 0 0 0 0 0
"cold" 0 0 2 3 0 2 5 1 1 1 5 5 1 2 0 0 2 0 3 0 1 4 3 2 3 0 1 1 1 8 1 8 1 9 8 1 2 2 4 0 3 0 2 6 3 2 3 2 4 5 4 1 5 1 5 2 1 0 2 4 5 7 1 3 5 4 1 2 2 2 0 0 2 3 1
"confused" 0 0 0 0 0 1 1 0 1 2 1 2 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 2 0 0 2 0 0 1 0 0 1 0 0 0 0 1 0 1 0 1 0 3 0 0 0 1 0 0 3 0 0 1 1 0 1 1 0 0 0 0 1 0
"dangerous" 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 2 0 2 2 0 0 0 1 0 0 1 1 1 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 1 1 2 2 0
"delighted" 1 0 0 0 0 1 0 0 2 1 0 1 0 1 0 3 2 0 0 0 0 0 1 0 1 0 0 0 0 3 1 2 0 1 1 0 0 1 0 0 0 1 0 2 1 0 3 0 1 2 1 0 1 1 4 0 0 0 1 0 1 2 0 1 3 1 0 1 0 1 0 0 1 3 0
"delightful" 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 1 2 0 0 0 1 0 2 0 3 3 0 0 0 0 1 0 1 0 2 1 1 1 2 0 1 0 0 1 0 0 0 0 1 0 0 1 2 0 0 0 1 0 1 0 1 0 0 1 1 0
"devoted" 1 0 0 3 1 2 3 2 1 1 1 0 0 1 0 1 0 0 0 0 0 0 1 1 1 1 0 0 1 2 0 2 0 3 3 1 0 1 1 0 1 0 0 2 0 1 3 2 0 0 0 1 1 1 2 1 0 0 0 1 0 1 1 1 0 0 0 2 0 0 0 0 1 1 1
"evil" 0 0 2 0 0 1 2 1 0 0 1 1 0 0 0 4 0 0 0 0 0 0 0 0 1 1 1 0 1 2 0 5 0 4 4 1 2 0 1 0 2 0 1 3 1 0 0 1 0 2 0 1 1 0 1 1 0 0 2 0 1 1 0 0 1 0 0 2 0 0 0 0 2 0 0
"excellent" 1 3 0 3 1 3 3 3 0 1 1 1 0 4 0 3 0 1 1 2 1 0 0 1 3 2 0 0 3 5 1 4 2 7 3 0 1 1 0 1 3 0 1 4 1 1 5 3 1 6 0 1 2 1 4 1 1 2 3 1 2 4 0 1 2 0 0 2 1 1 0 0 6 4 1
"expressive" 0 0 0 1 0 1 1 0 0 0 2 0 0 0 1 2 0 1 0 0 1 0 1 0 1 0 0 0 0 2 0 4 1 2 3 1 0 0 0 0 0 1 1 3 1 0 1 2 1 1 0 0 0 0 2 2 1 1 0 1 1 1 0 2 2 0 1 1 2 0 2 1 1 2 0
"fair" 1 0 0 0 0 5 2 1 1 0 2 2 1 4 1 3 0 0 1 1 1 1 3 1 0 1 1 0 1 4 0 3 1 4 4 1 1 1 0 0 3 0 2 5 1 0 4 1 1 4 0 0 2 1 6 1 1 1 2 0 2 1 0 0 4 0 1 1 1 1 0 1 1 2 2
"familiar" 0 0 0 1 0 1 0 2 2 0 2 0 1 2 0 0 0 0 0 2 1 1 2 0 1 0 1 1 0 1 0 3 0 3 4 2 0 0 0 1 1 0 0 6 0 1 2 2 0 3 0 0 1 0 2 0 0 2 1 0 3 2 1 0 1 1 0 2 1 0 0 0 2 1 0
"fine" 0 0 0 0 0 1 0 0 0 0 0 2 2 1 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 2 0 2 0 2 4 0 2 0 0 0 1 1 1 0 0 0 2 1 0 1 0 1 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 1 0
"fortunate" 0 1 0 1 3 0 0 0 1 2 3 1 0 1 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 2 1 3 3 1 0 0 1 0 0 0 2 4 0 1 1 1 1 2 3 1 0 1 1 0 0 1 0 1 2 2 0 0 2 0 1 0 1 0 0 1 0 1 1
"generous" 0 2 0 2 0 0 3 2 0 0 0 0 0 0 1 1 0 0 0 0 1 1 3 0 1 0 0 0 0 3 1 4 1 4 2 1 1 0 2 1 4 0 2 2 0 0 2 0 0 1 0 0 0 0 5 1 0 0 1 0 0 2 1 0 0 0 0 1 0 0 0 0 2 1 0
"gentle" 2 2 2 2 0 4 4 4 3 1 1 3 2 5 0 8 2 0 3 1 2 2 5 2 4 1 2 0 3 0 1 7 1 10 7 1 1 2 3 1 2 1 1 11 3 1 9 1 2 7 1 1 4 2 6 1 2 3 2 0 5 7 0 3 6 1 0 6 2 2 1 2 5 8 1
"glad" 1 1 0 2 0 1 1 1 1 0 1 2 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 1 1 1 0 2 0 2 4 0 0 0 0 0 1 0 2 2 0 1 1 0 1 0 1 0 0 0 2 1 0 0 0 0 2 1 0 1 1 1 1 2 0 1 0 0 0 2 0
"good" 1 2 2 4 1 4 4 6 0 2 4 4 0 4 2 8 1 2 2 2 2 5 4 4 3 3 2 2 4 7 2 0 2 12 11 3 2 0 4 2 4 3 6 14 3 3 8 5 3 10 3 1 2 0 7 3 3 3 3 3 5 8 1 4 4 4 2 2 2 0 2 1 4 7 0
"grateful" 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 1 1 0 0 1 1 1 0 2 0 2 1 0 1 0 0 0 1 0 2 3 1 0 0 1 1 2 1 0 0 1 2 0 1 0 0 0 1 1 0 1 1 0 0 0 1 0 0 1 0 1 0
"great" 0 1 3 4 3 7 8 4 1 3 6 6 3 4 1 9 1 2 1 3 3 4 7 2 4 3 2 3 4 10 2 12 2 0 14 2 2 1 3 3 5 4 7 16 1 3 6 7 2 9 7 2 6 3 9 2 0 2 4 3 5 13 2 3 2 2 3 4 2 4 3 4 8 3 2
"happy" 1 1 2 5 1 7 6 4 3 1 6 6 4 9 1 8 2 2 1 3 3 4 3 3 4 4 4 3 2 7 4 11 1 14 0 3 2 1 2 0 5 2 6 13 2 4 6 3 1 6 3 2 3 1 8 2 2 2 5 5 2 8 2 4 6 3 1 7 2 4 2 4 5 7 1
"hard" 0 0 0 1 0 1 1 0 0 0 0 1 0 0 2 1 0 0 0 0 1 1 0 1 1 2 0 1 1 1 0 3 0 2 3 0 0 0 1 0 2 0 1 5 0 1 2 1 0 3 1 0 0 0 3 1 0 3 1 0 2 2 1 1 2 0 1 0 0 0 0 1 0 1 0
"harmless" 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 2 0 0 0 0 0 2 1 0 1 0 2 0 1 1 0 2 1 2 2 0 0 0 2 0 1 0 1 3 1 0 0 0 0 2 0 1 0 0 1 1 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 2 0 0
"helpless" 1 0 0 1 0 0 2 0 1 1 0 2 0 0 0 2 2 0 1 0 1 0 1 0 1 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 2 0 0 2 0 0 1 0 0 0 0 0 2 0 2 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 2
"ignorant" 0 1 0 2 1 0 2 2 0 0 1 0 1 1 1 4 0 1 0 0 1 1 0 0 0 0 0 1 2 3 0 4 0 3 2 1 2 0 0 0 1 0 1 6 2 1 3 0 0 4 0 0 0 0 3 1 0 0 1 0 1 5 2 0 0 3 0 1 0 1 1 0 2 2 0
"impatient" 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 0 2 0 3 0 0 0 0 0 0 1 1 0 3 0 0 0 1 0 0 1 0 0 1 2 0 0 0 0 1 1 1 0 0 0 1 0 1 0 0 1 0 1 2 0
"innocent" 1 1 0 2 1 1 5 1 0 0 2 3 1 0 1 3 1 0 0 0 1 2 3 0 3 1 1 0 4 2 1 4 1 5 5 2 1 2 1 1 0 0 4 5 0 0 2 0 0 2 1 0 1 1 9 1 0 1 3 1 1 5 1 1 1 0 0 4 1 0 0 1 2 1 2
"interesting" 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0 1 0 3 0 4 2 0 0 0 0 1 0 0 2 1 2 0 2 0 1 1 1 1 1 1 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 2 1 1 2 0
"kind" 0 0 0 0 1 0 2 1 0 0 1 2 1 2 1 2 0 1 0 0 0 1 1 1 2 0 1 2 2 1 2 6 2 7 6 1 1 0 1 0 4 2 0 4 0 1 2 0 1 2 2 0 0 1 5 0 0 0 2 0 2 3 1 2 1 1 1 1 1 0 1 2 0 2 0
"little" 3 3 4 3 3 4 3 6 5 1 6 2 2 5 2 6 1 1 2 2 2 3 4 3 5 6 0 4 2 11 2 14 3 16 13 5 3 2 6 3 5 1 4 0 4 3 8 4 2 12 5 1 6 2 12 2 2 5 2 3 8 11 2 3 7 2 2 8 2 5 3 3 4 6 2
"lively" 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 3 0 0 1 1 0 1 1 1 1 0 0 0 0 3 0 3 1 1 2 0 1 0 2 0 0 2 0 4 0 0 1 1 2 3 0 0 1 0 0 1 1 0 0 1 1 1 0 2 2 0 0 2 1 1 0 0 2 2 0
"loud" 0 0 0 0 0 0 1 1 0 0 2 1 0 1 0 2 0 1 0 1 1 0 1 0 0 1 0 1 0 1 1 3 0 3 4 1 0 0 1 0 0 0 1 3 0 0 1 0 1 1 1 0 0 0 1 0 0 1 0 1 2 2 0 1 0 0 1 1 0 1 1 0 1 2 0
"lovely" 2 1 1 4 2 7 3 4 3 2 2 2 2 5 2 3 0 0 3 1 3 0 5 1 4 2 2 1 2 9 1 8 0 6 6 2 0 1 3 0 2 2 2 8 1 1 0 1 0 7 1 2 1 2 7 1 2 3 3 1 4 3 1 1 5 2 1 4 1 1 0 0 3 6 2
"natural" 0 0 0 2 1 2 2 0 1 2 2 2 1 1 1 2 0 0 0 2 2 1 3 2 1 2 1 1 0 1 0 5 1 7 3 1 0 0 0 1 0 0 0 4 1 0 1 0 1 2 0 2 0 0 0 1 1 0 1 2 3 2 0 2 2 2 1 0 3 1 0 0 3 1 0
"nervous" 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 4 1 0 1 0 0 0 1 1 1 0 0 1 0 2 1 3 1 2 1 0 0 0 0 0 0 1 1 2 2 1 0 1 0 0 2 1 0 1 1 0 1 0 0 0 2 1 0 1 1 1 1 0 1 0 0 0 0 1 0
"old" 1 2 1 1 2 6 2 5 0 0 2 3 0 5 1 5 0 2 2 1 0 2 6 1 4 3 1 2 1 7 0 10 2 9 6 3 2 0 4 0 2 1 2 12 3 1 7 2 0 0 3 2 4 2 6 2 2 4 4 1 4 8 1 1 5 3 2 2 2 1 0 2 6 6 0
"open" 0 0 1 1 2 1 1 0 0 3 2 4 0 1 0 4 1 0 1 0 0 0 0 0 0 0 0 3 0 1 1 3 1 7 3 1 0 0 0 1 1 1 2 5 0 1 1 0 2 3 0 0 2 1 3 0 0 1 0 2 3 4 0 1 0 1 1 0 0 1 1 2 0 0 1
"peaceful" 0 0 0 2 1 2 1 1 1 2 2 1 0 0 1 1 0 0 0 0 1 1 1 0 0 0 1 1 0 1 0 1 0 2 2 0 1 0 0 0 0 1 0 1 0 0 2 2 1 2 0 0 1 1 1 0 1 0 0 1 0 0 0 1 3 1 0 0 2 0 0 0 1 0 0
"pleasant" 2 1 2 0 0 2 0 1 1 0 2 2 1 2 0 5 1 0 1 1 1 1 2 0 2 1 0 0 0 4 0 2 0 6 3 0 0 2 0 0 1 1 0 6 1 0 1 0 0 4 2 1 0 0 2 0 0 1 2 1 0 2 0 2 2 0 0 0 1 1 0 1 2 0 2
"pleased" 0 0 0 0 2 2 0 0 0 0 2 0 0 2 0 1 0 0 1 0 1 0 1 0 1 0 0 1 0 2 0 0 1 3 1 0 0 0 0 1 1 1 1 2 0 0 2 0 1 2 1 1 0 0 3 0 0 0 1 0 1 2 0 0 1 0 0 2 0 0 0 1 0 2 0
"poor" 2 2 0 3 2 5 6 3 3 1 3 3 1 2 2 5 3 1 4 0 2 1 4 2 6 2 1 1 5 6 2 7 2 9 8 3 1 2 3 2 9 1 5 12 0 1 7 0 1 6 3 1 2 3 0 2 1 2 4 0 4 8 1 2 6 2 1 5 3 3 2 3 2 5 1
"powerful" 0 1 0 3 0 1 2 1 0 0 1 0 0 0 1 2 0 0 0 0 1 1 1 2 1 0 0 0 1 1 1 3 0 2 2 1 1 0 1 0 1 0 0 2 1 0 1 1 0 2 0 0 0 0 2 0 0 1 0 1 0 2 0 0 1 0 1 2 0 0 0 1 1 0 0
"rich" 0 0 0 1 0 2 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 1 0 0 2 0 3 1 0 2 0 0 0 0 0 0 0 0 2 1 0 2 1 1 2 0 1 0 0 1 0 0 0 0 0 1 0 0 1 3 1 0 0 1 0 0 0 0 2 0
"rude" 1 1 0 1 0 1 1 2 0 0 0 1 0 2 1 0 0 0 0 1 0 0 2 1 1 2 0 1 0 3 0 3 0 2 2 3 0 0 0 0 1 0 0 5 0 1 3 0 0 4 1 0 1 0 2 1 0 0 1 0 1 2 0 0 2 0 1 1 0 0 0 1 1 1 0
"sad" 1 1 1 0 0 4 2 1 0 0 2 1 0 2 1 2 1 0 1 0 0 2 3 0 2 1 0 0 1 2 0 3 0 4 5 1 0 0 1 0 3 0 2 2 0 0 3 1 0 4 0 0 2 1 4 0 0 1 0 1 1 4 1 0 2 1 1 2 2 0 0 0 3 1 0
"satisfied" 0 1 1 3 0 0 2 0 1 2 4 3 0 0 1 4 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 3 0 3 5 0 0 1 0 1 1 1 0 3 1 1 1 2 0 1 2 1 1 0 0 1 0 0 1 0 0 2 0 1 2 0 0 1 1 2 1 0 0 0 1
"short" 0 0 2 0 1 2 2 0 2 1 4 3 0 2 0 5 0 1 1 1 0 1 2 1 2 3 0 2 0 5 2 5 1 5 2 2 0 0 1 1 1 0 2 8 1 2 4 3 2 4 3 0 0 1 4 0 1 1 1 0 0 4 1 1 2 3 1 1 2 2 0 1 1 5 1
"strange" 0 2 1 2 2 3 2 2 1 2 5 2 0 3 1 7 3 1 2 2 1 1 4 1 1 2 1 2 2 7 1 8 1 13 8 2 3 1 5 1 5 1 3 11 1 2 3 2 1 8 4 0 2 2 8 2 0 2 4 2 4 0 3 1 1 3 2 6 2 3 2 2 6 3 0
"strong" 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 2 2 1 0 0 2 0 1 0 1 2 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 3 0 0 0 2 1 1 0 0 0 0 0 1 1
"surprised" 1 1 0 0 0 1 0 0 1 0 1 2 0 0 0 3 0 1 1 0 1 0 1 2 0 0 1 0 0 3 1 4 1 3 4 1 0 0 0 0 1 1 2 3 2 1 1 2 1 1 1 1 2 0 2 0 1 0 0 1 1 1 0 0 4 0 0 2 3 2 1 1 0 4 0
"sweet" 1 1 0 2 0 4 1 1 3 1 2 3 0 2 2 5 1 0 3 0 0 1 2 2 4 1 1 2 0 6 1 4 1 2 6 2 0 1 0 0 1 0 1 7 2 0 5 2 1 5 0 3 2 1 6 1 3 2 2 2 2 1 0 4 0 1 1 3 3 2 0 0 0 4 0
"terrible" 0 0 0 2 0 2 0 1 0 1 1 2 1 2 0 4 1 0 1 1 0 0 0 0 0 1 0 0 0 1 1 4 0 2 3 0 0 0 3 1 0 0 1 2 0 0 2 2 1 3 1 1 0 0 2 0 1 0 1 0 3 3 2 0 1 0 1 0 1 0 0 0 1 2 1
"thin" 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 2 0 3 1 1 0 0 0 0 0 0 1 2 0 1 1 1 1 2 1 0 0 0 1 1 0 1 1 0 1 2 1 0 1 1 0 0 1 0 0 0 1 0 0
"unhappy" 1 2 1 1 1 2 1 3 3 0 4 1 0 2 0 2 1 0 1 1 2 2 2 1 1 2 0 0 1 6 2 2 0 4 7 0 1 0 1 1 4 0 1 8 2 1 4 0 0 2 0 0 0 2 5 2 0 1 2 1 1 6 1 2 3 0 0 0 1 2 1 0 2 4 0
"violent" 0 0 0 0 0 3 0 0 2 1 3 1 0 0 1 2 1 1 0 0 0 0 1 2 1 1 0 1 0 2 0 2 1 2 2 0 0 0 0 0 1 1 1 2 1 0 1 3 1 2 0 2 1 0 3 0 1 0 2 1 2 2 0 3 3 1 1 1 0 0 1 1 1 2 0
"warm" 1 1 2 0 0 0 2 0 1 0 1 1 0 1 0 2 0 0 1 1 0 0 1 0 1 0 0 0 0 2 1 0 0 4 4 0 0 0 1 0 0 0 0 5 1 1 1 1 0 1 1 0 1 0 3 0 0 0 0 2 2 3 0 2 2 0 0 2 0 0 1 0 1 1 0
"weak" 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 2 0 3 2 0 0 0 1 1 0 2 1 3 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 2 0 1 0 0 0 1 1 1 0 1 1 1 0
"well" 0 0 0 1 1 1 2 0 0 0 0 1 1 2 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 2 0 1 1 4 4 1 0 0 0 0 1 1 2 3 0 0 0 0 0 2 2 0 1 1 3 1 0 1 0 0 1 2 0 1 0 0 0 0 1 0 1 0 0 1 1
"wonderful" 1 2 0 1 1 3 2 2 0 1 2 1 1 2 0 2 0 2 1 1 1 2 6 1 1 2 1 0 2 5 0 4 0 8 5 0 2 0 2 1 2 1 0 4 2 1 3 3 0 6 0 1 2 0 2 1 0 1 3 0 1 6 0 0 0 1 1 2 1 1 1 0 0 2 0
"young" 1 2 1 0 2 2 1 1 2 1 2 3 0 4 0 3 1 2 3 1 1 0 4 2 2 1 1 1 1 8 2 7 1 3 7 1 0 1 2 2 1 2 2 6 2 2 6 1 1 6 0 0 0 2 5 0 2 1 1 0 5 3 1 4 4 2 0 4 2 1 1 1 2 0 0
"worthy" 1 0 0 1 1 1 1 0 0 1 1 1 1 1 0 1 0 0 0 0 1 0 1 0 2 0 0 1 0 1 0 0 0 2 1 0 0 2 0 0 2 0 0 2 0 0 2 0 0 0 1 0 2 0 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0
