"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "bad" "beautiful" "capable" "certain" "charming" "cheerful" "cold" "comfortable" "delighted" "delightful" "determined" "disappointed" "eager" "excellent" "extraordinary" "fair" "fine" "foolish" "gentle" "glad" "good" "great" "handsome" "happy" "honest" "ignorant" "impatient" "important" "interesting" "kind" "little" "natural" "old" "open" "plain" "pleasant" "pleased" "pleasing" "poor" "positive" "pretty" "private" "proper" "quiet" "remarkable" "rich" "satisfied" "secure" "sensible" "short" "strange" "strong" "stupid" "surprised" "sweet" "tired" "uncomfortable" "warm" "young"
"certain" 2 0 1 1 2 1 1 1 2 1 0 1 1 0 2 0 1 0 1 3 2 0 2 4 2 1 1 8 5 1 6 0 1 1 2 2 1 9 1 2 4 1 2 2 1 4 3 2 1 0 3 1 2 0 0 2 4 1 0 0 0 1 1 1 1 5
"charming" 1 1 4 1 0 3 2 3 3 1 1 0 2 2 2 2 3 1 1 3 4 1 4 4 0 2 3 10 8 5 7 2 0 4 0 2 4 10 2 5 1 0 2 1 2 1 1 1 1 1 0 2 0 3 1 0 6 2 2 0 2 4 5 1 2 10
"cheerful" 2 0 0 1 0 0 0 1 1 1 1 2 0 1 4 0 1 0 0 3 1 0 0 1 1 1 3 5 5 2 5 3 1 0 1 3 2 6 1 4 2 0 0 0 1 2 1 1 0 0 1 2 0 1 1 1 4 2 1 0 1 1 1 1 1 3
"cold" 2 1 0 0 1 2 1 0 1 0 0 2 1 0 0 1 1 1 1 2 0 0 1 0 1 0 1 4 3 1 1 1 0 0 1 0 1 3 0 1 2 0 1 0 1 2 0 0 1 1 1 0 1 2 2 1 3 4 3 1 1 2 1 2 0 2
"comfortable" 2 0 2 1 0 4 1 3 1 2 2 2 4 0 0 0 1 0 0 2 1 1 1 4 1 1 3 5 7 1 5 2 1 1 1 2 1 9 1 3 3 0 0 0 1 4 2 1 0 0 2 1 0 0 1 2 5 4 0 0 2 0 2 1 1 3
"delighted" 0 2 1 0 1 0 1 0 1 0 0 2 0 1 0 0 4 1 1 0 1 1 0 1 0 0 2 4 7 1 4 1 0 1 1 0 2 6 1 2 1 0 3 1 0 0 0 2 1 0 0 0 1 1 1 0 3 0 2 0 1 3 1 0 1 5
"delightful" 2 6 4 0 2 3 2 1 5 2 1 3 1 1 1 4 0 2 2 3 3 3 1 5 0 0 4 17 16 6 10 1 1 1 1 1 3 14 4 7 5 3 4 4 1 5 1 3 1 5 2 2 1 2 1 0 8 2 5 3 5 3 4 0 1 11
"determined" 1 2 0 0 0 2 0 1 1 0 0 1 0 1 0 1 2 0 0 2 2 1 2 1 0 0 3 5 3 3 2 0 1 0 1 1 0 5 1 0 2 2 0 1 0 1 1 0 1 0 0 0 0 1 0 0 2 1 2 0 1 2 2 1 1 5
"disappointed" 0 2 4 0 0 2 1 1 1 0 1 1 0 1 0 1 2 0 0 0 2 0 4 2 1 2 2 5 5 2 4 0 0 2 0 0 0 6 0 4 3 1 1 0 1 2 0 2 2 0 3 0 1 0 1 0 5 3 2 0 1 1 2 0 0 4
"eager" 3 0 0 3 3 2 1 0 2 1 3 3 3 2 2 0 3 2 0 0 1 0 3 4 1 1 3 9 4 3 7 0 1 1 1 1 1 6 3 3 2 0 0 1 1 3 1 3 1 1 1 1 0 3 0 3 3 2 2 0 1 4 2 1 2 4
"excellent" 0 3 2 0 0 2 2 3 1 0 2 4 1 0 1 1 3 2 2 1 0 4 4 5 0 3 1 10 7 4 6 1 0 0 1 1 2 11 1 7 4 3 1 0 0 2 0 3 1 1 2 2 2 1 0 0 4 2 2 1 1 2 3 2 1 6
"extraordinary" 0 4 2 2 1 1 1 2 0 0 0 1 0 0 1 1 3 1 0 0 4 0 0 4 0 0 2 7 5 3 2 0 1 0 1 0 2 5 1 4 3 3 0 2 1 2 0 1 0 2 0 1 0 0 1 0 1 1 1 1 3 1 1 0 1 5
"fair" 1 2 3 0 0 5 3 1 3 0 2 4 0 1 1 0 1 2 4 3 4 0 0 2 0 3 3 6 5 3 5 0 0 3 0 1 1 9 1 5 2 1 1 0 2 3 0 1 2 0 1 0 1 2 0 0 5 2 1 1 1 3 2 2 1 6
"fine" 2 5 4 5 4 7 5 4 7 3 4 4 1 0 4 1 5 1 2 4 5 4 2 0 2 3 7 18 16 7 11 0 2 2 2 2 1 17 2 11 5 2 6 2 1 6 3 7 1 0 4 6 4 2 1 4 9 3 1 2 6 2 3 1 4 14
"foolish" 1 0 0 1 1 1 1 1 1 0 2 0 1 1 1 0 0 0 1 1 0 0 0 2 0 0 2 4 3 0 3 1 1 0 0 0 1 4 1 2 1 0 0 1 0 2 1 1 0 0 1 1 0 1 1 2 1 2 0 1 0 1 2 0 1 2
"gentle" 0 1 2 0 0 2 2 2 2 0 1 2 1 0 1 0 0 0 2 1 3 0 3 3 0 0 1 4 2 1 5 2 0 0 0 1 1 6 0 4 1 1 0 1 0 3 1 1 1 0 1 0 1 1 1 0 5 0 0 0 0 1 0 2 1 5
"glad" 3 5 5 4 3 3 4 1 3 0 1 3 3 1 3 2 4 3 2 3 1 2 3 7 2 1 0 15 13 2 11 3 0 1 0 3 4 17 1 9 6 1 3 3 1 7 3 2 1 2 2 1 1 2 3 5 10 6 2 3 4 4 3 2 2 14
"good" 9 13 11 4 6 7 7 6 7 4 8 10 5 4 5 4 17 5 5 9 10 7 6 18 4 4 15 0 39 15 27 5 3 3 5 5 9 40 7 18 12 7 8 8 5 16 4 8 3 8 4 6 5 8 5 6 25 13 9 5 10 7 10 6 6 33
"great" 7 11 13 3 7 10 6 6 9 4 5 8 5 3 7 7 16 3 5 4 7 5 5 16 3 2 13 39 0 12 26 4 3 4 7 6 6 40 7 17 10 5 7 8 3 14 4 9 3 6 5 7 5 4 4 3 21 14 7 4 8 5 10 2 4 31
"handsome" 2 4 3 1 1 3 1 3 2 1 1 5 2 1 1 1 6 3 2 3 4 3 3 7 0 1 2 15 12 0 8 2 0 1 2 2 2 10 1 7 2 3 3 0 1 1 1 3 0 1 0 3 1 3 1 0 7 2 3 1 4 1 5 2 1 11
"happy" 6 4 6 3 3 6 6 4 6 2 6 7 5 1 5 4 10 2 4 7 6 2 5 11 3 5 11 27 26 8 0 5 2 3 3 2 4 27 7 9 8 2 3 3 3 10 4 5 4 4 6 5 3 3 3 4 17 6 4 2 4 3 6 1 3 19
"honest" 1 0 0 0 0 0 1 2 0 0 0 2 3 1 2 1 1 0 0 0 1 0 0 0 1 2 3 5 4 2 5 0 0 0 0 1 2 7 0 3 0 0 2 0 0 3 1 0 0 1 0 1 0 2 2 1 3 2 1 0 0 2 2 1 0 2
"ignorant" 2 1 1 0 0 0 1 0 1 1 1 0 1 0 1 0 1 1 0 1 0 1 0 2 1 0 0 3 3 0 2 0 0 0 1 1 0 3 2 0 2 1 0 1 2 3 1 1 0 1 1 2 0 1 0 2 0 0 0 1 1 0 1 0 2 4
"impatient" 0 1 2 1 2 2 2 1 2 2 1 4 0 0 1 1 1 0 2 1 0 0 3 2 0 0 1 3 4 1 3 0 0 0 0 1 3 5 1 1 2 0 2 3 2 0 0 2 1 1 0 1 1 2 0 0 3 1 0 0 1 2 1 0 0 5
"important" 2 1 0 0 1 0 0 1 0 1 2 0 1 1 1 1 1 1 0 1 1 1 0 2 0 0 0 5 7 2 3 0 1 0 0 3 1 4 0 2 2 1 0 0 1 2 0 1 0 0 1 1 0 0 1 1 3 1 0 0 0 1 1 0 1 5
"interesting" 3 2 0 1 0 0 2 1 2 1 2 2 3 0 2 0 1 1 0 1 1 0 1 2 0 1 3 5 6 2 2 1 1 1 3 0 2 8 0 2 4 1 2 2 1 3 0 1 0 0 1 2 0 2 0 1 3 0 0 2 2 1 1 1 1 6
"kind" 2 2 1 1 3 3 4 2 0 0 1 4 2 1 1 2 3 0 0 1 2 2 1 1 1 1 4 9 6 2 4 2 0 3 1 2 0 6 2 5 2 1 2 3 2 3 0 2 2 1 0 1 1 3 3 0 5 1 2 2 2 2 0 2 0 9
"little" 7 10 14 4 4 10 8 7 7 2 9 10 6 3 9 6 14 5 6 6 11 5 9 17 4 6 17 40 40 10 27 7 3 5 4 8 6 0 7 16 12 7 10 8 5 18 5 9 4 5 6 6 5 7 4 5 23 12 7 5 7 8 10 5 4 33
"natural" 2 2 2 1 2 2 1 0 1 0 1 2 1 0 1 1 4 1 0 3 1 1 1 2 1 0 1 7 7 1 7 0 2 1 0 0 2 7 0 2 0 1 1 2 2 4 1 0 1 2 1 1 1 1 1 1 3 2 1 2 2 0 2 0 1 6
"old" 3 5 5 2 4 4 4 4 4 1 2 5 4 1 3 2 7 0 4 3 7 4 5 11 2 4 9 18 17 7 9 3 0 1 2 2 5 16 2 0 4 2 3 2 0 5 3 5 1 1 2 4 3 2 3 1 13 6 2 2 2 4 5 2 1 14
"open" 2 4 1 2 3 4 2 0 3 2 4 1 2 2 3 1 5 2 3 2 4 3 2 5 1 1 6 12 10 2 8 0 2 2 2 4 2 12 0 4 0 2 4 4 2 5 2 2 0 4 4 2 1 2 2 2 9 3 1 2 3 2 0 2 1 9
"plain" 0 2 2 0 0 0 1 2 0 0 1 0 0 0 0 0 3 2 1 0 3 3 1 2 0 1 1 7 5 3 2 0 1 0 1 1 1 7 1 2 2 0 1 2 1 2 0 1 0 1 1 1 0 0 0 0 2 1 1 1 3 0 1 0 0 5
"pleasant" 1 2 3 1 3 2 2 0 2 0 2 2 0 1 0 3 4 0 1 0 1 0 1 6 0 0 3 8 7 3 3 2 0 2 0 2 2 10 1 3 4 1 0 3 0 2 1 2 1 1 0 1 3 2 1 0 5 0 1 1 1 1 2 2 0 6
"pleased" 1 4 2 2 2 2 1 0 3 1 2 1 0 0 0 1 4 1 0 1 0 2 0 2 1 1 3 8 8 0 3 0 1 3 0 2 3 8 2 2 4 2 3 0 1 3 0 1 0 3 0 1 0 2 1 0 2 1 1 1 1 1 1 0 1 8
"pleasing" 1 2 2 0 0 1 1 0 0 1 1 2 1 1 1 0 1 0 1 1 0 1 2 1 0 0 1 5 3 1 3 0 2 2 1 1 2 5 2 0 2 1 0 1 0 3 0 1 1 2 1 1 1 1 2 2 2 1 0 1 2 1 0 0 1 5
"poor" 6 5 3 1 2 3 4 2 3 1 4 1 2 2 4 0 5 1 2 3 2 2 3 6 2 3 7 16 14 1 10 3 3 0 2 3 3 18 4 5 5 2 2 3 3 0 5 3 3 1 3 4 0 3 3 4 13 9 4 4 3 2 2 3 2 12
"positive" 1 0 1 1 1 2 0 0 2 1 3 1 1 0 2 0 1 1 0 1 0 0 0 3 1 1 3 4 4 1 4 1 1 0 0 0 0 5 1 3 2 0 1 0 0 5 0 1 0 0 1 2 1 0 0 1 4 3 0 0 0 2 0 1 0 4
"pretty" 1 1 1 2 3 2 2 2 2 2 2 1 1 0 1 2 3 0 2 3 3 1 1 7 1 1 2 8 9 3 5 0 1 2 1 1 2 9 0 5 2 1 2 1 1 3 1 0 2 2 2 2 2 2 1 2 2 3 2 1 2 1 2 0 2 8
"private" 1 0 2 0 1 2 1 1 1 0 1 1 0 1 0 1 1 1 2 1 1 0 2 1 0 1 1 3 3 0 4 0 0 1 0 0 2 4 1 1 0 0 1 0 1 3 0 2 0 0 1 0 3 1 1 0 4 2 2 0 1 1 0 1 0 3
"proper" 0 2 1 1 2 1 0 0 1 1 0 1 0 1 0 0 5 0 0 1 1 2 0 0 0 0 2 8 6 1 4 1 1 1 0 0 1 5 2 1 4 1 1 3 2 1 0 2 0 0 0 0 1 1 2 1 2 2 2 2 2 1 2 0 1 4
"quiet" 1 0 1 1 0 3 2 0 1 1 3 0 1 1 2 0 2 0 3 1 2 0 1 4 1 1 2 4 5 0 6 0 1 0 1 1 0 6 1 2 4 1 0 0 1 3 1 2 1 0 0 2 1 0 0 1 4 2 1 0 1 0 0 0 1 2
"remarkable" 2 1 0 1 0 0 2 1 3 2 1 2 2 0 1 0 2 0 0 1 2 1 0 6 1 0 1 6 7 3 5 1 2 1 1 2 1 6 1 4 2 1 1 1 1 4 2 2 0 0 2 0 1 1 0 2 3 2 1 2 1 0 1 0 2 4
"rich" 1 1 2 0 2 2 1 1 2 0 2 0 0 1 0 1 1 0 1 0 2 0 1 4 0 1 1 5 5 1 3 0 0 1 0 0 1 5 1 3 1 0 3 0 1 0 1 2 3 1 1 1 0 1 1 1 3 1 0 1 0 0 0 0 0 4
"satisfied" 4 1 0 1 0 2 4 0 2 1 0 3 1 2 0 1 2 1 0 3 1 0 2 2 1 1 2 8 4 3 3 2 1 2 0 2 3 7 1 2 2 0 2 2 1 3 0 2 1 1 0 1 1 0 0 2 2 1 1 2 0 5 1 2 1 6
"secure" 0 0 0 1 2 1 1 2 0 0 0 1 1 2 1 1 1 0 1 0 0 1 0 1 1 1 3 5 4 1 3 2 0 0 1 0 3 4 1 3 2 0 1 1 2 3 0 1 1 2 0 0 1 0 0 1 5 2 0 1 2 0 1 0 0 3
"sensible" 3 0 0 2 1 0 2 0 1 1 2 0 1 1 2 0 0 0 0 3 0 0 0 4 2 0 5 6 3 0 4 1 2 0 1 1 0 5 1 1 2 0 0 0 2 4 1 2 0 1 1 2 1 2 1 0 1 2 0 2 0 2 2 0 2 3
"short" 5 5 6 0 2 6 5 5 4 2 4 6 4 3 5 3 8 2 5 3 4 1 5 9 1 5 10 25 21 7 17 3 0 3 3 3 5 23 3 13 9 2 5 2 2 13 4 2 4 2 4 3 3 2 5 1 0 8 4 3 5 3 4 4 1 16
"strange" 3 3 2 1 2 5 0 2 0 2 1 2 2 4 4 0 2 1 3 2 2 1 2 3 2 0 6 13 14 2 6 2 0 1 1 0 1 12 2 6 3 1 0 1 1 9 3 3 2 2 2 2 1 1 2 2 8 0 5 2 1 2 4 2 1 7
"strong" 2 4 1 0 0 1 1 1 2 0 0 2 1 3 0 2 5 2 2 2 2 1 1 1 0 0 2 9 7 3 4 1 0 0 0 0 2 7 1 2 1 1 1 1 0 4 0 2 2 2 1 1 0 1 0 0 4 5 0 1 1 2 3 2 2 6
"stupid" 2 2 0 0 0 0 3 1 2 0 0 0 0 1 0 0 3 0 0 0 1 1 1 2 1 0 3 5 4 1 2 0 1 0 0 2 2 5 2 2 2 1 1 1 1 4 0 1 0 2 0 2 1 2 1 2 3 2 1 0 1 0 1 0 1 4
"surprised" 0 6 1 2 1 2 4 1 2 2 0 2 1 1 2 1 5 1 1 1 1 3 1 6 0 0 4 10 8 4 4 0 1 1 0 2 2 7 2 2 3 3 1 1 2 3 0 2 1 2 1 1 0 0 2 0 5 1 1 1 0 1 1 1 1 8
"sweet" 1 2 1 2 2 3 2 0 1 1 1 4 1 2 0 3 3 2 1 4 2 1 3 2 1 1 4 7 5 1 3 2 0 2 1 1 2 8 0 4 2 0 1 1 1 2 2 1 1 1 0 0 0 5 0 2 3 2 2 0 1 0 1 2 1 5
"tired" 3 2 3 0 0 1 2 2 2 0 1 5 1 1 2 1 4 2 2 2 3 1 2 3 2 0 3 10 10 5 6 2 1 1 1 1 0 10 2 5 0 1 2 1 0 2 0 2 0 2 0 1 0 1 1 2 4 4 3 1 1 1 0 1 2 9
"uncomfortable" 1 2 4 0 1 2 1 0 0 0 1 1 1 2 1 0 0 1 0 1 2 0 2 1 0 2 2 6 2 2 1 1 0 0 0 1 2 5 0 2 2 0 2 0 0 3 1 0 1 0 0 0 0 2 0 0 4 2 2 0 1 2 1 0 0 6
"warm" 2 3 0 1 0 0 1 0 3 1 1 2 1 0 1 1 1 1 0 2 1 1 1 4 1 1 2 6 4 1 3 0 2 0 1 1 0 4 1 1 1 0 0 1 1 2 0 2 0 1 1 2 0 1 0 2 1 1 2 1 1 1 2 0 0 5
"young" 6 12 11 3 3 7 6 4 9 2 5 10 3 2 3 5 11 5 4 4 6 5 6 14 2 5 14 33 31 11 19 2 4 5 5 6 9 33 6 14 9 5 6 8 5 12 4 8 3 4 2 4 4 6 3 3 16 7 6 4 8 5 9 6 5 0
