"afraid" "agreeable" "alone" "anxious" "bad" "beautiful" "bright" "careful" "certain" "cheerful" "cold" "comfortable" "curious" "delightful" "excellent" "extraordinary" "fair" "fat" "fine" "gentle" "glad" "good" "great" "happy" "hard" "important" "little" "loud" "natural" "nice" "old" "open" "ordinary" "pleasant" "poor" "pretty" "private" "professional" "proper" "quiet" "remarkable" "rich" "short" "smart" "strange" "strong" "sweet" "tall" "thin" "violent" "warm" "worthy" "young"
"good" 22 20 15 24 27 27 20 13 28 18 44 28 21 15 25 38 17 34 41 19 25 0 156 46 19 25 152 36 24 30 146 43 21 36 36 22 28 17 19 29 20 19 78 19 28 28 16 18 16 20 19 17 118
"great" 29 24 15 22 26 29 24 17 34 23 46 28 19 19 26 34 21 37 44 17 22 156 0 45 20 26 168 43 27 29 163 52 25 43 38 32 35 17 17 38 24 21 84 16 31 34 16 20 17 18 22 20 125
"happy" 4 6 2 7 3 5 6 5 4 10 19 9 5 4 7 6 3 13 9 4 6 46 45 0 9 7 44 12 6 10 44 11 8 16 15 11 8 4 3 9 9 9 18 6 3 7 4 3 9 7 8 4 32
"hard" 2 6 3 1 8 2 2 2 4 4 11 4 3 1 3 2 1 3 7 2 1 19 20 9 0 4 20 9 1 4 27 3 2 2 10 3 4 2 1 6 4 6 9 1 6 1 2 3 4 4 1 1 18
"important" 5 4 2 5 5 4 3 2 4 2 7 2 2 5 3 1 3 7 5 3 4 25 26 7 4 0 24 5 3 7 18 7 2 8 6 6 4 4 4 1 2 2 9 4 6 4 5 0 1 2 2 4 18
"little" 32 19 20 26 28 26 22 16 37 21 44 29 18 20 23 38 15 33 46 20 21 152 168 44 20 24 0 41 27 27 157 55 21 34 53 27 36 19 20 34 24 18 75 15 30 35 16 20 19 21 20 16 123
"loud" 9 7 3 4 5 9 5 2 6 6 16 10 4 7 4 4 6 12 11 4 8 36 43 12 9 5 41 0 1 12 40 15 6 8 10 7 8 6 4 8 4 7 22 2 6 9 5 6 5 8 8 6 31
"natural" 4 3 2 4 5 0 2 8 5 2 4 7 5 5 3 6 5 4 6 1 3 24 27 6 1 3 27 1 0 6 22 8 3 3 8 5 5 4 3 5 3 3 12 2 5 3 1 6 2 1 1 4 22
"nice" 5 6 2 3 5 6 4 4 5 4 8 6 3 8 3 4 6 10 8 2 6 30 29 10 4 7 27 12 6 0 29 6 2 10 8 7 5 1 1 3 9 5 13 3 5 7 4 7 3 3 3 4 25
"old" 30 21 19 25 28 29 27 15 33 23 48 24 19 18 22 34 14 39 48 19 21 146 163 44 27 18 157 40 22 29 0 53 20 29 47 28 28 16 16 34 21 22 80 18 36 35 13 23 21 19 24 20 124
"open" 11 7 7 5 8 9 11 4 9 3 17 9 6 10 7 13 5 15 18 2 11 43 52 11 3 7 55 15 8 6 53 0 11 10 11 10 10 7 8 8 5 3 28 8 12 13 4 9 9 4 2 3 41
"ordinary" 1 1 2 2 5 1 7 4 3 1 6 3 2 1 5 4 3 5 7 3 2 21 25 8 2 2 21 6 3 2 20 11 0 7 7 1 4 5 5 2 2 4 10 2 4 9 2 2 1 4 2 4 19
"pleasant" 3 8 1 5 5 6 6 5 7 7 7 8 6 8 9 3 4 9 7 5 6 36 43 16 2 8 34 8 3 10 29 10 7 0 10 7 6 2 4 6 4 9 18 5 5 7 6 4 4 5 4 7 26
"poor" 8 6 8 5 6 5 6 5 9 7 16 9 5 5 7 6 5 12 10 6 4 36 38 15 10 6 53 10 8 8 47 11 7 10 0 9 8 4 4 11 6 11 19 4 8 10 11 8 5 7 5 7 37
"pretty" 8 5 4 3 2 3 8 3 4 5 10 1 2 4 1 7 3 8 9 3 7 22 32 11 3 6 27 7 5 7 28 10 1 7 9 0 0 0 6 6 3 1 12 2 7 5 5 1 2 3 4 4 27
"private" 8 4 1 6 2 7 3 2 11 6 8 4 6 6 2 8 4 2 6 2 1 28 35 8 4 4 36 8 5 5 28 10 4 6 8 0 0 6 1 7 7 3 14 5 6 4 3 3 3 2 3 6 20
"professional" 3 2 0 2 2 1 0 1 2 0 5 3 4 2 2 4 3 3 3 1 3 17 17 4 2 4 19 6 4 1 16 7 5 2 4 0 6 0 1 3 4 1 13 3 0 5 0 2 6 1 1 0 10
"proper" 3 0 2 4 3 1 3 2 1 4 5 4 0 1 2 5 0 5 2 1 4 19 17 3 1 4 20 4 3 1 16 8 5 4 4 6 1 1 0 6 0 0 10 2 0 4 1 3 2 3 4 3 11
"quiet" 6 8 7 4 3 5 4 4 8 7 13 8 2 2 5 7 1 5 10 5 3 29 38 9 6 1 34 8 5 3 34 8 2 6 11 6 7 3 6 0 6 7 24 3 6 4 1 6 4 6 6 4 30
"remarkable" 6 6 3 5 2 4 3 2 4 3 5 3 4 5 6 7 4 9 9 1 2 20 24 9 4 2 24 4 3 9 21 5 2 4 6 3 7 4 0 6 0 1 16 1 4 3 1 2 2 4 3 1 17
"rich" 4 3 4 2 4 7 6 0 3 5 11 3 4 3 1 1 3 7 9 8 3 19 21 9 6 2 18 7 3 5 22 3 4 9 11 1 3 1 0 7 1 0 11 3 3 5 5 3 3 2 6 2 21
"short" 16 15 7 12 14 12 12 9 15 10 25 13 10 9 14 20 7 21 16 10 9 78 84 18 9 9 75 22 12 13 80 28 10 18 19 12 14 13 10 24 16 11 0 5 14 17 5 12 12 14 15 10 63
"smart" 5 0 1 4 1 4 2 1 1 3 5 3 3 2 2 6 2 3 6 2 1 19 16 6 1 4 15 2 2 3 18 8 2 5 4 2 5 3 2 3 1 3 5 0 3 2 2 4 2 2 4 1 12
"strange" 9 8 6 0 7 6 4 6 8 2 10 4 5 5 5 14 4 4 10 4 4 28 31 3 6 6 30 6 5 5 36 12 4 5 8 7 6 0 0 6 4 3 14 3 0 8 4 9 3 4 6 2 20
"strong" 5 5 3 3 7 3 5 2 5 4 8 3 1 7 0 6 6 7 7 5 5 28 34 7 1 4 35 9 3 7 35 13 9 7 10 5 4 5 4 4 3 5 17 2 8 0 4 5 5 4 6 2 26
"sweet" 2 1 3 3 3 7 5 3 5 1 8 1 3 4 0 1 2 2 2 4 4 16 16 4 2 5 16 5 1 4 13 4 2 6 11 5 3 0 1 1 1 5 5 2 4 4 0 2 1 3 4 2 17
"tall" 7 3 2 3 1 3 3 3 5 5 8 5 3 1 3 6 4 3 8 1 3 18 20 3 3 0 20 6 6 7 23 9 2 4 8 1 3 2 3 6 2 3 12 4 9 5 2 0 8 4 4 3 12
"thin" 3 2 4 3 3 1 4 2 3 2 7 5 2 4 3 5 0 4 6 2 2 16 17 9 4 1 19 5 2 3 21 9 1 4 5 2 3 6 2 4 2 3 12 2 3 5 1 8 0 2 1 2 11
"violent" 4 3 3 3 3 2 2 0 6 3 5 3 3 1 1 6 1 3 3 4 2 20 18 7 4 2 21 8 1 3 19 4 4 5 7 3 2 1 3 6 4 2 14 2 4 4 3 4 2 0 4 4 13
"warm" 6 3 2 5 4 8 5 1 4 4 10 3 3 3 5 5 3 4 8 3 3 19 22 8 1 2 20 8 1 3 24 2 2 4 5 4 3 1 4 6 3 6 15 4 6 6 4 4 1 4 0 2 21
"worthy" 3 2 0 5 3 3 1 3 0 3 5 3 1 1 3 3 1 3 4 1 2 17 20 4 1 4 16 6 4 4 20 3 4 7 7 4 6 0 3 4 1 2 10 1 2 2 2 3 2 4 2 0 14
"young" 22 19 11 21 22 23 20 11 24 17 35 24 15 15 19 17 13 32 34 13 22 118 125 32 18 18 123 31 22 25 124 41 19 26 37 27 20 10 11 30 17 21 63 12 20 26 17 12 11 13 21 14 0
