"anne_page::which";"hugh_evans::which"
"joe::like";"reuben_haredale::you"
"joe::like";"solomon::better"
"joe::like";"solomon::like"
"joe::like";"solomon::which"
"joe::like";"solomon::you"
"joe::like";"warren::better"
"joe::like";"warren::like"
"joe::like";"warren::which"
"joe::like";"warren::you"
"joe::which";"joe::you"
"joe::which";"reuben_haredale::better"
"joe::which";"reuben_haredale::like"
"joe::which";"reuben_haredale::which"
"joe::which";"reuben_haredale::you"
"joe::which";"solomon::better"
"joe::which";"solomon::like"
"joe::which";"solomon::which"
"joe::which";"solomon::you"
"joe::which";"warren::better"
"joe::which";"warren::like"
"joe::which";"warren::which"
"joe::which";"warren::you"
"joe::you";"reuben_haredale::better"
"joe::you";"reuben_haredale::like"
"joe::you";"reuben_haredale::which"
"joe::you";"reuben_haredale::you"
"joe::you";"solomon::better"
"joe::you";"solomon::like"
"joe::you";"solomon::which"
"joe::you";"solomon::you"
"joe::you";"warren::better"
"joe::you";"warren::like"
"joe::you";"warren::which"
"joe::you";"warren::you"
"reuben_haredale::better";"reuben_haredale::like"
"reuben_haredale::better";"reuben_haredale::which"
"reuben_haredale::better";"reuben_haredale::you"
"reuben_haredale::better";"solomon::better"
"reuben_haredale::better";"solomon::like"
"reuben_haredale::better";"solomon::which"
"reuben_haredale::better";"solomon::you"
"reuben_haredale::better";"warren::better"
"reuben_haredale::better";"warren::like"
"reuben_haredale::better";"warren::which"
"reuben_haredale::better";"warren::you"
"reuben_haredale::like";"reuben_haredale::which"
"reuben_haredale::like";"reuben_haredale::you"
"reuben_haredale::like";"solomon::better"
"reuben_haredale::like";"solomon::like"
"reuben_haredale::like";"solomon::which"
"reuben_haredale::like";"solomon::you"
"reuben_haredale::like";"warren::better"
"reuben_haredale::like";"warren::like"
"reuben_haredale::like";"warren::which"
"reuben_haredale::like";"warren::you"
"reuben_haredale::which";"reuben_haredale::you"
"reuben_haredale::which";"solomon::better"
"reuben_haredale::which";"solomon::like"
"reuben_haredale::which";"solomon::which"
"reuben_haredale::which";"solomon::you"
"reuben_haredale::which";"warren::better"
"reuben_haredale::which";"warren::like"
"reuben_haredale::which";"warren::which"
"reuben_haredale::which";"warren::you"
"reuben_haredale::you";"solomon::better"
"reuben_haredale::you";"solomon::like"
"reuben_haredale::you";"solomon::which"
"reuben_haredale::you";"solomon::you"
"reuben_haredale::you";"warren::better"
"reuben_haredale::you";"warren::like"
"reuben_haredale::you";"warren::which"
"reuben_haredale::you";"warren::you"
"solomon::better";"solomon::like"
"solomon::better";"solomon::which"
"solomon::better";"solomon::you"
"solomon::better";"warren::better"
"solomon::better";"warren::like"
"solomon::better";"warren::which"
"solomon::better";"warren::you"
"solomon::like";"solomon::which"
"solomon::like";"solomon::you"
"solomon::like";"warren::better"
"solomon::like";"warren::like"
"solomon::like";"warren::which"
"solomon::like";"warren::you"
"solomon::which";"solomon::you"
"solomon::which";"warren::better"
"solomon::which";"warren::like"
"solomon::which";"warren::which"
"solomon::which";"warren::you"
"solomon::you";"warren::better"
"solomon::you";"warren::like"
"solomon::you";"warren::which"
"solomon::you";"warren::you"
"warren::better";"warren::like"
"warren::better";"warren::which"
"warren::better";"warren::you"
"warren::like";"warren::which"
"warren::like";"warren::you"
"warren::which";"warren::you"
"solomon::behaviour";"solomon::glow"
"haredale::like";"solomon::like"
"haredale::like";"warren::like"
"daisy::snuffling";"daisy::which"
"gabriel::you";"gabriel::your"
"gabriel::brag";"gabriel::which"
"gabriel_varden::quietly";"martha::quietly"
"gabriel::broad";"gabriel::gleam"
"gabriel::broad";"gabriel::savoury"
"gabriel::broad";"gabriel::which"
"gabriel::broad";"joe::broad"
"gabriel::broad";"joe::gleam"
"gabriel::broad";"joe::savoury"
"gabriel::broad";"joe::which"
"gabriel::gleam";"gabriel::savoury"
"gabriel::gleam";"gabriel::which"
"gabriel::gleam";"joe::broad"
"gabriel::gleam";"joe::gleam"
"gabriel::gleam";"joe::savoury"
"gabriel::gleam";"joe::which"
"gabriel::savoury";"gabriel::which"
"gabriel::savoury";"joe::broad"
"gabriel::savoury";"joe::gleam"
"gabriel::savoury";"joe::savoury"
"gabriel::savoury";"joe::which"
"gabriel::which";"joe::broad"
"gabriel::which";"joe::gleam"
"gabriel::which";"joe::savoury"
"gabriel::which";"joe::which"
"joe::broad";"joe::gleam"
"joe::broad";"joe::savoury"
"joe::broad";"joe::which"
"joe::gleam";"joe::savoury"
"joe::gleam";"joe::which"
"joe::savoury";"joe::which"
"gabriel::its";"joe::its"
"joe::better";"varden::better"
"joe::rather";"john_willet::rather"
"gabriel::you";"joe::you"
"gabriel::you";"mr_varden::you"
"joe::you";"mr_varden::you"
"joe::you";"varden::you"
"gabriel_varden::which";"mrs_varden::which"
"gabriel_varden::kaleidoscope";"gabriel_varden::which"
"gabriel_varden::kaleidoscope";"mrs_varden::kaleidoscope"
"gabriel_varden::kaleidoscope";"mrs_varden::which"
"gabriel_varden::which";"mrs_varden::kaleidoscope"
"mrs_varden::kaleidoscope";"mrs_varden::which"
"barnaby::which";"varden::which"
"barnaby::about";"barnaby::rather"
"barnaby::about";"barnaby::which"
"dolly::breakfast";"dolly::your"
"sim::you";"sim::your"
"sim::rather";"simon_tappertit::rather"
"sim::littleness";"sim::which"
"sim::littleness";"simon_tappertit::littleness"
"sim::littleness";"simon_tappertit::which"
"sim::which";"simon_tappertit::littleness"
"sim::which";"simon_tappertit::which"
"simon_tappertit::littleness";"simon_tappertit::which"
"emma::truth";"mrs_rudge::truth"
"dolly::quartern";"dolly::which"
"dolly::quartern";"tappertit::quartern"
"dolly::quartern";"tappertit::which"
"dolly::which";"tappertit::quartern"
"dolly::which";"tappertit::which"
"tappertit::quartern";"tappertit::which"
"dolly::which";"gabriel::which"
"dolly::which";"sim::which"
"gabriel::which";"sim::which"
"dolly::increased";"gabriel::increased"
"dolly::increased";"sim::increased"
"gabriel::increased";"sim::increased"
"dolly::curl";"gabriel::curl"
"dolly::curl";"sim::curl"
"gabriel::curl";"sim::curl"
"gabriel::better";"gabriel::gust"
"gabriel::better";"gabriel::like"
"gabriel::better";"gabriel::which"
"gabriel::gust";"gabriel::like"
"gabriel::gust";"gabriel::which"
"gabriel::like";"gabriel::which"
"chester::looking";"chester::you"
"chester::looking";"gabriel::looking"
"chester::looking";"gabriel::you"
"chester::you";"gabriel::looking"
"chester::you";"gabriel::you"
"gabriel::looking";"gabriel::you"
"barnaby::you";"varden::you"
"gabriel::which";"gabriel::you"
"gabriel::looking";"gabriel::putting"
"barnaby::you";"barnaby::your"
"barnaby::like";"barnaby::you"
"barnaby::like";"varden::like"
"barnaby::like";"varden::you"
"barnaby::you";"varden::like"
"varden::like";"varden::you"
"barnaby::incoherently";"barnaby::led"
"barnaby::incoherently";"barnaby::silence"
"barnaby::led";"barnaby::silence"
"gabriel::like";"mr_varden::like"
"barnaby::earnestly";"barnaby::like"
"barnaby::earnestly";"gabriel::earnestly"
"barnaby::earnestly";"gabriel::like"
"barnaby::like";"gabriel::earnestly"
"barnaby::like";"gabriel::like"
"gabriel::earnestly";"gabriel::like"
"miggs::rather";"miggs::uncomfortable"
"miggs::you";"miggs::your"
"martha::you";"mrs_varden::you"
"miggs::its";"miggs::like"
"miggs::its";"miggs::you"
"miggs::like";"miggs::you"
"miggs::likewise";"mrs_varden::likewise"
"miggs::which";"mrs_varden::which"
"tappertit::its";"tappertit::you"
"stagg::rather";"stagg::truth"
"stagg::rather";"tappertit::rather"
"stagg::rather";"tappertit::truth"
"stagg::truth";"tappertit::rather"
"stagg::truth";"tappertit::truth"
"tappertit::rather";"tappertit::truth"
"joe::wall";"joseph_willet::wall"
"joe::wall";"joseph::wall"
"joseph_willet::wall";"joseph::wall"
"tappertit::about";"tappertit::which"
"miggs::which";"tappertit::which"
"miggs::putting";"miggs::you"
"tappertit::lamp";"tappertit::nearest"
"tappertit::pantomime";"tappertit::silence"
"tappertit::mim";"tappertit::you"
"miggs::lamp";"tappertit::lamp"
"miggs::earnestness";"miggs::you"
"miggs::earnestness";"tappertit::earnestness"
"miggs::earnestness";"tappertit::you"
"miggs::you";"tappertit::earnestness"
"miggs::you";"tappertit::you"
"tappertit::earnestness";"tappertit::you"
"john::about";"john::its"
"john::about";"john::looking"
"john::about";"john::perpetual"
"john::about";"john::silence"
"john::its";"john::looking"
"john::its";"john::perpetual"
"john::its";"john::silence"
"john::its";"john::which"
"john::looking";"john::perpetual"
"john::looking";"john::silence"
"john::looking";"john::which"
"john::perpetual";"john::silence"
"john::perpetual";"john::which"
"john::silence";"john::which"
"john_willet::you";"john_willet::your"
"hugh_john::rather";"hugh_john::you"
"john_willet::faintly";"john_willet::led"
"john_willet::end";"john_willet::which"
"john_willet::end";"john_willet::pace"
"barnaby::sort";"barnaby::truth"
"barnaby::sort";"john::sort"
"barnaby::sort";"john::truth"
"barnaby::truth";"john::sort"
"barnaby::truth";"john::truth"
"john::sort";"john::truth"
"barnaby::which";"john::which"
"barnaby::about";"john::about"
"barnaby::about";"mrs_rudge::about"
"john::about";"mrs_rudge::about"
"haredale::you";"john::you"
"barnaby::looking";"barnaby::you"
"chester::remark";"john::remark"
"barnaby::looking";"john::looking"
"barnaby::putting";"hugh::putting"
"john::its";"solomon_daisy::its"
"john::its";"solomon_daisy::which"
"john::which";"solomon_daisy::its"
"john::which";"solomon_daisy::which"
"solomon_daisy::its";"solomon_daisy::which"
"haredale::you";"john_willet::you"
"haredale::you";"solomon::you"
"john_willet::you";"solomon::you"
"john::about";"parkes::about"
"john::striking";"john::you"
"chester::exhibited";"john::exhibited"
"chester::exhibited";"solomon_daisy::exhibited"
"chester::exhibited";"willet::exhibited"
"john::exhibited";"solomon_daisy::exhibited"
"john::exhibited";"willet::exhibited"
"solomon_daisy::exhibited";"willet::exhibited"
"solomon::its";"solomon::you"
"haredale::looking";"john::looking"
"chester::you";"chester::your"
"chester::you";"haredale::you"
"chester::you";"haredale::your"
"chester::your";"haredale::you"
"chester::your";"haredale::your"
"haredale::you";"haredale::your"
"haredale::its";"haredale::silence"
"emma::you";"haredale::you"
"haredale::ill";"haredale::like"
"haredale::ill";"haredale::stopping"
"haredale::like";"haredale::stopping"
"chester::putting";"chester::your"
"john_willet::which";"john::which"
"barnaby::internal";"chester::internal"
"barnaby::internal";"hugh::internal"
"barnaby::internal";"john::internal"
"barnaby::internal";"willet::internal"
"chester::internal";"hugh::internal"
"chester::internal";"john::internal"
"chester::internal";"willet::internal"
"hugh::internal";"john::internal"
"hugh::internal";"willet::internal"
"john::internal";"willet::internal"
"chester::days";"chester::which"
"chester::days";"joseph_willet::days"
"chester::days";"joseph_willet::which"
"chester::which";"joseph_willet::days"
"chester::which";"joseph_willet::which"
"joseph_willet::days";"joseph_willet::which"
"hugh::chin";"hugh::touching"
"john::you";"john::your"
"john::you";"varden::you"
"joe::you";"john::you"
"hugh::better";"hugh::fortune"
"hugh::better";"joe::better"
"hugh::better";"joe::fortune"
"hugh::fortune";"joe::better"
"hugh::fortune";"joe::fortune"
"joe::better";"joe::fortune"
"dolly_varden::receipt";"john::receipt"
"joe_willet::looking";"joe_willet::spectacles"
"joe_willet::looking";"joe_willet::which"
"joe_willet::looking";"varden::looking"
"joe_willet::looking";"varden::spectacles"
"joe_willet::looking";"varden::which"
"joe_willet::spectacles";"joe_willet::which"
"joe_willet::spectacles";"varden::looking"
"joe_willet::spectacles";"varden::spectacles"
"joe_willet::spectacles";"varden::which"
"joe_willet::which";"varden::looking"
"joe_willet::which";"varden::spectacles"
"joe_willet::which";"varden::which"
"varden::looking";"varden::spectacles"
"varden::looking";"varden::which"
"varden::spectacles";"varden::which"
"joe::you";"mrs_varden::you"
"martha::which";"mrs_varden::which"
"martha::which";"willet::which"
"mrs_varden::which";"willet::which"
"joe::about";"joe::dare"
"dolly::you";"mrs_varden::you"
"joseph::you";"joseph::your"
"joseph::you";"varden::you"
"joseph::you";"varden::your"
"joseph::your";"varden::you"
"joseph::your";"varden::your"
"varden::you";"varden::your"
"gabriel::rather";"joe::rather"
"gabriel::rather";"mrs_varden::rather"
"joe::rather";"mrs_varden::rather"
"dolly::about";"miggs::about"
"miggs::like";"mrs_varden::like"
"black_lion::end";"joe::end"
"joe_willet::looking";"joe_willet::picturing"
"edward::pace";"edward::which"
"edward::which";"haredale::which"
"haredale::#-dare";"haredale::you"
"haredale::which";"haredale::you"
"edward::you";"edward::your"
"haredale::you";"willet::you"
"edward::ill";"edward::truth"
"edward::cannot";"edward::you"
"edward::you";"ned::you"
"edward::you";"ned::your"
"edward::your";"ned::you"
"edward::your";"ned::your"
"ned::you";"ned::your"
"ned::about";"ned::its"
"edward::exported";"edward::you"
"barnaby::about";"barnaby::putting"
"barnaby::putting";"grip::putting"
"barnaby::#-you";"barnaby::recollect"
"barnaby::silence";"polly::silence"
"stagg::you";"tappertit::you"
"tappertit::end";"tappertit::you"
"stagg::pay";"stagg::you"
"mrs_varden::uncomfortable";"pagan::uncomfortable"
"mrs_varden::uncomfortable";"sim_tappertit::uncomfortable"
"mrs_varden::uncomfortable";"toby::uncomfortable"
"pagan::uncomfortable";"sim_tappertit::uncomfortable"
"pagan::uncomfortable";"toby::uncomfortable"
"sim_tappertit::uncomfortable";"toby::uncomfortable"
"edward::you";"varden::you"
"edward::you";"warren::you"
"edward::you";"warren::your"
"edward::your";"warren::you"
"edward::your";"warren::your"
"warren::you";"warren::your"
"mrs_varden::you";"varden::you"
"gabriel::you";"martha::you"
"gabriel::better";"gabriel::you"
"gabriel::better";"martha::better"
"gabriel::better";"martha::you"
"gabriel::you";"martha::better"
"martha::better";"martha::you"
"martha::looking";"varden::looking"
"dolly::like";"dolly::you"
"barnaby::which";"dolly::which"
"barnaby::which";"edward::which"
"barnaby::which";"grip::which"
"barnaby::which";"mrs_varden::which"
"dolly::which";"edward::which"
"dolly::which";"grip::which"
"dolly::which";"mrs_varden::which"
"edward::which";"grip::which"
"edward::which";"mrs_varden::which"
"grip::which";"mrs_varden::which"
"dolly::about";"dolly::fidgeting"
"dolly::about";"edward::about"
"dolly::about";"edward::fidgeting"
"dolly::about";"gabriel::about"
"dolly::about";"gabriel::fidgeting"
"dolly::about";"mrs_varden::about"
"dolly::about";"mrs_varden::fidgeting"
"dolly::fidgeting";"edward::about"
"dolly::fidgeting";"edward::fidgeting"
"dolly::fidgeting";"gabriel::about"
"dolly::fidgeting";"gabriel::fidgeting"
"dolly::fidgeting";"mrs_varden::about"
"dolly::fidgeting";"mrs_varden::fidgeting"
"edward::about";"edward::fidgeting"
"edward::about";"gabriel::about"
"edward::about";"gabriel::fidgeting"
"edward::about";"mrs_varden::about"
"edward::about";"mrs_varden::fidgeting"
"edward::fidgeting";"gabriel::about"
"edward::fidgeting";"gabriel::fidgeting"
"edward::fidgeting";"mrs_varden::about"
"edward::fidgeting";"mrs_varden::fidgeting"
"gabriel::about";"gabriel::fidgeting"
"gabriel::about";"mrs_varden::about"
"gabriel::about";"mrs_varden::fidgeting"
"gabriel::fidgeting";"mrs_varden::about"
"gabriel::fidgeting";"mrs_varden::fidgeting"
"mrs_varden::about";"mrs_varden::fidgeting"
"dolly::putting";"gabriel::putting"
"dolly::putting";"martha::putting"
"gabriel::putting";"martha::putting"
"damme::faintly";"miggs::faintly"
"damme::faintly";"mrs_varden::faintly"
"miggs::faintly";"mrs_varden::faintly"
"dolly::you";"dolly::your"
"miggs::meekly";"mrs_varden::meekly"
"dolly::its";"mrs_varden::its"
"dolly::like";"mrs_varden::like"
"dolly::stopping";"mrs_varden::stopping"
"john::sort";"mrs_varden::sort"
"dolly::its";"haredale::its"
"dolly::its";"dolly::which"
"dolly::its";"emma::its"
"dolly::its";"emma::which"
"dolly::which";"emma::its"
"dolly::which";"emma::which"
"emma::its";"emma::which"
"dolly::likewise";"emma::likewise"
"dolly::like";"emma::like"
"dolly::which";"haredale::which"
"dolly_varden::better";"dolly_varden::jest"
"dolly_varden::better";"dolly_varden::stoutly"
"dolly_varden::better";"dolly::better"
"dolly_varden::better";"dolly::jest"
"dolly_varden::better";"dolly::stoutly"
"dolly_varden::better";"edward::better"
"dolly_varden::better";"edward::jest"
"dolly_varden::better";"edward::stoutly"
"dolly_varden::better";"joe::better"
"dolly_varden::better";"joe::jest"
"dolly_varden::better";"joe::stoutly"
"dolly_varden::jest";"dolly_varden::stoutly"
"dolly_varden::jest";"dolly::better"
"dolly_varden::jest";"dolly::jest"
"dolly_varden::jest";"dolly::stoutly"
"dolly_varden::jest";"edward::better"
"dolly_varden::jest";"edward::jest"
"dolly_varden::jest";"edward::stoutly"
"dolly_varden::jest";"joe::better"
"dolly_varden::jest";"joe::jest"
"dolly_varden::jest";"joe::stoutly"
"dolly_varden::stoutly";"dolly::better"
"dolly_varden::stoutly";"dolly::jest"
"dolly_varden::stoutly";"dolly::stoutly"
"dolly_varden::stoutly";"edward::better"
"dolly_varden::stoutly";"edward::jest"
"dolly_varden::stoutly";"edward::stoutly"
"dolly_varden::stoutly";"joe::better"
"dolly_varden::stoutly";"joe::jest"
"dolly_varden::stoutly";"joe::stoutly"
"dolly::better";"dolly::jest"
"dolly::better";"dolly::stoutly"
"dolly::better";"edward::better"
"dolly::better";"edward::jest"
"dolly::better";"edward::stoutly"
"dolly::better";"joe::better"
"dolly::better";"joe::jest"
"dolly::better";"joe::stoutly"
"dolly::jest";"dolly::stoutly"
"dolly::jest";"edward::better"
"dolly::jest";"edward::jest"
"dolly::jest";"edward::stoutly"
"dolly::jest";"joe::better"
"dolly::jest";"joe::jest"
"dolly::jest";"joe::stoutly"
"dolly::stoutly";"edward::better"
"dolly::stoutly";"edward::jest"
"dolly::stoutly";"edward::stoutly"
"dolly::stoutly";"joe::better"
"dolly::stoutly";"joe::jest"
"dolly::stoutly";"joe::stoutly"
"edward::better";"edward::jest"
"edward::better";"edward::stoutly"
"edward::better";"joe::better"
"edward::better";"joe::jest"
"edward::better";"joe::stoutly"
"edward::jest";"edward::stoutly"
"edward::jest";"joe::better"
"edward::jest";"joe::jest"
"edward::jest";"joe::stoutly"
"edward::stoutly";"joe::better"
"edward::stoutly";"joe::jest"
"edward::stoutly";"joe::stoutly"
"joe::better";"joe::jest"
"joe::better";"joe::stoutly"
"joe::jest";"joe::stoutly"
"dolly::you";"hugh::you"
"joe::truth";"joe::which"
"dolly::tremulous";"joe::tremulous"
"dolly::you";"joe::you"
"dolly::sufficiently";"joe::sufficiently"
"dolly::sufficiently";"mrs_varden::sufficiently"
"joe::sufficiently";"mrs_varden::sufficiently"
"john::reference";"john::spirit"
"joe::rather";"joe::which"
"dolly::faintly";"dolly::like"
"dolly::faintly";"hugh::faintly"
"dolly::faintly";"hugh::like"
"dolly::faintly";"willet::faintly"
"dolly::faintly";"willet::like"
"dolly::like";"hugh::faintly"
"dolly::like";"hugh::like"
"dolly::like";"willet::faintly"
"dolly::like";"willet::like"
"hugh::faintly";"hugh::like"
"hugh::faintly";"willet::faintly"
"hugh::faintly";"willet::like"
"hugh::like";"willet::faintly"
"hugh::like";"willet::like"
"willet::faintly";"willet::like"
"dolly::which";"joe::which"
"dolly::led";"joe::led"
"hugh::you";"joe::you"
"gabriel::mile";"joe::mile"
"hugh::about";"joe::about"
"dolly::reached";"martha::reached"
"dolly::you";"martha::you"
"mrs_varden::spirit";"mrs_varden::which"
"miggs::apparent";"miggs::loftiest"
"miggs::apparent";"simmun::apparent"
"miggs::apparent";"simmun::loftiest"
"miggs::apparent";"tappertit::apparent"
"miggs::apparent";"tappertit::loftiest"
"miggs::loftiest";"simmun::apparent"
"miggs::loftiest";"simmun::loftiest"
"miggs::loftiest";"tappertit::apparent"
"miggs::loftiest";"tappertit::loftiest"
"simmun::apparent";"simmun::loftiest"
"simmun::apparent";"tappertit::apparent"
"simmun::apparent";"tappertit::loftiest"
"simmun::loftiest";"tappertit::apparent"
"simmun::loftiest";"tappertit::loftiest"
"tappertit::apparent";"tappertit::loftiest"
"dolly_varden::you";"joseph_willet::you"
"dolly_varden::you";"miggs::you"
"joseph_willet::you";"miggs::you"
"chester::its";"chester::like"
"chesterfield::fathers";"chesterfield::you"
"bacon::which";"chesterfield::which"
"bacon::which";"milton::which"
"bacon::which";"shakespeare::which"
"chesterfield::which";"milton::which"
"chesterfield::which";"shakespeare::which"
"milton::which";"shakespeare::which"
"hugh::you";"hugh::your"
"chester::rather";"hugh::rather"
"hugh::striking";"hugh::you"
"chester::chin";"chester::its"
"chester::chin";"chester::putting"
"chester::its";"chester::putting"
"chester::sufficiently";"hugh::sufficiently"
"hugh::led";"hugh::which"
"hugh::dare";"hugh::looking"
"chester::better";"chester::which"
"tappertit::you";"tappertit::your"
"chester::looking";"tappertit::looking"
"chester::which";"chester::you"
"chester::which";"mr_tappertit::which"
"chester::which";"mr_tappertit::you"
"chester::you";"mr_tappertit::which"
"chester::you";"mr_tappertit::you"
"mr_tappertit::which";"mr_tappertit::you"
"chester::you";"tappertit::you"
"tappertit::confirm";"tappertit::you"
"mrs_varden::like";"mrs_varden::you"
"barnaby_rudge::likewise";"joseph_willet::likewise"
"barnaby_rudge::likewise";"mrs_rudge::likewise"
"joseph_willet::likewise";"mrs_rudge::likewise"
"barnaby::impulse";"barnaby::mile"
"barnaby::hedge";"barnaby::mile"
"barnaby::like";"barnaby::marked"
"barnaby::like";"barnaby::wall"
"barnaby::like";"barnaby::which"
"barnaby::marked";"barnaby::wall"
"barnaby::marked";"barnaby::which"
"barnaby::wall";"barnaby::which"
"barnaby::like";"barnaby::spirit"
"barnaby::which";"reuben_haredale::which"
"edward_chester::you";"haredale::you"
"edward_chester::about";"haredale::about"
"gabriel::about";"gabriel::truth"
"mr_haredale::silence";"mr_haredale::you"
"chester::its";"chester::sweetly"
"chester::its";"gabriel_varden::its"
"chester::its";"gabriel_varden::putting"
"chester::its";"gabriel_varden::sweetly"
"chester::its";"haredale::its"
"chester::its";"haredale::putting"
"chester::its";"haredale::sweetly"
"chester::putting";"chester::sweetly"
"chester::putting";"gabriel_varden::its"
"chester::putting";"gabriel_varden::putting"
"chester::putting";"gabriel_varden::sweetly"
"chester::putting";"haredale::its"
"chester::putting";"haredale::putting"
"chester::putting";"haredale::sweetly"
"chester::sweetly";"gabriel_varden::its"
"chester::sweetly";"gabriel_varden::putting"
"chester::sweetly";"gabriel_varden::sweetly"
"chester::sweetly";"haredale::its"
"chester::sweetly";"haredale::putting"
"chester::sweetly";"haredale::sweetly"
"gabriel_varden::its";"gabriel_varden::putting"
"gabriel_varden::its";"gabriel_varden::sweetly"
"gabriel_varden::its";"haredale::its"
"gabriel_varden::its";"haredale::putting"
"gabriel_varden::its";"haredale::sweetly"
"gabriel_varden::putting";"gabriel_varden::sweetly"
"gabriel_varden::putting";"haredale::its"
"gabriel_varden::putting";"haredale::putting"
"gabriel_varden::putting";"haredale::sweetly"
"gabriel_varden::sweetly";"haredale::its"
"gabriel_varden::sweetly";"haredale::putting"
"gabriel_varden::sweetly";"haredale::sweetly"
"haredale::its";"haredale::putting"
"haredale::its";"haredale::sweetly"
"haredale::putting";"haredale::sweetly"
"chester::which";"gabriel::which"
"mayor_of_london::you";"tappertit::you"
"chester::looking";"ed::looking"
"chester::looking";"sim::looking"
"ed::looking";"sim::looking"
"miggs::looking";"mrs_varden::looking"
"chester::you";"mrs_varden::you"
"chester::roving";"mrs_varden::roving"
"chester::about";"chester::insincerity"
"chester::about";"chester::you"
"chester::about";"ned::about"
"chester::about";"ned::insincerity"
"chester::about";"ned::you"
"chester::insincerity";"chester::you"
"chester::insincerity";"ned::about"
"chester::insincerity";"ned::insincerity"
"chester::insincerity";"ned::you"
"chester::you";"ned::about"
"chester::you";"ned::insincerity"
"chester::you";"ned::you"
"ned::about";"ned::insincerity"
"ned::about";"ned::you"
"ned::insincerity";"ned::you"
"chester::jealousy";"miggs::jealousy"
"chester::led";"mrs_varden::led"
"mrs_varden::you";"ned::you"
