"maria_ward::match";"thomas_bertram::match"
"lady_bertram::herself";"norris::matter"
"lady_bertram::herself";"norris::was"
"lady_bertram::herself";"norris::who"
"lady_bertram::herself";"norris::woman"
"lady_bertram::ill";"lady_bertram::matter"
"lady_bertram::ill";"lady_bertram::was"
"lady_bertram::ill";"lady_bertram::who"
"lady_bertram::ill";"lady_bertram::woman"
"lady_bertram::ill";"norris::consequences"
"lady_bertram::ill";"norris::herself"
"lady_bertram::ill";"norris::ill"
"lady_bertram::ill";"norris::matter"
"lady_bertram::ill";"norris::was"
"lady_bertram::ill";"norris::who"
"lady_bertram::ill";"norris::woman"
"lady_bertram::matter";"lady_bertram::was"
"lady_bertram::matter";"lady_bertram::who"
"lady_bertram::matter";"lady_bertram::woman"
"lady_bertram::matter";"norris::consequences"
"lady_bertram::matter";"norris::herself"
"lady_bertram::matter";"norris::ill"
"lady_bertram::matter";"norris::matter"
"lady_bertram::matter";"norris::was"
"lady_bertram::matter";"norris::who"
"lady_bertram::matter";"norris::woman"
"lady_bertram::was";"lady_bertram::who"
"lady_bertram::was";"lady_bertram::woman"
"lady_bertram::was";"norris::consequences"
"lady_bertram::was";"norris::herself"
"lady_bertram::was";"norris::ill"
"lady_bertram::was";"norris::matter"
"lady_bertram::was";"norris::was"
"lady_bertram::was";"norris::who"
"lady_bertram::was";"norris::woman"
"lady_bertram::who";"lady_bertram::woman"
"lady_bertram::who";"norris::consequences"
"lady_bertram::who";"norris::herself"
"lady_bertram::who";"norris::ill"
"lady_bertram::who";"norris::matter"
"lady_bertram::who";"norris::was"
"lady_bertram::who";"norris::who"
"lady_bertram::who";"norris::woman"
"lady_bertram::woman";"norris::consequences"
"lady_bertram::woman";"norris::herself"
"lady_bertram::woman";"norris::ill"
"lady_bertram::woman";"norris::matter"
"lady_bertram::woman";"norris::was"
"lady_bertram::woman";"norris::who"
"lady_bertram::woman";"norris::woman"
"norris::consequences";"norris::herself"
"norris::consequences";"norris::ill"
"norris::consequences";"norris::matter"
"norris::consequences";"norris::was"
"norris::consequences";"norris::who"
"norris::consequences";"norris::woman"
"norris::herself";"norris::ill"
"norris::herself";"norris::matter"
"norris::herself";"norris::was"
"norris::herself";"norris::who"
"norris::herself";"norris::woman"
"norris::ill";"norris::matter"
"norris::ill";"norris::was"
"norris::ill";"norris::who"
"norris::ill";"norris::woman"
"norris::matter";"norris::was"
"norris::matter";"norris::who"
"norris::matter";"norris::woman"
"norris::was";"norris::who"
"norris::was";"norris::woman"
"norris::who";"norris::woman"
"lady_bertram::small";"lady_bertram::want"
"lady_bertram::fellow";"lady_bertram::was"
"lady_bertram::fellow";"lady_bertram::who"
"lady_bertram::professions";"norris::professions"
"lady_bertram::professions";"thomas::professions"
"norris::professions";"thomas::professions"
"norris::often";"norris::was"
"thomas::girl";"thomas::taking"
"thomas::girl";"thomas::was"
"thomas::taking";"thomas::was"
"norris::professions";"norris::woman"
"edmund::will";"tom::will"
"thomas::considered";"thomas::cousin"
"thomas::considered";"thomas::pleasures"
"thomas::considered";"thomas::was"
"thomas::considered";"thomas::were"
"thomas::cousin";"thomas::pleasures"
"thomas::cousin";"thomas::was"
"thomas::cousin";"thomas::were"
"thomas::pleasures";"thomas::was"
"thomas::pleasures";"thomas::were"
"thomas::was";"thomas::were"
"lady_bertram::take";"lady_bertram::views"
"lady_bertram::take";"lady_bertram::was"
"lady_bertram::take";"lady_bertram::were"
"lady_bertram::take";"norris::take"
"lady_bertram::take";"norris::views"
"lady_bertram::take";"norris::was"
"lady_bertram::take";"norris::were"
"lady_bertram::take";"thomas::take"
"lady_bertram::take";"thomas::views"
"lady_bertram::take";"thomas::was"
"lady_bertram::take";"thomas::were"
"lady_bertram::views";"lady_bertram::was"
"lady_bertram::views";"lady_bertram::were"
"lady_bertram::views";"norris::take"
"lady_bertram::views";"norris::views"
"lady_bertram::views";"norris::was"
"lady_bertram::views";"norris::were"
"lady_bertram::views";"thomas::take"
"lady_bertram::views";"thomas::views"
"lady_bertram::views";"thomas::was"
"lady_bertram::views";"thomas::were"
"lady_bertram::was";"norris::take"
"lady_bertram::was";"norris::views"
"lady_bertram::was";"norris::were"
"lady_bertram::was";"thomas::take"
"lady_bertram::was";"thomas::views"
"lady_bertram::was";"thomas::was"
"lady_bertram::was";"thomas::were"
"lady_bertram::were";"norris::take"
"lady_bertram::were";"norris::views"
"lady_bertram::were";"norris::was"
"lady_bertram::were";"norris::were"
"lady_bertram::were";"thomas::take"
"lady_bertram::were";"thomas::views"
"lady_bertram::were";"thomas::was"
"lady_bertram::were";"thomas::were"
"norris::take";"norris::views"
"norris::take";"norris::was"
"norris::take";"norris::were"
"norris::take";"thomas::take"
"norris::take";"thomas::views"
"norris::take";"thomas::was"
"norris::take";"thomas::were"
"norris::views";"norris::was"
"norris::views";"norris::were"
"norris::views";"thomas::take"
"norris::views";"thomas::views"
"norris::views";"thomas::was"
"norris::views";"thomas::were"
"norris::was";"norris::were"
"norris::was";"thomas::take"
"norris::was";"thomas::views"
"norris::was";"thomas::were"
"norris::were";"thomas::take"
"norris::were";"thomas::views"
"norris::were";"thomas::was"
"norris::were";"thomas::were"
"thomas::take";"thomas::views"
"thomas::take";"thomas::was"
"thomas::take";"thomas::were"
"thomas::views";"thomas::was"
"thomas::views";"thomas::were"
"lady_bertram::who";"thomas::who"
"norris::who";"thomas::who"
"julia_bertram::was";"maria::was"
"norris::increased";"norris::was"
"norris::increased";"norris::wonderful"
"norris::was";"norris::wonderful"
"fanny::along";"fanny::came"
"fanny::along";"fanny::herself"
"fanny::along";"norris::along"
"fanny::along";"norris::came"
"fanny::along";"norris::herself"
"fanny::came";"fanny::herself"
"fanny::came";"norris::along"
"fanny::came";"norris::came"
"fanny::came";"norris::herself"
"fanny::herself";"norris::along"
"fanny::herself";"norris::came"
"fanny::herself";"norris::herself"
"norris::along";"norris::came"
"norris::along";"norris::herself"
"norris::came";"norris::herself"
"fanny::leave";"norris::leave"
"norris::acute";"norris::were"
"julia::cousin";"maria::cousin"
"julia::herself";"julia::leave"
"julia::herself";"julia::were"
"julia::herself";"maria::herself"
"julia::herself";"maria::leave"
"julia::herself";"maria::were"
"julia::leave";"julia::were"
"julia::leave";"maria::herself"
"julia::leave";"maria::leave"
"julia::leave";"maria::were"
"julia::were";"maria::herself"
"julia::were";"maria::leave"
"julia::were";"maria::were"
"maria::herself";"maria::leave"
"maria::herself";"maria::were"
"maria::leave";"maria::were"
"julia::was";"maria::was"
"edmund::cousin";"edmund::was"
"julia::puzzled";"julia::was"
"julia::puzzled";"maria::puzzled"
"julia::puzzled";"maria::was"
"julia::was";"maria::puzzled"
"maria::puzzled";"maria::was"
"julia::want";"maria::want"
"william::herself";"william::was"
"william::cousin";"william::will"
"edmund::measure";"fanny::measure"
"edmund::were";"fanny::were"
"norris::herself";"norris::voice"
"norris::voice";"norris::was"
"edmund::pleasures";"edmund::was"
"edmund::pleasures";"edmund::were"
"edmund::was";"edmund::were"
"edmund::was";"edmund::will"
"edmund::was";"edmund::worse"
"edmund::was";"tom::was"
"edmund::was";"tom::will"
"edmund::was";"tom::worse"
"edmund::will";"edmund::worse"
"edmund::will";"tom::was"
"edmund::will";"tom::worse"
"edmund::worse";"tom::was"
"edmund::worse";"tom::will"
"edmund::worse";"tom::worse"
"tom::was";"tom::will"
"tom::was";"tom::worse"
"tom::will";"tom::worse"
"norris::#-confined";"norris::was"
"norris::#-confined";"thomas::#-confined"
"norris::#-confined";"thomas::was"
"norris::was";"thomas::#-confined"
"thomas::#-confined";"thomas::was"
"norris::#-wonderful";"norris::were"
"thomas::herself";"thomas::was"
"thomas::herself";"thomas::who"
"thomas::herself";"thomas::woman"
"thomas::was";"thomas::who"
"thomas::was";"thomas::woman"
"thomas::who";"thomas::woman"
"thomas::want";"thomas::were"
"fanny::attachment";"fanny::was"
"julia::often";"julia::was"
"lady_bertram::him";"thomas::him"
"lady_bertram::him";"thomas::was"
"lady_bertram::was";"thomas::him"
"thomas::him";"thomas::was"
"fanny::became";"fanny::was"
"fanny::became";"thomas::became"
"fanny::became";"thomas::was"
"fanny::was";"thomas::became"
"fanny::was";"thomas::was"
"thomas::became";"thomas::was"
"edmund::#-change";"edmund::proving"
"edmund::everybody";"edmund::mind"
"edmund::everybody";"edmund::pleasures"
"edmund::everybody";"edmund::was"
"edmund::everybody";"edmund::were"
"edmund::mind";"edmund::pleasures"
"edmund::mind";"edmund::was"
"edmund::mind";"edmund::were"
"edmund::him";"edmund::now"
"fanny::leave";"fanny::was"
"norris::died";"norris::meant"
"norris::died";"norris::take"
"norris::meant";"norris::take"
"bertram::matter";"fanny::matter"
"bertram::matter";"miss_lee::matter"
"bertram::matter";"norris::matter"
"fanny::matter";"miss_lee::matter"
"fanny::matter";"norris::matter"
"miss_lee::matter";"norris::matter"
"fanny::hardly";"fanny::him"
"fanny::hardly";"fanny::taking"
"fanny::hardly";"fanny::worse"
"fanny::him";"fanny::taking"
"fanny::him";"fanny::worse"
"fanny::taking";"fanny::worse"
"norris::hated";"norris::herself"
"norris::hated";"norris::was"
"grant::often";"norris::often"
"edmund::him";"lady_bertram::him"
"edmund::him";"norris::him"
"lady_bertram::him";"norris::him"
"julia::want";"julia::were"
"julia::want";"maria::were"
"julia::were";"maria::want"
"maria::want";"maria::were"
"julia::pleasures";"julia::was"
"julia::pleasures";"maria::pleasures"
"julia::pleasures";"maria::was"
"julia::was";"maria::pleasures"
"maria::pleasures";"maria::was"
"mansfield::charged";"mansfield::him"
"mansfield::charged";"william::charged"
"mansfield::charged";"william::him"
"mansfield::him";"william::charged"
"mansfield::him";"william::him"
"william::charged";"william::him"
"mansfield::bitterly";"mansfield::over"
"mansfield::bitterly";"mansfield::was"
"mansfield::bitterly";"william::bitterly"
"mansfield::bitterly";"william::over"
"mansfield::bitterly";"william::was"
"mansfield::over";"mansfield::was"
"mansfield::over";"william::bitterly"
"mansfield::over";"william::over"
"mansfield::over";"william::was"
"mansfield::was";"william::bitterly"
"mansfield::was";"william::over"
"mansfield::was";"william::was"
"william::bitterly";"william::over"
"william::bitterly";"william::was"
"william::over";"william::was"
"edmund::was";"lady_bertram::was"
"edmund::was";"tom_bertram::was"
"lady_bertram::was";"tom_bertram::was"
"edmund::after";"edmund::him"
"edmund::after";"edmund::lay"
"edmund::after";"edmund::voyage"
"edmund::after";"edmund::was"
"edmund::after";"norris::after"
"edmund::after";"norris::him"
"edmund::after";"norris::lay"
"edmund::after";"norris::voyage"
"edmund::after";"norris::was"
"edmund::after";"thomas::after"
"edmund::after";"thomas::him"
"edmund::after";"thomas::lay"
"edmund::after";"thomas::voyage"
"edmund::after";"thomas::was"
"edmund::him";"edmund::lay"
"edmund::him";"edmund::voyage"
"edmund::him";"edmund::was"
"edmund::him";"norris::after"
"edmund::him";"norris::lay"
"edmund::him";"norris::voyage"
"edmund::him";"norris::was"
"edmund::him";"thomas::after"
"edmund::him";"thomas::him"
"edmund::him";"thomas::lay"
"edmund::him";"thomas::voyage"
"edmund::him";"thomas::was"
"edmund::lay";"edmund::voyage"
"edmund::lay";"edmund::was"
"edmund::lay";"norris::after"
"edmund::lay";"norris::him"
"edmund::lay";"norris::lay"
"edmund::lay";"norris::voyage"
"edmund::lay";"norris::was"
"edmund::lay";"thomas::after"
"edmund::lay";"thomas::him"
"edmund::lay";"thomas::lay"
"edmund::lay";"thomas::voyage"
"edmund::lay";"thomas::was"
"edmund::voyage";"edmund::was"
"edmund::voyage";"norris::after"
"edmund::voyage";"norris::him"
"edmund::voyage";"norris::lay"
"edmund::voyage";"norris::voyage"
"edmund::voyage";"norris::was"
"edmund::voyage";"thomas::after"
"edmund::voyage";"thomas::him"
"edmund::voyage";"thomas::lay"
"edmund::voyage";"thomas::voyage"
"edmund::voyage";"thomas::was"
"edmund::was";"norris::after"
"edmund::was";"norris::him"
"edmund::was";"norris::lay"
"edmund::was";"norris::voyage"
"edmund::was";"norris::was"
"edmund::was";"thomas::after"
"edmund::was";"thomas::him"
"edmund::was";"thomas::lay"
"edmund::was";"thomas::voyage"
"edmund::was";"thomas::was"
"norris::after";"norris::him"
"norris::after";"norris::lay"
"norris::after";"norris::voyage"
"norris::after";"norris::was"
"norris::after";"thomas::after"
"norris::after";"thomas::him"
"norris::after";"thomas::lay"
"norris::after";"thomas::voyage"
"norris::after";"thomas::was"
"norris::him";"norris::lay"
"norris::him";"norris::voyage"
"norris::him";"norris::was"
"norris::him";"thomas::after"
"norris::him";"thomas::him"
"norris::him";"thomas::lay"
"norris::him";"thomas::voyage"
"norris::him";"thomas::was"
"norris::lay";"norris::voyage"
"norris::lay";"norris::was"
"norris::lay";"thomas::after"
"norris::lay";"thomas::him"
"norris::lay";"thomas::lay"
"norris::lay";"thomas::voyage"
"norris::lay";"thomas::was"
"norris::voyage";"norris::was"
"norris::voyage";"thomas::after"
"norris::voyage";"thomas::him"
"norris::voyage";"thomas::lay"
"norris::voyage";"thomas::voyage"
"norris::voyage";"thomas::was"
"norris::was";"thomas::after"
"norris::was";"thomas::him"
"norris::was";"thomas::lay"
"norris::was";"thomas::voyage"
"thomas::after";"thomas::him"
"thomas::after";"thomas::lay"
"thomas::after";"thomas::voyage"
"thomas::after";"thomas::was"
"thomas::him";"thomas::lay"
"thomas::him";"thomas::voyage"
"thomas::lay";"thomas::voyage"
"thomas::lay";"thomas::was"
"thomas::voyage";"thomas::was"
"lady_bertram::over";"lady_bertram::was"
"lady_bertram::over";"lady_bertram::who"
"fanny::became";"fanny::called"
"fanny::became";"lady_bertram::became"
"fanny::became";"lady_bertram::called"
"fanny::became";"mansfield::became"
"fanny::became";"mansfield::called"
"fanny::became";"miss_lee::became"
"fanny::became";"miss_lee::called"
"fanny::called";"lady_bertram::became"
"fanny::called";"lady_bertram::called"
"fanny::called";"mansfield::became"
"fanny::called";"mansfield::called"
"fanny::called";"miss_lee::became"
"fanny::called";"miss_lee::called"
"lady_bertram::became";"lady_bertram::called"
"lady_bertram::became";"mansfield::became"
"lady_bertram::became";"mansfield::called"
"lady_bertram::became";"miss_lee::became"
"lady_bertram::became";"miss_lee::called"
"lady_bertram::called";"mansfield::became"
"lady_bertram::called";"mansfield::called"
"lady_bertram::called";"miss_lee::became"
"lady_bertram::called";"miss_lee::called"
"mansfield::became";"mansfield::called"
"mansfield::became";"miss_lee::became"
"mansfield::became";"miss_lee::called"
"mansfield::called";"miss_lee::became"
"mansfield::called";"miss_lee::called"
"miss_lee::became";"miss_lee::called"
"grant::now";"norris::now"
"bertram::was";"rushworth::was"
"maria::herself";"maria::was"
"maria::herself";"norris::herself"
"maria::herself";"norris::was"
"maria::herself";"rushworth::herself"
"maria::herself";"rushworth::was"
"maria::was";"norris::herself"
"maria::was";"norris::was"
"maria::was";"rushworth::herself"
"maria::was";"rushworth::was"
"norris::herself";"rushworth::herself"
"norris::herself";"rushworth::was"
"norris::was";"rushworth::herself"
"norris::was";"rushworth::was"
"rushworth::herself";"rushworth::was"
"bertram::was";"bertram::who"
"bertram::was";"rushworth::who"
"bertram::was";"thomas::was"
"bertram::was";"thomas::who"
"bertram::who";"rushworth::was"
"bertram::who";"rushworth::who"
"bertram::who";"thomas::was"
"bertram::who";"thomas::who"
"rushworth::was";"rushworth::who"
"rushworth::was";"thomas::was"
"rushworth::was";"thomas::who"
"rushworth::who";"thomas::was"
"rushworth::who";"thomas::who"
"rushworth::often";"rushworth::was"
"thomas::concurrence";"thomas::was"
"mansfield::now";"mansfield::was"
"mansfield::now";"mansfield::who"
"mansfield::now";"mansfield::woman"
"mansfield::was";"mansfield::who"
"mansfield::was";"mansfield::woman"
"mansfield::who";"mansfield::woman"
"henry_crawford::fetch";"henry_crawford::were"
"crawford::commodious";"crawford::rusticity"
"crawford::commodious";"crawford::who"
"crawford::commodious";"crawford::woman"
"crawford::commodious";"grant::commodious"
"crawford::commodious";"grant::rusticity"
"crawford::commodious";"grant::who"
"crawford::commodious";"grant::woman"
"crawford::rusticity";"crawford::who"
"crawford::rusticity";"crawford::woman"
"crawford::rusticity";"grant::commodious"
"crawford::rusticity";"grant::rusticity"
"crawford::rusticity";"grant::who"
"crawford::rusticity";"grant::woman"
"crawford::who";"crawford::woman"
"crawford::who";"grant::commodious"
"crawford::who";"grant::rusticity"
"crawford::who";"grant::who"
"crawford::who";"grant::woman"
"crawford::woman";"grant::commodious"
"crawford::woman";"grant::rusticity"
"crawford::woman";"grant::who"
"crawford::woman";"grant::woman"
"grant::commodious";"grant::rusticity"
"grant::commodious";"grant::who"
"grant::commodious";"grant::woman"
"grant::rusticity";"grant::who"
"grant::rusticity";"grant::woman"
"grant::who";"grant::woman"
"grant::girl";"grant::match"
"grant::girl";"grant::was"
"grant::girl";"grant::woman"
"grant::girl";"mary::girl"
"grant::girl";"mary::match"
"grant::girl";"mary::was"
"grant::girl";"mary::woman"
"grant::girl";"tom_bertram::girl"
"grant::girl";"tom_bertram::match"
"grant::girl";"tom_bertram::was"
"grant::girl";"tom_bertram::woman"
"grant::match";"grant::was"
"grant::match";"grant::woman"
"grant::match";"mary::girl"
"grant::match";"mary::match"
"grant::match";"mary::was"
"grant::match";"mary::woman"
"grant::match";"tom_bertram::girl"
"grant::match";"tom_bertram::match"
"grant::match";"tom_bertram::was"
"grant::match";"tom_bertram::woman"
"grant::was";"grant::woman"
"grant::was";"mary::girl"
"grant::was";"mary::match"
"grant::was";"mary::was"
"grant::was";"mary::woman"
"grant::was";"tom_bertram::girl"
"grant::was";"tom_bertram::match"
"grant::was";"tom_bertram::was"
"grant::was";"tom_bertram::woman"
"grant::woman";"mary::girl"
"grant::woman";"mary::match"
"grant::woman";"mary::was"
"grant::woman";"mary::woman"
"grant::woman";"tom_bertram::girl"
"grant::woman";"tom_bertram::match"
"grant::woman";"tom_bertram::was"
"grant::woman";"tom_bertram::woman"
"mary::girl";"mary::match"
"mary::girl";"mary::was"
"mary::girl";"mary::woman"
"mary::girl";"tom_bertram::girl"
"mary::girl";"tom_bertram::match"
"mary::girl";"tom_bertram::was"
"mary::girl";"tom_bertram::woman"
"mary::match";"mary::was"
"mary::match";"mary::woman"
"mary::match";"tom_bertram::girl"
"mary::match";"tom_bertram::match"
"mary::match";"tom_bertram::was"
"mary::match";"tom_bertram::woman"
"mary::was";"mary::woman"
"mary::was";"tom_bertram::girl"
"mary::was";"tom_bertram::match"
"mary::was";"tom_bertram::was"
"mary::was";"tom_bertram::woman"
"mary::woman";"tom_bertram::girl"
"mary::woman";"tom_bertram::match"
"mary::woman";"tom_bertram::was"
"mary::woman";"tom_bertram::woman"
"tom_bertram::girl";"tom_bertram::match"
"tom_bertram::girl";"tom_bertram::was"
"tom_bertram::girl";"tom_bertram::woman"
"tom_bertram::match";"tom_bertram::was"
"tom_bertram::match";"tom_bertram::woman"
"tom_bertram::was";"tom_bertram::woman"
"tom_bertram::seen";"tom_bertram::was"
"mary::him";"mary::matter"
"mary::him";"mary::will"
"mary::matter";"mary::will"
"crawford::herself";"grant::herself"
"crawford::him";"crawford::was"
"crawford::him";"julia::him"
"crawford::him";"julia::was"
"crawford::him";"maria::him"
"crawford::him";"maria::was"
"crawford::was";"julia::him"
"crawford::was";"julia::was"
"crawford::was";"maria::him"
"crawford::was";"maria::was"
"julia::him";"julia::was"
"julia::him";"maria::him"
"julia::him";"maria::was"
"julia::was";"maria::him"
"maria::him";"maria::was"
"maria::notions";"maria::were"
"julia::after";"maria::after"
"henry::cured";"henry::were"
"henry::cured";"mary::cured"
"henry::cured";"mary::were"
"henry::were";"mary::cured"
"henry::were";"mary::were"
"mary::cured";"mary::were"
"henry::was";"mary::was"
"mansfield::him";"mansfield::was"
"crawford::was";"crawford::woman"
"crawford::was";"grant::was"
"crawford::was";"grant::woman"
"crawford::woman";"grant::was"
"thomas::herself";"thomas::him"
"thomas::after";"thomas::proof"
"thomas::after";"thomas::were"
"thomas::him";"thomas::proof"
"thomas::him";"thomas::were"
"thomas::proof";"thomas::were"
"edmund::were";"sneyd::were"
"crawford::was";"tom_bertram::was"
"rushworth::visiting";"rushworth::was"
"grant::will";"norris::will"
"grant::will";"rushworth::will"
"norris::will";"rushworth::will"
"thomas::hardly";"thomas::things"
"thomas::charged";"thomas::was"
"grant::hardly";"norris::hardly"
"grant::were";"norris::were"
"repton::was";"smith::was"
"lady_bertram::were";"rushworth::were"
"bertram::west";"repton::west"
"crawford::was";"edmund::was"
"crawford::matter";"crawford::was"
"crawford::matter";"edmund::matter"
"crawford::matter";"edmund::was"
"crawford::was";"edmund::matter"
"edmund::matter";"edmund::was"
"henry::just";"henry::often"
"henry::just";"henry::who"
"henry::just";"henry::will"
"henry::often";"henry::who"
"henry::often";"henry::will"
"henry::who";"henry::will"
"edmund::voice";"edmund::was"
"edmund::voice";"fanny::voice"
"edmund::voice";"fanny::was"
"edmund::was";"fanny::voice"
"edmund::was";"fanny::was"
"fanny::voice";"fanny::was"
"grant::was";"julia_bertram::was"
"everingham::now";"everingham::was"
"julia::act";"julia::who"
"julia::act";"julia::will"
"julia::who";"julia::will"
"bertram::after";"bertram::was"
"bertram::after";"crawford::after"
"bertram::after";"crawford::was"
"bertram::after";"grant::after"
"bertram::after";"grant::was"
"bertram::after";"rushworth::after"
"bertram::after";"rushworth::was"
"bertram::was";"crawford::after"
"bertram::was";"crawford::was"
"bertram::was";"grant::after"
"bertram::was";"grant::was"
"bertram::was";"rushworth::after"
"crawford::after";"crawford::was"
"crawford::after";"grant::after"
"crawford::after";"grant::was"
"crawford::after";"rushworth::after"
"crawford::after";"rushworth::was"
"crawford::was";"grant::after"
"crawford::was";"rushworth::after"
"crawford::was";"rushworth::was"
"grant::after";"grant::was"
"grant::after";"rushworth::after"
"grant::after";"rushworth::was"
"grant::was";"rushworth::after"
"grant::was";"rushworth::was"
"rushworth::after";"rushworth::was"
"crawford::after";"edmund::after"
"crawford::after";"fanny::after"
"grant::who";"grant::will"
"crawford::mind";"fanny::mind"
"grant::was";"grant::were"
"grant::was";"grant::will"
"grant::were";"grant::will"
"edmund::elder";"edmund::small"
"edmund::elder";"edmund::was"
"edmund::small";"edmund::was"
"crawford::herself";"crawford::was"
"crawford::leave";"crawford::was"
"crawford::leave";"crawford::were"
"crawford::leave";"edmund::leave"
"crawford::leave";"edmund::was"
"crawford::leave";"edmund::were"
"crawford::was";"crawford::were"
"crawford::was";"edmund::leave"
"crawford::was";"edmund::were"
"crawford::were";"edmund::leave"
"crawford::were";"edmund::was"
"crawford::were";"edmund::were"
"edmund::leave";"edmund::was"
"edmund::leave";"edmund::were"
"edmund::small";"edmund::strongly"
"edmund::strongly";"edmund::was"
"fanny::was";"norris::was"
"edmund::him";"fanny::him"
"fanny::him";"norris::him"
"edmund::supplied";"edmund::was"
"crawford::him";"crawford::matter"
"crawford::him";"edmund::him"
"crawford::him";"edmund::matter"
"crawford::matter";"edmund::him"
"edmund::him";"edmund::matter"
"crawford::ill";"crawford::was"
"edmund::meant";"fanny::meant"
"edmund::want";"edmund::was"
"edmund::want";"fanny::want"
"edmund::want";"fanny::was"
"edmund::was";"fanny::want"
"fanny::want";"fanny::was"
"edmund::herself";"edmund::was"
"edmund::was";"julia::was"
"edmund::was";"julia::were"
"edmund::were";"julia::was"
"edmund::were";"julia::were"
"julia::was";"julia::were"
"edmund::was";"maria::was"
"julia::was";"lady_bertram::was"
"lady_bertram::was";"maria::was"
"fanny::pleasures";"fanny::was"
"fanny::pleasures";"fanny::who"
"fanny::pleasures";"julia::pleasures"
"fanny::pleasures";"julia::was"
"fanny::pleasures";"julia::who"
"fanny::was";"fanny::who"
"fanny::was";"julia::pleasures"
"fanny::was";"julia::was"
"fanny::was";"julia::who"
"fanny::who";"julia::pleasures"
"fanny::who";"julia::was"
"fanny::who";"julia::who"
"julia::pleasures";"julia::who"
"julia::was";"julia::who"
"edmund::was";"edmund::who"
"edmund::was";"norris::who"
"edmund::who";"norris::was"
"edmund::who";"norris::who"
"fanny::hot";"fanny::was"
"julia::was";"norris::was"
"fanny::was";"fanny::were"
"edmund::errand";"fanny::errand"
"rushworth::came";"rushworth::visiting"
"rushworth::came";"rushworth::was"
"rushworth::came";"rushworth::who"
"rushworth::visiting";"rushworth::who"
"bertram::him";"bertram::was"
"bertram::him";"bertram::were"
"bertram::him";"crawford::him"
"bertram::him";"crawford::was"
"bertram::him";"crawford::were"
"bertram::him";"norris::him"
"bertram::him";"norris::was"
"bertram::him";"norris::were"
